Cause,Definition,OED Definition
Abortive,aborted pregnancy; see also miscarriage and stillborn,an aborted fetus; a stillborn child or animal
Aged,death by natural causes of old age,that has lived or existed for a long time; of advanced age; very old
Ague,chills and fever; malaria,"an acute or high fever; disease, or a disease, characterized by such fever, esp. when recurring periodically, spec. malaria. Also: a malarial paroxysm, or (esp. in later use) the initial stage of such a paroxysm, marked by an intense feeling of cold and shivering... Frequently with distinguishing word indicating the periodicity of the fever, nature of the paroxysm, etc."
Apoplex,rupture of an internal organ,"a malady, very sudden in its attack, which arrests more or less completely the powers of sense and motion; it is usually caused by an effusion of blood or serum in the brain, and preceded by giddiness, partial loss of muscular power, etc."
Asthma,"chronic inflamation of the airways, making it difficult to breathe","difficulty of breathing; spec.. a disease of respiration, characterized by intermittent paroxysms of difficult breathing, with a wheezing sound, a sense of cnostriction in the chest, cough, and expectoration"
Beaten,beaten,---
Bleeding,bleeding,---
Bloody flux,dysentery,"bloody diarrhoea; disease causing such diarrhoea, spec. dysentery of infectious origin"
Burnt,burned,---
Calenture,"heat stroke, sunstroke","1593- ; a disease incident to sailors within the tropics, characterized by delirium in which the patient, it is said, fancies the sea to be green fields, and desires to leap into it; The word was also used in the Spanish general sense of 'fever', and sometimes in that of 'sunstroke'"
Cancer,note: canker separate in some lists,"Originally: any of various types of non-healing sore or ulcer (cf. canker); In later use (chiefly as mass noun): spec. malignant neoplastic disease, in which there is an uncontrolled proliferation of cells, typically with invasion and destruction of adjacent normal tissue, and often with metastatic spread to distant parts of the body via lymphatics or blood vessels; an instance of this, a malignant tumor."
Childbed,death during childbirth,
Chrisoms,infant deaths under one month old,"In obituaries and the like, applied to a child that died during the first month or shortly after baptism, and was shrouded in its chrisom-cloth"
Cold,common cold,"disease attributed to an excess of the quality of coldness within the body or part of the body, to a superfluity of cold humours... or to exposure to low temperatures; (in later use) spec. acute and self-limited catarrhal illness of the upper respiratory tract"
Collick,colic,"a name given to severe parosysmal griping pains in the belly, due to various affections of the bowels or other parts; also to the affections of which such pains are the characteristic symptom"
Consumpcon,tuberculosis,"Originally: abnormality or loss of humours, resulting in wasting (extreme weight loss) of the body; such wasting; Later: disease that causes wasting of the body, spec. tuberculosis"
Convulcon,convulsions,
Cough,cough,
Distracted,"Various deaths ""being distracted"" = suicide/accidental death due to mental disturbance",deranged in mind; out of one's wits
Dropsy,"swelling of tissue due to accumulation of excess water, sign of organ failure",a morbid condition characterized by the accumulation of watery fluid in the serous cavaties or the connective tissue of the body
Drowned,drowning,
Executed,executions,
ffalling sickness,epileptic seizures ,forming names for the disease epilepsy
ffeaver,fevers,
