Canonical DBN Name,Omeka Parish Name,Variant Names,Current WCPC Name,MoEML Name,1st Extant Bill,Post-Fire Parishes,Primary Bills Subunit,Foundation Year per Internet Searches?,Notes From Wikipedia and https://www.londonparishclerks.com/Parishes-Churches/Parish-List
St Alban Wood Street,St Alban Woodstreet,,St Alban Wood Street,St. Alban (Wood Street),1532-11-23,,97 parishes within the walls,medieval,"rebuilt 1634, destroyed 1666, rebuilt"
All Hallows Barking,Alhallows Barking,All Hallows by the Tower; All Hallows Barkingchurch; St Mary Barkingchurch,All Hallows Berkyngechurche,All Hallows Barking,1532-11-23,x,97 parishes within the walls,medieval,
All Hallows Bread Street,Alhallows Breadstreet,,All Hallows Bread Street,All Hallows (Bread Street),1535-08-14,,97 parishes within the walls,medieval,"destroyed 1666, rebuilt"
All Hallows the Great,Alhallows Great,Alhallows the Moore in Thames Street; All Hallows in the Hay/Haywharf; All Hallows in the Ropery; All Hallows Seman's Church; All Hallows the More at Stillyard,All Hallows the Great,All Hallows the Great,1532-11-23,,97 parishes within the walls,medieval,"destroyed 1666, rebuilt"
All Hallows Honey Lane,Alhallows Honylane,,All Hallows Honey Lane,All Hallows (Honey Lane),1537-08-12,,97 parishes within the walls,medieval,"destroyed 1666, parish united with St. Mary le Bow but unit continued on bills"
All Hallows the Less,Alhallows Lesse,All Hallows Upon the Cellar; All Hallows Upon the Solars; All Hallowes near the Ropery,All Hallows the Less,All Hallows the Less,1535-08-14,,97 parishes within the walls,medieval,"destroyed 1666, parish united with Allhallows Great but unit continued on bills"
All Hallows Lombard Street,Alhallows Lumbardstreet,All Hallows Gracechurch; All Hallows Cornhill,All Hallows Lombard Street,All Hallows (Lombard Street),1532-11-23,,97 parishes within the walls,medieval,"destroyed 1666, rebuilt"
All Hallows Staining,Alhallows Stayning,,All Hallows Staining,All Hallows Staining,1535-08-14,x,97 parishes within the walls,medieval,"collapsed 1671, rebuilt 1674"
All Hallows London Wall,Alhallows the Wall,All Hallows on London Wall; All Hallows within Bishopsgate,All Hallows London Wall,All Hallows (London Wall),1532-11-23,x,97 parishes within the walls,medieval,took in St Augustine Papey in 1442
St Alphage,St Alphage,St Alphage near Sion College; St Alphage London Wall; St Alphage Cripplegate,St Alphage London Wall,St. Alphage (London Wall),1532-11-23,x,97 parishes within the walls,medieval,
St Andrew Hubbard,St Andrew Hubbard,St Andrew Eastcheap; St Andrew towards the Tower,St Andrew Hubbard,St. Andrew Hubbard,1535-08-14,,97 parishes within the walls,medieval,"destroyed 1666, parish united with St. Mary at Hill but unit continued on bills"
St Andrew Undershaft,St Andrew Undershaft,St Andrew Cornhill,St Andrew Undershaft,St. Andrew Undershaft,1535-08-14,x,97 parishes within the walls,medieval,
St Andrew Wardrobe,St Andrew Wardrobe,St Andrew Castle Baynard,St Andrew by the Wardrobe,St. Andrew by the Wardrobe,1535-08-14,,97 parishes within the walls,medieval,"destroyed 1666, rebuilt 1695"
St Anne Aldersgate,St Ann Aldersgate,St Anne and St Agnes; St Anne in the Willows,St Anne & St Agnes,St. Anne and St. Agnes,1535-08-14,,97 parishes within the walls,medieval,
St Ann Blackfriars,St Ann Blackfryers,,St Ann Blackfriars,St. Anne Blackfriars,1562,,97 parishes within the walls,medieval,"destroyed 1666, parish united with St Andrew by the Wardrobe but unit continued on bills"
St Antholin,St Antholins Parish,"St Anthony's; St Anthonine's; St Antholin, Budge Row; St. Aunteline in Budgeroe; St Antholin Watling Street",St Antholin Budge Row,St. Antholin,1535-08-14,,97 parishes within the walls,medieval,"destroyed 1666, rebuilt 1678-84; united with St John the Baptist upon Walbrook (not rebuilt)"
St Austin,St Austins Parish,St Augustine Watling Street; Augustine at Pauls Gate,St Augustine Old Change,"St. Augustine, Old Change",1537-08-12,,97 parishes within the walls,medieval,"destroyed 1666, rebuilt 1683-1695; united with St Faith's (previously worshipped in St Paul's Cathedral)"
St Bartholomew Exchange,St Bartholomew Exchange,Bartholomew at Aldarsgate,St Batholomew by the Exchange,St. Bartholomew by the Exchange,1562,,97 parishes within the walls,medieval,"destroyed 1666, rebuilt 1683"
St Benet Fink,St Bennet Fynck,St Benet by Cornhill; St Benedict,St Benet Fink,St. Benet Fink,1532-11-23,,97 parishes within the walls,medieval,"destroyed 1666, rebuilt 1670"
St Benet Gracechurch,St Bennet Gracechurch,St Bennet Grass Church,St Benet Gracechurch,St. Benet Gracechurch,1535-08-14,,97 parishes within the walls,medieval,"destroyed 1666, combined with St Leonard Eastcheap in 1670, rebuilt 1681-1686"
St Benet Paul's Wharf,St Bennet Paulswharf,,St Benet Paul's Wharf,St. Benet (Paul’s Wharf),1532-11-23,,97 parishes within the walls,medieval,"destroyed 1666, rebuilt 1683"
St Benet Sherehog,St Bennet Sherehog,,St Benet Sherehog,St. Benet Sherehog,1535-08-14,,97 parishes within the walls,medieval,"destroyed 1666, not rebuilt, parish united with St Stephen Walbrook but with own churchwardens, unit continued on bills"
St Botolph Billingsgate,St Botolph Billingsgate,St Botolph at Rethersgate; St Botolph on Thames,St Botolph by Billingsgate,St. Botolph (Billingsgate),1535-08-14,,97 parishes within the walls,medieval,"destroyed 1666, not rebuilt, parish united with St George Botolph Lane"
Christ Church,Christ Church,"Christ Church Grey Friars; Christ Church Newgate Street (MOEML says ""Southwark"" but this is wrong)",Christ Church Greyfriars,,1537-08-12,,97 parishes within the walls,medieval,"priory dissolved and reconstituted as city parish including former churches of St Nicholas Shambles and St Ewin, as well as part of St Sepulchres in 1547"
St Christopher,St Christophers,St Christopher at the Stockes,St Christopher le Stocks,St. Christopher le Stocks,1537-08-12,,97 parishes within the walls,medieval,
