Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Unique Identifier,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,Start Year,is_missing,is_illegible,End Day,is_missing,is_illegible,End Month,is_missing,is_illegible,End Year,is_missing,is_illegible,St Alban Woodstreet - Buried,is_missing,is_illegible,Alhallows Barking - Buried,is_missing,is_illegible,Alhallows Breadstreet - Buried,is_missing,is_illegible,Alhallows Great- Buried,is_missing,is_illegible,Alhallows Honylane - Buried,is_missing,is_illegible,Alhallows Lesse - Buried,is_missing,is_illegible,Alhallows Lumbardstreet - Buried,is_missing,is_illegible,Alhallows Stayning - Buried,is_missing,is_illegible,Alhallows the Wall - Buried,is_missing,is_illegible,St Alphage - Buried,is_missing,is_illegible,St Andrew Hubbard - Buried,is_missing,is_illegible,St Andrew Undershaft - Buried,is_missing,is_illegible,St Andrew Wardrobe - Buried,is_missing,is_illegible,St Ann Aldersgate - Buried,is_missing,is_illegible,St Ann Blackfryers - Buried,is_missing,is_illegible,St Antholins Parish - Buried,is_missing,is_illegible,St Austins Parish - Buried,is_missing,is_illegible,St Bartholomew Exchange - Buried,is_missing,is_illegible,St Bennet Fynck - Buried,is_missing,is_illegible,St Bennet Gracechurch - Buried,is_missing,is_illegible,St Bennet Paulswharf - Buried,is_missing,is_illegible,St Bennet Sherehog - Buried,is_missing,is_illegible,St Botolph Billingsgate - Buried,is_missing,is_illegible,Christ Church - Buried,is_missing,is_illegible,St Christophers - Buried,is_missing,is_illegible,St Clement Eastcheap - Buried,is_missing,is_illegible,St Dionis Backchurch - Buried,is_missing,is_illegible,St Dunstan East - Buried,is_missing,is_illegible,St Edmund Lumbardstr. - Buried,is_missing,is_illegible,St Ethelborough - Buried,is_missing,is_illegible,St Faith - Buried,is_missing,is_illegible,St Gabriel Fenchurch - Buried,is_missing,is_illegible,St George Botolphlane - Buried,is_missing,is_illegible,St Gregory by St Pauls - Buried,is_missing,is_illegible,St Hellen - Buried,is_missing,is_illegible,St James Dukes place - Buried,is_missing,is_illegible,St James Garlickhithe - Buried,is_missing,is_illegible,St John Baptist - Buried,is_missing,is_illegible,St John Evangelist - Buried,is_missing,is_illegible,St John Zachary - Buried,is_missing,is_illegible,St Katharine Coleman - Buried,is_missing,is_illegible,St Katharine Creechurch - Buried,is_missing,is_illegible,St Lawrence Jewry - Buried,is_missing,is_illegible,St Lawrence Pountney - Buried,is_missing,is_illegible,St Leonard Eastcheap - Buried,is_missing,is_illegible,St Leonard Fosterlane - Buried,is_missing,is_illegible,St Magnus Parish - Buried,is_missing,is_illegible,St Margaret Lothbury - Buried,is_missing,is_illegible,St Margaret Moses - Buried,is_missing,is_illegible,St Margaret Newfishstreet - Buried,is_missing,is_illegible,St Margaret Pattons - Buried,is_missing,is_illegible,St Martin Iremongerlane - Buried,is_missing,is_illegible,St Martin Ludgate - Buried,is_missing,is_illegible,St Martin Orgars - Buried,is_missing,is_illegible,St Martin Outwich - Buried,is_missing,is_illegible,St Martin Vintrey - Buried,is_missing,is_illegible,St Mary Abchurch - Buried,is_missing,is_illegible,St Mary Aldermanbury - Buried,is_missing,is_illegible,St Mary Aldermary - Buried,is_missing,is_illegible,St Mary le Bow - Buried,is_missing,is_illegible,St Mary Bothaw - Buried,is_missing,is_illegible,St Mary Colechurch - Buried,is_missing,is_illegible,St Mary Hill - Buried,is_missing,is_illegible,St Maudlin Milkstreet,is_missing,is_illegible,St Maudlin Oldfishstreet - Buried,is_missing,is_illegible,St Mary Mounthaw - Buried,is_missing,is_illegible,St Mary Sommerset - Buried,is_missing,is_illegible,St Mary Stayning - Buried,is_missing,is_illegible,St Mary Woolchurch - Buried,is_missing,is_illegible,St Mary Woolnoth - Buried,is_missing,is_illegible,St Matthew Fridaystreet - Buried,is_missing,is_illegible,St Michael Bassishaw - Buried,is_missing,is_illegible,St Michael Cornhil - Buried,is_missing,is_illegible,St Michael Crookedlane - Buried,is_missing,is_illegible,St Michael Queenhithe - Buried,is_missing,is_illegible,St Michael Quern - Buried,is_missing,is_illegible,St Michael Royal - Buried,is_missing,is_illegible,St Michael Woodstreet - Buried,is_missing,is_illegible,St Mildred Breadstreet - Buried,is_missing,is_illegible,St Mildred Poultrey - Buried,is_missing,is_illegible,St Nicholas Acons - Buried,is_missing,is_illegible,St Nicholas Coleabby - Buried,is_missing,is_illegible,St Nicholas Olaves - Buried,is_missing,is_illegible,St Olave Hartstreet - Buried,is_missing,is_illegible,St Olave Jewry - Buried,is_missing,is_illegible,St Olave Silverstreet - Buried,is_missing,is_illegible,St Pancras Pancras lane - Buried,is_missing,is_illegible,St Peter Cheap - Buried,is_missing,is_illegible,St Peter Cornhil - Buried,is_missing,is_illegible,St Peter Paulswharf - Buried,is_missing,is_illegible,St Peter Poor - Buried,is_missing,is_illegible,St Steven Colemanstreet - Buried,is_missing,is_illegible,St Steven Walbrook - Buried,is_missing,is_illegible,St Swithin - Buried,is_missing,is_illegible,St Thomas Apostles - Buried,is_missing,is_illegible,Trinity Parish - Buried,is_missing,is_illegible,St Foster - Buried,is_missing,is_illegible,Christened in the 97 Parishes within the Walls,is_missing,is_illegible,Buried in the 97 Parishes within the Walls,is_missing,is_illegible,Plague in the 97 Parishes within the Walls,is_missing,is_illegible,St Andrew Holborn - Buried,is_missing,is_illegible,St Bartholomew Great - Buried,is_missing,is_illegible,St Bartholomew Less - Buried,is_missing,is_illegible,St Botolph Aldersgate - Buried,is_missing,is_illegible,St Botolph Aldgate - Buried,is_missing,is_illegible,St Botolph Bishopsgate - Buried,is_missing,is_illegible,Bridewel Precinct - Buried,is_missing,is_illegible,St Bridget - Buried,is_missing,is_illegible,St Dunstan West - Buried,is_missing,is_illegible,St George Southwark - Buried,is_missing,is_illegible,St Giles Cripplegate - Buried,is_missing,is_illegible,St John Southwark - Buried,is_missing,is_illegible,St Olave Southwark - Buried,is_missing,is_illegible,Saviours Southwark - Buried,is_missing,is_illegible,S Sepulchres Parish - Buried,is_missing,is_illegible,St Thomas Southwark - Buried,is_missing,is_illegible,Trinity Minories - Buried,is_missing,is_illegible,Pesthouse Without the Walls - Buried,is_missing,is_illegible,Christened in the Parishes without the Walls,is_missing,is_illegible,Buried in the Parishes without the Walls,is_missing,is_illegible,Plague in the Parishes without the Walls,is_missing,is_illegible,St Ann in Middlesex - Buried,is_missing,is_illegible,Christ Church in Surry - Buried,is_missing,is_illegible,Christ Church in Middlesex - Buried,is_missing,is_illegible,Stepney Parish - Buried,is_missing,is_illegible,St George in Bloomsbury - Buried,is_missing,is_illegible,St George in Middlesex - Buried,is_missing,is_illegible,St George by Queen's Square - Buried,is_missing,is_illegible,St Giles in the Field - Buried,is_missing,is_illegible,St James Clerkenwel - Buried,is_missing,is_illegible,Hackney Parish - Buried,is_missing,is_illegible,St John at Wapping - Buried,is_missing,is_illegible,St Katharine Tower - Buried,is_missing,is_illegible,St Leonard Shoreditch - Buried,is_missing,is_illegible,St Luke in Middlesex - Buried,is_missing,is_illegible,St Mary Islington - Buried,is_missing,is_illegible,Lambeth Parish - Buried,is_missing,is_illegible,St Magdalen Bermondsey - Buried,is_missing,is_illegible,St Mary Newington - Buried,is_missing,is_illegible,Rothorith Parish - Buried,is_missing,is_illegible,St Mary Whitechappel - Buried,is_missing,is_illegible,St Matthew at Bethnal Green - Buried,is_missing,is_illegible,St Pauls Shadwel - Buried,is_missing,is_illegible,Christened in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Buried in the 13 out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Plague in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,St Ann in Westminster - Buried,is_missing,is_illegible,St Clement Danes - Buried,is_missing,is_illegible,St George by Hanover Square - Buried,is_missing,is_illegible,St James in Westminster - Buried,is_missing,is_illegible,St John the Evangelist - Buried,is_missing,is_illegible,St Margaret Westminster - Buried,is_missing,is_illegible,St Martin in the fields - Buried,is_missing,is_illegible,St Mary le Strand - Buried,is_missing,is_illegible,St Mary Savoy - Buried,is_missing,is_illegible,St Paul Covent Garden - Buried,is_missing,is_illegible,Christened in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible,Buried in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible,Plague in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible
1325,257,135,1,Laxton-1700-1701-GeneralBill,,,17,,,December,,,1700,,,16,,,December,,,1701,,,29,,,86,,,18,,,41,,,4,,,14,,,16,,,34,,,61,,,32,,,20,,,41,,,48,,,33,,,138,,,8,,,12,,,28,,1,28,,,16,,,39,,,2,,,14,,,117,,,16,,,12,,,27,,,76,,,28,,,34,,,42,,,7,,,13,,,81,,,38,,,11,,,49,,,27,,,5,,,27,,,63,,,70,,,53,,,15,,,12,,,43,,,42,,,24,,,3,,,,,,6,,,9,,,40,,,19,,,13,,,20,,,30,,,30,,,17,,,21,,,6,,,1,,,29,,,,,,29,,,5,,,44,,,17,,,,,,32,,,11,,,26,,,24,,,36,,,38,,,14,,,26,,,9,,,20,,,21,,,,,,13,,,14,,,40,,,13,,,27,,,5,,,11,,,25,,,18,,,24,,,109,,,25,,,18,,,24,,,12,,,32,,,1762,,,2691,,,0,,,904,,,70,,,33,,,198,,,527,,,507,,,9,,,302,,,175,,,347,,,1148,,,,1,,711,,,519,,,634,,,80,,,18,,,,,,4783,,,6182,,,0,,,,1,,106,,,,1,,1057,,1,,1,,,1,,,1,,1298,,,336,,,117,,,289,,,167,,,469,,,,1,,114,,,278,,,410,,,195,,,172,,,735,,,,1,,375,,,5440,,1,7118,,,0,,,446,,,434,,,,1,,1007,,,,1,,831,,,1424,,,,1,,126,,,212,,,3631,,,4480,,,0,,
1328,258,145,1,Laxton-1701-1702-GeneralBill,,,16,,,December,,,1701,,,15,,,December,,,1702,,,21,,,84,,,20,,,33,,,2,,,15,,,27,,,36,,,52,,,31,,,18,,,46,,,56,,,17,,,131,,,17,,,15,,,28,,,32,,,8,,,42,,,1,,,11,,,98,,,14,,,15,,,30,,,80,,,22,,,25,,,26,,,9,,,16,,,68,,,27,,,13,,,37,,,13,,,5,,,19,,,54,,,53,,,43,,,12,,,7,,,21,,,39,,,34,,,2,,,,,,15,,,12,,,35,,,20,,,13,,,39,,,31,,,21,,,30,,,32,,,4,,,,,,24,,,,,,46,,,3,,,35,,,19,,,,,,23,,,18,,,36,,,17,,,27,,,27,,,8,,,8,,,7,,,23,,,16,,,,,,23,,,9,,,41,,,11,,,19,,,5,,,14,,,30,,,16,,,18,,,121,,,18,,,25,,,11,,,11,,,26,,,1919,,,2512,,,0,,,899,,,54,,,23,,,179,,,483,,,492,,,25,,,291,,,169,,,375,,,1002,,,,1,,739,,,564,,,527,,,69,,,11,,,,,,4845,,,5902,,,0,,,,1,,121,,,,1,,1940,,,,1,,,1,,,1,,1310,,,309,,,100,,,292,,,162,,,427,,,,1,,105,,,271,,,382,,,204,,,147,,,731,,,,1,,420,,,5300,,,6921,,,0,,,401,,,432,,,,1,,928,,,,1,,736,,,1366,,,,1,,104,,,179,,,3623,,,4146,,,0,,
1329,259,146,1,Laxton-1702-1703-GeneralBill,,,15,,,December,,,1702,,,14,,,December,,,1703,,,26,,,93,,,13,,1,38,,,,,,11,,,16,,,38,,,70,,,31,,,10,,,45,,,48,,,31,,,118,,,12,,,20,,,17,,,12,,1,16,,,49,,,3,,,9,,,105,,,15,,,16,,,38,,,77,,,23,,,21,,,26,,,9,,,18,,,77,,,30,,,24,,,45,,,12,,,3,,,22,,,47,,,45,,,29,,,16,,,11,,,37,,,39,,,35,,,3,,,,,,14,,,6,,,36,,,24,,,8,,,34,,,28,,,33,,,30,,,25,,,3,,,2,,,32,,,,,,33,,,1,,1,14,,1,17,,,,,,30,,,15,,,34,,,21,,,24,,,36,,,11,,,30,,,7,,,14,,,14,,,1,,,10,,,6,,,39,,,13,,,21,,,7,,,14,,,39,,,14,,,23,,,120,,,25,,,24,,,9,,,24,,,15,,,1773,,,2550,,,0,,,981,,,70,,,31,,,186,,,530,,,553,,,10,,,268,,,159,,,366,,,1197,,,,1,,717,,,509,,,622,,,66,,,10,,1,,,,4781,,,6285,,,0,,,,1,,145,,,,1,,2150,,,,1,,,1,,,1,,1333,,,353,,,105,,,244,,,156,,,490,,,,1,,115,,,250,,,387,,,213,,,161,,,804,,,,1,,423,,,5392,,,7329,,,0,,,424,,,436,,,,1,,1060,,,,1,,919,,,1400,,,,1,,112,,,205,,,3502,,,4556,,,0,,
1332,260,156,1,Laxton-1703-1704-GeneralBill,,,14,,,December,,,1703,,,19,,,December,,,1704,,,27,,,69,,,24,,,50,,,4,,,16,,,22,,,31,,,70,,,36,,,10,,,39,,,47,,,33,,,137,,,15,,,16,,,24,,,21,,,13,,,52,,,2,,,4,,,115,,,10,,,13,,,41,,,69,,,27,,,26,,,43,,,12,,,15,,,73,,,36,,,21,,,45,,,19,,,4,,,15,,,69,,,52,,,48,,,21,,,7,,,33,,,45,,,34,,,1,,,,,,15,,,9,,,31,,,24,,,12,,,38,,,25,,,32,,,18,,,31,,,7,,,2,,,29,,,,,,40,,,13,,,35,,,16,,,,,,25,,,18,,,36,,,17,,,23,,,34,,,13,,,20,,,5,,,15,,,13,,,,,,28,,,11,,,40,,,13,,,22,,,8,,,11,,,27,,,19,,,33,,,144,,,21,,,23,,,16,,,26,,,38,,,1928,,,2732,,,0,,,1087,,,94,,,30,,,232,,,645,,,545,,,23,,,327,,,190,,,376,,,1160,,,,1,,747,,,594,,,658,,,61,,,26,,,,,,4868,,,6795,,,0,,,,1,,137,,,,1,,2406,,,,1,,,1,,,1,,1458,,,363,,,134,,,331,,,178,,,658,,,,1,,147,,,286,,,408,,,179,,,215,,1,853,,,,1,,498,,,5494,,,8251,,,0,,,505,,,455,,,,1,,1099,,,,1,,1023,,,1489,,,,1,,130,,,205,,,3605,,,4906,,,0,,
2291,261,155,1,Laxton-1704-1705-GeneralBill,,,19,,,December,,,1704,,,18,,,December,,,1705,,,32,,,84,,,15,,,49,,,6,,,17,,,18,,,42,,,61,,,27,,,8,,,38,,,64,,,39,,,117,,,9,,,13,,,21,,,34,,,14,,,46,,,1,,,13,,,106,,,19,,,17,,,22,,,66,,,29,,,27,,,40,,,8,,,13,,,72,,,30,,,36,,,29,,,19,,,3,,1,17,,,61,,,54,,,42,,,11,,,17,,,17,,,43,,,41,,,4,,,,,,19,,,12,,,39,,,11,,,9,,,25,,,26,,,37,,,20,,,23,,,6,,,,,,40,,,,,,33,,,7,,,38,,,16,,,1,,,25,,,8,,,35,,,18,,,29,,,49,,,16,,,10,,1,9,,,14,,,17,,,3,,,28,,,9,,,33,,,13,,1,28,,,4,,,13,,,36,,,12,,,36,,,122,,,20,,,23,,,30,,1,26,,,34,,,1850,,,2696,,,,1,,942,,,74,,,29,,,249,,,617,,,549,,,14,,,315,,,184,,,373,,,1189,,,,1,,799,,,625,,,631,,,76,,,26,,,,,,5013,,,6692,,,,1,,,1,,176,,,,1,,2267,,,,1,,,1,,,1,,1544,,,371,,,125,,,287,,,166,,,637,,,,1,,143,,,299,,,403,,,197,,,211,,,812,,,,1,,419,,,5891,,,8057,,,,1,,439,,,493,,,,1,,934,,,,1,,973,,,1489,,,,1,,120,,,204,,,3391,,,4652,,,,1,
2292,262,8060,1,Laxton-1705-1706-GeneralBill,,,18,,,December,,,1705,,,10,,,December,,,1706,,,20,,,78,,,12,,,27,,,2,,,15,,,14,,,29,,,57,,,25,,,11,,,53,,,41,,,28,,,124,,,15,,,15,,,28,,,12,,,11,,,32,,,2,,,9,,,92,,,9,,,15,,,19,,,68,,,23,,,25,,,32,,,13,,,15,,,48,,,24,,,17,,,29,,,14,,,2,,,6,,,59,,,53,,,21,,,19,,,9,,,22,,,44,,,27,,,1,,,,,,11,,,8,,,27,,,17,,,10,,,42,,,29,,,22,,,19,,,25,,,2,,,1,,,33,,,,,,28,,,4,,,39,,,9,,,,,,22,,,9,,,25,,,25,,,28,,,45,,,7,,,18,,,15,,,20,,,13,,,4,,,18,,,6,,,25,,,12,,,24,,,7,,,10,,,20,,,21,,,30,,,103,,,16,,,28,,,8,,,12,,,29,,,1796,,,2292,,,,1,,991,,,48,,,21,,,175,,,544,,,474,,,24,,,305,,,168,,,326,,,1099,,,,1,,665,,,545,,,590,,,90,,,19,,,,,,4806,,,6084,,,,1,,,1,,140,,,,1,,2069,,,,1,,,1,,,1,,1303,,,377,,,111,,,268,,,159,,,520,,,,1,,127,,,299,,,364,,,174,,,196,,,727,,,,1,,437,,,5444,,,7271,,,,1,,398,,,436,,,,1,,976,,,,1,,804,,,1294,,,,1,,141,,,151,,,3323,,,4200,,,,1,
2293,263,7691,1,Laxton-1706-1707-GeneralBill,,,10,,,December,,,1706,,,16,,,December,,,1707,,,25,,1,91,,,13,,,48,,,1,,,18,,,17,,,30,,,72,,,36,,,8,,,46,,,55,,,36,,,135,,,18,,,10,,,14,,,21,,,13,,,48,,,2,,,4,,,103,,,14,,,16,,,28,,,60,,,12,,,21,,,32,,,7,,,8,,,66,,,28,,,14,,,38,,,18,,,3,,,19,,,51,,,65,,,33,,,20,,,11,,,38,,,36,,,29,,,,,,,,,10,,,9,,,29,,,20,,,6,,,31,,,32,,,34,,,22,,,29,,,4,,,2,,,36,,,,,,23,,,7,,,34,,,11,,,,,,34,,,12,,,25,,,22,,,23,,,36,,,9,,,16,,,23,,,17,,,21,,,6,,,15,,,12,,,26,,,12,,,41,,,8,,,8,,,25,,,11,,,28,,,104,,,24,,,24,,,8,,,15,,,35,,,1879,,,2513,,,,1,,986,,,60,,,31,,,182,,,621,,,524,,,30,,,285,,,178,,,386,,,1307,,,,1,,730,,,599,,,658,,,139,,,25,,,,,,5071,,,6741,,,,1,,,1,,118,,,,1,,2127,,,,1,,,1,,,1,,1425,,,419,,,139,,,360,,,147,,,540,,,,1,,132,,,315,,,395,,,195,,,220,,,787,,,,1,,424,,,5703,,,7743,,,,1,,445,,,429,,,,1,,1030,,,,1,,890,,,1485,,,,,,132,,,192,,,3413,,,4603,,,,1,
2294,264,7694,1,Laxton-1707-1708-GeneralBill,,,16,,,December,,,1707,,,14,,,December,,,1708,,,28,,,91,,,14,,,42,,,6,,,10,,,10,,,16,,,61,,,32,,,12,,,52,,,57,,,37,,,134,,,11,,,18,,,21,,,22,,,9,,,60,,,,,,9,,,99,,,17,,,13,,,21,,,62,,,19,,,33,,,36,,,11,,,10,,,76,,,41,,,20,,,36,,,23,,,5,,,14,,,55,,,59,,,37,,,13,,,7,,,31,,,44,,,39,,,4,,,,,,15,,,17,,,34,,,15,,,10,,,40,,,21,,,31,,,28,,,26,,,4,,,1,,,32,,,,,,37,,,18,,,32,,,11,,,1,,,28,,,8,,,21,,,27,,,27,,,42,,,11,,,10,,,15,,,15,,,10,,,5,,,10,,,5,,,37,,,9,,,29,,,8,,,13,,,25,,,9,,,25,,,109,,,17,,,18,,,6,,,18,,,27,,,1897,,,2534,,,,1,,1017,,,74,,,34,,,196,,,569,,,496,,,29,,,344,,,206,,,448,,,1204,,,,1,,703,,,582,,,606,,,111,,,22,,,,,,4890,,,6641,,,,1,,,1,,150,,,,1,,2084,,,,1,,,1,,,1,,1370,,,412,,,125,,,310,,,152,,,543,,,,1,,294,,,114,,,463,,,212,,,201,,,647,,,,1,,413,,,5661,,,7490,,,,1,,444,,,485,,,,1,,1058,,,,1,,834,,,1487,,,,1,,124,,,194,,,3414,,,4626,,,,1,
2333,266,7706,1,Laxton-1708-1709-GeneralBill,,,14,,,December,,,1708,,,13,,,December,,,1709,,,38,,,104,,,12,,,49,,,3,,,22,,1,10,,1,29,,,38,,,46,,,9,,,42,,,66,,,45,,1,129,,,14,,,15,,,16,,,20,,,9,,,41,,,2,,,11,,,101,,,19,,,12,,1,28,,,70,,,26,,,16,,,27,,1,7,,1,10,,,55,,,32,,,21,,,39,,,22,,,10,,,21,,,56,,,53,,,49,,,18,,,9,,,24,,,33,,,26,,,1,,,,,,11,,,6,,,35,,,16,,,18,,1,37,,1,26,,,32,,,22,,,29,,,4,,,,,,35,,,,,,34,,,14,,,29,,,25,,,,,,32,,,17,,,29,,,16,,,29,,,40,,,13,,,17,,,14,,,11,,1,21,,,3,,,10,,,11,,,33,,,9,,,24,,,7,,,12,,,26,,,10,,,40,,,109,,,20,,,21,,,13,,,12,,,22,,,1852,,,2539,,,,1,,1103,,,55,,,38,,,222,,,616,,,522,,,20,,,379,,,210,,,452,,,1349,,,,1,,771,,,641,,,671,,,195,,,18,,,,,,4593,,,7262,,,,1,,,1,,148,,1,,1,,2100,,,,1,,,1,,,1,,1296,,,364,,,120,,,347,,,169,,,531,,,,1,,124,,,287,,,396,,,237,,,219,,,707,,,,1,,448,,,5288,,,7493,,,,1,,418,,,475,,,,1,,945,,,,1,,860,,,1456,,,,1,,157,,,195,,,3487,,,4506,,,,1,
2295,265,7695,1,Laxton-1709-1710-GeneralBill,,,13,,,December,,,1709,,,12,,,December,,,1710,,,32,,,105,,,13,,,63,,,3,,,33,,,17,,,38,,,63,,,50,,,16,,,40,,,73,,,38,,,126,,,17,,,19,,,21,,,27,,,14,,,63,,,,,,12,,,154,,,15,,,22,,,32,,,92,,,24,,,28,,,28,,,11,,,12,,,52,,,38,,,17,,,39,,,34,,,2,,,17,,,85,,,68,,,51,,,11,,,11,,,40,,,35,,,27,,,4,,,,,,19,,,12,,,33,,,16,,,10,,,54,,,33,,,29,,,26,,,32,,,9,,,2,,,25,,,,,,31,,,14,,,42,,,16,,,,,,31,,,15,,,32,,,29,,,28,,,45,,,10,,,19,,,13,,,12,,,16,,,5,,,18,,,9,,,40,,,5,,,38,,,6,,,2,,,42,,,20,,,29,,,100,,,18,,,23,,,31,,,20,,,26,,,1815,,,2927,,,,1,,1213,,,74,,,40,,,211,,,641,,,632,,,21,,,362,,,190,,,542,,,1637,,,,1,,811,,,729,,,698,,,162,,,16,,,,,,4751,,,7979,,,,1,,,1,,163,,,,1,,2473,,1,,1,,,1,,,1,,1653,,,482,,,142,,,289,,,200,,,675,,,,1,,111,,,301,,,447,,,186,,,174,,,777,,,,1,,470,,,5134,,,8543,,,,1,,458,,,528,,,,1,,1139,,,,1,,977,,,1684,,,,1,,156,,,229,,,3228,,,5171,,,,1,
