"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique ID","Start Day","Start Month","End Day","End month","St Alban Woodstreet - Buried","St Alban Woodstreet - Plague","Alhallows Barking - Buried","Alhallows Barking - Plague","Alhallows Breadstreet - Buried","Alhallows Breadstreet - Plague","Alhallows Great - Buried","Alhallows Great - Plague","Alhallows Honylane - Buried","Alhallows Honylane - Plague","Alhallows Lesse - Buried","Alhallows Lesse - Plague","Alhallows Lumbardstreet - Buried","Alhallows Lumbardstreet - Plague","Alhallows Stayning - Buried","Alhallows Stayning - Plague","Alhallows the Wall - Buried","Alhallows the Wall - Plague","St Alphage - Buried","St Alphage - Plague","St Andrew Hubbard - Buried","St Andrew Hubbard - Plague","St Andrew Undershaft - Buried","St Andrew Undershaft - Plague","St Andrew Wardrobe - Buried","St Andrew Wardrobe - Plague","St Ann Aldersgate - Buried","St Ann Aldersgate - Plague","St Ann Blackfryers - Buried","St Ann Blackfryers - Plague","St Antholins Parish - Buried","St Antholins Parish - Plague","St Austins Parish - Buried","St Austins Parish - Plague","St Bartholomew Exchange - Buried","St Bartholomew Exchange - Plague","St Bennet Fynck - Buried","St Bennet Fynck - Plague","St Bennet Gracechurch - Buried","St Bennet Gracechurch - Plague","St Bennet Paulswharf - Buried","St Bennet Paulswharf - Plague","St Bennet Sherehog - Buried","St Bennet Sherehog - Plague","St Botolph Billingsgate - Buried","St Botolph Billingsgate - Plague","Christ Church - Buried","Christ Church - Plague","St Christophers - Buried","St Christophers - Plague","St Clement Eastcheap - Buried","St Clement Eastcheap - Plague","St Dionis Backchurch - Buried","St Dionis Backchurch - Plague","St Dunstan East - Buried","St Dunstan East - Plague","St Edmund Lumbardstr. - Buried","St Edmund Lumbardstr. - Plague","St Ethelborough - Buried","St Ethelborough - Plague","St Faith - Buried","St Faith - Plague","St Gabriel Fenchurch - Buried","St Gabriel Fenchurch - Plague","St George Botolphlane - Buried","St George Botolphlane - Plague","St Gregory by St Pauls - Buried","St Gregory by St Pauls - Plague","St Hellen - Buried","St Hellen - Plague","St James Dukes place - Buried","St James Dukes place - Plague","St James Garlickhithe - Buried","St James Garlickhithe - Plague","St John Baptist - Buried","St John Baptist - Plague","St John Evangelist - Buried","St John Evangelist - Plague","St John Zachary - Buried","St John Zachary - Plague","St Katharine Coleman - Buried","St Katharine Coleman - Plague","St Katharine Creechurch - Buried","St Katharine Creechurch - Plague","St Lawrence Jewry - Buried","St Lawrence Jewry - Plague","St Lawrence Pountney - Buried","St Lawrence Pountney - Plague","St Leonard Eastcheap - Buried","St Leonard Eastcheap - Plague","St Leonard Fosterlane - Buried","St Leonard Fosterlane - Plague","St Magnus Parish - Buried","St Magnus Parish - Plague","St Margaret Lothbury - Buried","St Margaret Lothbury - Plague","St Margaret Moses - Buried","St Margaret Moses - Plague","St Margaret Newfishstreet - Buried","St Margaret Newfishstreet - Plague","St Margaret Pattons - Buried","St Margaret Pattons - Plague","St Martin Iremongerlane - Buried","St Martin Iremongerlane - Plague","St Martin Ludgate - Buried","St Martin Ludgate - Plague","St Martin Orgars - Buried","St Martin Orgars - Plague","St Martin Outwich - Buried","St Martin Outwich - Plague","St Martin Vintrey - Buried","St Martin Vintrey - Plague","St Mary Abchurch - Buried","St Mary Abchurch - Plague","St Mary Aldermanbury - Buried","St Mary Aldermanbury - Plague","St Mary Aldermary - Buried","St Mary Aldermary - Plague","St Mary le Bow - Buried","St Mary le Bow - Plague","St Mary Bothaw - Buried","St Mary Bothaw - Plague","St Mary Colechurch - Buried","St Mary Colechurch - Plague","St Mary Hill - Buried","St Mary Hill - Plague","St Maudlin Milkstreet - Buried","St Maudlin Milkstreet - Plague","St Maudlin Oldfishstreet - Buried","St Maudlin Oldfishstreet - Plague","St Mary Mounthaw - Buried","St Mary Mounthaw - Plague","St Mary Sommerset - Buried","St Mary Sommerset - Plague","St Mary Stayning - Buried","St Mary Stayning - Plague","St Mary Woolchurch - Buried","St Mary Woolchurch - Plague","St Mary Woolnoth - Buried","St Mary Woolnoth - Plague","St Matthew Fridaystreet - Buried","St Matthew Fridaystreet - Plague","St Michael Bassishaw - Buried","St Michael Bassishaw - Plague","St Michael Cornhil - Buried","St Michael Cornhil - Plague","St Michael Crookedlane - Buried","St Michael Crookedlane - Plague","St Michael Queenhithe - Buried","St Michael Queenhithe - Plague","St Michael Quern - Buried","St Michael Quern - Plague","St Michael Royal - Buried","St Michael Royal - Plague","St Michael Woodstreet - Buried","St Michael Woodstreet - Plague","St Mildred Breadstreet - Buried","St Mildred Breadstreet - Plague","St Mildred Poultrey - Buried","St Mildred Poultrey - Plague","St Nicholas Acons - Buried","St Nicholas Acons - Plague","St Nicholas Coleabby - Buried","St Nicholas Coleabby - Plague","St Nicholas Olaves - Buried","St Nicholas Olaves - Plague","St Olave Hartstreet - Buried","St Olave Hartstreet - Plague","St Olave Jewry - Buried","St Olave Jewry - Plague","St Olave Silverstreet - Buried","St Olave Silverstreet - Plague","St Pancras Soperlane - Buried","St Pancras Soperlane - Plague","St Peter Cheap - Buried","St Peter Cheap - Plague","St Peter Cornhil - Buried","St Peter Cornhil - Plague","St Peter Paulswharf - Buried","St Peter Paulswharf - Plague","St Peter Poor - Buried","St Peter Poor - Plague","St Steven Colemanstreet - Buried","St Steven Colemanstreet - Plague","St Steven Walbrook - Buried","St Steven Walbrook - Plague","St Swithin - Buried","St Swithin - Plague","St Thomas Apostles - Buried","St Thomas Apostles - Plague","Trinity Parish - Buried","Trinity Parish - Plague","St Foster - Buried","St Foster - Plague","Christened in the 97 Parishes within the Walls","Buried in the 97 Parishes within the Walls","Plague in the 97 Parishes within the Walls","St Andrew Holborn - Buried","St Andrew Holborn - Plague","St Bartholomew Great - Buried","St Bartholomew Great - Plague","St Bartholomew Less - Buried","St Bartholomew Less - Plague","St Bridget - Buried","St Bridget - Plague","Bridewel Precinct - Buried","Bridewel Precinct - Plague","St Botolph Aldersgate - Buried","St Botolph Aldersgate - Plague","St Botolph Aldgate - Buried","St Botolph Aldgate - Plague","St Botolph Bishopsgate - Buried","St Botolph Bishopsgate - Plague","St Dunstan West - Buried","St Dunstan West - Plague","St George Southwark - Buried","St George Southwark - Plague","St Giles Cripplegate - Buried","St Giles Cripplegate - Plague","St Olave Southwark - Buried","St Olave Southwark - Plague","Saviours Southwark - Buried","Saviours Southwark - Plague","S Sepulchres Parish - Buried","S Sepulchres Parish - Plague","St Thomas Southwark - Buried","St Thomas Southwark - Plague","Trinity Minories - Buried","Trinity Minories - Plague","Pesthouse Without the Walls - Buried","Pesthouse Without the Walls - Plague","Christened in the parishes without the Walls","Buried in the parishes without the Walls","Plague in the parishes without the Walls","Christ Church in Surry - Buried","Christ Church in Surry - Plague","Stepney Parish - Buried","Stepney Parish - Plague","St Giles in the Field - Buried","St Giles in the Field - Plague","St James Clerkenwel - Buried","St James Clerkenwel - Plague","Hackney Parish - Buried","Hackney Parish - Plague","St John at Wapping - Buried","St John at Wapping - Plague","St Katharine Tower - Buried","St Katharine Tower - Plague","Lambeth Parish - Buried","Lambeth Parish - Plague","St Leonard Shoreditch - Buried","St Leonard Shoreditch - Plague","St Mary Islington - Buried","St Mary Islington - Plague","St Magdalen Bermondsey - Buried","St Magdalen Bermondsey - Plague","St Mary Newington - Buried","St Mary Newington - Plague","St Mary Whitechappel - Buried","St Mary Whitechappel - Plague","St Pauls Shadwel - Buried","St Pauls Shadwel - Plague","Rothorith Parish - Buried","Rothorith Parish - Plague","Christened in the out-Parishes in Middlesex and Surrey","Buried in the out-Parishes in Middlesex and Surrey","Plague in the out-Parishes in Middlesex and Surrey","St Ann in Westminster - Buried","St Ann in Westminster - Plague","St Clement Danes - Buried","St Clement Danes - Plague","St James in Westminster - Buried","St James in Westminster - Plague","St Margaret Westminster - Buried","St Margaret Westminster - Plague","St Martin in the fields - Buried","St Martin in the fields - Plague","St Mary Savoy - Buried","St Mary Savoy - Plague","St Paul Covent Garden - Buried","St Paul Covent Garden - Plague","Pesthouse in Westminster - Buried","Pesthouse in Westminster - Plague","Christened in the Parishes and Liberties of Westminster","Buried in the Parishes and Liberties of Westminster","Plague in the Parishes and Liberties of Westminster"
32476,25051,4617,1,1695,1,BL-1695-01-recto,17,December,24,December,,,2,,,,3,,,,1,,,,3,,,,,,,,2,,,,,,2,,,,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,2,,,,2,,1,,,,,,,,2,,2,,,,,,,,,,2,,2,,,,,,1,,,,2,,,,,,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,22,44,0,23,,3,,,,4,,,,6,,16,,18,,3,,8,,35,,13,,15,,14,,2,,,,,,86,160,0,4,,35,,23,,5,,2,,4,,3,,7,,9,,4,,4,,2,,13,,5,,2,,96,122,0,5,,6,,22,,18,,35,,3,,3,,,,51,92,0
32477,25052,4618,1,1695,2,BL-1695-02-recto,24,December,31,December,1,,1,,1,,2,,,,2,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,2,,,,,,3,,4,,,,,,2,,1,,,,2,,2,,,,1,,1,,1,,1,,,,,,2,,,,,,2,,1,,1,,,,,,1,,,,2,,,,,,,,3,,3,,2,,,,,,1,,2,,,,1,,1,,1,,1,,,,1,,1,,2,,2,,,,2,,2,,1,,,,,,2,,,,1,1,,,,,,,2,,,,,,2,,,,,,3,,,,2,,,,,,,,40,77,0,32,,1,,,,3,,,,4,,13,,8,,8,,4,,26,,18,,9,,17,,2,,1,,,,96,146,0,4,,46,,25,,5,,,,6,,7,,,,7,,2,,9,,5,,13,,9,,,,95,138,0,8,,20,,18,,18,,34,,2,,3,,,,60,103,0
32478,25053,4620,1,1695,3,BL-1695-03-recto,31,December,7,January,1,,2,,,,,,,,1,,,,1,,1,,,,,,3,,1,,1,,3,,,,,,1,,,,,,3,,,,,,3,,,,,,3,,2,,,,2,,,,,,,,2,,,,,,3,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,,,,,2,,,,,,,,,,1,,,,2,,,,,,1,,,,2,,,,,,4,,1,,,,,,,,,,1,,,,,,2,,,,1,,,,,,1,,,,1,,1,,1,,,,,,,,1,,46,62,0,21,,1,,,,9,,,,8,,7,,9,,6,,5,,12,,8,,2,,21,,4,,,,,,108,113,0,1,,28,,22,,8,,,,8,,7,,6,,5,,4,,8,,3,,17,,9,,1,,106,127,,9,,15,,17,,18,,24,,5,,3,,,,78,91,0
32479,25054,4621,1,1695,4,BL-1695-04-recto,7,January,14,January,,,1,,,,,,,,,,,,1,,2,,1,,,,2,,1,,,,1,,2,,1,,2,,,,,,,,,,1,,6,,,,,,2,,3,,,,,,1,,,,,,2,,1,,2,,1,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,2,,1,,,,1,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,1,,5,,,,,,,,1,,,,47,58,0,24,,1,,1,,5,,1,,7,,9,,15,,3,,7,,17,,11,,7,,12,,2,,2,,,,85,124,0,1,,38,,19,,6,,3,,4,,5,,7,,10,,2,,8,,3,,10,,7,,4,,90,127,0,,,10,,17,,18,,20,,4,,3,,,,64,72,0
32480,25055,4623,1,1695,5,BL-1695-05-recto,14,January,21,January,,,,,,,1,,,,2,,,,,,2,,1,,,,,,,,1,,2,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,2,,,,,,1,,43,35,0,18,,,,,,10,,2,,5,,9,,2,,1,,11,,28,,12,,13,,7,,,,,,,,114,118,0,2,,36,,25,,9,,2,,9,,2,,4,,15,,2,,12,,5,,12,,7,,2,,88,144,0,17,,2,,15,,17,,22,,4,,4,,,,69,81,0
32481,25056,4624,1,1695,6,BL-1695-06-recto,21,January,28,January,1,,1,,,,2,,,,,,1,,,,,,1,,,,,,,,3,,,,,,,,,,1,,,,1,,,,,,4,,,,1,,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,2,,1,,1,,1,,2,,,,1,,,,,,1,,,,2,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,1,,2,,1,,1,,,,,,,,,,,,1,,,,,,1,,2,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,46,49,0,19,,1,,,,6,,,,5,,11,,14,,3,,7,,26,,11,,8,,18,,2,,,,,,91,131,0,1,,35,,14,,5,,2,,10,,2,,3,,8,,2,,6,,8,,17,,10,,4,,10,127,,14,,6,,18,,13,,14,,3,,3,,,,61,81,0
32482,25057,4663,1,1695,7,BL-1695-07-recto,28,January,4,February,2,,2,,1,,2,,,,1,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,1,,,,1,,1,,1,,1,,1,,,,1,,,,,,,,3,,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,2,,2,,,,,,,,2,,,,3,,,,,,2,,,,1,,1,,,,,,,,2,,,,1,,,,,,,,,,,,3,,1,,,,,,,,,,2,,1,,,,,,,,1,,1,,59,58,0,17,,,,1,,8,,,,3,,8,,14,,2,,4,,26,,13,,6,,13,,,,1,,,,97,116,0,2,,38,,27,,6,,3,,7,,,,4,,12,,,,7,,1,,13,,6,,3,,06,129,,9,,13,,19,,15,,24,,2,,4,,,,58,86,0
32483,25058,4665,1,1695,8,BL-1695-08-recto,4,February,13,February,1,,1,,1,,1,,,,2,,,,2,,2,,2,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,1,,,,1,,2,,2,,,,1,,,,,,,,3,,,,,,,,,,,,,,3,,1,,2,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,1,,1,,2,,,,2,,1,,1,,,,,,,,2,,,,1,,,,2,,3,,,,,,1,,,,,,,,2,,1,,,,1,,,,,,26,58,0,22,,2,,1,,6,,,,9,,10,,14,,6,,6,,36,,10,,3,,12,,3,,,,,,116,140,0,1,,34,,30,,3,,2,,1,,1,,3,,8,,5,,9,,2,,10,,7,,1,,113,117,,11,,7,,21,,13,,23,,3,,5,,,,67,83,0
32484,25059,4666,1,1695,9,BL-1695-09-recto,11,February,18,February,,,2,,,,3,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,1,,1,,,,,,2,,,,,,,,1,,1,,,,3,,,,,,4,,2,,,,2,,,,,,1,,,,1,,1,,,,,,2,,2,,1,,,,,,1,,1,,,,1,,,,,,1,,,,1,,3,,1,,,,3,,,,3,,,,1,,,,,,2,,3,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,1,,41,63,0,20,,1,,,,10,,,,2,,11,,7,,3,,4,,24,,11,,7,,11,,,,,,,,109,111,0,1,,34,,21,,4,,1,,5,,6,,4,,9,,3,,4,,1,,15,,5,,2,,89,115,,3,,15,,11,,14,,24,,5,,2,,,,53,74,0
32485,25060,4667,1,1695,10,BL-1695-10-recto,18,February,25,February,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,3,,,,,,1,,1,,,,,,,,,,,,1,,1,,,,1,,,,,,,,2,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,5,,,,1,,,,,,,,38,43,0,10,,1,,,,8,,1,,5,,14,,12,,,,8,,12,,12,,8,,15,,3,,2,,,,190,111,0,4,,33,,10,,4,,2,,3,,,,4,,7,,,,4,,3,,15,,6,,2,,101,97,0,13,,4,,16,,7,,21,,2,,3,,,,47,66,0
