"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,is_missing,is_illegible,"Week Number",is_missing,is_illegible,"Unique Identifier",is_missing,is_illegible,"Start Day",is_missing,is_illegible,"Start Month",is_missing,is_illegible,"End Day",is_missing,is_illegible,"End Month",is_missing,is_illegible,Aged,is_missing,is_illegible,Ague,is_missing,is_illegible,Apoplexy,is_missing,is_illegible,Asthma,is_missing,is_illegible,Bed-ridden,is_missing,is_illegible,Blasted,is_missing,is_illegible,Bleeding,is_missing,is_illegible,Bloody-flux,is_missing,is_illegible,Calenture,is_missing,is_illegible,Cancer,is_missing,is_illegible,Canker,is_missing,is_illegible,"Chicken Pox",is_missing,is_illegible,Child-Bed,is_missing,is_illegible,Chrisoms,is_missing,is_illegible,Cold,is_missing,is_illegible,Colick,is_missing,is_illegible,Consumption,is_missing,is_illegible,Convulsion,is_missing,is_illegible,Cough,is_missing,is_illegible,Cramp,is_missing,is_illegible,Diabetes,is_missing,is_illegible,Dropsie,is_missing,is_illegible,Falling-sickness,is_missing,is_illegible,Fever,is_missing,is_illegible,Fistula,is_missing,is_illegible,"Flox and Small-Pox",is_missing,is_illegible,"Flox and Small-Pox (Descriptive Text)",is_missing,is_illegible,Flux,is_missing,is_illegible,French-Pox,is_missing,is_illegible,Frets,is_missing,is_illegible,Gangreen,is_missing,is_illegible,Gout,is_missing,is_illegible,Gravel,is_missing,is_illegible,Grief,is_missing,is_illegible,"Griping in the Guts",is_missing,is_illegible,Headache,is_missing,is_illegible,Headmouldshot,is_missing,is_illegible,"Hooping Cough",is_missing,is_illegible,Hiccough,is_missing,is_illegible,Horshoehead,is_missing,is_illegible,Impostume,is_missing,is_illegible,Infants,is_missing,is_illegible,Inflammation,is_missing,is_illegible,Itch,is_missing,is_illegible,Jaundies,is_missing,is_illegible,Jaw-fallen,is_missing,is_illegible,"Kings Evil",is_missing,is_illegible,Leprosie,is_missing,is_illegible,Lethargy,is_missing,is_illegible,Liver-grown,is_missing,is_illegible,Looseness,is_missing,is_illegible,"Lunatick and Frenzy",is_missing,is_illegible,"Malignant Fever",is_missing,is_illegible,Meagrim,is_missing,is_illegible,Measles,is_missing,is_illegible,Miscarriage,is_missing,is_illegible,Mortification,is_missing,is_illegible,Mother,is_missing,is_illegible,"Noli me tangere",is_missing,is_illegible,Palsie,is_missing,is_illegible,Plague,is_missing,is_illegible,Planet,is_missing,is_illegible,Plurisie,is_missing,is_illegible,Purples,is_missing,is_illegible,Quinsie,is_missing,is_illegible,Rash,is_missing,is_illegible,Rheumatism,is_missing,is_illegible,Rickets,is_missing,is_illegible,"Rising of the Lights",is_missing,is_illegible,"Running of the Reins",is_missing,is_illegible,Rupture,is_missing,is_illegible,"Scald Head",is_missing,is_illegible,"Scarlet Fever",is_missing,is_illegible,Sciatica,is_missing,is_illegible,Scowring,is_missing,is_illegible,Scurvy,is_missing,is_illegible,Sores,is_missing,is_illegible,Shingles,is_missing,is_illegible,Spleen,is_missing,is_illegible,Spotted-Fever,is_missing,is_illegible,"St. Anthony's Fire",is_missing,is_illegible,Starved,is_missing,is_illegible,"Starved (Descriptive Text)",is_missing,is_illegible,Stone,is_missing,is_illegible,"Stopping of the Stomach",is_missing,is_illegible,Strangury,is_missing,is_illegible,Strongullion,is_missing,is_illegible,Suddenly,is_missing,is_illegible,Surfeit,is_missing,is_illegible,"Swelling in the Throat",is_missing,is_illegible,Swine-Pox,is_missing,is_illegible,Teeth,is_missing,is_illegible,Thrush,is_missing,is_illegible,Tissick,is_missing,is_illegible,Tympany,is_missing,is_illegible,"Twisting of the Guts",is_missing,is_illegible,Ulcer,is_missing,is_illegible,Vapours,is_missing,is_illegible,Vomiting,is_missing,is_illegible,"Water in the Head",is_missing,is_illegible,Wen,is_missing,is_illegible,Wind,is_missing,is_illegible,Wolf,is_missing,is_illegible,Worms,is_missing,is_illegible,Abortive,is_missing,is_illegible,Overlaid,is_missing,is_illegible,Still-born,is_missing,is_illegible,Drowned,is_missing,is_illegible,"Drowned (Descriptive Text)",is_missing,is_illegible,"Found Dead",is_missing,is_illegible,"Found Dead (Descriptive Text)",is_missing,is_illegible,Executed,is_missing,is_illegible,"Executed (Descriptive Text)",is_missing,is_illegible,Killed,is_missing,is_illegible,"Killed (Descriptive Text)",is_missing,is_illegible,Suicide,is_missing,is_illegible,"Suicide (Descriptive Text)",is_missing,is_illegible,Other,is_missing,is_illegible,"Other (Descriptive Text)",is_missing,is_illegible,"Christened (Male)",is_missing,is_illegible,"Christened (Female)",is_missing,is_illegible,"Christened (In All)",is_missing,is_illegible,"Buried (Male)",is_missing,is_illegible,"Buried (Female)",is_missing,is_illegible,"Buried (All)",is_missing,is_illegible,"Increase/Decrease in Burials",is_missing,is_illegible
712,14501,951,1,1701,,,14,,,Laxton-1701-14-verso,,,18,,,March,,,25,,,March,,,38,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,2,,,1,,,,1,,2,,,,1,,,1,,,1,,53,,,134,,,,1,,,1,,,1,,15,,,,1,,51,,,,1,,16,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,18,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,1,,,7,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,,,,1,,12,,,,1,,,1,,1,,,,1,,,1,,,1,,29,,,1,,,12,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,6,,,2,,,11,,,1,,,"Drowned accidentally in the River Lee, Buried at St John at Hackney",1,,,1,,,1,,2,,,,1,,2,,,"One with a Sword at St Andrew in Holnorn 1; Murdered at Christs Church in London 1",1,,,1,,,1,,1,,,"one by a Fall down a Pair of Stairs at St James in Westminster",,,165,,,145,,,310,,,205,,,230,,,435,,,10,,
713,14502,1076,1,1701,,,15,,,Laxton-1701-15-verso,,,25,,,March,,,1,,,April,,,32,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,1,,,,1,,1,,,70,,,133,,,,1,,,1,,,1,,16,,,,1,,58,,,,1,,13,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,15,,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,2,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,9,,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,12,,,,1,,,1,,1,,,4,,,,1,,,1,,30,,,1,,,7,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,7,,,2,,,"One accidentally at St. Dunstan in the East, and one at Saviour in Southwark. ",,,,1,,,1,,,1,,,1,,3,,,"One with a Sword at St Giles in the Fields 1; Murdered...One at St James at Clerkenwel 1; Murdered... one at Margaret at Westminster 1",,,,1,,,1,,2,,,"One by accidental Fall down Stairs in Blackfryars 1; One by a fall from a Coach at St James in Westminster 1",,,164,,,151,,,315,,,219,,,221,,,440,,,5,,
714,14503,1082,1,1701,,,16,,,Laxton-1701-16-verso,,,1,,,April,,,8,,,April,,,38,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,4,,,,1,,,1,,1,,,48,,,91,,,,1,,,1,,,1,,17,,,,1,,63,,,,1,,20,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,25,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,3,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,13,,,3,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,17,,,,1,,,1,,,1,,1,,,,1,,,1,,28,,,,1,,12,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,3,,,7,,,2,,,"One at St Mary at Rotherheth, and one in the River of Thames at St Paul at Shadwel. ",,,,1,,,1,,,1,,,1,,1,,," One by Sword at St Giles in the Fields. ",,,1,,,"Stab'd himself (being distracted) at St Andrew in Holborn 1.",,,1,,,"One by a Wheel of a Brewers Dray at St Margaret in Westminter. ",,,149,,,157,,,306,,,221,,,190,,,411,,,-29,,
715,14504,1086,1,1701,,,17,,,Laxton-1701-17-verso,,,8,,,April,,,15,,,April,,,34,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,6,,,,1,,,1,,,1,,44,,,95,,,,1,,,1,,,1,,13,,,,1,,54,,,,1,,21,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,31,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,6,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,2,,,,1,,,1,,,1,,,1,,8,,,,1,,,1,,3,,,1,,,,1,,,1,,28,,,1,,,10,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,3,,,2,,,6,,,2,,,"One by Misfortune in the River of Thames out of a Row Barge, Buried at St Alphage, and one at the Tower- Wharf, Buried at St. Ann within Alderfgate",,,,1,,,1,,1,,,,1,,1,,,"Murder'd at St Martin in the Fields.",,,1,,,"Hang'd himself (being Lunatick) at St Mary in Whitechappel. ",,,,1,,,1,,143,,,114,,,257,,,197,,,195,,,392,,,-19,,
716,14505,1088,1,1701,,,18,,,"Laxton-1701-18-verso ",,,15,,,April,,,22,,,April,,,24,,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,8,,,1,,,,1,,2,,,49,,,109,,,,1,,,1,,,1,,12,,,,1,,62,,,,1,,28,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,26,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,13,,,3,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,11,,,1,,,,1,,1,,,,1,,,1,,,1,,48,,,1,,,9,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,3,,,3,,,11,,,2,,,"One in Thomas at St Dustan at Stepney, and one drowned herself in the New River-Head, Buried at James Clerkenwel.",,,,1,,,1,,,1,,,1,,1,,,"KiIl'd by the Wheel of a Waggon at St Dustan at Stepney. ",,,1,,,"Hang'd himself (being lunatick) at St Ann in Westminter. ",,,1,,,"Sore Hand",,,149,,,152,,,301,,,223,,,227,,,450,,,58,,
717,14506,1101,1,1701,,,19,,,Laxton-1701-19-verso,,,22,,,April,,,29,,,April,,,35,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,,1,,,1,,3,,,44,,,111,,,,1,,,1,,,1,,15,,,,1,,61,,,,1,,25,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,26,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,9,,,4,,,,1,,2,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,11,,,,1,,,1,,2,,,,1,,,1,,,1,,39,,,,1,,8,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,7,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,1,,,"Hang'd himself (being Lunatick) at St James at Clerkenwel 1",,,4,,,"Kill'd by Falls from Horses 2. One a man on the Road; And one a Child at Hamstead, Buried at St Sepulchres; Shot himself accidentally with a Pistol at St Mary Aldermary 1; Sore leg 1",,,161,,,139,,,300,,,215,,,215,,,430,,,-20,,
718,14507,1078,1,1701,,,20,,,Laxton-1701-20-verso,,,29,,,April,,,6,,,May,,,29,,,,1,,3,,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,6,,,1,,,,1,,2,,,46,,,109,,,,1,,,1,,,1,,6,,,,1,,57,,,,1,,35,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,1,,,30,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,12,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,,1,,2,,,5,,,,1,,,1,,2,,,,1,,,1,,,1,,38,,,,1,,9,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,6,,,2,,,"One accidentally in a Ditch at St George in Southwark; And one in the River of Thames at St Dunstan at Stepney",,,,1,,,1,,,1,,,1,,2,,,"One by a Coach at St James in Westminster 1; Murder'd at St Peter Poor, Buried at the Swedes Church in Trinity Lane 1",,,2,,,"Cut his own Throat at St James in Westminster 1; Poyson'd herself (being Lunatik) at St Andrew in Holborn 1",,,3,,,"Burnt at St Laurence Jewry, Buried at St Bartholomew the Great 1; One by an accidental Fall from a Ladder at Alhallows Barkin 1; And one at St Margaret in Westminster 1",,,141,,,117,,,258,,,222,,,208,,,430,,,0,,
759,14508,1083,1,1701,,,21,,,Laxton-1701-21-verso,,,6,,,May,,,13,,,May,,,30,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,5,,,2,,,,1,,3,,,56,,,121,,,,1,,,1,,,1,,20,,,,1,,73,,,1,,,35,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,13,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,19,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,6,,,,1,,,1,,1,,,2,,,,1,,,1,,32,,,,1,,4,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,2,,,4,,,7,,,1,,,"Drowned in the Thames, Buried at St Peter in Cornhil",,,1,,,"Found dead an Infant at St Brides",,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,"Kill'd accidentally by a Fall down a Pair of Stairs at St John at Wapping",,,167,,,139,,,306,,,225,,,234,,,459,,,29,,
760,14509,1089,1,1701,,,22,,,Laxton-1701-22-verso,,,13,,,May,,,20,,,May,,,25,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,1,,,,1,,1,,,43,,,121,,,,1,,,1,,,1,,14,,,,1,,68,,,,1,,21,,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,16,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,2,,,,1,,1,,,,1,,2,,,15,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,2,,,10,,,,1,,,1,,2,,,2,,,,1,,,1,,24,,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,3,,,1,,,8,,,4,,,"Two accidentally: whereof one in a Tan-Fatt at St Olave in Southwark; and one an Infant in a Tub of Water at St Giles in the Fields; One in a Tub of Water at St Leonard in Shoreditch; and one at St Mary at Retherheth",,,1,,,"Found dead a Man in the Street at St Giles in the Fields 1",,,,1,,,1,,1,,,"Kill'd by a Dray at St John at Wapping 1",,,,1,,,1,,,1,,,1,,143,,,128,,,271,,,223,,,193,,,416,,,-43,,
761,14510,1092,1,1701,,,23,,,Laxton-1701-23-verso,,,20,,,May,,,27,,,May,,,30,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,3,,,1,,,,1,,3,,,47,,,118,,,,1,,,1,,,1,,10,,,,1,,72,,,1,,,22,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,21,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,13,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,5,,,1,,,,1,,2,,,1,,,,1,,,1,,20,,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,10,,,1,,,"Drowned accidentally in the Thames at St Mary at Retherheth 1",,,1,,,"Found murdered an Infant in the Street at St James in Westminster 1",,,2,,,,1,,,1,,,1,,2,,,"Distracted at St James at Clerkenwel 1; Poyson'd herself at St Leonard in Shoreditch 1",,,4,,,"Kill'd...accidentally...whereof one by a Fall down Stairs at St Andrew in Holborn 1; Kill'd...accidentally... and one by the Fall of a Ladder at St James in Westminster 1; One by a Fall from a Window at St Dunstan at Stepney 1; and one by the Kick of a Horse at St Martin in the Fields 1",,,157,,,152,,,309,,,207,,,197,,,404,,,-12,,
