"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,is_missing,is_illegible,"Week Number",is_missing,is_illegible,"Unique Identifier",is_missing,is_illegible,"Start Day",is_missing,is_illegible,"Start Month",is_missing,is_illegible,"End Day",is_missing,is_illegible,"End Month",is_missing,is_illegible,Abortive,is_missing,is_illegible,Aged,is_missing,is_illegible,Ague,is_missing,is_illegible,Apoplexy,is_missing,is_illegible,Asthma,is_missing,is_illegible,Bed-ridden,is_missing,is_illegible,Blasted,is_missing,is_illegible,Bleeding,is_missing,is_illegible,Bloody-flux,is_missing,is_illegible,Calenture,is_missing,is_illegible,Cancer,is_missing,is_illegible,Canker,is_missing,is_illegible,"Chicken Pox",is_missing,is_illegible,Child-Bed,is_missing,is_illegible,Chrisoms,is_missing,is_illegible,Cold,is_missing,is_illegible,Colick,is_missing,is_illegible,Consumption,is_missing,is_illegible,Convulsion,is_missing,is_illegible,Cough,is_missing,is_illegible,Cramp,is_missing,is_illegible,Diabetes,is_missing,is_illegible,Dropsie,is_missing,is_illegible,Drowned,is_missing,is_illegible,"Drowned (Descriptive Text)",is_missing,is_illegible,Executed,is_missing,is_illegible,"Executed (Descriptive Text)",is_missing,is_illegible,Falling-sickness,is_missing,is_illegible,Fever,is_missing,is_illegible,Fistula,is_missing,is_illegible,"Flox and Small-Pox",is_missing,is_illegible,"Flox and Small-Pox (Descriptive Text)",is_missing,is_illegible,Flux,is_missing,is_illegible,"Found dead",is_missing,is_illegible,"Found Dead (Descriptive Text)",is_missing,is_illegible,French-Pox,is_missing,is_illegible,Frets,is_missing,is_illegible,Gangreen,is_missing,is_illegible,Gout,is_missing,is_illegible,Gravel,is_missing,is_illegible,Grief,is_missing,is_illegible,"Griping in the Guts",is_missing,is_illegible,Headache,is_missing,is_illegible,Headmouldshot,is_missing,is_illegible,"Hooping Cough",is_missing,is_illegible,Hiccough,is_missing,is_illegible,Horshoehead,is_missing,is_illegible,Impostume,is_missing,is_illegible,Infants,is_missing,is_illegible,Inflammation,is_missing,is_illegible,Itch,is_missing,is_illegible,Jaundies,is_missing,is_illegible,Jaw-fallen,is_missing,is_illegible,"Kings Evil",is_missing,is_illegible,Leprosie,is_missing,is_illegible,Lethargy,is_missing,is_illegible,Liver-grown,is_missing,is_illegible,Looseness,is_missing,is_illegible,"Lunatick and Frenzy",is_missing,is_illegible,"Malignant Fever",is_missing,is_illegible,Meagrim,is_missing,is_illegible,Measles,is_missing,is_illegible,Miscarriage,is_missing,is_illegible,Mortification,is_missing,is_illegible,Mother,is_missing,is_illegible,"Noli me tangere",is_missing,is_illegible,Overlaid,is_missing,is_illegible,Palsie,is_missing,is_illegible,Plague,is_missing,is_illegible,Planet,is_missing,is_illegible,Plurisie,is_missing,is_illegible,Purples,is_missing,is_illegible,Quinsie,is_missing,is_illegible,Rash,is_missing,is_illegible,Rheumatism,is_missing,is_illegible,Rickets,is_missing,is_illegible,"Rising of the Lights",is_missing,is_illegible,"Running of the Reins",is_missing,is_illegible,Rupture,is_missing,is_illegible,"Scald Head",is_missing,is_illegible,"Scarlet Fever",is_missing,is_illegible,Sciatica,is_missing,is_illegible,Scowring,is_missing,is_illegible,Scurvy,is_missing,is_illegible,Sores,is_missing,is_illegible,Shingles,is_missing,is_illegible,Spleen,is_missing,is_illegible,Spotted-Fever,is_missing,is_illegible,"St. Anthony's Fire",is_missing,is_illegible,Starved,is_missing,is_illegible,"Starved (Description)",is_missing,is_illegible,Still-born,is_missing,is_illegible,Stone,is_missing,is_illegible,"Stopping of the Stomach",is_missing,is_illegible,Strangury,is_missing,is_illegible,Strongullion,is_missing,is_illegible,Suddenly,is_missing,is_illegible,Surfeit,is_missing,is_illegible,"Swelling in the Throat",is_missing,is_illegible,Swine-Pox,is_missing,is_illegible,Teeth,is_missing,is_illegible,Thrush,is_missing,is_illegible,Tissick,is_missing,is_illegible,Tympany,is_missing,is_illegible,"Twisting of the Guts",is_missing,is_illegible,Ulcer,is_missing,is_illegible,Vapours,is_missing,is_illegible,Vomiting,is_missing,is_illegible,"Water in the Head",is_missing,is_illegible,Wen,is_missing,is_illegible,Wind,is_missing,is_illegible,Wolf,is_missing,is_illegible,Worms,is_missing,is_illegible,Killed,is_missing,is_illegible,"Killed (Descriptive Text)",is_missing,is_illegible,Suicide,is_missing,is_illegible,"Suicide (Descriptive Text)",is_missing,is_illegible,Other,is_missing,is_illegible,"Other (Descriptive Text)",is_missing,is_illegible,"Christened (Male)",is_missing,is_illegible,"Christened (Female)",is_missing,is_illegible,"Christened (In All)",is_missing,is_illegible,"Buried (Male)",is_missing,is_illegible,"Buried (Female)",is_missing,is_illegible,"Buried (All)",is_missing,is_illegible,"Plague Deaths",is_missing,is_illegible,"Increase/Decrease in Burials",is_missing,is_illegible,"Increase/Decrease in Plague Deaths",is_missing,is_illegible,"Parishes Clear of the Plague",is_missing,is_illegible,"Parishes Infected (with Plague)",is_missing,is_illegible
37928,39009,8733,1,1662,,,1,,,QC-1662-01-verso,,,16,,,December,,,23,,,December,,,3,,,33,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,5,,,8,,,,1,,,1,,55,,,17,,,,1,,,1,,,1,,19,,,,1,,,1,,,1,,,1,,,1,,44,,,,1,,8,,,,1,,5,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,12,,,,1,,1,,,,1,,,1,,,1,,1,,,18,,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,9,,,5,,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,5,,,,1,,2,,,,1,,,1,,5,,,3,,,,1,,,1,,13,,,2,,,9,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,6,,,,1,,4,,,,1,,,1,,,1,,,1,,1,,,"Burnt (a Child) at St. Botolph Aldgate",,,98,,,95,,,193,,,158,,,149,,,307,,,0,,,-57,,,,1,,130,,,0,,
37929,39010,9341,1,1662,,,2,,,QC-1662-02-verso,,,,1,,,1,,23,,,December,,,3,,,29,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,4,,,87,,1,,1,,,1,,67,,,22,,,1,,,,1,,,1,,16,,,,1,,,1,,6,,,,1,,,1,,46,,,,1,,18,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,18,,,,1,,,1,,,1,,,1,,,1,,,1,,10,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,2,,,,1,,,1,,,1,,,1,,,1,,3,,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,9,,,,1,,3,,,,1,,,,,,1,,1,,,,1,,,1,,16,,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,1,,,"Distracted 1",,,,1,,,1,,98,,,87,,,185,,,159,,,154,,,313,,,0,,,6,,,,1,,130,,,0,,
37930,39011,9342,1,1662,,,3,,,QC-1662-03-verso,,,30,,,December,,,6,,,January,,,4,,,29,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,9,,,13,,,,1,,,1,,64,,,15,,,3,,,,1,,,1,,26,,,,1,,,1,,,1,,,1,,,1,,49,,,1,,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,10,,,,1,,,1,,,1,,,1,,,1,,,1,,8,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,7,,,,1,,2,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,10,,,1,,,2,,,,1,,,1,,2,,,2,,,,1,,,1,,15,,,2,,,9,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,2,,,"Drowned herself at Alhallows Barking; Hanged herself at St. Olaves Southwarke",,,9,,,"Burnt 8; seaven at St. Margaret Lothbury; and one at St. Giles Cripplegate",,,96,,,93,,,189,,,161,,,153,,,314,,,0,,,1,,,0,,,130,,,0,,
37931,39012,9343,1,1662,,,4,,,QC-1662-04-verso,,,6,,,January,,,13,,,January,,,2,,,23,,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,4,,,8,,,,1,,2,,,55,,,16,,,,1,,,1,,,1,,21,,,,1,,,1,,,1,,,1,,,1,,32,,,,1,,5,,,"flox 5; small-pox 0",,,3,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,11,,,,1,,1,,,,1,,,1,,,1,,2,,,8,,,,1,,,1,,2,,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,3,,,5,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,9,,,2,,,4,,,,1,,,1,,,1,,2,,,,1,,,1,,11,,,2,,,5,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,Mouldfallen,,,98,,,93,,,191,,,131,,,123,,,255,,,1,,,-59,,,1,,,129,,,1,,
37932,39013,9344,1,1662,,,5,,,QC-1662-05-verso,,,13,,,January,,,20,,,January,,,2,,,28,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,10,,,,1,,,1,,57,,,18,,,2,,,,1,,,1,,17,,,1,,,"Drowned at St. Katherin Tower 1",,,,1,,,1,,,1,,47,,,,1,,5,,,,1,,,1,,1,,,"Found dead in the street at St. Martin Iremongerlane",,,2,,,,1,,,1,,,1,,,1,,,1,,15,,,,1,,,1,,,1,,,1,,,1,,2,,,12,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,9,,,,1,,,1,,,1,,,1,,,1,,2,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,13,,,1,,,3,,,,1,,,1,,1,,,3,,,,1,,,1,,10,,,,1,,4,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,"Murdered at St. Martins in the fields 1",,,,1,,,1,,,1,,,1,,91,,,87,,,178,,,147,,,136,,,283,,,0,,,28,,,-1,,,130,,,0,,
37933,39014,9345,1,1662,,,6,,,QC-1662-06-verso,,,20,,,January,,,27,,,January,,,6,,,28,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,4,,,12,,,,1,,,1,,55,,,13,,,,1,,,1,,,1,,26,,,1,,,"Drowned at St. Katharine Tower 1",,,,1,,,1,,,1,,39,,,,1,,12,,,,1,,,1,,1,,,"Found dead in a honfe of office at St. Giles in the fields 1",,,4,,,,1,,,1,,,1,,,1,,,1,,11,,,,1,,1,,,,1,,,1,,,1,,1,,,17,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,10,,,5,,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,1,,,,1,,,1,,,1,,4,,,,1,,,1,,19,,,,1,,11,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,101,,,89,,,190,,,157,,,145,,,302,,,0,,,19,,,0,,,130,,,0,,
37934,39015,9349,1,1662,,,7,,,QC-1662-07-verso,,,27,,,January,,,3,,,February,,,2,,,34,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,2,,,9,,,,1,,1,,,63,,,13,,,1,,,,1,,,1,,25,,,,1,,,1,,,1,,,1,,,1,,34,,,2,,,8,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,12,,,,1,,,1,,,1,,,1,,,1,,4,,,9,,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,3,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,1,,,5,,,1,,,,1,,1,,,6,,,,1,,,1,,8,,,1,,,7,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,1,,,"Hanged himself (being distacted) at St. Saviours Southwark",,,2,,,"one by Horse at St. Paul Covent Garden;  one by a fall down stairs at Christ Church",,,97,,,89,,,186,,,142,,,139,,,281,,,0,,,-21,,,0,,,130,,,0,,
37935,39016,9350,1,1662,,,8,,,QC-1662-08-verso,,,3,,,February,,,10,,,February,,,4,,,34,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,5,,,16,,,,1,,,1,,66,,,32,,,1,,,,1,,,1,,21,,,,1,,,1,,,1,,,1,,,1,,37,,,,1,,4,,,,1,,1,,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,9,,,,1,,,1,,,1,,,1,,,1,,4,,,12,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,6,,,6,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,6,,,2,,,8,,,,1,,,1,,4,,,5,,,,1,,,1,,13,,,,1,,12,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,"Stifled in a Tub of water at St. Sepulchers",,,1,,,Distracted,,,1,,,"Broken Legge 1",,,93,,,88,,,181,,,171,,,157,,,328,,,0,,,47,,,0,,,130,,,0,,
37967,39017,9385,1,1662,,,9,,,QC-1662-09-verso,,,10,,,February,,,17,,,February,,,1,,,41,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,4,,,13,,,,1,,,1,,62,,,15,,,1,,,,1,,,1,,20,,,,1,,,1,,,1,,,1,,,1,,34,,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,18,,,,1,,,1,,,1,,,1,,,1,,1,,,19,,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,6,,1,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,4,,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,3,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,5,,,3,,,10,,,,1,,,1,,2,,,2,,,,1,,,1,,14,,,,1,,9,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,3,,,"Killed at St. Martins in the fields 1; Shot at St. Martin in the fields 1; Smothered at St. Edmond Lumbardstreet 1",,,,1,,,1,,1,,,"Mouldfallen 1",,,97,,,94,,,191,,,159,,,149,,,308,,,0,,,-20,,,0,,,130,,,0,,
37968,39018,9387,1,1662,,,10,,,QC-1662-10-verso,,,17,,,February,,,24,,,February,,,1,,,25,,,1,,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,21,,,,1,,,1,,48,,,22,,,1,,,,1,,,1,,19,,,,1,,,1,,,1,,,1,,,1,,32,,,,1,,9,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,1,,,,1,,,1,,15,,,,1,,1,,,,1,,,1,,,1,,1,,,19,,,,1,,,1,,4,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,6,,,2,,,,1,,1,,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,9,,,,1,,6,,,,1,,,1,,2,,,2,,,,1,,,1,,9,,,,1,,7,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,1,,,,1,,,1,,2,,,"Hanged himself at Alhollows the great 1; Distracted 1",,,,1,,,1,,97,,,90,,,187,,,151,,,139,,,290,,,0,,,-18,,,0,,,130,,,0,,
