Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Unique Identifier,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Christened (Male),is_missing,is_illegible,Christened (Female),is_missing,is_illegible,Christened (In All),is_missing,is_illegible,Buried (Male),is_missing,is_illegible,Buried (Female),is_missing,is_illegible,Buried (All),is_missing,is_illegible,Increase/Decrease in Burials,is_missing,is_illegible,Increase/Decrease in Plague,is_missing,is_illegible,Parishes Clear of the Plague,is_missing,is_illegible,Parishes Infected,is_missing,is_illegible
4287,39392,11956,1,1657,,,Millar-1656-1657-GeneralBill-Causes,,,Abortive and Stillborne,,,463,,,Aged,,,869,,,Ague and Feaver,,,997,,,Apoplexy and Suddenly,,,113,,,Blasted and Planet,,,5,,,Bleeding,,,5,,,"Bloudy Flux, Scowring, and Flux",,,362,,,Burnt and Scalded,,,7,,,Calenture,,,3,,,Cancer and Wolfe,,,24,,,Childbed,,,236,,,Chrisomes and Infants,,,1162,,,Cold and Cough,,,30,,,Collick and Wind,,,113,,,Consumption and Tissick,,,2757,,,Convulsion and Cramp,,,807,,,Cut of the Stone,,,3,,,Dropsie and Tympany,,,631,,,Drowned,,,63,,,Executed,,,20,,,Falling Sickness,,,1,,,Fistula and Gangrene,,,19,,,Flox and Small Pox,,,835,,,"Found dead in the Streets, &c.",,,9,,,French Pox,,,25,,,Gout,,,8,,,Griefe,,,10,,,Griping and Plague in the Guts,,,446,,,Hang'd and made away 'emselves,,,24,,,Head-ach and Head-mouldshot,,,4,,,Jaundies,,,46,,,Jawfalne,,,3,,,Impostume,,,80,,,Kill'd by Accidents,,,52,,,King's Evil,,,23,,,Leprosie,,,0,,,Lethargy,,,6,,,Livergrowne,,,38,,,Lunatick and Frenzy,,,13,,,Meagrome,,,7,,,Measles,,,15,,,Mother,,,0,,,Muthered,,,5,,,Overlaid and Starv'd at Nurse,,,44,,,Palsie,,,20,,,Plague,,,4,,,Plurisie,,,17,,,Quinsie,,,7,,,Rickets,,,317,,,Rising of the Lights,,,203,,,Rupture,,,19,,,Scurvy,,,71,,,"Sores, Ulcers, &c.",,,40,,,Spleen,,,2,,,Spotted Feaver and Purples,,,56,,,Starved,,,3,,,Stone and Strangury,,,73,,,Stopping of the Stomach,,,129,,,Surfet,,,137,,,Swine Pox,,,1,,,Teeth and Worms,,,878,,,Thrush,,,57,,,Vomiting,,,16,,,Wen,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3396,,,3289,,,6685,,,6578,,,5856,,,12434,,,-1487,,,,1,,,1,,,1,
4288,39393,11957,1,1658,,,Millar-1657-1658-GeneralBill-Causes,,,Abortive and Stillborne,,,467,,,Aged,,,1176,,,Ague and Fever,,,1800,,,Apoplexy and Suddenly,,,138,,,Blasted and Planet,,,5,,,Bleeding,,,4,,,"Bloudy Flux, Scowring, and Flux",,,233,,,Burnt and Scalded,,,4,,,Calenture,,,0,,,Cancer and Wolfe,,,35,,,Childbed,,,225,,,Chrisomes and Infants ,,,1144,,,Cold and Cough,,,31,,,Collick and Wind,,,179,,,Consumption and Tissick,,,3610,,,Convulsion and Cramp,,,841,,,Cut of the Stone,,,5,,,Dropsie and Tympany,,,931,,,Drowned,,,60,,,Executed,,,18,,,Falling Sickness,,,0,,,Fistula and Gangrene,,,27,,,Flox and Small Pox,,,409,,,"Found dead in the Streets, &c.",,,11,,,French Pox,,,53,,,Gout,,,13,,,Griefe,,,12,,,Griping and Plague in the Guts,,,313,,,Hang'd and made away 'emselves,,,18,,,Head-ach and Head-mouldshot,,,5,,,Jaundies,,,77,,,Jawfalne,,,1,,,Impostume,,,134,,,Kill'd by Accidents,,,47,,,King's Evil,,,28,,,Leprosie,,,1,,,Lethargy,,,2,,,Livergrowne,,,51,,,Lunatick and Frenzy,,,5,,,Meagrome,,,6,,,Measles,,,80,,,Mother,,,3,,,Murthered,,,7,,,Overlaid and Starv'd at Nurse,,,50,,,Palsie,,,22,,,Plague,,,14,,,Plurisie,,,16,,,Quinsie,,,10,,,Rickets,,,476,,,Rising of the Lights ,,,228,,,Rupture,,,18,,,Scurvy,,,82,,,"Sores, Ulcers, &c.",,,47,,,Spleen,,,5,,,Spotted Feaver and Purples,,,123,,,Starved,,,6,,,Stone and Strangury,,,69,,,Stopping of the Stomach,,,277,,,Surfet,,,218,,,Swine Pox,,,1,,,Teeth and Worms,,,1036,,,Thrush,,,66,,,Vomiting,,,19,,,Wen,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3157,,,3013,,,6170,,,7936,,,7057,,,14993,,,2559,,,,1,,,1,,,1,
4289,39394,11958,1,1659,,,Millar-1658-1659-GeneralBill-Causes,,,Abortive and Stillborn,,,421,,,Aged,,,909,,,Ague and Fever,,,2303,,,Apoplexy and Suddenly,,,91,,,Blasted and Planet,,,3,,,Bleeding and bloody Issue,,,7,,,"Bloody Flux, Scowring, and Flux",,,346,,,Burnt and Scalded,,,6,,,"Cancer, Gangrene and Fistula",,,63,,,"Canker, fore Mouth and Thrush",,,73,,,Childbed,,,226,,,Chrisomes and Infants,,,858,,,"Cold, Cough and Hiccough",,,33,,,Colick and Wind,,,116,,,Consumption and Tissick,,,2982,,,Convulsion,,,742,,,Cut of the Stone and Stone,,,46,,,Dropsy and Tympany,,,646,,,Drowned,,,57,,,Executed,,,7,,,Falling Sickness,,,4,,,Flox and Small Pox,,,1523,,,"Found dead in the Streets, Fields, &c.",,,2,,,French Pox,,,51,,,Gout,,,4,,,Grief,,,13,,,Griping in the Guts,,,253,,,Hanged and made away them-selves,,,11,,,Head ach and Headmouldshot,,,35,,,Jaundies,,,102,,,Imposthume,,,105,,,Killed by several Accidents,,,55,,,King's Evil,,,28,,,Lethargy,,,6,,,Livergrown,,,8,,,Lunatick and Frenzy,,,14,,,Megrims,,,5,,,Measles,,,6,,,Mother,,,1,,,Murthered,,,7,,,Overlaid and Starved at Nurse,,,46,,,Palsy,,,17,,,Plague,,,36,,,Plurisy,,,12,,,Quinsy and sore Throat,,,21,,,Rickets,,,441,,,Rising of the Lights,,,210,,,Rupture,,,12,,,Scurvy,,,82,,,Shot,,,7,,,Shingles,,,1,,,"Sores, Ulcers, broken and bruised Limbs",,,61,,,Spleen,,,7,,,Spotted Fever and Purples,,,368,,,Starved,,,7,,,Strangury,,,22,,,Stopping of the Stomach,,,186,,,Surfeit,,,202,,,Swine Pox,,,2,,,Teeth and Worms,,,839,,,Vomiting,,,8,,,Wen,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2909,,,2781,,,5690,,,7451,,,7305,,,14756,,,-237,,,22,,,,1,,,1,
4290,39395,11959,1,1660,,,Millar-1659-1660-GeneralBill-Causes,,,Abortive and Stillborn,,,544,,,Aged,,,1095,,,Ague and Fever,,,2148,,,Apoplexy and Suddenly,,,68,,,Blasted and Planet,,,8,,,Bleeding,,,2,,,"Bloody Flux, Scowring, and Flux",,,251,,,Burnt and Scalded,,,6,,,"Cancer, Gangrene, and Fistula",,,52,,,"Canker, sore Mouth and Thrush",,,68,,,Childbed,,,194,,,Chrisomes and Infants,,,1123,,,"Cold, Cough, and Hiccough",,,24,,,Colick and Wind,,,167,,,Consumption and Tissick,,,3414,,,Convulsion,,,1031,,,Cut of the Stone and Stone,,,48,,,Dropsy and Tympany,,,872,,,Drowned,,,48,,,Executed,,,18,,,Falling Sickness,,,5,,,Frighted,,,9,,,Flox and Small Pox,,,354,,,"Found dead in the Streets, Fields, &c.",,,6,,,French Pox,,,31,,,Gout,,,2,,,Grief,,,4,,,Griping in the Guts,,,402,,,Hanged and made away themselves,,,36,,,Head-ach and Headmouldshot,,,26,,,Jaundies,,,76,,,Imposthume,,,96,,,Killed by several Accidents,,,47,,,King's Evil,,,54,,,Lethargy,,,4,,,Leprosy,,,2,,,Livergrown,,,15,,,"Lunatick, Distracted and Frenzy",,,14,,,Megrims and Calenture,,,4,,,Measles,,,74,,,Mother,,,3,,,"Murdered, Slain and Shot",,,20,,,Overlaid and Starved,,,43,,,Palsy,,,21,,,Plague,,,14,,,Plurisy,,,10,,,Quinsy and sore Throat,,,14,,,Rickets,,,521,,,Rising of the Lights,,,249,,,Rupture,,,28,,,Scurvy,,,95,,,Shingles,,,1,,,"Sores, Ulcers, broken and bruised Limbs",,,48,,,Spleen,,,7,,,Spotted Fever and Purples,,,146,,,Sciatica,,,2,,,Strangury,,,30,,,Stopping of the Stomach,,,214,,,Surfeit,,,192,,,Tetter,,,1,,,Teeth and Worms,,,1008,,,Vomiting,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3724,,,3247,,,6971,,,7960,,,7158,,,15118,,,-2466,,,-22,,,,1,,,1,
4291,39396,11960,1,1661,,,Millar-1660-1661-GeneralBill-Causes,,,Abortive and Stillborn,,,511,,,Aged,,,1302,,,Ague and Fever,,,3490,,,Apoplexy and Suddenly,,,108,,,Bedrid,,,3,,,Bleeding,,,5,,,"Bloody Flux, Scowring, and Flux",,,314,,,Burnt and Scalded,,,4,,,"Cancer, Gangrene, and Fistula",,,69,,,"Canker, sore Mouth and Thrush",,,95,,,Childbed,,,224,,,Chrisomes and Infants,,,1400,,,"Cold, Cough, and Hiccough",,,14,,,Colick and Wind,,,186,,,Consumption and Tissick,,,3788,,,Convulsion,,,1198,,,Cut of the Stone and Stone,,,36,,,Dropsy and Tympany,,,967,,,Drowned,,,57,,,Executed,,,16,,,Frighted,,,2,,,Flox and Small Pox,,,1246,,,"Found dead in the Streets, Fields, &c.",,,8,,,French Pox,,,44,,,Gout and Sciatica,,,11,,,Grief,,,17,,,Griping in the Guts,,,1061,,,Hang’d and made away themselves,,,13,,,Headmouldshot and Mouldfallen,,,28,,,Jawfallen,,,2,,,Jaundies,,,141,,,Imposthume,,,160,,,Kill'd by several Accidents,,,26,,,King's Evil,,,48,,,Lethargy,,,11,,,Leprosy,,,1,,,Livergrown,,,19,,,"Lunatick, Distracted and Frenzy ",,,11,,,Megrims,,,3,,,Measles,,,188,,,Mother,,,4,,,"Murdered, Slain and Shot",,,52,,,Overlaid and Starved,,,37,,,Palsy,,,26,,,Plague,,,20,,,Planet,,,3,,,Plurisy,,,11,,,Poisoned,,,2,,,Quinsy and sore Throat,,,13,,,Rickets,,,413,,,Rising of the Lights,,,227,,,Rupture,,,18,,,Scurvy,,,85,,,"Sores, Ulcers, broken and bruised Limbs",,,61,,,Spleen,,,5,,,Spotted Fever and Purples,,,335,,,Strangury,,,23,,,Stopping of the Stomach,,,176,,,Surfeit,,,212,,,Swine Pox,,,6,,,Teeth and Worms,,,1195,,,Vomiting,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4748,,,4107,,,8855,,,10484,,,9287,,,19771,,,4653,,,6,,,,1,,,1,
4292,39397,11961,1,1662,,,Millar-1661-1662-GeneralBill-Causes,,,Abortive and Stillborn,,,523,,,Aged,,,1215,,,Ague and Fever,,,2601,,,Apoplexy and Suddenly,,,86,,,Bedrid,,,1,,,Bleeding,,,2,,,"Bloody Flux, Scowring, and Flux",,,203,,,Burnt and Scalded,,,4,,,"Cancer, Gangrene, and Fistula",,,54,,,"Canker, sore Mouth, and Thrush",,,71,,,Calenture,,,1,,,Childbed,,,175,,,Chrisomes and Infants,,,1315,,,Cold and Cough,,,29,,,Colick and Wind,,,142,,,Consumption and Tissick,,,3485,,,Convulsion,,,1053,,,Cut of the Stone and Stone,,,34,,,Dropsy and Tympany,,,990,,,Drowned,,,43,,,Executed,,,14,,,Flox and Small Pox,,,768,,,"Found dead in the Streets, Fields, &c.",,,12,,,French Pox,,,44,,,Frighted,,,1,,,Gout,,,8,,,Grief,,,6,,,Griping in the Guts,,,835,,,Hang'd and made away themselves,,,14,,,Headmouldshot and Mouldfallen,,,34,,,Jawfallen,,,2,,,Jaundies,,,76,,,Imposthume,,,113,,,Kill'd by several Accidents,,,46,,,King's Evil,,,49,,,Lethargy,,,9,,,Livergrown,,,25,,,"Lunatick, Distracted and Frenzy",,,12,,,Megrims and Head-ach,,,5,,,Measles,,,20,,,"Murdered, Slain and Shot",,,11,,,Overlaid and Starved,,,50,,,Palsy,,,27,,,Plague,,,12,,,Planet,,,3,,,Plurisy,,,14,,,Poisoned,,,1,,,Quinsy and sore Throat,,,14,,,Rickets,,,395,,,Rising of the Lights,,,197,,,Rupture,,,26,,,Scurvy,,,70,,,"Sores, Ulcers, broken and bruised Limbs",,,54,,,Spleen,,,9,,,Spotted Fever and Purples,,,148,,,Stifled and Smothered,,,3,,,Stopping of the Stomach,,,153,,,Strangury,,,16,,,Surfeit,,,186,,,Swine Pox,,,3,,,Teeth and Worms,,,1032,,,Vomiting,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216,,,4808,,,10019,,,8623,,,7931,,,16554,,,-3217,,,-8,,,,1,,,1,
4293,39398,11962,1,1663,,,Millar-1662-1663-GeneralBill-Causes,,,Abortive and Stillborn,,,550,,,Aged,,,1171,,,Ague and Fever,,,2107,,,Apoplexy and Suddenly,,,99,,,Bedrid,,,6,,,Bleeding,,,2,,,"Bloody Flux, Scowring, and Flux",,,192,,,Burnt and Scalded ,,,14,,,"Cancer, Gangrene, and Fistula",,,59,,,"Canker, Thrush, and Wolf",,,58,,,Childbed,,,206,,,Choaked,,,1,,,Chrisomes and Infants,,,1299,,,Colick and Wind,,,115,,,Consumption and Tissick,,,3260,,,Convulsion,,,1011,,,Cough,,,20,,,Cut of the Stone and Stone,,,58,,,Distracted,,,6,,,Dropsy and Tympany,,,934,,,Drowned,,,56,,,Executed,,,31,,,Flox and Small Pox,,,411,,,"Found dead in the Streets, Fields, &c. ",,,8,,,French Pox,,,72,,,Gout,,,9,,,Grief,,,5,,,Green Sickness,,,1,,,Griping in the Guts,,,866,,,Hanged and made away themselves,,,12,,,Headmouldshot and Mouldfallen ,,,25,,,Jaundies,,,55,,,Imposthume,,,109,,,Killed by several Accidents,,,44,,,King's Evil,,,42,,,Lethargy,,,9,,,Livergrown,,,23,,,Megrims and Head-ach,,,3,,,Measles,,,42,,,"Murdered , Slain and Shot",,,15,,,Overlaid and Starved,,,36,,,Palsy,,,30,,,Plague,,,9,,,Planet,,,3,,,Plurisy,,,18,,,Poisoned,,,3,,,Quinsy and sore Throat,,,8,,,Rickets,,,364,,,Rising of the Lights ,,,217,,,Rupture ,,,12,,,Scurvy,,,56,,,"Sores, Ulcers, broken and bruised Limbs",,,73,,,Spleen,,,3,,,Spotted Fever and Purples,,,128,,,Stifled and Smothered,,,3,,,Stopping of the Stomach,,,184,,,Strangury,,,15,,,Surfeit,,,191,,,Teeth ,,,904,,,Vertigo,,,1,,,Vomiting,,,17,,,Worms,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5411,,,4881,,,10292,,,8035,,,7321,,,15356,,,-1198,,,-3,,,,1,,,1,
4294,39399,11963,1,1664,,,Millar-1663-1664-GeneralBill-Causes,,,Abortive and Stillborn,,,523,,,Aged,,,1154,,,Ague and Fever,,,2258,,,Apoplexy and Suddenly,,,95,,,Bedrid,,,3,,,Blasted,,,1,,,Bleeding,,,4,,,"Bloody Flux, Scowring, and Flux",,,296,,,Burnt and Scalded,,,3,,,"Cancer, Gangrene, and Fistula",,,57,,,Canker and Thrush,,,63,,,Childbed,,,250,,,Choaked,,,1,,,Chrisomes and Infants,,,1491,,,Cold and Cough,,,27,,,Colick and Wind,,,120,,,Consumption and Tissick,,,3645,,,Convulsion,,,1181,,,Cut of the Stone and Stone,,,45,,,Distracted,,,6,,,Dropsy and Tympany,,,1079,,,Drowned,,,62,,,Executed,,,38,,,Falling Sickness,,,1,,,Flox and Small Pox,,,1233,,,"Found dead in the Streets, Fields, &c.",,,6,,,French Pox,,,80,,,Frighted,,,1,,,Gout and Sciatica,,,12,,,Grief,,,7,,,Griping in the Guts,,,1146,,,Hang'd and made away themselves,,,18,,,Headmouldshot and Mouldfallen,,,19,,,Jaundies,,,72,,,Jawfallen,,,1,,,Imposthume,,,111,,,Kill'd by several Accidents,,,48,,,King's Evil,,,47,,,Lethargy,,,10,,,Livergrown,,,23,,,Measles,,,311,,,"Meagrims, Head-ach and Vertigo",,,8,,,Murdered and Shot,,,9,,,Overlaid and Starved,,,50,,,Palsy,,,26,,,Plague,,,6,,,Plurisy,,,6,,,Poisoned,,,1,,,Quinsy,,,12,,,Rickets,,,482,,,Rising of the Lights,,,281,,,Rupture,,,21,,,Scurvy,,,54,,,"Sores, Ulcers, broken and bruised limbs",,,64,,,Spleen,,,9,,,Spotted Fever and Purples,,,116,,,Stopping of the Stomach,,,197,,,Strangury,,,9,,,Surfeit,,,244,,,Swine Pox,,,2,,,Teeth and Worms,,,1122,,,Vomiting,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6041,,,5681,,,11722,,,9369,,,8928,,,18297,,,2941,,,-3,,,,1,,,1,
4295,39400,11964,1,1665,,,Millar-1664-1665-GeneralBill-Causes,,,Abortive and Stillborn,,,617,,,Aged,,,1545,,,Ague and Fever,,,5257,,,Apoplexy and Suddenly,,,116,,,Bedrid,,,10,,,Blasted,,,5,,,Bleeding,,,16,,,"Bloody Flux, Scowring, and Flux",,,185,,,Burnt and Scalded,,,8,,,Calenture,,,3,,,"Cancer, Gangrene, and Fistula",,,56,,,Canker and Thrush,,,111,,,Childbed,,,625,,,Chrisomes and Infants,,,1258,,,Cold and Cough,,,68,,,Colick and Wind,,,134,,,Consumption and Tissick,,,4808,,,Convulsion and Mother,,,2036,,,Distracted,,,5,,,Dropsy and Tympany,,,1478,,,Drowned,,,50,,,Executed,,,21,,,Flox and Small Pox,,,655,,,"Found dead in the Streets, Fields, &c.",,,20,,,French Pox,,,86,,,Frighted,,,23,,,Gout and Sciatica,,,27,,,Grief,,,46,,,Griping in the Guts,,,1288,,,Hang'd and made away themselves,,,7,,,Headmouldshot and Mouldfallen,,,14,,,Jaundies,,,110,,,Imposthume,,,227,,,Kill'd by several Accidents,,,46,,,King's Evil,,,86,,,Leprosy,,,2,,,Lethargy,,,14,,,Livergrown,,,20,,,Megrims and Head-ach,,,12,,,Measles,,,7,,,Murdered and Shot,,,9,,,Overlaid and Starved,,,45,,,Palsy,,,30,,,Plague,,,68596,,,Planet,,,6,,,Plurisy,,,15,,,Poisoned,,,1,,,Quinsy,,,35,,,Rickets,,,557,,,Rising of the Lights,,,397,,,Rupture,,,34,,,Scurvy,,,105,,,Shingles and Swine Pox,,,2,,,"Sores, Ulcers, broken and bruised Limbs",,,82,,,Spleen,,,14,,,Spotted Fever and Purples,,,1929,,,Stopping of the Stomach,,,332,,,Stone and Strangury,,,98,,,Surfeit,,,1251,,,Teeth and Worms,,,2614,,,Vomiting,,,51,,,Wen,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5114,,,4853,,,9967,,,48569,,,48737,,,97306,,,79009,,,68590,,,,1,,,1,
4296,39401,11965,1,1666,,,Millar-1665-1666-GeneralBill-Causes,,,Abortive and Stillborn,,,477,,,Aged and Bedrid,,,611,,,Ague and Fever,,,741,,,Apoplexy and Suddenly,,,57,,,Bleeding,,,1,,,"Bloody Flux, Scowring, and Flux",,,82,,,Burnt and Scalded,,,11,,,Calenture,,,2,,,"Cancer, Gangrene and Fistula",,,48,,,Canker and Thrush,,,103,,,Childbed,,,253,,,Chrisomes and Infants,,,749,,,Cold and Cough,,,32,,,Colick and Wind,,,40,,,Consumption and Tissick,,,2592,,,Convulsion,,,825,,,Cut of the Stone and Stone,,,67,,,Distracted,,,1,,,Dropsy and Tympany,,,983,,,Drowned,,,68,,,Executed,,,10,,,Flox and Small Pox,,,38,,,"Found dead in the Streets, Fields, &c.",,,10,,,French Pox,,,49,,,Frighted,,,16,,,Gout and Sciatica,,,14,,,Grief,,,11,,,Griping in the Guts,,,676,,,Hanged and made away themselves,,,9,,,Headmouldshot,,,1,,,Jaundies,,,90,,,Imposthume,,,72,,,Killed by several Accidents,,,43,,,King's Evil,,,26,,,Leprosy and Itch,,,2,,,Lethargy,,,7,,,Livergrown,,,5,,,Lunatick and Frenzy,,,3,,,Megrims,,,1,,,Measles,,,3,,,Murdered and Shot,,,4,,,Overlaid and Starved,,,32,,,Palsy,,,31,,,Plague,,,1998,,,Pleurisy,,,15,,,Poisoned,,,1,,,Quinsy,,,20,,,Rickets,,,171,,,Rising of the Lights,,,173,,,Rupture,,,34,,,Scurvy,,,25,,,"Sores, Ulcers, broken and bruised Limbs",,,44,,,Spleen,,,5,,,Spotted Fever and Purples,,,141,,,Strangury,,,3,,,Stopping of the Stomach,,,107,,,Surfeit,,,345,,,Swine Pox,,,3,,,Teeth and Worms,,,715,,,Vomiting,,,18,,,Wen,,,1,,,Wounded at Sea,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4678,,,4319,,,8997,,,6847,,,6251,,,12738,,,-84568,,,-66598,,,26,,,104,,
