Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Week,is_missing,is_illegible,Unique ID,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,End Day,is_missing,is_illegible,End month,is_missing,is_illegible,St Alban Woodstreet - Buried,is_missing,is_illegible,Alhallows Barking - Buried,is_missing,is_illegible,Allhallows Breadstreet - Buried,is_missing,is_illegible,Allhallows Great - Buried,is_missing,is_illegible,Alhallows Honylane - Buried,is_missing,is_illegible,Alhallows Lesse - Buried,is_missing,is_illegible,Alhallows Lumbardstreet - Buried,is_missing,is_illegible,Alhallows Stayning - Buried,is_missing,is_illegible,Alhallows the Wall - Buried,is_missing,is_illegible,St Alphage - Buried,is_missing,is_illegible,St Andrew Hubbard - Buried,is_missing,is_illegible,St Andrew Undershaft - Buried,is_missing,is_illegible,St Andrew Wardrobe - Buried,is_missing,is_illegible,St Ann Aldersgate - Buried,is_missing,is_illegible,St Ann Blackfryers - Buried,is_missing,is_illegible,St Antholins Parish - Buried,is_missing,is_illegible,St Austins Parish - Buried,is_missing,is_illegible,St Bartholomew Exchange - Buried,is_missing,is_illegible,St Bennet Fynck - Buried,is_missing,is_illegible,St Bennet Gracechurch - Buried,is_missing,is_illegible,St Bennet Paulswharf - Buried,is_missing,is_illegible,St Bennet Sherehog - Buried,is_missing,is_illegible,St Botolph Billingsgate - Buried,is_missing,is_illegible,Christ Church - Buried,is_missing,is_illegible,St Christophers - Buried,is_missing,is_illegible,St Clement Eastcheap - Buried,is_missing,is_illegible,St Dionis Backchurch - Buried,is_missing,is_illegible,St Dunstan East - Buried,is_missing,is_illegible,St Edmund Lumbardstr. - Buried,is_missing,is_illegible,St Ethelborough - Buried,is_missing,is_illegible,St Faith - Buried,is_missing,is_illegible,St Gabriel Fenchurch - Buried,is_missing,is_illegible,St George Botolphlane - Buried,is_missing,is_illegible,St Gregory by St Pauls - Buried,is_missing,is_illegible,St Hellen - Buried,is_missing,is_illegible,St James Dukes place - Buried,is_missing,is_illegible,St James Garlickhithe - Buried,is_missing,is_illegible,St John Baptist - Buried,is_missing,is_illegible,St John Evangelist - Buried,is_missing,is_illegible,St John Zachary - Buried,is_missing,is_illegible,St Katharine Coleman - Buried,is_missing,is_illegible,St Katharine Creechurch - Buried,is_missing,is_illegible,St Lawrence Jewry - Buried,is_missing,is_illegible,St Lawrence Pountney - Buried,is_missing,is_illegible,St Leonard Eastcheap - Buried,is_missing,is_illegible,St Leonard Fosterlane - Buried,is_missing,is_illegible,St Magnus Parish - Buried,is_missing,is_illegible,St Margaret Lothbury - Buried,is_missing,is_illegible,St Margaret Moses - Buried,is_missing,is_illegible,St Margaret Newfishstreet - Buried,is_missing,is_illegible,St Margaret Pattons - Buried,is_missing,is_illegible,St Martin Iremongerlane - Buried,is_missing,is_illegible,St Martin Ludgate - Buried,is_missing,is_illegible,St Martin Orgars - Buried,is_missing,is_illegible,St Martin Outwich - Buried,is_missing,is_illegible,St Martin Vintrey - Buried,is_missing,is_illegible,St Mary Abchurch - Buried,is_missing,is_illegible,St Mary Aldermanbury - Buried,is_missing,is_illegible,St Mary Aldermary - Buried,is_missing,is_illegible,St Mary le Bow - Buried,is_missing,is_illegible,St Mary Bothaw - Buried,is_missing,is_illegible,St Mary Colechurch - Buried,is_missing,is_illegible,St Mary Hill - Buried,is_missing,is_illegible,St Maudlin Milkstreet - Buried,is_missing,is_illegible,St Maudlin Oldfishstreet - Buried,is_missing,is_illegible,St Mary Mounthaw - Buried,is_missing,is_illegible,St Mary Sommerset - Buried,is_missing,is_illegible,St Mary Stayning - Buried,is_missing,is_illegible,St Mary Woolchurch - Buried,is_missing,is_illegible,St Mary Woolnoth - Buried,is_missing,is_illegible,St Matthew Fridaystreet - Buried,is_missing,is_illegible,St Michael Bassishaw - Buried,is_missing,is_illegible,St Michael Cornhil - Buried,is_missing,is_illegible,St Michael Crookedlane - Buried,is_missing,is_illegible,St Michael Queenhithe - Buried,is_missing,is_illegible,St Michael Quern - Buried,is_missing,is_illegible,St Michael Royal - Buried,is_missing,is_illegible,St Michael Woodstreet - Buried,is_missing,is_illegible,St Mildred Breadstreet - Buried,is_missing,is_illegible,St Mildred Poultrey - Buried,is_missing,is_illegible,St Nicholas Acons - Buried,is_missing,is_illegible,St Nicholas Coleabby - Buried,is_missing,is_illegible,St Nicholas Olaves - Buried,is_missing,is_illegible,St Olave Hartstreet - Buried,is_missing,is_illegible,St Olave Jewry - Buried,is_missing,is_illegible,St Olave Silverstreet - Buried,is_missing,is_illegible,St Pancras Pancras street - Buried,is_missing,is_illegible,St Peter Cheap - Buried,is_missing,is_illegible,St Peter Cornhil - Buried,is_missing,is_illegible,St Peter Paulswharf - Buried,is_missing,is_illegible,St Peter Poor - Buried,is_missing,is_illegible,St Steven Colemanstreet - Buried,is_missing,is_illegible,St Steven Walbrook - Buried,is_missing,is_illegible,St Swithin- Buried,is_missing,is_illegible,St Thomas Apostles - Buried,is_missing,is_illegible,Trinity Parish - Buried,is_missing,is_illegible,St Foster - Buried,is_missing,is_illegible,Christened in the 97 parishes within the walls,is_missing,is_illegible,Buried in the 97 parishes within the walls,is_missing,is_illegible,Plague in the 97 parishes within the walls,is_missing,is_illegible,St Andrew Holborn - Buried,is_missing,is_illegible,St Bartholomew Great - Buried,is_missing,is_illegible,St Bartholomew Less - Buried,is_missing,is_illegible,St Botolph Aldersgate - Buried,is_missing,is_illegible,St Botolph Aldgate - Buried,is_missing,is_illegible,St Botolph Bishopsgate - Buried,is_missing,is_illegible,Bridewel Precinct - Buried,is_missing,is_illegible,St Bridget - Buried,is_missing,is_illegible,St Dunstan West - Buried,is_missing,is_illegible,St George Southwark - Buried,is_missing,is_illegible,St Giles Cripplegate - Buried,is_missing,is_illegible,St John Southwark,is_missing,is_illegible,St Olave Southwark - Buried,is_missing,is_illegible,Saviours Southwark - Buried,is_missing,is_illegible,S Sepulchres Parish - Buried,is_missing,is_illegible,St Thomas Southwark - Buried,is_missing,is_illegible,Trinity Minories - Buried,is_missing,is_illegible,Pesthouse Without the Walls - Buried,is_missing,is_illegible,Christened in the parishes without the walls,is_missing,is_illegible,Buried in the parishes without the walls,is_missing,is_illegible,Plague in the parishes without the walls,is_missing,is_illegible,St. Ann in Middlesex - Buried,is_missing,is_illegible,Christ Church in Surry - Buried,is_missing,is_illegible,Christ Church in Middlesex - Buried,is_missing,is_illegible,Stepney Parish - Buried,is_missing,is_illegible,St George in Bloomsbury - Buried,is_missing,is_illegible,St. George in Middlesex,is_missing,is_illegible,St. George by Queen's Square - Buried,is_missing,is_illegible,St Giles in the Field - Buried,is_missing,is_illegible,St James Clerkenwel - Buried,is_missing,is_illegible,Hackney Parish - Buried,is_missing,is_illegible,St John at Wapping - Buried,is_missing,is_illegible,St Katharine Tower - Buried,is_missing,is_illegible,St Leonard Shoreditch - Buried,is_missing,is_illegible,St. Luke in Middlesex - Buried,is_missing,is_illegible,St Mary Islington - Buried,is_missing,is_illegible,Lambeth Parish - Buried,is_missing,is_illegible,St Magdalen Bermondsey - Buried,is_missing,is_illegible,St Mary Newington - Buried,is_missing,is_illegible,Rothorith Parish - Buried,is_missing,is_illegible,St Mary Whitechappel - Buried,is_missing,is_illegible,St Matthew at Bethnal Green - Buried,is_missing,is_illegible,St Pauls Shadwel - Buried,is_missing,is_illegible,Christened in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Buried in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Plague in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,St Ann in Westminster - Buried,is_missing,is_illegible,St Clement Danes - Buried,is_missing,is_illegible,St George by Hanover Square - Buried,is_missing,is_illegible,St James in Westminster - Buried,is_missing,is_illegible,St. John the Evangelist - Buried,is_missing,is_illegible,St Margaret Westminster - Buried,is_missing,is_illegible,St Martin in the fields - Buried,is_missing,is_illegible,St Mary le Strand,is_missing,is_illegible,St Mary Savoy - Buried,is_missing,is_illegible,St Paul Covent Garden - Buried,is_missing,is_illegible,Pesthouse in Westminster,is_missing,is_illegible,Christened in the Parishes and Liberties of Westminster,is_missing,is_illegible,Buried in the Parishes and Liberties of Westminster,is_missing,is_illegible,Plague in the Parishes and Liberties of Westminster,is_missing,is_illegible
838,336,240,1,1701,,,8,,,Laxton-1701-08-recto,,,3,,,February,,,10,,,February,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,1,,,3,,,2,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,3,,,2,,,3,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,1,,,1,,,,,,,,,66,,,51,,,0,,,16,,,,,,,,,1,,,7,,,8,,,,,,9,,,3,,,6,,,15,,,,1,,12,,,9,,,10,,,1,,,,,,,1,,103,,,97,,,0,,,,1,,4,,,,1,,32,,,,1,,,1,,,1,,29,,,4,,,2,,,4,,,3,,,10,,,,1,,,,,6,,,2,,,2,,,4,,,14,,,,1,,,,1,108,,,127,,,0,,,7,,,4,,,,1,,14,,,,1,,14,,,25,,,,1,,3,,,8,,,,1,,61,,,75,,,0,,
879,337,241,1,1701,,,9,,,Laxton-1701-09-recto,,,10,,,February,,,17,,,February,,,,,,3,,,1,,,2,,,,,,1,,,,,,,,,1,,,2,,,,,,1,,,,,,,,,3,,,,,,,,,,,,1,,,1,,,,,,,,,,,,2,,,1,,,,,,1,,,1,,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,1,,,2,,,,,,,,,,,,2,,,1,,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,1,,,1,,,26,,,49,,,0,,,20,,,,,,,,,2,,,6,,,3,,,2,,,8,,,5,,,6,,,18,,,,1,,14,,,6,,,10,,,,,,,,,,1,,105,,,100,,,0,,,,1,,,,,,1,,30,,,,1,,,1,,,1,,21,,,17,,,2,,,6,,,3,,,3,,,,1,,3,,,11,,,12,,,7,,,,,,13,,,,1,,8,,,103,,,136,,,0,,,6,,,9,,,,1,,21,,,,1,,19,,,25,,,,1,,4,,,5,,,,1,,74,,,89,,,0,,
880,338,242,1,1701,,,10,,,Laxton-1701-10-recto,,,17,,,February,,,24,,,February,,,1,,,2,,,1,,,2,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,2,,,1,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,2,,,1,,,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,,,,,,29,,,45,,,0,,,14,,,2,,,,,,4,,,14,,,11,,,2,,,2,,,2,,,13,,,16,,,,1,,17,,,14,,,13,,,2,,,,,,,1,,106,,,126,,,0,,,,1,,2,,,,1,,36,,,,1,,,1,,,1,,19,,,4,,,3,,,6,,,7,,,9,,,,1,,1,,,4,,,7,,,1,,,,,,14,,,,1,,9,,,105,,,122,,,0,,,2,,,7,,,,1,,13,,,,1,,13,,,23,,,,1,,1,,,3,,,,1,,99,,,62,,,0,,
881,339,243,1,1701,,,11,,,Laxton-1701-11-recto,,,24,,,February,,,3,,,March,,,,,,1,,,,,,1,,,,,,1,,,,,,2,,,2,,,1,,,,,,1,,,2,,,,,,4,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,2,,,,,,,,,2,,,,,,2,,,,,,,,,1,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,44,,,58,,,0,,,19,,,,,,1,,,5,,,12,,,9,,,,,,7,,,3,,,5,,,16,,,,1,,18,,,14,,,9,,,1,,,,,,,1,,112,,,119,,,0,,,,1,,3,,,,1,,51,,,,1,,,1,,,1,,30,,,6,,,2,,,5,,,4,,,9,,,,1,,,,,4,,,2,,,4,,,11,,,16,,,,1,,14,,,102,,,161,,,0,,,10,,,11,,,,1,,19,,,,1,,10,,,30,,,,1,,6,,,6,,,,1,,70,,,92,,,0,,
882,340,244,1,1701,,,12,,,Laxton-1701-12-recto,,,3,,,March,,,10,,,March,,,2,,,2,,,1,,,2,,,,,,,,,1,,,,,,2,,,1,,,,,,,,,1,,,1,,,7,,,,,,,,,2,,,1,,,2,,,1,,,,,,,,,3,,,,,,1,,,,,,2,,,,,,,,,1,,,,,,1,,,2,,,1,,,,,,1,,,,,,,,,,,,1,,,2,,,2,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,1,,,2,,,,,,,,,1,,,2,,,,,,2,,,2,,,,,,,,,1,,,1,,,,,,42,,,70,,,0,,,20,,,1,,,,,,5,,,12,,,15,,,1,,,7,,,3,,,9,,,18,,,,1,,13,,,9,,,10,,1,3,,,,,,,1,,103,,,126,,1,0,,,,1,,2,,,,1,,49,,,,1,,,1,,,1,,33,,,8,,,2,,,1,,,6,,,6,,,,1,,1,,,4,,,2,,,4,,,2,,1,15,,,,1,,7,,,140,,,142,,,0,,,8,,,7,,,,1,,20,,,,1,,19,,,41,,,,1,,1,,,1,,,,1,,67,,,97,,,0,,
883,341,245,1,1701,,,13,,,Laxton-1701-13-recto,,,10,,,March,,,17,,,March,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,2,,,1,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,,,,,,,,3,,,2,,,,,,,,,3,,,1,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,46,,,50,,,0,,,18,,,1,,,,,,2,,,5,,,9,,,,,,9,,,9,,,11,,,12,,,,1,,11,,,14,,,6,,,2,,,1,,,,1,,115,,,110,,,0,,,,1,,3,,,,1,,46,,,,1,,,1,,,1,,32,,,6,,,,,,4,,,3,,,7,,,,1,,2,,,6,,,7,,,1,,,2,,,12,,,,1,,6,,,112,,,137,,,0,,,7,,,,,1,,1,,18,,,,1,,15,,,31,,,,1,,3,,,3,,,,1,,62,,,90,,,0,,
712,290,229,1,1701,,,14,,,Laxton-1701-14-recto,,,18,,,March,,,25,,,March,,,1,,,3,,,1,,,3,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,4,,,1,,,,,,,,,2,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,,,,1,,,1,,,3,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,40,,,0,,,20,,,,,,1,,,6,,,10,,,9,,,,,,6,,,6,,,10,,,26,,,,1,,18,,,11,,,13,,,4,,,1,,,,1,,97,,,141,,,0,,,,1,,1,,,,1,,43,,,,1,,,1,,,1,,23,,,9,,,6,,,6,,,3,,,4,,,,1,,3,,,6,,,15,,,6,,,,,,16,,,,1,,11,,,112,,,152,,,0,,,11,,,14,,,,1,,18,,,,1,,14,,,38,,,,1,,3,,,4,,,,1,,78,,,102,,,0,,
884,342,249,1,1701,,,14,,,Laxton-1701-14-recto,,,17,,,March,,,24,,,March,,,,,,2,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,1,,,,,,2,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,2,,,1,,,,,,,,,1,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,2,,,34,,,47,,,0,,,24,,,,,,,,,2,,,12,,,7,,,,,,12,,,4,,,5,,,25,,,,1,,18,,,12,,,5,,,1,,,2,,,,1,,104,,,129,,,0,,,,1,,3,,,,1,,33,,,,1,,,1,,,1,,26,,,3,,,4,,,5,,,2,,,7,,,,1,,1,,,,,1,8,,,4,,,,,,16,,,,1,,14,,,122,,,126,,,0,,,10,,,12,,,,1,,13,,,,1,,19,,,22,,,,1,,2,,,6,,,,1,,67,,,84,,,0,,
713,291,234,1,1701,,,15,,,Laxton-1701-15-recto,,,25,,,March,,,1,,,April,,,2,,,4,,,,,,,,,,,,,,,,,,,,,2,,,1,,,1,,,1,,,,,,,,,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,1,,,3,,,,,,1,,,2,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,2,,,1,,,2,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,1,,,38,,,59,,,0,,,24,,,,,,1,,,5,,,11,,,17,,,,,,,,,,,,9,,,30,,,,1,,12,,,10,,,15,,,3,,,,,,,1,,96,,,137,,,0,,,,1,,4,,,,1,,47,,,,1,,,1,,,1,,25,,,6,,,,,,5,,,3,,,10,,,,1,,,,,4,,,8,,,3,,,5,,,15,,,,1,,7,,,117,,,142,,,0,,,8,,,12,,,,1,,24,,,,1,,23,,,19,,,,1,,2,,,4,,,,1,,64,,,102,,,0,,
714,292,236,1,1701,,,16,,,Laxton-1701-16-recto,,,1,,,April,,,8,,,April,,,,,,,,,,,,2,,,1,,,,,,,,,1,,,1,,,2,,,,,,1,,,6,,,,,,3,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,1,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,35,,,45,,,0,,,17,,,1,,,1,,,5,,,7,,,10,,,1,,,13,,,8,,,7,,,14,,,,1,,17,,,12,,,11,,,2,,,,,,,1,,95,,,126,,,0,,,,1,,4,,,,1,,43,,,,1,,,1,,,1,,23,,,15,,,2,,,9,,,2,,,7,,,,1,,5,,,,,,8,,1,11,,,6,,,9,,,,1,,9,,,115,,,153,,,0,,,8,,,9,,,,1,,19,,,,1,,14,,,26,,,,1,,2,,,9,,,,1,,57,,,87,,,0,,
