"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position","Unique Identifier",is_missing,is_illegible,"Start day",is_missing,is_illegible,"Start month",is_missing,is_illegible,"Start year",is_missing,is_illegible,"End day",is_missing,is_illegible,"End month",is_missing,is_illegible,"End year",is_missing,is_illegible,"St Alban Woodstreet",is_missing,is_illegible,"Alhallows Barking",is_missing,is_illegible,"Alhallows Breadstreet",is_missing,is_illegible,"Alhallows Great",is_missing,is_illegible,"Alhallows Honylane",is_missing,is_illegible,"Alhallows Lesse",is_missing,is_illegible,"Alhallows Lumbardstreet",is_missing,is_illegible,"Alhallows Stayning",is_missing,is_illegible,"Alhallows the Wall",is_missing,is_illegible,"St Alphage",is_missing,is_illegible,"St Andrew Hubbard",is_missing,is_illegible,"St Andrew Undershaft",is_missing,is_illegible,"St Andrew Wardrobe",is_missing,is_illegible,"St Ann Aldersgate",is_missing,is_illegible,"St Ann Blackfryers",is_missing,is_illegible,"St Antholins Parish",is_missing,is_illegible,"St Austins Parish",is_missing,is_illegible,"St Bartholomew Exchange",is_missing,is_illegible,"St Bennet Fynck",is_missing,is_illegible,"St Bennet Gracechurch",is_missing,is_illegible,"St Bennet Paulswharf",is_missing,is_illegible,"St Bennet Sherehog",is_missing,is_illegible,"St Botolph Billingsgate",is_missing,is_illegible,"Christ Church",is_missing,is_illegible,"St Christophers",is_missing,is_illegible,"St Clement Eastcheap",is_missing,is_illegible,"St Dionis Backchurch",is_missing,is_illegible,"St Dunstan East",is_missing,is_illegible,"St Edmund Lumbardstr.",is_missing,is_illegible,"St Ethelborough",is_missing,is_illegible,"St Faith",is_missing,is_illegible,"St Foster",is_missing,is_illegible,"St Gabriel Fenchurch",is_missing,is_illegible,"St George Botolphlane",is_missing,is_illegible,"St Gregory by St Pauls",is_missing,is_illegible,"St Hellen",is_missing,is_illegible,"St James Dukes place",is_missing,is_illegible,"St James Garlickhithe",is_missing,is_illegible,"St John Baptist",is_missing,is_illegible,"St John Evangelist",is_missing,is_illegible,"St John Zachary",is_missing,is_illegible,"St Katharine Coleman",is_missing,is_illegible,"St Katharine Creechurch",is_missing,is_illegible,"St Lawrence Jewry",is_missing,is_illegible,"St Lawrence Pountney",is_missing,is_illegible,"St Leonard Eastcheap",is_missing,is_illegible,"St Leonard Fosterlane",is_missing,is_illegible,"St Magnus Parish",is_missing,is_illegible,"St Margaret Lothbury",is_missing,is_illegible,"St Margaret Moses",is_missing,is_illegible,"St Margaret Newfishstreet",is_missing,is_illegible,"St Margaret Pattons",is_missing,is_illegible,"St Mary Abchurch",is_missing,is_illegible,"St Mary Aldermanbury",is_missing,is_illegible,"St Mary Aldermary",is_missing,is_illegible,"St Mary le Bow",is_missing,is_illegible,"St Mary Bothaw",is_missing,is_illegible,"St Mary Colechurch",is_missing,is_illegible,"St Mary Hill",is_missing,is_illegible,"St Mary Mounthaw",is_missing,is_illegible,"St Mary Sommerset",is_missing,is_illegible,"St Mary Stayning",is_missing,is_illegible,"St Mary Woolchurch",is_missing,is_illegible,"St Mary Woolnoth",is_missing,is_illegible,"St Martin Iremongerlane",is_missing,is_illegible,"St Martin Ludgate",is_missing,is_illegible,"St Martin Orgars",is_missing,is_illegible,"St Martin Outwich",is_missing,is_illegible,"St Martin Vintrey",is_missing,is_illegible,"St Matthew Fridaystreet",is_missing,is_illegible,"St Maudlin Milkstreet",is_missing,is_illegible,"St Maudlin Oldfishstreet",is_missing,is_illegible,"St Michael Bassishaw",is_missing,is_illegible,"St Michael Cornhil",is_missing,is_illegible,"St Michael Crookedlane",is_missing,is_illegible,"St Michael Queenhithe",is_missing,is_illegible,"St Michael Quern",is_missing,is_illegible,"St Michael Royal",is_missing,is_illegible,"St Michael Woodstreet",is_missing,is_illegible,"St Mildred Breadstreet",is_missing,is_illegible,"St Mildred Poultrey",is_missing,is_illegible,"St Nicholas Acons",is_missing,is_illegible,"St Nicholas Coleabby",is_missing,is_illegible,"St Nicholas Olaves",is_missing,is_illegible,"St Olave Hartstreet",is_missing,is_illegible,"St Olave Jewry",is_missing,is_illegible,"St Olave Silverstreet",is_missing,is_illegible,"St Pancras ",is_missing,is_illegible,"St Peter Ad Vincula",is_missing,is_illegible,"St Peter Cheap",is_missing,is_illegible,"St Peter Cornhil",is_missing,is_illegible,"St Peter Paulswharf",is_missing,is_illegible,"St Peter Poor",is_missing,is_illegible,"St Steven Colemanstreet",is_missing,is_illegible,"St Steven Walbrook",is_missing,is_illegible,"St Swithin",is_missing,is_illegible,"St Thomas Apostles",is_missing,is_illegible,"Trinity Parish",is_missing,is_illegible,"Christened in the 97 parishes within the walls",is_missing,is_illegible,"Buried in the 97 parishes within the walls",is_missing,is_illegible,"Plague in the 97 parishes within the walls",is_missing,is_illegible,"St Andrew Holborn",is_missing,is_illegible,"St Bartholomew Great",is_missing,is_illegible,"St Bartholomew Less",is_missing,is_illegible,"St Botolph Aldersgate",is_missing,is_illegible,"St Botolph Aldgate",is_missing,is_illegible,"St Botolph Bishopsgate",is_missing,is_illegible,"Bridewel Precinct",is_missing,is_illegible,"St Bridget",is_missing,is_illegible,"St John Southwark",is_missing,is_illegible,"St Dunstan West",is_missing,is_illegible,"St George Southwark",is_missing,is_illegible,"St Giles Cripplegate",is_missing,is_illegible,"St Olave Southwark",is_missing,is_illegible,"Saviours Southwark",is_missing,is_illegible,"S Sepulchres Parish",is_missing,is_illegible,"St Thomas Southwark",is_missing,is_illegible,"Trinity Minories",is_missing,is_illegible,"Pesthouse Without the Walls",is_missing,is_illegible,"Christened in the parishes without the walls",is_missing,is_illegible,"Buried in the parishes without the walls",is_missing,is_illegible,"Plague in the parishes without the walls",is_missing,is_illegible,"St Ann in Middlesex",is_missing,is_illegible,"Christ Church in Middlesex",is_missing,is_illegible,"Christ Church in Surry",is_missing,is_illegible,"St George in Bloomsburg",is_missing,is_illegible,"St George in Middlesex",is_missing,is_illegible,"St George by Queen's Square",is_missing,is_illegible,"St Giles in the Field",is_missing,is_illegible,"Hackney Parish",is_missing,is_illegible,"St John at Wapping",is_missing,is_illegible,"St James Clerkenwel",is_missing,is_illegible,"St Katharine Tower",is_missing,is_illegible,"Lambeth Parish",is_missing,is_illegible,"St Leonard Shoreditch",is_missing,is_illegible,"St Luke in Middlesex",is_missing,is_illegible,"St Magdalen Bermondsey",is_missing,is_illegible,"St Matthew at Bethnal Green",is_missing,is_illegible,"St Mary Islington",is_missing,is_illegible,"St Mary Newington",is_missing,is_illegible,"St Mary Whitechappel",is_missing,is_illegible,"St Pauls Shadwel",is_missing,is_illegible,"Rothorith Parish",is_missing,is_illegible,"Stepney Parish",is_missing,is_illegible,"Christened in the out-Parishes in Middlesex and Surrey",is_missing,is_illegible,"Buried in the out-Parishes in Middlesex and Surrey",is_missing,is_illegible,"Plague in the out-Parishes in Middlesex and Surrey",is_missing,is_illegible,"St Ann in Westminster",is_missing,is_illegible,"St Clement Danes",is_missing,is_illegible,"St George Hanover-square",is_missing,is_illegible,"St James in Westminster",is_missing,is_illegible,"St John the Evangelist",is_missing,is_illegible,"St Paul Covent Garden",is_missing,is_illegible,"St Martin in the fields",is_missing,is_illegible,"St Mary Savoy",is_missing,is_illegible,"St Mary le Strand",is_missing,is_illegible,"St Margaret Westminster",is_missing,is_illegible,"Pesthouse in Westminster",is_missing,is_illegible,"Christened in the Parishes and Liberties of Westminster",is_missing,is_illegible,"Buried in the Parishes and Liberties of Westminster",is_missing,is_illegible,"Plague in the Parishes and Liberties of Westminster",is_missing,is_illegible
4352,1343,168,1,"Millar-1680-1681-GeneralBill ",,,14,,,December,,,1680,,,19,,,December,,,1681,,,31,,,110,,,29,,,96,,,0,,,26,,,27,,,41,,,104,,,56,,,20,,,77,,,82,,,50,,,134,,,23,,,21,,,34,,,20,,,22,,,56,,,5,,,16,,,131,,,20,,,19,,,43,,,96,,,30,,,31,,,42,,,42,,,24,,,9,,,94,,,50,,,53,,,55,,,24,,,16,,,25,,,62,,,80,,,78,,,22,,,18,,,47,,,41,,,48,,,5,,,0,,,17,,,30,,,46,,,37,,,37,,,3,,,2,,,32,,,11,,,49,,,17,,,1,,,54,,,7,,,49,,,39,,,16,,,37,,,31,,,1,,,54,,,33,,,35,,,28,,,58,,,22,,,19,,,23,,,17,,,33,,,3,,,21,,,17,,,64,,,21,,,36,,,14,,,,1,,12,,,40,,,16,,,30,,,167,,,29,,,41,,,29,,,0,,,2188,,,3669,,,0,,,952,,,109,,,39,,,214,,,793,,,618,,,30,,,467,,,,1,,334,,,369,,,1700,,,936,,,627,,,830,,,88,,,30,,,0,,,4192,,,8136,,,0,,,,1,,,1,,158,,,,1,,,1,,,1,,1249,,,117,,,,1,,394,,,198,,,304,,,611,,,,1,,570,,,,,,141,,,273,,,1098,,,541,,,174,,,2112,,,4161,,,7940,,,0,,,,1,,594,,,,1,,,1,,,1,,218,,,2387,,,147,,,,1,,880,,,0,,,2814,,,4226,,,0,,
4353,1344,171,1,Millar-1681-1682-GeneralBill,,,19,,,December,,,1681,,,19,,,December,,,1682,,,33,,,111,,,18,,,60,,,0,,,22,,,29,,,22,,,60,,,44,,,14,,,42,,,54,,,40,,,139,,,19,,,14,,,18,,,29,,,5,,,56,,,1,,,9,,,88,,,16,,,8,,,36,,,70,,,26,,,28,,,44,,,31,,,18,,,11,,,76,,,38,,,45,,,47,,,17,,,9,,,24,,,51,,,72,,,60,,,22,,,7,,,42,,,39,,,44,,,2,,,0,,,10,,,25,,,25,,,31,,,34,,,10,,,5,,,34,,,9,,,43,,,20,,,1,,,27,,,3,,,45,,,22,,,14,,,41,,,22,,,0,,,44,,,26,,,32,,,26,,,69,,,10,,,11,,,19,,,10,,,30,,,5,,,24,,,18,,,42,,,21,,,37,,,10,,,,1,,9,,,41,,,10,,,32,,,30,,,24,,,27,,,23,,,0,,,2091,,,2975,,,0,,,841,,,74,,,31,,,209,,,840,,,535,,,25,,,381,,,,1,,269,,,329,,,1315,,,804,,,594,,,649,,,75,,,38,,,0,,,4493,,,7009,,,0,,,,1,,,1,,143,,,,1,,,1,,,1,,1120,,,108,,,,1,,312,,,224,,,297,,,452,,,,1,,504,,,,1,,123,,,202,,,1030,,,593,,,153,,,1823,,,4365,,,7084,,,0,,,,1,,522,,,,1,,,1,,,1,,152,,,2059,,,111,,,,1,,779,,,0,,,2704,,,3623,,,0,,
4354,1345,172,1,"Millar-1682-1683-GeneralBill ",,,19,,,December,,,1682,,,18,,,December,,,1683,,,26,,,104,,,14,,,47,,,0,,,22,,,24,,,28,,,71,,,27,,,16,,,39,,,47,,,58,,,102,,,29,,,13,,,17,,,24,,,15,,,46,,,2,,,9,,,85,,,15,,,24,,,39,,,85,,,30,,,15,,,39,,,30,,,18,,,11,,,82,,,30,,,22,,,63,,,18,,,9,,,28,,,48,,,79,,,46,,,15,,,14,,,29,,,45,,,33,,,2,,,0,,,12,,,27,,,30,,,42,,,11,,,7,,,5,,,31,,,14,,,57,,,12,,,0,,,37,,,6,,,42,,,26,,,8,,,39,,,15,,,0,,,36,,,29,,,33,,,34,,,46,,,12,,,19,,,22,,,19,,,36,,,4,,,30,,,6,,,49,,,12,,,34,,,11,,,,1,,4,,,26,,,12,,,2,,,134,,,27,,,24,,,23,,,11,,,2355,,,2876,,,0,,,831,,,79,,,29,,,207,,,663,,,576,,,37,,,375,,,,1,,252,,,339,,,1406,,,756,,,589,,,599,,,69,,,31,,,0,,,4756,,,6838,,,0,,,,1,,,1,,168,,,,1,,,1,,,1,,1181,,,74,,,,1,,348,,,202,,,325,,,442,,,,1,,433,,,,1,,115,,,204,,,866,,,463,,,162,,,1843,,,4638,,,6826,,,0,,,,1,,509,,,,1,,,1,,,1,,188,,,2340,,,123,,,,1,,887,,,0,,,2986,,,4047,,,0,,
4355,1346,173,1,"Millar-1683-1684-GeneralBill ",,,18,,,December,,,1683,,,16,,,December,,,1684,,,41,,,109,,,21,,,77,,,0,,,26,,,29,,,38,,,69,,,36,,,22,,,68,,,63,,,47,,,121,,,22,,,21,,,16,,,22,,,16,,,71,,,0,,,16,,,121,,,24,,,14,,,28,,,99,,,31,,,23,,,39,,,29,,,16,,,8,,,85,,,40,,,42,,,48,,,26,,,6,,,21,,,65,,,69,,,52,,,27,,,13,,,37,,,59,,,36,,,7,,,1,,,24,,,34,,,28,,,48,,,23,,,5,,,3,,,31,,,10,,,46,,,11,,,1,,,47,,,5,,,42,,,20,,,19,,,55,,,16,,,0,,,38,,,33,,,28,,,29,,,41,,,14,,,12,,,10,,,25,,,46,,,3,,,20,,,14,,,59,,,16,,,59,,,7,,,,1,,9,,,38,,,22,,,30,,,153,,,27,,,42,,,14,,,29,,,2193,,,3279,,,0,,,923,,,85,,,34,,,227,,,883,,,613,,,39,,,432,,,,1,,285,,,401,,,1527,,,806,,,652,,,723,,,78,,,29,,,0,,,4736,,,7737,,,0,,,,1,,,1,,195,,,,1,,,1,,,1,,1318,,,106,,,,1,,400,,,134,,,387,,,539,,,,1,,516,,,,1,,127,,,280,,,1060,,,522,,,188,,,2171,,,4660,,,8043,,,0,,,,1,,582,,,,1,,,1,,,1,,203,,,2362,,,135,,,,1,,861,,,0,,,3113,,,4143,,,0,,
4356,1347,174,1,"Millar-1684-1685-GeneralBill ",,,16,,,December,,,1684,,,15,,,December,,,1685,,,36,,,76,,,23,,,58,,,0,,,12,,,35,,,34,,,64,,,39,,,16,,,48,,,74,,,59,,,133,,,20,,,27,,,14,,,33,,,10,,,56,,,2,,,8,,,126,,,21,,,14,,,33,,,101,,,34,,,28,,,44,,,46,,,12,,,11,,,85,,,30,,,43,,,66,,,27,,,8,,,23,,,45,,,73,,,56,,,24,,,13,,,53,,,56,,,42,,,4,,,0,,,18,,,24,,,35,,,58,,,33,,,9,,,1,,,34,,,11,,,36,,,20,,,0,,,34,,,5,,,72,,,24,,,12,,,45,,,23,,,0,,,37,,,31,,,32,,,31,,,51,,,18,,,17,,,18,,,19,,,51,,,1,,,24,,,16,,,67,,,20,,,43,,,17,,,,1,,5,,,35,,,17,,,30,,,155,,,23,,,30,,,9,,,13,,,2312,,,3299,,,0,,,1004,,,79,,,33,,,253,,,896,,,620,,,47,,,400,,,,1,,290,,,354,,,1482,,,903,,,635,,,787,,,87,,,28,,,0,,,4878,,,7898,,,0,,,,1,,,1,,171,,,,1,,,1,,,1,,1350,,,115,,,,1,,385,,,222,,,254,,,549,,,,1,,507,,,,1,,108,,,215,,,923,,,468,,,140,,,1984,,,4551,,,7391,,,0,,,,1,,528,,,,1,,429,,,,1,,194,,,2317,,,143,,,,1,,1013,,,,,,2989,,,4634,,,0,,
4357,1348,183,1,Millar-1685-1686-GeneralBill,,,15,,,December,,,1685,,,14,,,December,,,1686,,,33,,,86,,,17,,,64,,,0,,,20,,,31,,,39,,,88,,,46,,,16,,,53,,,48,,,51,,,127,,,11,,,27,,,18,,,22,,,13,,,69,,,3,,,18,,,100,,,21,,,7,,,39,,,105,,,27,,,33,,,39,,,42,,,9,,,16,,,81,,,39,,,31,,,61,,,31,,,11,,,18,,,40,,,74,,,66,,,17,,,9,,,42,,,38,,,30,,,1,,,0,,,12,,,38,,,27,,,57,,,23,,,5,,,1,,,36,,,17,,,35,,,25,,,3,,,34,,,14,,,46,,,23,,,15,,,43,,,17,,,0,,,31,,,36,,,30,,,37,,,52,,,9,,,19,,,10,,,27,,,38,,,12,,,18,,,17,,,55,,,18,,,27,,,9,,,,1,,8,,,44,,,27,,,33,,,136,,,22,,,18,,,14,,,18,,,2211,,,3163,,,0,,,978,,,79,,,45,,,239,,,776,,,611,,,35,,,435,,,,1,,274,,,391,,,1522,,,780,,,585,,,739,,,82,,,16,,,0,,,4927,,,7587,,,0,,,,1,,,1,,178,,,,1,,,1,,,1,,1374,,,110,,,,1,,413,,,220,,,303,,,493,,,,1,,464,,,,1,,129,,,242,,,978,,,525,,,171,,,1882,,,4574,,,7482,,,0,,,244,,,606,,,,1,,837,,,,1,,214,,,1471,,,140,,,,1,,865,,,,1,,2982,,,4377,,,0,,
4378,1349,167,1,Millar-1686-1687-GeneralBill,,,14,,,December,,,1686,,,13,,,December,,,1687,,,26,,,98,,,18,,,61,,,0,,,13,,,26,,,42,,,62,,,45,,,17,,,52,,,43,,,31,,,107,,,26,,,26,,,20,,,15,,,9,,,48,,,3,,,10,,,103,,,8,,,12,,,36,,,99,,,29,,,18,,,47,,,40,,,14,,,17,,,87,,,40,,,33,,,48,,,29,,,9,,,26,,,43,,,63,,,66,,,15,,,6,,,38,,,43,,,41,,,3,,,0,,,7,,,28,,,38,,,40,,,22,,,5,,,3,,,31,,,17,,,29,,,14,,,0,,,29,,,7,,,48,,,20,,,14,,,48,,,19,,,0,,,40,,,34,,,25,,,25,,,47,,,18,,,7,,,11,,,25,,,37,,,2,,,20,,,6,,,51,,,16,,,34,,,12,,,,1,,5,,,38,,,12,,,27,,,116,,,19,,,25,,,14,,,11,,,2104,,,2907,,,0,,,842,,,92,,,45,,,199,,,756,,,552,,,34,,,345,,,,1,,242,,,291,,,1463,,,683,,,575,,,669,,,85,,,19,,,0,,,4781,,,6892,,,0,,,,1,,,1,,183,,,,1,,,1,,,1,,1283,,,86,,,,1,,373,,,216,,,279,,,515,,,,1,,395,,,,1,,105,,,269,,,941,,,421,,,136,,,,1,,4821,,,7186,,,0,,,388,,,555,,,,1,,933,,,,1,,219,,,1379,,,116,,,,1,,885,,,,1,,3245,,,4475,,,0,,
4379,1350,170,1,Millar-1687-1688-GeneralBill,,,13,,,December,,,1687,,,11,,,December,,,1688,,,33,,,88,,,20,,,61,,,0,,,19,,,26,,,50,,,67,,,40,,,20,,,51,,,58,,,36,,,148,,,10,,,24,,,14,,,21,,,7,,,54,,,4,,,14,,,110,,,8,,,18,,,32,,,98,,,29,,,22,,,53,,,42,,,10,,,14,,,91,,,44,,,39,,,57,,,24,,,12,,,18,,,42,,,79,,,47,,,18,,,12,,,34,,,52,,,37,,,11,,,0,,,18,,,33,,,25,,,33,,,31,,,5,,,2,,,30,,,5,,,33,,,17,,,0,,,29,,,8,,,53,,,18,,,17,,,54,,,17,,,0,,,42,,,35,,,39,,,35,,,35,,,25,,,7,,,11,,,29,,,43,,,1,,,15,,,14,,,63,,,18,,,36,,,11,,,,1,,12,,,30,,,20,,,34,,,124,,,17,,,24,,,39,,,19,,,2070,,,3124,,,0,,,871,,,76,,,37,,,213,,,780,,,558,,,26,,,356,,,,1,,297,,,382,,,1502,,,825,,,628,,,728,,,86,,,18,,,0,,,4701,,,7383,,,0,,,,1,,,1,,161,,,,1,,,1,,,1,,1375,,,122,,,,1,,391,,,211,,,306,,,487,,,,1,,484,,,,1,,162,,,270,,,1073,,,391,,,169,,,2226,,,4666,,,7828,,,0,,,432,,,567,,,,1,,962,,,,1,,195,,,1394,,,99,,,,1,,937,,,,1,,3151,,,4586,,,0,,
4380,1351,176,1,Millar-1688-1689-GeneralBill,,,11,,,December,,,1688,,,17,,,December,,,1689,,,25,,,97,,,24,,,61,,,0,,,15,,,25,,,39,,,81,,,42,,,20,,,50,,,75,,,42,,,118,,,14,,,25,,,20,,,18,,,13,,,52,,,3,,,14,,,133,,,11,,,19,,,31,,,110,,,32,,,22,,,44,,,33,,,9,,,14,,,70,,,46,,,52,,,58,,,20,,,10,,,17,,,45,,,77,,,67,,,18,,,9,,,30,,,45,,,30,,,3,,,0,,,15,,,31,,,34,,,34,,,23,,,5,,,3,,,36,,,10,,,38,,,10,,,1,,,26,,,5,,,44,,,18,,,6,,,52,,,26,,,0,,,41,,,21,,,35,,,27,,,36,,,11,,,10,,,13,,,23,,,28,,,2,,,17,,,6,,,61,,,19,,,32,,,7,,,,1,,10,,,27,,,17,,,29,,,137,,,15,,,31,,,20,,,15,,,2079,,,3035,,,0,,,961,,,83,,,47,,,227,,,771,,,603,,,15,,,358,,,,1,,279,,,327,,,1530,,,757,,,655,,,747,,,81,,,36,,,0,,,4705,,,7477,,,0,,,,1,,,1,,171,,,,1,,,1,,,1,,1515,,,130,,,,1,,454,,,242,,,299,,,556,,,,1,,454,,,,1,,111,,,272,,,1128,,,454,,,159,,,2187,,,4650,,,8132,,,0,,,455,,,556,,,,1,,1015,,,,1,,210,,,1454,,,124,,,,1,,1044,,,,1,,3337,,,4858,,,0,,
4381,1352,181,1,Millar-1689-1690-GeneralBill,,,17,,,December,,,1689,,,16,,,December,,,1690,,,25,,,123,,,13,,,75,,,0,,,25,,,28,,,20,,,77,,,31,,,19,,,41,,,51,,,31,,,149,,,19,,,20,,,20,,,20,,,13,,,35,,,1,,,10,,,93,,,24,,,13,,,40,,,107,,,26,,,30,,,38,,,38,,,11,,,14,,,67,,,39,,,28,,,45,,,21,,,8,,,19,,,45,,,69,,,45,,,16,,,4,,,57,,,40,,,34,,,7,,,0,,,14,,,24,,,32,,,24,,,22,,,9,,,4,,,23,,,14,,,24,,,16,,,0,,,34,,,4,,,49,,,14,,,18,,,44,,,9,,,0,,,40,,,27,,,23,,,41,,,33,,,11,,,17,,,13,,,13,,,30,,,4,,,17,,,12,,,48,,,13,,,23,,,13,,,,1,,9,,,43,,,15,,,26,,,146,,,18,,,31,,,22,,,17,,,2228,,,2907,,,0,,,915,,,70,,,33,,,170,,,667,,,542,,,29,,,357,,,,1,,277,,,400,,,1325,,,739,,,582,,,653,,,91,,,19,,,0,,,4827,,,6869,,,0,,,,1,,,1,,139,,,,1,,,1,,,1,,1274,,,100,,,,1,,383,,,200,,,290,,,513,,,,1,,450,,,,1,,94,,,298,,,1019,,,445,,,167,,,1872,,,4811,,,7244,,,0,,,410,,,537,,,,1,,908,,,,1,,197,,,1358,,,100,,,,1,,931,,,,1,,3345,,,4441,,,0,,
