"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,is_missing,is_illegible,Week,is_missing,is_illegible,"Unique ID",is_missing,is_illegible,"Start Day",is_missing,is_illegible,"Start Month",is_missing,is_illegible,"End Day",is_missing,is_illegible,"End month",is_missing,is_illegible,"St Alban Woodstreet - Buried",is_missing,is_illegible,"Alhallows Barking - Buried",is_missing,is_illegible,"Allhallows Breadstreet - Buried",is_missing,is_illegible,"Allhallows Great - Buried",is_missing,is_illegible,"Alhallows Honylane - Buried",is_missing,is_illegible,"Alhallows Lesse - Buried",is_missing,is_illegible,"Alhallows Lumbardstreet - Buried",is_missing,is_illegible,"Alhallows Stayning - Buried",is_missing,is_illegible,"Alhallows the Wall - Buried",is_missing,is_illegible,"St Alphage - Buried",is_missing,is_illegible,"St Andrew Hubbard - Buried",is_missing,is_illegible,"St Andrew Undershaft - Buried",is_missing,is_illegible,"St Andrew Wardrobe - Buried",is_missing,is_illegible,"St Ann Aldersgate - Buried",is_missing,is_illegible,"St Ann Blackfryers - Buried",is_missing,is_illegible,"St Antholins Parish - Buried",is_missing,is_illegible,"St Austins Parish - Buried",is_missing,is_illegible,"St Bartholomew Exchange - Buried",is_missing,is_illegible,"St Bennet Fynck - Buried",is_missing,is_illegible,"St Bennet Gracechurch - Buried",is_missing,is_illegible,"St Bennet Paulswharf - Buried",is_missing,is_illegible,"St Bennet Sherehog - Buried",is_missing,is_illegible,"St Botolph Billingsgate - Buried",is_missing,is_illegible,"Christ Church - Buried",is_missing,is_illegible,"St Christophers - Buried",is_missing,is_illegible,"St Clement Eastcheap - Buried",is_missing,is_illegible,"St Dionis Backchurch - Buried",is_missing,is_illegible,"St Dunstan East - Buried",is_missing,is_illegible,"St Edmund Lumbardstr. - Buried",is_missing,is_illegible,"St Ethelborough - Buried",is_missing,is_illegible,"St Faith - Buried",is_missing,is_illegible,"St Gabriel Fenchurch - Buried",is_missing,is_illegible,"St George Botolphlane - Buried",is_missing,is_illegible,"St Gregory by St Pauls - Buried",is_missing,is_illegible,"St Hellen - Buried",is_missing,is_illegible,"St James Dukes place - Buried",is_missing,is_illegible,"St James Garlickhithe - Buried",is_missing,is_illegible,"St John Baptist - Buried",is_missing,is_illegible,"St John Evangelist - Buried",is_missing,is_illegible,"St John Zachary - Buried",is_missing,is_illegible,"St Katharine Coleman - Buried",is_missing,is_illegible,"St Katharine Creechurch - Buried",is_missing,is_illegible,"St Lawrence Jewry - Buried",is_missing,is_illegible,"St Lawrence Pountney - Buried",is_missing,is_illegible,"St Leonard Eastcheap - Buried",is_missing,is_illegible,"St Leonard Fosterlane - Buried",is_missing,is_illegible,"St Magnus Parish - Buried",is_missing,is_illegible,"St Margaret Lothbury - Buried",is_missing,is_illegible,"St Margaret Moses - Buried",is_missing,is_illegible,"St Margaret Newfishstreet - Buried",is_missing,is_illegible,"St Margaret Pattons - Buried",is_missing,is_illegible,"St Martin Iremongerlane - Buried",is_missing,is_illegible,"St Martin Ludgate - Buried",is_missing,is_illegible,"St Martin Orgars - Buried",is_missing,is_illegible,"St Martin Outwich - Buried",is_missing,is_illegible,"St Martin Vintrey - Buried",is_missing,is_illegible,"St Mary Abchurch - Buried",is_missing,is_illegible,"St Mary Aldermanbury - Buried",is_missing,is_illegible,"St Mary Aldermary - Buried",is_missing,is_illegible,"St Mary le Bow - Buried",is_missing,is_illegible,"St Mary Bothaw - Buried",is_missing,is_illegible,"St Mary Colechurch - Buried",is_missing,is_illegible,"St Mary Hill - Buried",is_missing,is_illegible,"St Maudlin Milkstreet - Buried",is_missing,is_illegible,"St Maudlin Oldfishstreet - Buried",is_missing,is_illegible,"St Mary Mounthaw - Buried",is_missing,is_illegible,"St Mary Sommerset - Buried",is_missing,is_illegible,"St Mary Stayning - Buried",is_missing,is_illegible,"St Mary Woolchurch - Buried",is_missing,is_illegible,"St Mary Woolnoth - Buried",is_missing,is_illegible,"St Matthew Fridaystreet - Buried",is_missing,is_illegible,"St Michael Bassishaw - Buried",is_missing,is_illegible,"St Michael Cornhil - Buried",is_missing,is_illegible,"St Michael Crookedlane - Buried",is_missing,is_illegible,"St Michael Queenhithe - Buried",is_missing,is_illegible,"St Michael Quern - Buried",is_missing,is_illegible,"St Michael Royal - Buried",is_missing,is_illegible,"St Michael Woodstreet - Buried",is_missing,is_illegible,"St Mildred Breadstreet - Buried",is_missing,is_illegible,"St Mildred Poultrey - Buried",is_missing,is_illegible,"St Nicholas Acons - Buried",is_missing,is_illegible,"St Nicholas Coleabby - Buried",is_missing,is_illegible,"St Nicholas Olaves - Buried",is_missing,is_illegible,"St Olave Hartstreet - Buried",is_missing,is_illegible,"St Olave Jewry - Buried",is_missing,is_illegible,"St Olave Silverstreet - Buried",is_missing,is_illegible,"St Pancras Pancras street - Buried",is_missing,is_illegible,"St Peter Cheap - Buried",is_missing,is_illegible,"St Peter Cornhil - Buried",is_missing,is_illegible,"St Peter Paulswharf - Buried",is_missing,is_illegible,"St Peter Poor - Buried",is_missing,is_illegible,"St Steven Colemanstreet - Buried",is_missing,is_illegible,"St Steven Walbrook - Buried",is_missing,is_illegible,"St Swithin- Buried",is_missing,is_illegible,"St Thomas Apostles - Buried",is_missing,is_illegible,"Trinity Parish - Buried",is_missing,is_illegible,"St Foster - Buried",is_missing,is_illegible,"Christened in the 97 parishes within the walls",is_missing,is_illegible,"Buried in the 97 parishes within the walls",is_missing,is_illegible,"Plague in the 97 parishes within the walls",is_missing,is_illegible,"St Andrew Holborn - Buried",is_missing,is_illegible,"St Bartholomew Great - Buried",is_missing,is_illegible,"St Bartholomew Less - Buried",is_missing,is_illegible,"St Botolph Aldersgate - Buried",is_missing,is_illegible,"St Botolph Aldgate - Buried",is_missing,is_illegible,"St Botolph Bishopsgate - Buried",is_missing,is_illegible,"Bridewel Precinct - Buried",is_missing,is_illegible,"St Bridget - Buried",is_missing,is_illegible,"St Dunstan West - Buried",is_missing,is_illegible,"St George Southwark - Buried",is_missing,is_illegible,"St Giles Cripplegate - Buried",is_missing,is_illegible,"St Olave Southwark - Buried",is_missing,is_illegible,"Saviours Southwark - Buried",is_missing,is_illegible,"S Sepulchres Parish - Buried",is_missing,is_illegible,"St Thomas Southwark - Buried",is_missing,is_illegible,"Trinity Minories - Buried",is_missing,is_illegible,"Pesthouse Without the Walls - Buried",is_missing,is_illegible,"Christened in the parishes without the walls",is_missing,is_illegible,"Buried in the parishes without the walls",is_missing,is_illegible,"Plague in the parishes without the walls",is_missing,is_illegible,"Christ Church in Surry - Buried",is_missing,is_illegible,"Stepney Parish - Buried",is_missing,is_illegible,"St Giles in the Field - Buried",is_missing,is_illegible,"St James Clerkenwel - Buried",is_missing,is_illegible,"Hackney Parish - Buried",is_missing,is_illegible,"St John at Wapping - Buried",is_missing,is_illegible,"St Katharine Tower - Buried",is_missing,is_illegible,"Lambeth Parish - Buried",is_missing,is_illegible,"St Leonard Shoreditch - Buried",is_missing,is_illegible,"St Mary Islington - Buried",is_missing,is_illegible,"St Magdalen Bermondsey - Buried",is_missing,is_illegible,"St Mary Newington - Buried",is_missing,is_illegible,"Rothorith Parish - Buried",is_missing,is_illegible,"St Mary Whitechappel - Buried",is_missing,is_illegible,"St Pauls Shadwel - Buried",is_missing,is_illegible,"Christened in the out-Parishes in Middlesex and Surrey",is_missing,is_illegible,"Buried in the out-Parishes in Middlesex and Surrey",is_missing,is_illegible,"Plague in the out-Parishes in Middlesex and Surrey",is_missing,is_illegible,"St Ann in Westminster - Buried",is_missing,is_illegible,"St Clement Danes - Buried",is_missing,is_illegible,"St James in Westminster - Buried",is_missing,is_illegible,"St Margaret Westminster - Buried",is_missing,is_illegible,"St Martin in the fields - Buried",is_missing,is_illegible,"St Mary Savoy - Buried",is_missing,is_illegible,"St Paul Covent Garden - Buried",is_missing,is_illegible,"Christened in the Parishes and Liberties of Westminster",is_missing,is_illegible,"Buried in the Parishes and Liberties of Westminster",is_missing,is_illegible,"Plague in the Parishes and Liberties of Westminster",is_missing,is_illegible
699,39622,12415,1,1700,,,1,,,Laxton-1700-01-recto,,,17,,,December,,,24,,,December,,,2,,,1,,,,,,2,,,,,,1,,,,,,1,,,1,,,,,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,40,,,0,,,19,,,,,,1,,,1,,,13,,,17,,,,,,8,,,,,,14,,,17,,,15,,,7,,,11,,,6,,,,,,,,,72,,,129,,,0,,,,,,36,,,18,,,7,,,,,,3,,,6,,,5,,,10,,,2,,,6,,,3,,,,,,12,,,5,,,87,,,113,,,0,,,7,,,9,,,19,,,14,,,42,,,1,,,3,,,62,,,95,,,0,,
700,39623,12434,1,1700,,,2,,,Laxton-1700-02-recto,,,24,,,December,,,31,,,December,,,1,,,3,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,1,,,,,,,,,2,,,,,,1,,,4,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,2,,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2,,,4,,,,,,,,,,,,,,,38,,,51,,,0,,,15,,,1,,,,,,3,,,10,,,12,,,,,,4,,,3,,,12,,,23,,,18,,,5,,,18,,,4,,,,,,,,,110,,,128,,,0,,,1,,,24,,,25,,,6,,,2,,,7,,,2,,,2,,,13,,,2,,,6,,,4,,,8,,,15,,,12,,,91,,,129,,,0,,,6,,,10,,,28,,,21,,,40,,,3,,,2,,,75,,,110,,,0,,
701,39624,12433,1,1700,,,3,,,Laxton-1700-03-recto,,,31,,,December,,,7,,,January,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,2,,,,,,,,,5,,,1,,,,,,1,,,2,,,,,,1,,,1,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2,,,2,,,2,,,,,,,,,1,,,1,,,1,,,,,,2,,,,,,1,,,,,,,,,43,,,50,,,0,,,19,,,,,,,,,6,,,7,,,8,,,,,,4,,,2,,,9,,,21,,,11,,,7,,,12,,,1,,,1,,,,,,112,,,108,,,0,,,2,,,35,,,25,,,,,,2,,,9,,,3,,,5,,,11,,,3,,,8,,,3,,,2,,,8,,,5,,,108,,,121,,,0,,,9,,,4,,,11,,,12,,,35,,,5,,,3,,,64,,,79,,,0,,
702,39625,12432,1,1700,,,4,,,Laxton-04-recto,,,7,,,January,,,14,,,January,,,1,,,1,,,1,,,2,,,1,,,,,,,,,2,,,,,,3,,,1,,,2,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,1,,,,,,4,,,,,,1,,,1,,,,,,,,,2,,,1,,,,,,1,,,1,,,2,,,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,1,,,43,,,71,,,0,,,19,,,1,,,1,,,1,,,15,,,11,,,,,,8,,,2,,,13,,,20,,,11,,,12,,,18,,,3,,,1,,,,,,79,,,136,,,0,,,4,,,49,,,26,,,13,,,,,,5,,,5,,,4,,,7,,,2,,,11,,,3,,,3,,,24,,,4,,,77,,,160,,,0,,,10,,,10,,,24,,,23,,,30,,,1,,,5,,,73,,,103,,,0,,
703,39626,12431,1,1700,,,5,,,Laxton-1700-05-recto,,,14,,,January,,,21,,,January,,,2,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,1,,,3,,,,,,7,,,,,,,,,,,,1,,,,,,2,,,,,,,,,4,,,,,,1,,,,,,2,,,,,,,,,3,,,,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,1,,,,,,2,,,,,,,,,3,,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,1,,,42,,,62,,,0,,,22,,,,,,,,,5,,,9,,,11,,,,,,6,,,7,,,2,,,14,,,18,,,14,,,16,,,,,,,,,,,,74,,,124,,,0,,,1,,,40,,,23,,,4,,,4,,,,,,2,,,6,,,6,,,5,,,10,,,5,,,5,,,21,,,11,,,128,,,143,,,0,,,6,,,15,,,26,,,17,,,28,,,4,,,3,,,72,,,99,,,0,,
704,39627,12430,1,1700,,,6,,,Laxton-1700-06-recto,,,21,,,January,,,28,,,January,,,,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,2,,,2,,,1,,,,,,,,,1,,,2,,,,,,,,,1,,,,,,1,,,1,,,1,,,1,,,,,,2,,,,,,1,,,3,,,1,,,,,,,,,1,,,,,,2,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,32,,,47,,,0,,,9,,,3,,,1,,,7,,,20,,,16,,,,,,1,,,5,,,3,,,23,,,7,,,10,,,10,,,1,,,,,,,,,101,,,116,,,0,,,1,,,36,,,21,,,8,,,,,,5,,,5,,,6,,,6,,,,,,5,,,7,,,,,,20,,,6,,,102,,,126,,,0,,,12,,,5,,,16,,,11,,,26,,,3,,,2,,,91,,,75,,,0,,
705,39628,12429,1,1700,,,7,,,Laxton-1700-07-recto,,,28,,,January,,,4,,,February,,,1,,,3,,,3,,,1,,,,,,,,,,,,,,,2,,,,,,,,,1,,,1,,,2,,,1,,,,,,,,,2,,,1,,,1,,,2,,,,,,,,,2,,,,,,,,,1,,,3,,,,,,2,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,2,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,2,,,32,,,59,,,0,,,11,,,,,,,,,3,,,8,,,12,,,,,,5,,,4,,,9,,,33,,,23,,,12,,,11,,,2,,,,,,,,,99,,,133,,,0,,,3,,,45,,,18,,,5,,,5,,,13,,,,,,3,,,12,,,1,,,6,,,3,,,3,,,20,,,3,,,137,,,140,,,0,,,7,,,10,,,19,,,17,,,33,,,2,,,4,,,76,,,92,,,0,,
706,39629,12428,1,1700,,,8,,,Laxton-1700-08-recto,,,4,,,February,,,11,,,February,,,2,,,1,,,1,,,,,,,,,1,,,1,,,,,,2,,,1,,,,,,,,,2,,,1,,,3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,2,,,,,,3,,,1,,,,,,,,,3,,,2,,,,,,2,,,2,,,,,,,,,,,,5,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,1,,,1,,,2,,,1,,,,,,1,,,36,,,58,,,0,,,12,,,,,,1,,,4,,,8,,,17,,,,,,7,,,4,,,5,,,16,,,13,,,9,,,16,,,2,,,3,,,,,,109,,,117,,,0,,,4,,,52,,,20,,,11,,,4,,,7,,,,,,4,,,8,,,,,,8,,,2,,,3,,,13,,,9,,,108,,,145,,,0,,,7,,,14,,,21,,,11,,,32,,,4,,,2,,,68,,,91,,,0,,
707,39630,12427,1,1700,,,9,,,Laxton-1700-09-recto,,,11,,,February,,,18,,,February,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,1,,,,,,,,,,,,4,,,1,,,,,,3,,,3,,,,,,,,,,,,2,,,,,,1,,,,,,,,,2,,,2,,,,,,,,,,,,,,,1,,,2,,,1,,,2,,,,,,1,,,1,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,47,,,59,,,0,,,19,,,3,,,,,,1,,,15,,,15,,,2,,,5,,,5,,,2,,,19,,,18,,,9,,,11,,,2,,,,,,,,,111,,,126,,,0,,,2,,,33,,,20,,,5,,,4,,,9,,,2,,,5,,,10,,,1,,,5,,,2,,,,,,15,,,7,,,110,,,126,,,0,,,10,,,5,,,15,,,16,,,36,,,1,,,3,,,60,,,86,,,0,,
708,39631,12426,1,1700,,,10,,,Laxton-1700-10-recto,,,18,,,February,,,25,,,February,,,,,,4,,,,,,,,,,,,,,,1,,,1,,,2,,,1,,,1,,,1,,,2,,,,,,3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,3,,,1,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,1,,,,,,1,,,1,,,3,,,,,,2,,,1,,,,,,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,3,,,1,,,1,,,26,,,63,,,0,,,21,,,2,,,,,,4,,,9,,,9,,,,,,7,,,4,,,5,,,15,,,9,,,10,,,15,,,1,,,,,,,,,99,,,111,,,0,,,1,,,49,,,17,,,1,,,2,,,4,,,1,,,6,,,9,,,3,,,10,,,3,,,4,,,18,,,7,,,119,,,135,,,0,,,10,,,16,,,20,,,23,,,24,,,4,,,2,,,86,,,99,,,9,,
