Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Unique Identifier,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Cause,is_missing,is_illegible,Number,is_missing,is_illegible,Christened (Male),is_missing,is_illegible,Christened (Female),is_missing,is_illegible,Christened (In All),is_missing,is_illegible,Buried (Male),is_missing,is_illegible,Buried (Female),is_missing,is_illegible,Buried (All),is_missing,is_illegible,Increase/Decrease in Burials,is_missing,is_illegible,Increase/Decrease in Plague,is_missing,is_illegible,Parishes Clear of the Plague,is_missing,is_illegible,Parishes Infected,is_missing,is_illegible
41750,39538,12320,1,1629,,,Guildhall-1628-1629-GeneralBill-Causes,,,Abortive,,,33,,,Aged,,,579,,,Ague,,,32,,,Appoplex and Meagrome,,,22,,,Blasted and Plannet,,,13,,,Bleeding,,,5,,,Bloody flux scowring & flux.,,,449,,,Burst,,,2,,,Cancer and Woolfe,,,3,,,Canker,,,6,,,Childbed,,,150,,,Chrisomes and Inants,,,2596,,,Collicke Stone & Strangury,,,48,,,Consumption and Cough,,,1827,,,Convulsion,,,52,,,Could,,,10,,,Dead in the streete and fields,,,18,,,Dropsie and Swelling,,,227,,,Drowned,,,43,,,Executed,,,19,,,Falling sicknes,,,3,,,Feavers,,,924,,,Fistula,,,11,,,Flocks and Small pox,,,72,,,French Pox,,,17,,,Frets,,,1,,,Gangrene,,,6,,,Goute,,,2,,,Griefe,,,18,,,Jaundis,,,47,,,Jawfalne,,1,10,,,Imposthume,,,58,,,Kild by severall accidents,,,54,,,Kings Evill,,,16,,,Leprosie,,,2,,,Lethargie,,,1,,,Livergrowne,,,94,,,Lunatike,,,6,,,Made away themselves,,,8,,,Measles,,,42,,,Mother,,,1,,,Palsie,,,17,,,Plurisie and Spleene,,,26,,,Purples and Spotted feaver,,,32,,,Quinsie,,,1,,,Rising of the Lights,,,44,,,Scalded,,,3,,,Schur[v]ey,,1,12,,,"Sores, Broke & bruised limbs",,,23,,,Sore Mouth and Thrush,,,15,,,Starved at Nurse,,,4,,,Stilborne,,,460,,,Suddenly,,,63,,,Surfet,,,63,,,Swine Pox,,,5,,,Teeth,,,440,,,Timpanie,,,8,,,Tissicke,,,8,,,Vomiting,,,1,,,Wormes,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218,,,4683,,,9901,,,4668,,,4103,,,8771,,,-382,,1,0,,,,,,,,
41756,39539,12327,1,1630,,,Guildhall-1629-1630-GeneralBill-Causes,,,Abortive ,,,16,,,Aged,,,662,,,Ague,,,50,,,Apoplex and Meagrome,,,36,,,Blasted and Planet,,,8,,,Bleeding,,,2,,,"Bloody flux, scowring & flux",,,438,,,Burnt,,,4,,,Burst and Rupture,,,6,,,Cancer and Wolfe,,,4,,,Canker,,,4,,,Childbed,,,157,,,Chrisomes and Infants,,,2378,,,Collicke Stone & Strangury,,,57,,,Consumption,,,1910,,,Convulsion,,,87,,,Cough and Cold,,,58,,,Dead in the street,,,33,,,Dropsie and Swelling,,,230,,,Drowned,,,33,,,Executed,,,13,,,Falling Sicknesse,,,10,,,Feaver,,,1091,,,Fistula,,,6,,,Flocks and small Pox,,,40,,,French Pox,,,12,,,Gangrene,,,4,,,Gout,,,5,,,Griefe,,,20,,,Iaundies,,,59,,,Iawfalne,,,16,,,Imposthume,,,77,,,Kild by severall accidents,,,55,,,Kings Evill,,,25,,,Livergrowne,,,112,,,Lunatique,,,11,,,Made away themselves,,,8,,,Measles and Bleach,,,2,,,Over-laid and smoothered,,,10,,,Palsie,,,23,,,Piles,,,1,,,Plague,,,1317,,,Plurisie and Spleene,,,24,,,Purples and spotted Feaver,,,58,,,Quinsie,,,8,,,Rising of the lights & mother,,,72,,,Scalded,,,6,,,Scurvy,,,5,,,"Sores, Broken & bruised limbs",,,24,,,Sore mouth and Thrush,,,23,,,Starved,,,14,,,Stilborne,,,423,,,Suddenly,,,59,,,Surfet,,,167,,,Swine Pox,,,8,,,Teeth,,,506,,,Timpany,,,22,,,Tissicke,,,12,,,Vomiting,,,4,,,Wormes,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4858,,,4457,,,9315,,,5660,,,4894,,,10554,,,1783,,,,1,,,,,,,
41762,39540,12347,1,1631,,,Guildhall-1630-1631-GeneralBill-Causes,,,Abortive and Stilborne,,,410,,,Aged,,,606,,,Ague,,,55,,,Blasted and Planet,,,10,,,Bleeding,,,5,,,"Bloody flux, scowring & flux",,,352,,,Burnt & Scalded,,,7,,,Burst and Rupture,,,4,,,Cancer and Wolfe,,,10,,,Canker,,,4,,,Childbed,,,112,,,Chrisomes and Infants,,,2035,,,Collicke Stone & Strangury,,,58,,,Consumption,,,1713,,,Convulsion,,,118,,,Cough and Cold,,,51,,,Crampe,,,1,,,Cutting of a Wenne,,,1,,,Dead in the street & starved,,,26,,,Dropsie and Swelling,,,259,,,Drowned,,,29,,,Executed,,,12,,,Falling Sickenesse,,,7,,,Feaver,,,1115,,,Fistula,,,6,,,Flocks and small Pox,,,58,,,French Pox,,,12,,,Gangrene,,,7,,,Gout,,,3,,,Griefe,,,22,,,Iaundies,,,35,,,Iawfalne,,,13,,,Imposthume,,,73,,,Kild by severall accidents,,,47,,,Kings Evill,,,18,,,Lethargie,,,2,,,Livergrowne,,,99,,,Lunatique,,,6,,,Made away themselves,,,6,,,Meagrome and head-ach,,,24,,,Measles,,,3,,,Murthered,,,3,,,Over-laid & starved at nurse,,,13,,,Palsie,,,17,,,Plague,,,274,,,Plurisie and Spleene,,,26,,,Purples and spotted Feaver,,,58,,,Quinsie,,,6,,,Rising of the lights & mother,,,99,,,Scurvy & Leprosie,,,7,,,"Sores, Broken & bruised limbs",,,20,,,Sore mouth and Thrush,,,17,,,Suddenly,,,37,,,Surfet,,,149,,,Swine Pox,,,4,,,Teeth,,,335,,,Timpany,,,20,,,Tissicke,,,14,,,Vomiting,,,1,,,Wormes,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4422,,,4102,,,8524,,,4549,,,4013,,,8562,,,-1992,,,-1043,,,,,,,,
41768,39541,12348,1,1632,,,Guildhall-1631-1632-GeneralBill-Causes,,,Abortive and Stilborne,,,445,,,Affrighted,,,1,,,Aged,,,628,,,Ague,,,43,,,Appoplex and Meagrome,,,17,,,Bit with a mad dogge,,,1,,,Bleeding,,,3,,,Bloody flux scowring & flux,,,348,,,"Brused, Issues, sores, & ulcers",,,28,,,Burnt and Scalded,,,5,,,Burst and Rupture,,,9,,,Cancer and Wolfe,,,10,,,Canker,,,1,,,Childbed,,,171,,,Chrisomes and Infants,,,2268,,,Cold and Cough,,,55,,,Collicke Stone & Strangury,,,56,,,Consumption,,,1797,,,Convulsion,,,241,,,Cut of the Stone,,,5,,,Dead in the street & starved,,,6,,,Dropsie and Swelling,,,267,,,Drowned,,,34,,,"Executed, and presd to death",,,18,,,Falling Sickenesse,,,7,,,Feaver,,,1108,,,Fistula,,,13,,,Flocks and small Pox,,,531,,,French Pox,,,12,,,Gangrene,,,5,,,Goute,,,4,,,Griefe,,,11,,,Iaundies,,,43,,,Iawfalne,,,8,,,Imposthume,,,74,,,Kild by severall accidents,,,46,,,Kings Evill,,,38,,,Lethargie,,,2,,,Livergrowne,,,87,,,Lunatique,,,5,,,Made away themselves,,,15,,,Measles,,,80,,,Murthered,,,7,,,Over-laid & starved at nurse,,,7,,,Palsie,,,25,,,Piles,,,1,,,Plague,,,8,,,Planet,,,13,,,Plurisie and Spleene,,,36,,,Purples and spotted Feaver,,,38,,,Quinsie,,,7,,,Rising of the lights,,,98,,,Sciatica,,,1,,,Scurvey & Itch,,,9,,,Suddenly,,,62,,,Surfet,,,86,,,Swine Pox,,,6,,,Teeth,,,470,,,Thrush and Sore mouth ,,,40,,,Timpany,,,13,,,Tissike,,,34,,,Vomiting,,,1,,,Wormes,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4994,,,4590,,,9584,,,4932,,,4603,,,9535,,,993,,,-266,,,,,,,,
41770,39542,12349,1,1633,,,Guildhall-1632-1633-GeneralBill-Causes,,,Abortive and Stilborne,,,500,,,Aged,,,694,,,Ague,,,10,,,Appoplex and Meagrome,,,24,,,Bit with a mad dogge,,,1,,,Blasted and Plannet,,,6,,,Bleeding,,,4,,,Bloody flux scowring & flux,,,278,,,"Brused, Issues, sores, & ulcers",,,19,,,Burnt by misfortune,,,1,,,Cancer and Wolfe,,,7,,,Childbed,,,132,,,Chrisomes and Infants,,,2130,,,Cold and Cough,,,45,,,Collicke Stone & Strangury,,,58,,,Consumption,,,1754,,,Convulsion,,,221,,,Cut of the stone,,,1,,,Dead in the street & starved,,,13,,,Dropsie and Swelling,,,251,,,Drowned,,,37,,,Executed,,,13,,,Falling Sickenesse,,,2,,,Feaver,,,953,,,Fistula,,,16,,,Flocks and small Pox,,,72,,,French Pox,,,7,,,Gangrene,,,4,,,Goute,,,4,,,Griefe,,,14,,,Iaundies,,,35,,,Iawfalne,,,10,,,Imposthume,,,50,,,Iitch and Scurvey,,,10,,,"Kild by severall accidents, and Murtherd",,,49,,,Kings Evill,,,35,,,Lethargie,,,3,,,Livergrowne and Rickets,,,82,,,Lunatique,,,4,,,Made away themselves,,,5,,,Measles,,,21,,,Over-laid & starved at nurse,,,8,,,Palsie,,,14,,,Plurisie and Spleene,,,21,,,Purples and spotted Feaver,,,24,,,Quinsie,,,3,,,Rising of the lights,,,60,,,Rupture,,,4,,,Sciatica,,,3,,,Shingles,,,1,,,Suddenly,,,58,,,Surfet,,,104,,,Swine Pox,,,3,,,Teeth,,,432,,,Thrush and Sore mouth ,,,28,,,Timpany,,,15,,,Tissike,,,23,,,Vomiting,,,2,,,Weane and cut of a Wenne,,,4,,,Wormes,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5158,,,4839,,,9997,,,4369,,,4023,,,8392,,,-1143,,,-8,,,,,,,,
41772,39543,12350,1,1634,,,Guildhall-1633-1634-GeneralBill-Causes,,,Abortive and Stilborne,,,475,,,Aged,,,612,,,Ague,,,11,,,Appoplex and Meagrome,,,35,,,Bit with a mad dogge,,,1,,,Bleeding,,,3,,,Bloody flux scowring & flux,,,512,,,Burnt and scalded,,,3,,,Cancer and Canker,,,9,,,Childbed,,,143,,,Chrisomes and Infants,,,2315,,,Cold and Cough,,,54,,,Collicke Stone & Strangury,,,49,,,Consumption,,,1955,,,Convulsion and Crampe,,,386,,,Cut of the Stone,,,5,,,"Dead in the streete & fields, and starved",,,8,,,Dropsie and Swelling,,,233,,,Drowned,,,32,,,Executed,,,13,,,Falling Sickenesse,,,5,,,Feaver,,,1279,,,Fistula,,,11,,,Flocks and small Pox,,,1354,,,French Pox,,,17,,,Gangrene,,,10,,,Goute,,,5,,,Greene sicknes,,,2,,,Griefe,,,15,,,Hanged themselves,,,3,,,Iaundies and Yellowes,,,45,,,Iawfalne,,,10,,,Imposthume,,,62,,,"Kild by severall accidents,",,,41,,,Kings Evill,,,20,,,Livergrowne,,,77,,,Lunatique,,,2,,,Measles,,,33,,,Murtherd,,,6,,,Over-laid & starved at nurse,,,14,,,Palsie,,,21,,,Piles,,,1,,,Plague,,,1,,,Plannet,,,4,,,Plurisie and Spleene,,,21,,,Poysoned,,,2,,,Purples and spotted Feaver,,,125,,,Quinsie,,,4,,,Rickets,,,14,,,Rising of the lights and Mother,,,84,,,Rupture,,,3,,,"Scurvey, Swine Pox and Bleach",,,9,,,"Sores, broken and bruised Limbes",,,19,,,Suddenly,,,63,,,Surfet,,,114,,,Teeth,,,454,,,Thrush and Sore mouth,,,31,,,Timpany,,,17,,,Tissike,,,15,,,Vomiting,,,5,,,Wormes,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5035,,,4820,,,9855,,,5676,,,5224,,,10900,,,2508,,,1,,,,,,,,
41774,39544,12351,1,1635,,,Guildhall-1634-1635-GeneralBill-Causes,,,Abortive and Stilborne,,,507,,,Aged and Bed-rid,,,794,,,Ague and Feaver,,,1622,,,Appoplex and Meagrome,,,26,,,"Bloody flux, scowring & flux",,,346,,,Burnt and scalded,,,12,,,Cancer and Wolfe,,,8,,,Canker,,,5,,,Calenture,,,1,,,Childbed,,,163,,,Chrisomes and Infants,,,2113,,,Cold and Cough,,,50,,,Collicke and winde,,,37,,,Consumption,,,2080,,,Convulsion and Stitch,,,418,,,Costive,,,1,,,Cut of the Stone,,,2,,,"Dead in the streets fields, &c. and starved",,,24,,,Dropsie and Swelling,,,317,,,Drowned,,,32,,,Executed,,,13,,,Falling Sickenesse,,,6,,,Fistula,,,7,,,Flocks and small Pox,,,293,,,French Pox,,,12,,,Gangrene,,,9,,,Gout,,,7,,,Greene sicknes,,,1,,,Griefe,,,5,,,Head-ach & head Mouldshot,,,4,,,Iaundies,,,54,,,Iawfalne,,,4,,,Imposthume,,,73,,,"Kild by severall accidents,",,,51,,,Kings Evill,,,26,,,Leprosy and Bleach,,,2,,,Lethargy,,,2,,,Livergrowne,,,98,,,Lunatique,,,2,,,Made away themselves wilfully,,,8,,,Measles,,,27,,,Murthered,,,5,,,Over-laid & starved at nurse,,,10,,,Palsie,,,25,,,Plannet,,,2,,,Plurisie and Spleene,,,45,,,Purples and spotted Feaver,,,245,,,Quinsie,,,5,,,Rickets,,,49,,,Rising of the lights,,,72,,,Rupture,,,10,,,Sciatica,,,1,,,"Scurvey, and Swine Pox",,,10,,,"Sores, Issues, Ulcers, broken and bruised Limbes",,,22,,,Stone & Strangury,,,33,,,Suddenly,,,78,,,Surfet,,,132,,,Teeth,,,539,,,"Thrush, Sore mouth, and sore throate",,,34,,,Timpany,,,12,,,Tissicke,,,27,,,Vomiting and taking a purge,,,6,,,Wormes,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5106,,,4928,,,10034,,,5548,,,5103,,,10651,,,-249,,,-1,,,,,,,,
41776,39545,12352,1,1636,,,Guildhall-1635-1636-GeneralBill-Causes,,,Abortive and Stilborne,,,523,,,Aged,,,714,,,Ague and Feaver,,,2316,,,Appoplex and Convulsion,,,709,,,Blasted and Plannet,,,4,,,Bleach and Swine Pox,,,20,,,Bleeding,,,7,,,"Bloody flux, scowring & flux",,,330,,,Burnt and scalded,,,3,,,Calenture,,,3,,,Cancer Gangrene and Wolfe,,,21,,,Canker Sore mouth & Thrush,,,74,,,Childbed,,,230,,,Chrisomes and Infants,,,1895,,,Cold and Cough,,,57,,,Collicke and winde,,,50,,,Consumption and Tissicke,,,2477,,,Cut of the Stone and Wenne,,,2,,,"Dead in the streets fields, &c. and starved",,,24,,,Dropsie Swelling & Timpany,,,389,,,Drowned,,,45,,,Executed,,,13,,,Falling Sickenesse,,,8,,,Fistula,,,9,,,Flocks and small Pox,,,127,,,French Pox,,,22,,,Frighted,,,3,,,Gout and Sciatica,,,8,,,Griefe,,,20,,,Hanged themselves,,,7,,,Head Mouldshot,,,2,,,Iaundies,,,63,,,Iawfalne,,,11,,,Imposthume,,,130,,,"Kild by severall accidents,",,,60,,,Kings Evill,,,69,,,Lethargy,,,2,,,Livergrowne,,,99,,,Lunatique,,,5,,,Meagrome,,,22,,,Measles,,,12,,,Mother,,,3,,,Murthered,,,8,,,Over-laid & starved at nurse,,,14,,,Palsie,,,17,,1,Plague,,,10400,,,Plurisie and Spleene,,,24,,,Poysoned,,,2,,,Purples and spotted Feaver,,,397,,,Quinsie and sore throate,,,22,,,Rickets,,,50,,,Rising of the lights,,,104,,,Rupture,,,13,,,Scurvey,,,25,,,"Sores, Issues, Ulcers, broken and bruised Limbes",,,29,,,Stopping of the Stomacke,,,6,,,Stone & Strangury,,,45,,,Suddenly,,,34,,,Surfet,,,371,,,Teeth and Wormes,,,1207,,,Vomiting,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4917,,,4605,,,9522,,,12377,,,10982,,,23359,,,12708,,,,1,,,,,,,
41797,39546,12353,1,1641,,,Guildhall-1640-1641-GeneralBill-Causes,,,Abortive and Stilborne,,,511,,,Aged and bed-rid,,,793,,,Ague and Feaver,,,1434,,,Appoplexie,,,11,,,Bleach and Swine pox,,,6,,,Bleeding ,,,1,,,"Bloody flux, scowring & flux",,,512,,,Burnt and scalded,,,7,,,Cancer and Wolfe,,,17,,,Canker Sore mouth & Thrush,,,84,,,Childbed,,,228,,,Chrisomes and Infants,,,1897,,,"Cold, and Cough",,,93,,,Collicke and winde,,,52,,,Consumption and Tissicke,,,2738,,,Convulsion and Crampe,,,780,,,Cut of the Stone,,,3,,,"Dead in streets, fields, &c.",,,19,,,"Dropsie, & Timpany",,,499,,,Drowned,,,44,,,Executed,,,8,,,Falling sicknesse,,,6,,,Fistula and Gangrene,,,25,,,Flocks and small Pox,,,2483,,,French Pox,,,25,,,Frighted,,,1,,,Gout,,,7,,,Griefe,,,18,,,Hanged & made away themselves,,,9,,,Iaundies,,,56,,,Iawfalne,,,6,,,Imposthume,,,117,,,"Kild by severall accidents,",,,62,,,Kings Evill,,,49,,,Leprosie and Shingles,,,3,,,Lethargy,,,2,,,Livergrowne & Spleene,,,96,,,Lunatique,,,7,,,Meagrome,,,26,,,Measles,,,48,,,Mother,,,4,,,Over-laid and starved at nurse,,,29,,,Palsie,,,29,,,Plague,,,3067,,,Pannet,,,2,,,Plurisie,,,36,,,Purples and spotted Feaver,,,204,,,Quinsie and sore throate,,,35,,,Rickets,,,80,,,Rising of the lights,,,180,,,Rupture,,,13,,,Scurvey,,,33,,,"Sores, Issues Ulcers, broken and Bruised limbes",,,28,,,Stone & Strangury,,,47,,,Stopping of the Stomacke,,,31,,,Suddenly,,,53,,,Surfet,,,415,,,Teeth and Wormes,,,1217,,,Vomiting,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5292,,,5078,,,10370,,,9539,,,8756,,,18295,,,5524,,,1617,,,,,,,,
41799,39547,12403,1,1649,,,Guildhall-1648-1649-GeneralBill-Causes,,,Abortive and Stilborne,,,327,,,Aged,,,889,,,Ague and Feaver,,,751,,,Appoplex and Suddenly,,,64,,,Bleach,,,1,,,Bleeding,,,5,,,"Bloody Flux, Scowring & Flux",,,802,,,Burnt and Scalded,,,10,,,"Cancer, Gangrena, and Fistula",,,31,,,"Cancer, Sore mouth & Thrush",,,54,,,Childbed,,,114,,, Chrisomes and Infants,,,1065,,,Collick and Winde,,,85,,,Cold & Cough,,,34,,,Consumption & Tissick,,,2388,,,Convulsion,,,530,,,Cramp,,,1,,,Cut of the stone,,,1,,,"Dropsie, & Timpany",,,421,,,Drowned,,,30,,,Excessive drinking,,,2,,,Executed,,,29,,,Falling sicknesse,,,2,,,Flox and Smal Pox,,,1190,,,"Found dead in the streets, &c.",,,9,,,"French Pox,",,,15,,,Frighted,,,1,,,Goute ,,,12,,,Greefe,,,16,,,Hangd & made away themselvs,,,13,,,Headach & Meagrome,,,11,,,Jaundies,,,39,,,Imposthume,,,65,,,Kild by severall accidents,,,39,,,Kings Evill,,,22,,,Leprosie,,,1,,,Lethargy,,,2,,,Livergrowne & Spleen,,,56,,,"Lunatique,",,,6,,,Measles,,,3,,,Murthered,,,7,,,Overlaid and starved at nurse ,,,36,,,Palsie,,,19,,,Plague,,,67,,,Plurisie,,,13,,,Quinsie & Sore throate,,,12,,,Rickets,,,216,,,Rising of the Lights,,,115,,,Rupture,,,7,,,Scurvy,,,21,,,Smothered and Stifled,,,2,,,"Sores, Ulcers, broken and bruised Limbs",,,17,,,Spotted Feaver,,,43,,,Starved,,,8,,,Stone and Srangury,,,29,,,Stopping of the stomach,,,30,,,Surfet,,,136,,,Shingles and Swine Pox,,,3,,,Teeth,,,540,,,Vomiting,,,3,,,Wenne,,,1,,,Worms,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3079,,,2746,,,5825,,,5454,,,5112,,,10566,,,672,,,-544,,,,,,,,
