Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Week Number,is_missing,is_illegible,Unique Identifier,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,End Day,is_missing,is_illegible,End Month,is_missing,is_illegible,Abortive,is_missing,is_illegible,Aged,is_missing,is_illegible,Ague,is_missing,is_illegible,Apoplexy,is_missing,is_illegible,Asthma,is_missing,is_illegible,Bed-ridden,is_missing,is_illegible,Blasted,is_missing,is_illegible,Bleeding,is_missing,is_illegible,Bloody-flux,is_missing,is_illegible,Calenture,is_missing,is_illegible,Cancer,is_missing,is_illegible,Canker,is_missing,is_illegible,Chicken Pox,is_missing,is_illegible,Child-Bed,is_missing,is_illegible,Chrisoms,is_missing,is_illegible,Cold,is_missing,is_illegible,Colick,is_missing,is_illegible,Consumption,is_missing,is_illegible,Convulsion,is_missing,is_illegible,Cough,is_missing,is_illegible,Cramp,is_missing,is_illegible,Diabetes,is_missing,is_illegible,Dropsie,is_missing,is_illegible,Drowned,is_missing,is_illegible,Drowned (Descriptive Text),is_missing,is_illegible,Executed,is_missing,is_illegible,Executed (Descriptive Text),is_missing,is_illegible,Falling-sickness,is_missing,is_illegible,Fever,is_missing,is_illegible,Fistula,is_missing,is_illegible,Flox and Small-Pox,is_missing,is_illegible,Flox and Small-Pox (Descriptive Text),is_missing,is_illegible,Flux,is_missing,is_illegible,Found dead,is_missing,is_illegible,Found Dead (Descriptive Text),is_missing,is_illegible,French-Pox,is_missing,is_illegible,Frets,is_missing,is_illegible,Gangreen,is_missing,is_illegible,Gout,is_missing,is_illegible,Gravel,is_missing,is_illegible,Grief,is_missing,is_illegible,Griping in the Guts,is_missing,is_illegible,Headache,is_missing,is_illegible,Headmouldshot,is_missing,is_illegible,Hooping Cough,is_missing,is_illegible,Hiccough,is_missing,is_illegible,Horshoehead,is_missing,is_illegible,Impostume,is_missing,is_illegible,Infants,is_missing,is_illegible,Inflammation,is_missing,is_illegible,Itch,is_missing,is_illegible,Jaundies,is_missing,is_illegible,Jaw-fallen,is_missing,is_illegible,Kings Evil,is_missing,is_illegible,Leprosie,is_missing,is_illegible,Lethargy,is_missing,is_illegible,Liver-grown,is_missing,is_illegible,Looseness,is_missing,is_illegible,Lunatick and Frenzy,is_missing,is_illegible,Malignant Fever,is_missing,is_illegible,Meagrim,is_missing,is_illegible,Measles,is_missing,is_illegible,Miscarriage,is_missing,is_illegible,Mortification,is_missing,is_illegible,Mother,is_missing,is_illegible,Noli me tangere,is_missing,is_illegible,Overlaid,is_missing,is_illegible,Palsie,is_missing,is_illegible,Plague,is_missing,is_illegible,Planet,is_missing,is_illegible,Plurisie,is_missing,is_illegible,Purples,is_missing,is_illegible,Quinsie,is_missing,is_illegible,Rash,is_missing,is_illegible,Rheumatism,is_missing,is_illegible,Rickets,is_missing,is_illegible,Rising of the Lights,is_missing,is_illegible,Running of the Reins,is_missing,is_illegible,Rupture,is_missing,is_illegible,Scald Head,is_missing,is_illegible,Scarlet Fever,is_missing,is_illegible,Sciatica,is_missing,is_illegible,Scowring,is_missing,is_illegible,Scurvy,is_missing,is_illegible,Sores,is_missing,is_illegible,Shingles,is_missing,is_illegible,Spleen,is_missing,is_illegible,Spotted-Fever,is_missing,is_illegible,St. Anthony's Fire,is_missing,is_illegible,Starved,is_missing,is_illegible,Starved (Description),is_missing,is_illegible,Still-born,is_missing,is_illegible,Stone,is_missing,is_illegible,Stopping of the Stomach,is_missing,is_illegible,Strangury,is_missing,is_illegible,Strongullion,is_missing,is_illegible,Suddenly,is_missing,is_illegible,Surfeit,is_missing,is_illegible,Swelling in the Throat,is_missing,is_illegible,Swine-Pox,is_missing,is_illegible,Teeth,is_missing,is_illegible,Thrush,is_missing,is_illegible,Tissick,is_missing,is_illegible,Tympany,is_missing,is_illegible,Twisting of the Guts,is_missing,is_illegible,Ulcer,is_missing,is_illegible,Vapours,is_missing,is_illegible,Vomiting,is_missing,is_illegible,Water in the Head,is_missing,is_illegible,Wen,is_missing,is_illegible,Wind,is_missing,is_illegible,Wolf,is_missing,is_illegible,Worms,is_missing,is_illegible,Killed,is_missing,is_illegible,Killed (Descriptive Text),is_missing,is_illegible,Suicide,is_missing,is_illegible,Suicide (Descriptive Text),is_missing,is_illegible,Other,is_missing,is_illegible,Other (Descriptive Text),is_missing,is_illegible,Christened (Male),is_missing,is_illegible,Christened (Female),is_missing,is_illegible,Christened (In All),is_missing,is_illegible,Buried (Male),is_missing,is_illegible,Buried (Female),is_missing,is_illegible,Buried (All),is_missing,is_illegible,Plague Deaths,is_missing,is_illegible,Increase/Decrease in Burials,is_missing,is_illegible,Increase/Decrease in Plague Deaths,is_missing,is_illegible,Parishes Clear of the Plague,is_missing,is_illegible,Parishes Infected (with Plague),is_missing,is_illegible
27614,37629,10277,1,1674,,,1,,,BL-1674-01-verso,,,15,,,December,,,22,,,December,,,1,,,17,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,5,,,6,,,,1,,,1,,52,,,32,,,,1,,,1,,,1,,11,,,1,,,Drown'd at St. Kath. Tower 1,,,3,,,Executed 3,,,,1,,34,,,,1,,68,,,,,,2,,,1,,,Found dead in the fields (an Infant) at St. Giles Criplegate 1,,,1,,,,1,,,1,,,1,,,1,,,1,,21,,,,1,,,1,,,1,,,1,,,1,,1,,,4,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,9,,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,12,,,1,,,9,,,,1,,,1,,3,,,6,,,,1,,,1,,11,,,1,,,3,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,Murthered at St. Martin in the fields 1,,,,1,,,1,,4,,,"broken-leg 1; Kild 2, one with a Cart at St. Botolph Bishopsgate 1, and one with a Coach at St. Margaret Westminster 1; Scalded (by accident) at St. Margaret Westminster 1",,,111,,,96,,,207,,,179,,,156,,,335,,,0,,,-4,,,,1,,132,,,0,,
27615,37630,10278,1,1674,,,2,,,BL-1674-02-verso,,,22,,,December,,,29,,,December,,,2,,,22,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,6,,,5,,,,1,,1,,,74,,,33,,,,1,,,1,,,1,,13,,,3,,,"Drowned 3, one at S. Katharine Tower 1, one at St. Margaret Westminster 1, and one in a Tub of water at St. Giles in the fields 1",,,,1,,,1,,,1,,41,,,1,,,41,,,,,,3,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,19,,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,1,,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,3,,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,13,,,2,,,7,,,2,,,,1,,4,,,5,,,,1,,,1,,7,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,1,,,Burnt by the Mother at St. Martin in the fields 1,,,,1,,,1,,1,,,Kild by a Cart at St. Giles in the fields 1,,,92,,,102,,,194,,,180,,,157,,,337,,,0,,,2,,,,1,,132,,,0,,
27616,37631,10279,1,1674,,,3,,,BL-1674-03-verso,,,29,,,December,,,5,,,January,,,,1,,12,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,4,,,1,,,,1,,,1,,37,,,25,,,,1,,,1,,,1,,6,,,2,,,Drown'd at St. Kath. Tower 2,,,,1,,,1,,,1,,36,,,,1,,47,,,,,,5,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,28,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,7,,,,1,,,1,,,1,,9,,,1,,,8,,,,1,,,1,,1,,,4,,,,1,,,1,,7,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,4,,,"Burnt accidentally, at St. Giles Criplegate 1; Kild by an accidental fall from a Gallery, at Alhallows Bread Street 1; Poysoned 2, one at S. Bridget, and one (an Infant) at Alhallows the Great 2",,,104,,,97,,,201,,,141,,,118,,,259,,,1,,,-78,,,,1,,131,,,1,,
27617,37632,10301,1,1674,,,4,,,BL-1674-04-verso,,,5,,,January,,,12,,,January,,,3,,,16,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,4,,,10,,,,1,,,1,,42,,,33,,,,1,,,1,,,1,,12,,,,1,,,1,,,1,,,1,,,1,,28,,,,1,,32,,,,,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,24,,,,1,,,1,,,1,,,1,,,1,,3,,,2,,,,1,,,1,,1,,,,1,,4,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,6,,,5,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,16,,,,1,,6,,,,1,,,1,,,1,,6,,,,1,,,1,,10,,,,1,,3,,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,Kild (accidentally) by a fall down Staires at St. Magdalen Bermondsey 1,,,107,,,100,,,207,,,144,,,147,,,291,,,0,,,32,,,,1,,132,,,0,,
27618,37633,10302,1,1674,,,5,,,BL-1674-05-verso,,,12,,,January,,,19,,,January,,,3,,,16,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,3,,,10,,,,1,,,1,,51,,,37,,,,1,,,1,,,1,,12,,,,1,,,1,,,1,,,1,,,1,,27,,,,1,,43,,,,,,2,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,31,,,,1,,,1,,,1,,,1,,,1,,2,,,4,,,,1,,,1,,1,,,,1,,2,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,8,,,5,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,,1,,14,,,1,,,5,,,,1,,,1,,1,,,4,,,,1,,,1,,13,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,"Kild 2, one (accidentally) with a Cart at Stepney 1, and one with excessive drinking of Brandy at St. Katharine Tower 1",,,108,,,146,,,254,,,173,,,144,,,317,,,0,,,26,,,,1,,132,,,0,,
27619,37634,10303,1,1674,,,6,,,BL-1674-06-verso,,,19,,,January,,,26,,,January,,,2,,,21,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,2,,,,1,,2,,,63,,,45,,,,1,,,1,,,1,,14,,,1,,,Drowned at St. Magdalen Bermondsey 1,,,5,,,executed 5,,,,1,,36,,,,1,,38,,,,,,3,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,26,,,,1,,,1,,,1,,,1,,,1,,1,,,3,,,,1,,,1,,1,,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,10,,,5,,,,1,,1,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,10,,,3,,,4,,,2,,,,1,,1,,,2,,,,1,,,1,,10,,,,1,,4,,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,Kild by a fall at St. Martin in the fields 1,,,132,,,112,,,244,,,173,,,162,,,335,,,0,,,18,,,,1,,132,,,0,,
27620,37635,10312,1,1674,,,7,,,BL-1674-07-verso,,,26,,,January,,,2,,,February,,,1,,,17,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,3,,,5,,,,1,,,1,,56,,,45,,,,1,,,1,,,1,,10,,,2,,,Drowned at St. Magdalen Bermondsey 2,,,,1,,,1,,,1,,30,,,,1,,31,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,25,,,,1,,1,,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,4,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,4,,,,1,,,1,,,1,,18,,,,1,,5,,,,1,,,1,,2,,,1,,,,1,,,1,,13,,,1,,,3,,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,7,,,,1,,,1,,3,,,"Murthered by the Mother at St. Giles in the fields 1; Shot 2, one (accidentally) with a Pistol at S. Saviours Southwark, and One with a Pistol at St. Paul Covent Garden 2",,,,1,,,1,,2,,,"Kild 2, one by a fall into the hold of a Ship at St. Dunstan in the East, and One by accident at S. Mary Newington 2",,,124,,,111,,,235,,,158,,,150,,,308,,,0,,,-27,,,,1,,132,,,0,,
27621,37636,10313,1,1674,,,8,,,BL-1674-08-verso,,,2,,,February,,,9,,,February,,,2,,,11,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,3,,,6,,,,1,,,1,,55,,,33,,,,1,,,1,,,1,,12,,,1,,,Drowned at St. Mary Islington 1,,,,1,,,1,,,1,,21,,,,1,,36,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,22,,,,1,,,1,,,1,,,1,,,1,,2,,,6,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,12,,,6,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,5,,,,1,,,1,,,1,,1,,,12,,,11,,,,1,,,1,,1,,,3,,,,1,,,1,,17,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,2,,,"Murthered 2, one at S. Mary Islington, and One (an Infant) at St. Martin in the fields 2",,,,1,,,1,,3,,,"Kild 3, one by a fall down a pair of Staires at S. Katharine Tower 1; Kild... one with excessive drinking of Brandy at St. Clement Danes 1; Kild...Kild...and One shot himself (accidentally) with a Pistol at St. Margaret Westminster 1",,,138,,,115,,,253,,,151,,,148,,,299,,,0,,,-9,,,,1,,132,,,0,,
27622,37637,10314,1,1674,,,9,,,BL-1674-09-verso,,,9,,,February,,,16,,,February,,,3,,,22,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,5,,,6,,,,1,,,1,,66,,,43,,,,1,,,1,,,1,,9,,,1,,,Drowned at St. Katherine Creechurch 1,,,,1,,,1,,,1,,31,,,,1,,35,,,,1,,2,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,22,,,,1,,1,,,,1,,,1,,,1,,1,,,3,,,,1,,,1,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,8,,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,14,,,1,,,6,,,1,,,,1,,,1,,2,,,,1,,,1,,14,,,,1,,3,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,1,,,1,,,Murthered at St. Mary Islington 1,,,,1,,,1,,4,,,"Kild 4, one at St. Giles in the fields, one at St. Paul Covent Garden 2; Kild...and two by falls from Scaffolds of two several Ships at Stepney 2",,,128,,,116,,,244,,,186,,,141,,,327,,,0,,,28,,,,1,,132,,,0,,
27623,37638,10315,1,1674,,,10,,,BL-1674-10-verso,,,16,,,February,,,23,,,February,,,2,,1,25,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,6,,,6,,,,1,,,1,,71,,,48,,,,1,,,1,,,1,,17,,,,1,,,1,,,1,,,1,,,1,,25,,,1,,,29,,,,1,,4,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,23,,,,1,,,1,,,1,,,1,,,1,,3,,,4,,,,1,,,1,,2,,,,1,,4,,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,10,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,14,,,1,,,9,,,,1,,,1,,1,,,8,,,,1,,,1,,19,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,Kild by a fall from a house at Stepney 1; Scalded (by accident) in a Still-house at St. Leonard Shoreditch 1,,,124,,,130,,,254,,,183,,,167,,,350,,,0,,,23,,,,1,,132,,,0,,
