,,Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Week Number,is_missing,is_illegible,Unique Identifier,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,End Day,is_missing,is_illegible,End Month,is_missing,is_illegible,Abortive,is_missing,is_illegible,Aged,is_missing,is_illegible,Ague,is_missing,is_illegible,Apoplexy,is_missing,is_illegible,Asthma,is_missing,is_illegible,Bed-ridden,is_missing,is_illegible,Blasted,is_missing,is_illegible,Bleeding,is_missing,is_illegible,Bloody-flux,is_missing,is_illegible,Calenture,is_missing,is_illegible,Cancer,is_missing,is_illegible,Canker,is_missing,is_illegible,Chicken Pox,is_missing,is_illegible,Child-Bed,is_missing,is_illegible,Chrisoms,is_missing,is_illegible,Cold,is_missing,is_illegible,Colick,is_missing,is_illegible,Consumption,is_missing,is_illegible,Convulsion,is_missing,is_illegible,Cough,is_missing,is_illegible,Cramp,is_missing,is_illegible,Diabetes,is_missing,is_illegible,Dropsie,is_missing,is_illegible,Drowned,is_missing,is_illegible,Drowned (Descriptive Text),is_missing,is_illegible,Executed,is_missing,is_illegible,Executed (Descriptive Text),is_missing,is_illegible,Falling-sickness,is_missing,is_illegible,Fever,is_missing,is_illegible,Fistula,is_missing,is_illegible,Flox and Small-Pox,is_missing,is_illegible,Flox and Small-Pox (Descriptive Text),is_missing,is_illegible,Flux,is_missing,is_illegible,Found dead,is_missing,is_illegible,Found Dead (Descriptive Text),is_missing,is_illegible,French-Pox,is_missing,is_illegible,Frets,is_missing,is_illegible,Gangreen,is_missing,is_illegible,Gout,is_missing,is_illegible,Gravel,is_missing,is_illegible,Grief,is_missing,is_illegible,Griping in the Guts,is_missing,is_illegible,Headache,is_missing,is_illegible,Headmouldshot,is_missing,is_illegible,Hooping Cough,is_missing,is_illegible,Hiccough,is_missing,is_illegible,Horshoehead,is_missing,is_illegible,Impostume,is_missing,is_illegible,Infants,is_missing,is_illegible,Inflammation,is_missing,is_illegible,Itch,is_missing,is_illegible,Jaundies,is_missing,is_illegible,Jaw-fallen,is_missing,is_illegible,Kings Evil,is_missing,is_illegible,Leprosie,is_missing,is_illegible,Lethargy,is_missing,is_illegible,Liver-grown,is_missing,is_illegible,Looseness,is_missing,is_illegible,Lunatick and Frenzy,is_missing,is_illegible,Malignant Fever,is_missing,is_illegible,Meagrim,is_missing,is_illegible,Measles,is_missing,is_illegible,Miscarriage,is_missing,is_illegible,Mortification,is_missing,is_illegible,Mother,is_missing,is_illegible,Noli me tangere,is_missing,is_illegible,Overlaid,is_missing,is_illegible,Palsie,is_missing,is_illegible,Plague,is_missing,is_illegible,Planet,is_missing,is_illegible,Plurisie,is_missing,is_illegible,Purples,is_missing,is_illegible,Quinsie,is_missing,is_illegible,Rash,is_missing,is_illegible,Rheumatism,is_missing,is_illegible,Rickets,is_missing,is_illegible,Rising of the Lights,is_missing,is_illegible,Running of the Reins,is_missing,is_illegible,Rupture,is_missing,is_illegible,Scald Head,is_missing,is_illegible,Scarlet Fever,is_missing,is_illegible,Sciatica,is_missing,is_illegible,Scowring,is_missing,is_illegible,Scurvy,is_missing,is_illegible,Sores,is_missing,is_illegible,Shingles,is_missing,is_illegible,Spleen,is_missing,is_illegible,Spotted-Fever,is_missing,is_illegible,St. Anthony's Fire,is_missing,is_illegible,Starved,is_missing,is_illegible,Starved (Description),is_missing,is_illegible,Still-born,is_missing,is_illegible,Stone,is_missing,is_illegible,Stopping of the Stomach,is_missing,is_illegible,Strangury,is_missing,is_illegible,Strongullion,is_missing,is_illegible,Suddenly,is_missing,is_illegible,Surfeit,is_missing,is_illegible,Swelling in the Throat,is_missing,is_illegible,Swine-Pox,is_missing,is_illegible,Teeth,is_missing,is_illegible,Thrush,is_missing,is_illegible,Tissick,is_missing,is_illegible,Tympany,is_missing,is_illegible,Twisting of the Guts,is_missing,is_illegible,Ulcer,is_missing,is_illegible,Vapours,is_missing,is_illegible,Vomiting,is_missing,is_illegible,Water in the Head,is_missing,is_illegible,Wen,is_missing,is_illegible,Wind,is_missing,is_illegible,Wolf,is_missing,is_illegible,Worms,is_missing,is_illegible,Killed,is_missing,is_illegible,Killed (Descriptive Text),is_missing,is_illegible,Suicide,is_missing,is_illegible,Suicide (Descriptive Text),is_missing,is_illegible,Other,is_missing,is_illegible,Other (Descriptive Text),is_missing,is_illegible,Christened (Male),is_missing,is_illegible,Christened (Female),is_missing,is_illegible,Christened (In All),is_missing,is_illegible,Buried (Male),is_missing,is_illegible,Buried (Female),is_missing,is_illegible,Buried (All),is_missing,is_illegible,Plague Deaths,is_missing,is_illegible,Increase/Decrease in Burials,is_missing,is_illegible,Increase/Decrease in Plague Deaths,is_missing,is_illegible,Parishes Clear of the Plague,is_missing,is_illegible,Parishes Infected (with Plague),is_missing,is_illegible
BL-1680-25-verso,TRUE,30691,38219,10611,1,1680,,,25,,,BL-1680-25-verso,,,1,,,June,,,8,,,June,,,4,,,19,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,5,,,3,,,,1,,,1,,69,,,70,,,,1,,,1,,,1,,13,,,1,,,Drown'd at S. Kathar. Tower 1;,,,,1,,,1,,,1,,66,,,,1,,26,,,,1,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,38,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,8,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,6,,,,1,,,1,,,1,,14,,,1,,,9,,,,1,,,1,,2,,,3,,,,1,,,1,,13,,,3,,,3,,,2,,,,1,,2,,,,1,,2,,,,1,,,1,,,1,,,1,,2,,,1,,,Kild by a Waggon at S. Giles in the Fields 1;,,,,1,,,1,,1,,,Poysoned at S. Martin in the Fields 1;,,,134,,,150,,,284,,,220,,,284,,,404,,,0,,,21,,,,1,,134,,,0,,
BL-1682-01-verso,TRUE,30045,38044,10245,1,1682,,,1,,,BL-1682-01-verso,,,19,,,December,,,26,,,December,,,5,,,21,,,1,,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,5,,,2,,,,1,,,1,,61,,,47,,,1,,,,1,,,1,,11,,,1,,,Drown'd at S. Botolph Aldergate 1;,,,,1,,,1,,,1,,41,,,1,,,42,,,,1,,,1,,1,,,Found dead in the Fields at S. Stephen Colemanstreet;,,,2,,,,1,,1,,,,1,,,1,,,1,,34,,,,1,,,1,,,1,,,1,,,1,,3,,1,2,,1,,1,,,1,,2,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,4,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,7,,,3,,,3,,,,1,,,1,,,1,,10,,,,1,,,1,,12,,,,1,,2,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,1,1,,,Murdred (an Infant) at St. Martin in the Fields 1;,,,1,,,Poysoned herself (being distracted at S. Mildred Poultry;,,,4,,,"Bruised 1; Burnt accidentally at St. Saviours Southwark 1; Kill'd 2, one by an accidental Fall from a House at S. Giles in the Fields, and one by a Fall into the Hould of a Ship at St. Kathar. Tower 2",,,131,,,128,,,259,,,187,,,163,,,350,,,0,,,-48,,,,1,,132,,,0,,
BL-1682-02-verso,TRUE,30046,38045,10246,1,1682,,,2,,,BL-1682-02-verso,,,26,,,December,,,2,,,January,,,6,,,32,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,5,,,4,,,,1,,,1,,56,,,54,,,,1,,,1,,,1,,16,,,1,,,Drown'd at Stepney;,,,,1,,,1,,,1,,49,,,,1,,32,,,,1,,2,,,1,,,"Found dead in the street, an Infant at S. James Dukes Place 1",,,2,,,,1,,2,,,,1,,,1,,,1,,30,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,8,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,9,,,2,,,6,,,,1,,,1,,,1,,6,,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,3,,,"Hanged themselves (being distracted) 3. one at S Olave Southwark, one at S. Martin in the Fields, and one at S. Margaret Westminster;",,,,1,,,1,,153,,,119,,,272,,,190,,,170,,,360,,,0,,,10,,,,1,,132,,,0,,
BL-1682-03-verso,TRUE,30047,38046,10247,1,1682,,,3,,,BL-1682-03-verso,,,2,,,January,,,9,,,January,,,2,,,27,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,7,,,1,,,,1,,,1,,55,,,58,,,,1,,,1,,,1,,19,,,,1,,,1,,,1,,,1,,,1,,52,,,,1,,36,,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,28,,,,1,,,1,,,1,,,1,,,1,,1,,,4,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,9,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,6,,,,1,,7,,,,1,,,1,,6,,1,6,,,,1,,,1,,16,,,3,,,6,,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,Burnt by accident at St. Martin in the Fields 1,,,130,,,136,,,266,,,188,,,183,,,371,,,0,,,11,,,,1,,132,,,0,,
BL-1682-04-verso,TRUE,30048,38047,10248,1,1682,,,4,,,BL-1682-04-verso,,,9,,,January,,,16,,,January,,,3,,,26,,,1,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,3,,,,1,,,1,,76,,,58,,,1,,,,1,,,1,,14,,,,1,,,1,,,1,,,1,,,1,,43,,,,1,,38,,,,1,,1,,,,1,,,1,,1,,,,1,,1,,,3,,,,1,,,1,,39,,,,1,,,1,,,1,,,1,,,1,,4,,,8,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,1,2,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,13,,,,1,,6,,,,1,,,1,,3,,,7,,,,1,,,1,,16,,,1,,,6,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,Hang'd herself at S. Sepulchres,,,3,,,Burnt by accident at St. Leonard Shoreditch 1; Kill'd 2. one at S. Dunstan in the West 1; Kil'd...and one by a Fall from a Horse at Stepney 1,,,163,,,161,,,324,,,224,,,171,,,395,,,0,,,24,,,,1,,132,,,0,,
BL-1682-05-verso,TRUE,30049,38048,10249,1,1682,,,5,,,BL-1682-05-verso,,,16,,,January,,,23,,,January,,,6,,,19,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,8,,,5,,,,1,,,1,,64,,,53,,,,1,,,1,,,1,,16,,,,1,,,1,,,1,,,1,,,1,,46,,,,1,,33,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,41,,,,1,,,1,,,1,,,1,,,1,,4,,,2,,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,9,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,12,,,,1,,8,,,,1,,,1,,1,,,2,,,,1,,,1,,18,,,2,,,4,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,2,,,,1,,2,,,,1,,,1,,1,,,"Cut her own Throat, being Distracted, at Alhallows Barkin",,,2,,,Burnt by accident at Lambeth 1;  Smothered aboard a Ship at S. Katherine Tower 1,,,155,,,129,,,284,,,195,,,184,,,379,,,0,,,-16,,,,1,,132,,,0,,
BL-1682-06-verso,TRUE,30050,38049,10250,1,1682,,,6,,,BL-1682-06-verso,,,23,,,January,,,30,,,January,,,1,,,18,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,4,,,,1,,1,,,67,,,67,,,,1,,,1,,,1,,13,,,3,,,"Drowned 3, two at S. Olave Southwark, and one at S. Kathar. Tower",,,,1,,,1,,,1,,39,,,1,,,28,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,32,,,,1,,1,,,,1,,,1,,,1,,2,,,3,,,,1,,,1,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,6,,,4,,,,1,,1,,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,7,,,1,,,13,,,,1,,,1,,2,,,7,,,,1,,,1,,14,,,1,,,11,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,1,,,Muthered at S. Sepulchres 1;,,,,1,,,1,,4,,,Burnt by accident at S. Leonard Shoreditch 1; Chin-cough 2; Kil'd by a Fall at S. Martin in the Fields;,,,161,,,127,,,288,,,194,,,188,,,382,,,0,,,3,,,,1,,132,,,0,,
BL-1682-07-verso,TRUE,30051,38050,10258,1,1682,,,7,,,BL-1682-07-verso,,,30,,,January,,,6,,,February,,,2,,,22,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,6,,,5,,,1,,,1,,,83,,,70,,,,1,,,1,,,1,,16,,,1,,,Drown'd at Stepney,,,,1,,,1,,,1,,41,,,,1,,38,,,,1,,1,,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,42,,,,1,,1,,,,1,,,1,,,1,,1,,,4,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,12,,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,6,,,1,,,12,,,,1,,,1,,,1,,8,,,,1,,,1,,18,,,4,,,4,,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,Sore Leg - 1;,,,164,,,123,,,287,,,230,,,198,,,428,,,0,,,46,,,,1,,132,,,0,,
BL-1682-08-verso,TRUE,30052,38051,10259,1,1682,,,8,,,BL-1682-08-verso,,,6,,,February,,,13,,,February,,,4,,,24,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,14,,,1,,,,1,,,1,,60,,,74,,,,1,,,1,,,1,,19,,,1,,,Drown'd accidentally at Alhallowes the Great 1;,,,,1,,,1,,,1,,47,,,2,,,34,,,,1,,3,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,34,,,,1,,1,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,11,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,12,,,2,,,4,,,,1,,,1,,,1,,6,,,,1,,,1,,23,,,2,,,7,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,1,,,Murthered (an Infant) at S. Paul Covent Garden - 1;,,,1,,,"Cut her own Throat, being distracted, at St. Botolph Bishopgate - 1;",,,1,,,Sore Leg  1,,,167,,,132,,,299,,,205,,,201,,,406,,,0,,,-22,,,,1,,132,,,0,,
BL-1682-09-verso,TRUE,30053,38052,10260,1,1682,,,9,,,BL-1682-09-verso,,,13,,,February,,,20,,,February,,,4,,,29,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,7,,,,1,,,1,,,1,,60,,,52,,,,1,,,1,,,1,,11,,,,1,,,1,,,1,,,1,,,1,,41,,,3,,,44,,,,1,,2,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,10,,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,6,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,11,,,6,,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,4,,,1,,,,1,,,1,,13,,,,1,,12,,,,1,,,1,,1,,,5,,,,1,,,1,,18,,,3,,,6,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,Murther'd at S. Andrew Holborn - 1;,,,,1,,,1,,4,,,Burnt by accident at S. Giles in the Fields 1; Kill'd 3. One accidentally at S. Martin in the Fields 1; Kill'd...one by a Fall into the Hold of a Ship 1; Kil'd...and one by a Fall betwixt two Lighters at S. Katha. Tower 1,,,142,,,138,,,280,,,226,,,182,,,408,,,0,,,2,,,,1,,132,,,0,,
