"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique Identifier","Start day","Start month","End day","End month","Penny Loaf Troy Weight - White","Penny Loaf Troy Weight - Wheaten","Penny Loaf Troy Weight - Household","Penny Loaf Common Weight - White","Penny Loaf Common Weight - Wheaten","Penny Loaf Common Weight - Household","Two Penny Loaf Common Weight - White","Two Penny Loaf Common Weight - Wheaten","Two Penny Loaf Common Weight - Household","Six Penny Loaf Common Weight - Wheaten","Six Penny Loaf Common Weight - Household","Twelve Penny Loaf Common Weight - Wheaten","Twelve Penny Loaf Common Weight - Household","Eighteen Penny Loaf Common Weight - Wheaten","Eighteen Penny Loaf Common Weight - Household","Quartern Loaf Common Weight - Wheaten","Quartern Loaf Common Weight - Household","Half Peck Loaf Common Weight - Wheaten","Half Peck Loaf Common Weight - Household","Peck Loaf Common Weight - Wheaten","Peck Loaf Common Weight - Household",Salt
712,19857,957,1,1701,14,Laxton-1700-14-verso,18,March,25,March,00;07;14,00;11;10,00;15;07,00;08;07,00;12;10,00;16;14,,,,,,,,,,,,,,,,"56 I. to the Bushel 5 s."
713,19858,977,1,1701,15,Laxton-1701-15-verso,25,March,1,April,00;07;14,00;11;10,00;15;07,00;08;07,00;12;10,00;16;14,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
714,19859,12023,1,1701,16,Laxton-1701-16-verso,1,April,8,April,07;14,11;10,15;07,08;07,12;10,16;14,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
715,19860,12024,1,1701,17,Laxton-1701-17-verso,8,April,15,April,08;06,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
716,19861,12025,1,1701,18,Laxton-1701-18-verso,15,April,22,April,08;06,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
717,19862,12026,1,1701,19,Laxton-1701-19-verso,22,April,29,April,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
718,19863,12027,1,1701,20,Laxton-1701-20-verso,29,April,6,May,08;00,12;00,16;01,08;12,13;03,17;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
759,19864,12028,1,1701,21,Laxton-1701-21-verso,6,May,13,May,08;06,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
760,19865,12029,1,1701,22,Laxton-1701-22-verso,13,May,20,May,08;06,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
761,19866,12030,1,1701,23,Laxton-1701-23-verso,20,May,27,May,08;06,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
762,19867,12031,1,1701,24,Laxton-1701-24-verso,27,May,3,June,08;06,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
763,19868,12032,1,1701,25,Laxton-1701-25-verso,3,June,10,June,08;06,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
764,19869,12033,1,1701,26,Laxton-1701-26-verso,10,June,17,June,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
765,19870,12034,1,1701,27,Laxton-1701-27-verso,17,June,24,June,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
766,19871,12035,1,1701,28,Laxton-1701-28-verso,24,June,1,July,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
767,19872,12036,1,1701,29,Laxton-1701-29-verso,1,July,7,July,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
768,19873,12037,1,1701,30,Laxton-1701-30-verso,8,July,15,July,09;00,13;10,17;19,09;15,14;13,19;12,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
769,19874,12038,1,1701,31,Laxton-1701-31-verso,15,July,22,July,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
770,19875,12039,1,1701,32,Laxton-1701-32-verso,22,July,29,July,08;00,12;00,16;01,08;12,13;02,17;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
771,19876,12040,1,1701,33,Laxton-1701-33-verso,29,July,5,August,08;00,12;00,16;01,08;12,13;02,17;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
772,19877,12041,1,1701,34,Laxton-1701-34-verso,5,August,12,August,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
773,19878,12042,1,1701,35,Laxton-1701-35-verso,12,August,19,August,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
774,19879,12073,1,1701,36,Laxton-1701-36-verso,19,August,26,August,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
