"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,is_missing,is_illegible,"Week Number",is_missing,is_illegible,"Unique Identifier",is_missing,is_illegible,"Start Day",is_missing,is_illegible,"Start Month",is_missing,is_illegible,"End Day",is_missing,is_illegible,"End Month",is_missing,is_illegible,Abortive,is_missing,is_illegible,Aged,is_missing,is_illegible,Ague,is_missing,is_illegible,Apoplexy,is_missing,is_illegible,Asthma,is_missing,is_illegible,Bed-ridden,is_missing,is_illegible,Blasted,is_missing,is_illegible,Bleeding,is_missing,is_illegible,Bloody-flux,is_missing,is_illegible,Calenture,is_missing,is_illegible,Cancer,is_missing,is_illegible,Canker,is_missing,is_illegible,"Chicken Pox",is_missing,is_illegible,Child-Bed,is_missing,is_illegible,Chrisoms,is_missing,is_illegible,Cold,is_missing,is_illegible,Colick,is_missing,is_illegible,Consumption,is_missing,is_illegible,Convulsion,is_missing,is_illegible,Cough,is_missing,is_illegible,Cramp,is_missing,is_illegible,Diabetes,is_missing,is_illegible,Dropsie,is_missing,is_illegible,Drowned,is_missing,is_illegible,"Drowned (Descriptive Text)",is_missing,is_illegible,Executed,is_missing,is_illegible,"Executed (Descriptive Text)",is_missing,is_illegible,Falling-sickness,is_missing,is_illegible,Fever,is_missing,is_illegible,Fistula,is_missing,is_illegible,"Flox and Small-Pox",is_missing,is_illegible,"Flox and Small-Pox (Descriptive Text)",is_missing,is_illegible,Flux,is_missing,is_illegible,"Found dead",is_missing,is_illegible,"Found Dead (Descriptive Text)",is_missing,is_illegible,French-Pox,is_missing,is_illegible,Frets,is_missing,is_illegible,Gangreen,is_missing,is_illegible,Gout,is_missing,is_illegible,Gravel,is_missing,is_illegible,Grief,is_missing,is_illegible,"Griping in the Guts",is_missing,is_illegible,Headache,is_missing,is_illegible,Headmouldshot,is_missing,is_illegible,"Hooping Cough",is_missing,is_illegible,Hiccough,is_missing,is_illegible,Horshoehead,is_missing,is_illegible,Impostume,is_missing,is_illegible,Infants,is_missing,is_illegible,Inflammation,is_missing,is_illegible,Itch,is_missing,is_illegible,Jaundies,is_missing,is_illegible,Jaw-fallen,is_missing,is_illegible,"Kings Evil",is_missing,is_illegible,Leprosie,is_missing,is_illegible,Lethargy,is_missing,is_illegible,Liver-grown,is_missing,is_illegible,Looseness,is_missing,is_illegible,"Lunatick and Frenzy",is_missing,is_illegible,"Malignant Fever",is_missing,is_illegible,Meagrim,is_missing,is_illegible,Measles,is_missing,is_illegible,Miscarriage,is_missing,is_illegible,Mortification,is_missing,is_illegible,Mother,is_missing,is_illegible,"Noli me tangere",is_missing,is_illegible,Overlaid,is_missing,is_illegible,Palsie,is_missing,is_illegible,Plague,is_missing,is_illegible,Planet,is_missing,is_illegible,Plurisie,is_missing,is_illegible,Purples,is_missing,is_illegible,Quinsie,is_missing,is_illegible,Rash,is_missing,is_illegible,Rheumatism,is_missing,is_illegible,Rickets,is_missing,is_illegible,"Rising of the Lights",is_missing,is_illegible,"Running of the Reins",is_missing,is_illegible,Rupture,is_missing,is_illegible,"Scald Head",is_missing,is_illegible,"Scarlet Fever",is_missing,is_illegible,Sciatica,is_missing,is_illegible,Scowring,is_missing,is_illegible,Scurvy,is_missing,is_illegible,Sores,is_missing,is_illegible,Shingles,is_missing,is_illegible,Spleen,is_missing,is_illegible,Spotted-Fever,is_missing,is_illegible,"St. Anthony's Fire",is_missing,is_illegible,Starved,is_missing,is_illegible,"Starved (Description)",is_missing,is_illegible,Still-born,is_missing,is_illegible,Stone,is_missing,is_illegible,"Stopping of the Stomach",is_missing,is_illegible,Strangury,is_missing,is_illegible,Strongullion,is_missing,is_illegible,Suddenly,is_missing,is_illegible,Surfeit,is_missing,is_illegible,"Swelling in the Throat",is_missing,is_illegible,Swine-Pox,is_missing,is_illegible,Teeth,is_missing,is_illegible,Thrush,is_missing,is_illegible,Tissick,is_missing,is_illegible,Tympany,is_missing,is_illegible,"Twisting of the Guts",is_missing,is_illegible,Ulcer,is_missing,is_illegible,Vapours,is_missing,is_illegible,Vomiting,is_missing,is_illegible,"Water in the Head",is_missing,is_illegible,Wen,is_missing,is_illegible,Wind,is_missing,is_illegible,Wolf,is_missing,is_illegible,Worms,is_missing,is_illegible,Killed,is_missing,is_illegible,"Killed (Descriptive Text)",is_missing,is_illegible,Suicide,is_missing,is_illegible,"Suicide (Descriptive Text)",is_missing,is_illegible,Other,is_missing,is_illegible,"Other (Descriptive Text)",is_missing,is_illegible,"Christened (Male)",is_missing,is_illegible,"Christened (Female)",is_missing,is_illegible,"Christened (In All)",is_missing,is_illegible,"Buried (Male)",is_missing,is_illegible,"Buried (Female)",is_missing,is_illegible,"Buried (All)",is_missing,is_illegible,"Plague Deaths",is_missing,is_illegible,"Increase/Decrease in Burials",is_missing,is_illegible,"Increase/Decrease in Plague Deaths",is_missing,is_illegible,"Parishes Clear of the Plague",is_missing,is_illegible,"Parishes Infected (with Plague)",is_missing,is_illegible
24376,34791,3665,1,1636,,,20,,,Bodleian-1636-20-verso,,,28,,,April,,,5,,,May,,,2,,,14,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,18,,,,,,1,,,45,,,9,,,,,,,,,,,,7,,,,,,,,,,,,,,,1,,,25,,,,,,3,,,"flox 1; small-pox 2",,,,,,1,,,"Dead in the streete at Saint Clement Danes.",,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,18,,,,,,,,,1,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,9,,,2,,,,,,,,,,,,6,,,,,,1,,,"Starved at nurse at S. Giles in the fields",,,7,,,1,,,,,,,,,,,,,,,4,,,,,,,,,5,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Sore Mouth",,,102,,,95,,,197,,,119,,,87,,,206,,,4,,,-6,,,,,,,,,,,
24377,34792,3674,1,1636,,,21,,,Bodleian-1636-21-verso,,,5,,,May,,,12,,,May,,,,,,12,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,6,,,20,,,,,,1,,,49,,,7,,,1,,,,,,,,,8,,,1,,,"Drowned at Saint Katherins Tower",,,2,,,,1,,,,,34,,,,,,3,,,"flox 0; small-pox 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,16,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,12,,,1,,,,,,,,,,,,,,,5,,,,,,1,,,7,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,2,,,3,,,"one with a Coach at S. Dunstans in the West; one with a fall at Saint Sepulchres; Muthered by his mother at S. Saviours in Southwarke",,,,,,,,,,,,,,,108,,,91,,,199,,,142,,,112,,,254,,,41,,,48,,,,,,,,,,,
24378,34793,3669,1,1636,,,22,,,Bodleian-1636-22-verso,,,12,,,May,,,19,,,May,,,1,,,19,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,16,,,,,,,,,54,,,12,,,3,,,,,,,,,8,,,1,,,"Drowned at Saint Mary Whitechappell",,,,,,,,,,,,24,,,,,,4,,,"flox 0; small-pox 4",,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,4,,,1,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,1,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,9,,,,,,1,,,"Starved at nurse at Saint Leonards in Fosterlane",,,7,,,1,,,,,,,,,,,,,,,5,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,"Found murthered in the fields (an Infant) at Saint Martins in the fields 1",,,,,,,,,1,,,"Sore throate 1",,,72,,,99,,,171,,,138,,,106,,,244,,,22,,,-10,,,,,,,,,,,
24379,34794,3668,1,1636,,,23,,,Bodleian-1636-23-verso,,,19,,,May,,,26,,,May,,,2,,,13,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,4,,,14,,,,,,1,,,45,,,6,,,,,,,,,,,,8,,,2,,,"one at S. Anne in Blackfryers, and one at S.Katherins Tower",,,,,,,,,1,,,33,,,,,,1,,,"flox 0; small-pox 1",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,,,,,,,3,,,1,,,2,,1,,,,,,,6,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,39,,,,,,,,,,,,1,,,,,,,,,3,,,1,,,,,,2,,,,,,,,,,,,4,,,1,,,,,,,,,,,,7,,,,,,,,,,,,12,,,,,,1,,,1,,,,,,,,,8,,,,,,,,,11,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,"Sore breft; Sore throate",,,69,,,91,,,160,,,134,,,129,,,263,,,39,,,19,,,,,,,,,,,
24380,34795,3671,1,1636,,,24,,,Bodleian-1636-24-verso,,,26,,,May,,,2,,,June,,,,,,14,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,20,,,,,,2,,,44,,,17,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,32,,,1,,,4,,,"flox 1; small-pox 3",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,10,,,,,,,,,2,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,51,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,8,,,2,,,,,,,,,,,,2,,,11,,,,,,2,,,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,"Kild with a dray at S. Mary Whitechapell",,,,,,,,,1,,,"Broke her neck down a paire of stares a S. Saviours Southwarke",,,,,1,83,,,189,,,152,,,124,,,276,,,51,,,13,,,,,,,,,,,
24381,34796,3677,1,1636,,,27,,,Bodleian-1636-27-verso,,,16,,,June,,,23,,,June,,,1,,,7,,,,,,1,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,6,,,15,,,,,,,,,39,,,9,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,26,,,,,,4,,,"flox 2; small-pox 2",,,1,,,1,,,"Found dead in the field at S. Martin in the fields",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,,,,,,,1,,,,,,2,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,65,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,,7,,,,,,1,,,11,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Kild with a fall from a horse at S. Michael Royall",,,79,,,70,,,149,,,123,,,134,,,275,,,65,,,-68,,,,,,,,,,,
24382,34797,3670,1,1636,,,29,,,Bodleian-1636-29-verso,,,30,,,June,,,7,,,July,,,1,,,8,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,15,,,,,,,,,48,,,6,,,1,,,,,,,,,4,,,2,,,"Drowned at S. Katherines Tower",,,1,,,,1,,,,,34,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,64,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,9,,,,,,,,,,,,12,,,,,,1,,,,,,,,,1,,,7,,,,,,,,,14,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,Issue,,,70,,,82,,,152,,,149,,,116,,,265,,,64,,,-8,,,,,,,,,,,
24383,34798,3673,1,1636,,,30,,,Bodleian-1636-30-verso,,,7,,,July,,,14,,,July,,,1,,,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,10,,,,,,,,,44,,,3,,,,,,,,,,,,8,,,1,,,"Drowned at S. Katherines Tower ",,,,,,,,,,,,37,,,,,,7,,,"flox 2; small-pox 5",,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,9,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,11,,,,,,,,,19,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,"Stabd at S. Botolph Algate",,,1,,,"Hanged herselfe at S. Martins in the fields",,,1,,,"Kild with a horse at S. Martins in the fields",,,83,,,59,,,142,,,171,,,127,,,298,,,86,,,33,,,,,,,,,,,
24384,34799,3679,1,1636,,,33,,,Bodleian-1636-33-verso,,,28,,,July,,,4,,,August,,,,,,11,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,10,,,,,,,,,50,,,15,,,,,,,,,,,,4,,,2,,,"one at S. Andrewes in the Wardrobe, & one at S. Katherines Tower",,,,,,,,,,,,39,,,,,,3,,,"flox 1; small-pox 2",,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,17,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,,,,,,,,,,,,5,,,,,,1,,,1,,,,,,,,,8,,,,,,,,,14,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Sore Leg ",,,90,,,62,,,152,,,223,,,171,,,394,,,181,,,29,,,,,,,,,,,
24385,34800,3685,1,1636,,,34,,,Bodleian-1636-34-verso,,,4,,,August,,,11,,,August,,,,,,14,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,13,,,,,,1,,,32,,,12,,,1,,,,,,,,,6,,,1,,,"Drowned at Saint Mary Whitechappell ",,,,,,,,,,,,42,,,,,,3,,,"flox 0; small-pox 3",,,,,,1,,,"Found nailed up in a Coffin (a child) of the French Pox at S. Magnus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,13,,,,,,,,,1,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,244,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,14,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,8,,,,,,,,,20,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,"Hanged himselfe at Saint Olaves Hartstreet",,,2,,,"Fall 1; Sore Mouth 1",,,98,,,68,,,166,,,245,,,220,,,465,,,244,,,71,,,,,,,,,,,
