Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Week,is_missing,is_illegible,Unique ID,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,End Day,is_missing,is_illegible,End month,is_missing,is_illegible,St Alban Woodstreet - Buried,is_missing,is_illegible,Alhallows Barking - Buried,is_missing,is_illegible,Allhallows Breadstreet - Buried,is_missing,is_illegible,Allhallows Great - Buried,is_missing,is_illegible,Alhallows Honylane - Buried,is_missing,is_illegible,Alhallows Lesse - Buried,is_missing,is_illegible,Alhallows Lumbardstreet - Buried,is_missing,is_illegible,Alhallows Stayning - Buried,is_missing,is_illegible,Alhallows the Wall - Buried,is_missing,is_illegible,St Alphage - Buried,is_missing,is_illegible,St Andrew Hubbard - Buried,is_missing,is_illegible,St Andrew Undershaft - Buried,is_missing,is_illegible,St Andrew Wardrobe - Buried,is_missing,is_illegible,St Ann Aldersgate - Buried,is_missing,is_illegible,St Ann Blackfryers - Buried,is_missing,is_illegible,St Antholins Parish - Buried,is_missing,is_illegible,St Austins Parish - Buried,is_missing,is_illegible,St Bartholomew Exchange - Buried,is_missing,is_illegible,St Bennet Fynck - Buried,is_missing,is_illegible,St Bennet Gracechurch - Buried,is_missing,is_illegible,St Bennet Paulswharf - Buried,is_missing,is_illegible,St Bennet Sherehog - Buried,is_missing,is_illegible,St Botolph Billingsgate - Buried,is_missing,is_illegible,Christ Church - Buried,is_missing,is_illegible,St Christophers - Buried,is_missing,is_illegible,St Clement Eastcheap - Buried,is_missing,is_illegible,St Dionis Backchurch - Buried,is_missing,is_illegible,St Dunstan East - Buried,is_missing,is_illegible,St Edmund Lumbardstr. - Buried,is_missing,is_illegible,St Ethelborough - Buried,is_missing,is_illegible,St Faith - Buried,is_missing,is_illegible,St Foster - Buried,is_missing,is_illegible,St Gabriel Fenchurch - Buried,is_missing,is_illegible,St George Botolphlane - Buried,is_missing,is_illegible,St Gregory by St Pauls - Buried,is_missing,is_illegible,St Hellen - Buried,is_missing,is_illegible,St James Dukes place - Buried,is_missing,is_illegible,St James Garlickhithe - Buried,is_missing,is_illegible,St John Baptist - Buried,is_missing,is_illegible,St John Evangelist - Buried,is_missing,is_illegible,St John Zachary - Buried,is_missing,is_illegible,St Katharine Coleman - Buried,is_missing,is_illegible,St Katharine Creechurch - Buried,is_missing,is_illegible,St Lawrence Jewry - Buried,is_missing,is_illegible,St Lawrence Pountney - Buried,is_missing,is_illegible,St Leonard Eastcheap - Buried,is_missing,is_illegible,St Leonard Fosterlane - Buried,is_missing,is_illegible,St Magnus Parish - Buried,is_missing,is_illegible,St Margaret Lothbury - Buried,is_missing,is_illegible,St Margaret Moses - Buried,is_missing,is_illegible,St Margaret Newfishstreet - Buried,is_missing,is_illegible,St Margaret Pattons - Buried,is_missing,is_illegible,St Mary Abchurch - Buried,is_missing,is_illegible,St Mary Aldermanbury - Buried,is_missing,is_illegible,St Mary Aldermary - Buried,is_missing,is_illegible,St Mary le Bow - Buried,is_missing,is_illegible,St Mary Bothaw - Buried,is_missing,is_illegible,St Mary Colechurch - Buried,is_missing,is_illegible,St Mary Hill - Buried,is_missing,is_illegible,St Mary Mounthaw - Buried,is_missing,is_illegible,St Mary Sommerset - Buried,is_missing,is_illegible,St Mary Stayning - Buried,is_missing,is_illegible,St Mary Woolchurch - Buried,is_missing,is_illegible,St Mary Woolnoth - Buried,is_missing,is_illegible,St Martin Iremongerlane - Buried,is_missing,is_illegible,St Martin Ludgate - Buried,is_missing,is_illegible,St Martin Orgars - Buried,is_missing,is_illegible,St Martin Outwich - Buried,is_missing,is_illegible,St Martin Vintrey - Buried,is_missing,is_illegible,St Matthew Fridaystreet - Buried,is_missing,is_illegible,St Maudlin Milkstreet - Buried,is_missing,is_illegible,St Maudlin Oldfishstreet - Buried,is_missing,is_illegible,St Michael Bassishaw - Buried,is_missing,is_illegible,St Michael Cornhil - Buried,is_missing,is_illegible,St Michael Crookedlane - Buried,is_missing,is_illegible,St Michael Queenhithe - Buried,is_missing,is_illegible,St Michael Quern - Buried,is_missing,is_illegible,St Michael Royal - Buried,is_missing,is_illegible,St Michael Woodstreet - Buried,is_missing,is_illegible,St Mildred Breadstreet - Buried,is_missing,is_illegible,St Mildred Poultrey - Buried,is_missing,is_illegible,St Nicholas Acons - Buried,is_missing,is_illegible,St Nicholas Coleabby - Buried,is_missing,is_illegible,St Nicholas Olaves - Buried,is_missing,is_illegible,St Olave Hartstreet - Buried,is_missing,is_illegible,St Olave Jewry - Buried,is_missing,is_illegible,St Olave Silverstreet - Buried,is_missing,is_illegible,St Pancras Pancras street - Buried,is_missing,is_illegible,St Peter Cheap - Buried,is_missing,is_illegible,St Peter Cornhil - Buried,is_missing,is_illegible,St Peter Paulswharf - Buried,is_missing,is_illegible,St Peter Poor - Buried,is_missing,is_illegible,St Steven Colemanstreet - Buried,is_missing,is_illegible,St Steven Walbrook - Buried,is_missing,is_illegible,St Swithin- Buried,is_missing,is_illegible,St Thomas Apostles - Buried,is_missing,is_illegible,Trinity Parish - Buried,is_missing,is_illegible,Christened in the 97 parishes within the walls,is_missing,is_illegible,Buried in the 97 parishes within the walls,is_missing,is_illegible,Plague in the 97 parishes within the walls,is_missing,is_illegible,St Andrew Holborn - Buried,is_missing,is_illegible,St Bartholomew Great - Buried,is_missing,is_illegible,St Bartholomew Less - Buried,is_missing,is_illegible,St Botolph Aldersgate - Buried,is_missing,is_illegible,St Botolph Aldgate - Buried,is_missing,is_illegible,St Botolph Bishopsgate - Buried,is_missing,is_illegible,Bridewel Precinct - Buried,is_missing,is_illegible,St Bridget - Buried,is_missing,is_illegible,St Dunstan West - Buried,is_missing,is_illegible,St George Southwark - Buried,is_missing,is_illegible,St Giles Cripplegate - Buried,is_missing,is_illegible,St John Southwark,is_missing,is_illegible,St Olave Southwark - Buried,is_missing,is_illegible,Saviours Southwark - Buried,is_missing,is_illegible,S Sepulchres Parish - Buried,is_missing,is_illegible,St Thomas Southwark - Buried,is_missing,is_illegible,Trinity Minories - Buried,is_missing,is_illegible,Pesthouse Without the Walls - Buried,is_missing,is_illegible,Christened in the parishes without the walls,is_missing,is_illegible,Buried in the parishes without the walls,is_missing,is_illegible,Plague in the parishes without the walls,is_missing,is_illegible,St. Ann in Middlesex - Buried,is_missing,is_illegible,Christ Church in Surry - Buried,is_missing,is_illegible,Christ Church in Middlesex - Buried,is_missing,is_illegible,St George in Bloomsbury - Buried,is_missing,is_illegible,St. George in Middlesex,is_missing,is_illegible,St. George by Queen's Square - Buried,is_missing,is_illegible,St Giles in the Field - Buried,is_missing,is_illegible,Hackney Parish - Buried,is_missing,is_illegible,St John at Wapping - Buried,is_missing,is_illegible,St James Clerkenwel - Buried,is_missing,is_illegible,St Katharine Tower - Buried,is_missing,is_illegible,Lambeth Parish - Buried,is_missing,is_illegible,St Leonard Shoreditch - Buried,is_missing,is_illegible,St. Luke in Middlesex - Buried,is_missing,is_illegible,St Magdalen Bermondsey - Buried,is_missing,is_illegible,St Mary Islington - Buried,is_missing,is_illegible,St Mary Newington - Buried,is_missing,is_illegible,St Mary Whitechappel - Buried,is_missing,is_illegible,St Matthew at Bethnal Green - Buried,is_missing,is_illegible,St Pauls Shadwel - Buried,is_missing,is_illegible,Rothorith Parish - Buried,is_missing,is_illegible,Stepney Parish - Buried,is_missing,is_illegible,Christened in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Buried in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Plague in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,St Ann in Westminster - Buried,is_missing,is_illegible,St Clement Danes - Buried,is_missing,is_illegible,St George by Hanover Square - Buried,is_missing,is_illegible,St James in Westminster - Buried,is_missing,is_illegible,St. John the Evangelist - Buried,is_missing,is_illegible,St Paul Covent Garden - Buried,is_missing,is_illegible,St Martin in the fields - Buried,is_missing,is_illegible,St Mary Savoy - Buried,is_missing,is_illegible,St Mary le Strand,is_missing,is_illegible,St Margaret Westminster - Buried,is_missing,is_illegible,Pesthouse in Westminster,is_missing,is_illegible,Christened in the Parishes and Liberties of Westminster,is_missing,is_illegible,Buried in the Parishes and Liberties of Westminster,is_missing,is_illegible,Plague in the Parishes and Liberties of Westminster,is_missing,is_illegible
1011,381,376,1,1702,,,1,,,Laxton-1702-01-recto,,,15,,,December,,,22,,,December,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,2,,,1,,,,1,,1,,,1,,,1,,,5,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,1,,,,1,,,1,,,1,,3,,,1,,,1,,,2,,,,1,,1,,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,1,,,,1,,1,,,1,,,1,,,,1,,,1,,1,,,43,,,46,,,0,,,18,,,2,,,1,,,2,,,8,,,6,,,,1,,10,,,1,,,5,,,20,,,,1,,16,,,13,,,13,,,,1,,2,,,,1,,100,,,117,,,0,,,,1,,3,,,,1,,,1,,,1,,,1,,19,,,8,,,6,,,8,,,2,,,8,,,10,,,,1,,7,,,,1,,6,,,17,,,,1,,5,,,4,,,39,,,105,,,142,,,0,,,9,,,16,,,,1,,20,,,,1,,3,,,43,,,1,,,,1,,16,,,,1,,55,,,108,,,0,,
1355,485,391,1,1704,,,1,,,Laxton-1704-01-recto,,,19,,,December,,,26,,,December,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,3,,,1,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,1,,,3,,,,1,,,1,,,1,,2,,,,1,,2,,,3,,,,1,,1,,,,1,,2,,,25,,,47,,,,1,,25,,,2,,,,1,,4,,,10,,,11,,,,1,,9,,,4,,,8,,,17,,,,1,,13,,,11,,,9,,,1,,,,1,,,1,,85,,,124,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,21,,,,1,,6,,,8,,,1,,,6,,,14,,,,1,,6,,,2,,,3,,,18,,,,1,,10,,,5,,,44,,,106,,,156,,,,1,,5,,,12,,,,1,,12,,,,1,,4,,,27,,,1,,,,1,,15,,,,1,,,1,,68,,,76,,
1487,537,228,1,1705,,,1,,,Laxton-1705-01-recto,,,,,,,,,25,,,December,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,4,,,,1,,,1,,3,,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,3,,,1,,,1,,,,1,,,1,,,1,,,1,,2,,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,21,,,37,,,,1,,16,,,,1,,,1,,,1,,12,,,15,,,,1,,4,,,,1,,8,,,20,,,,1,,18,,,15,,,16,,,,1,,,1,,,1,,83,,,124,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,20,,,4,,,6,,,10,,,,1,,,1,,9,,,,1,,7,,,,1,,4,,,4,,,,1,,7,,,,1,,35,,,78,,,109,,,,1,,7,,,11,,,,1,,21,,,,1,,2,,,20,,,3,,,,1,,16,,,,1,,72,,,80,,,,1,
1664,588,732,1,1706,,,1,,,Laxton-1706-01-recto,,,,1,,,1,,17,,,December,,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,2,,,3,,,,1,,,1,,2,,,1,,,,1,,5,,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,1,,,4,,,,1,,,1,,,1,,1,,,,1,,,1,,3,,,,1,,,1,,2,,,,1,,,1,,,1,,2,,,1,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,2,,,,1,,2,,,3,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,4,,,1,,,,1,,,1,,,1,,59,,,63,,,,1,,20,,,,1,,,1,,5,,,14,,,7,,,,1,,3,,,2,,,9,,,24,,,,1,,13,,,9,,,11,,,4,,,,1,,,1,,100,,,121,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,32,,,8,,,10,,,7,,,,1,,5,,,8,,,,1,,10,,,1,,,2,,,18,,,,1,,15,,,4,,,40,,,112,,,162,,,,1,,8,,,4,,,,1,,15,,,,1,,4,,,23,,,4,,,,1,,11,,,,1,,75,,,69,,,,1,
1797,641,358,1,1707,,,1,,,Laxton-1707-01-recto,,,,1,,,1,,23,,,December,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,3,,,,1,,,1,,1,,,3,,,1,,,6,,,,1,,1,,,1,,,,1,,,1,,2,,,,1,,,1,,5,,,1,,,,1,,,1,,1,,,,1,,,1,,2,,,1,,,,1,,,1,,3,,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,2,,,2,,,,1,,,1,,,1,,1,,,3,,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,3,,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,41,,,63,,,,1,,24,,,2,,,,1,,10,,,7,,,13,,,,1,,7,,,6,,,8,,,25,,,,1,,13,,,11,,,12,,,2,,,,1,,,1,,71,,,140,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,32,,,3,,,7,,,9,,,2,,,2,,,13,,,,1,,10,,,1,,,5,,,9,,,,1,,9,,,8,,,34,,,101,,,146,,,,1,,8,,,5,,,,1,,12,,,,1,,10,,,31,,,2,,,,1,,10,,,,1,,48,,,78,,,,1,
1979,693,491,1,1708,,,1,,,Laxton-1708-01-recto,,,,1,,,1,,21,,,December,,,2,,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,4,,,,1,,1,,,,1,,2,,,3,,,,1,,1,,,1,,,,1,,,1,,2,,,,1,,3,,,3,,,,1,,,1,,,1,,2,,,3,,,2,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,1,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,32,,,60,,,,1,,29,,,,1,,,1,,3,,,12,,,8,,,,1,,6,,,7,,,12,,,18,,,,1,,20,,,17,,,12,,,3,,,,1,,,1,,77,,,147,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,22,,,,1,,3,,,4,,,1,,,4,,,8,,,,1,,12,,,2,,,2,,,12,,,,1,,4,,,2,,,34,,,120,,,113,,,,1,,8,,,11,,,,1,,21,,,,1,,6,,,24,,,4,,,,1,,12,,,,1,,70,,,86,,,,1,
2111,745,605,1,1709,,,1,,,Laxton-1709-01-recto,,,,1,,,1,,20,,,December,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,3,,,1,,,1,,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,4,,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,2,,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,3,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,1,,,,1,,,1,,35,,,42,,,,1,,19,,,,1,,,1,,4,,,14,,,11,,,,1,,5,,,4,,,12,,1,20,,,,1,,13,,,13,,,13,,,1,,,,1,,,1,,93,,,129,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,17,,,,1,,7,,,4,,,5,,,7,,,16,,,,1,,10,,,2,,,5,,,13,,,,1,,13,,,6,,,40,,,106,,,146,,,,1,,11,,,9,,,,1,,16,,,,1,,1,,,26,,,3,,,,1,,8,,,,1,,73,,,74,,,,1,
2338,797,567,1,1710,,,1,,,Laxton-1710-01-recto,,,,1,,,1,,19,,,December,,,,1,,2,,,1,,,1,,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,1,,,1,,,,1,,,1,,1,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,1,,,,1,,1,,,,1,,1,,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,1,,,2,,,3,,,1,,,1,,,1,,,1,,,27,,,44,,,,1,,18,,,4,,,1,,,1,,,13,,,11,,,,1,,5,,,3,,,2,,,30,,,,1,,11,,,9,,,14,,,1,,,,1,,,1,,96,,,123,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,26,,,,1,,3,,,4,,,5,,,3,,,11,,,,1,,7,,,3,,,5,,,4,,,,1,,9,,,4,,,39,,,96,,,126,,,,1,,6,,,9,,,,1,,19,,,,1,,2,,,22,,,4,,,,1,,19,,,,1,,50,,,81,,,,1,
2494,849,840,1,1711,,,1,,,Laxton-1711-01-recto,,,,1,,,1,,18,,,December,,,,1,,1,,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,2,,,,1,,2,,,,1,,,1,,3,,,,1,,,1,,3,,,,1,,1,,,,1,,2,,,2,,,1,,,2,,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,1,,,,1,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,1,,,,1,,,1,,1,,,,,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,1,,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,4,,,,1,,,1,,,1,,,1,,38,,,52,,,,1,,14,,,,1,,2,,,2,,,8,,,8,,,,1,,6,,,4,,,5,,,23,,,,1,,6,,,12,,,10,,,2,,,,1,,,1,,86,,,102,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,18,,,2,,,1,,,10,,,,1,,3,,,2,,,,1,,10,,,2,,,8,,,11,,,,1,,9,,,1,,,30,,,100,,,108,,,,1,,6,,,6,,,,1,,20,,,,1,,3,,,39,,,,1,,,1,,11,,,,1,,74,,,85,,,,1,
2653,902,620,1,1712,,,1,,,Laxton-1712-01-recto,,,,1,,,1,,23,,,December,,,,1,,3,,,1,,,1,,,,1,,1,,,,1,,1,,,2,,,,1,,,1,,1,,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,1,,,1,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,2,,,4,,,,1,,,1,,,1,,,1,,25,,,48,,,,1,,32,,,,1,,,1,,6,,,14,,,14,,,,1,,7,,,4,,,7,,,21,,1,,1,,16,,,10,,,13,,,7,,,2,,,,1,,109,,,153,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,29,,,3,,,3,,,8,,,5,,,8,,,11,,,,1,,7,,,3,,,,1,,11,,,,1,,10,,,4,,,45,,,97,,,149,,,,1,,4,,,11,,,,1,,12,,,,1,,4,,,32,,,2,,,,1,,14,,,,1,,59,,,89,,,,1,
