"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,is_missing,is_illegible,Week,is_missing,is_illegible,"Unique Identifier",is_missing,is_illegible,"Start day",is_missing,is_illegible,"Start month",is_missing,is_illegible,"End day",is_missing,is_illegible,"End month",is_missing,is_illegible,"Penny Loaf Troy Weight - White",is_missing,is_illegible,"Penny Loaf Troy Weight - Wheaten",is_missing,is_illegible,"Penny Loaf Troy Weight - Household",is_missing,is_illegible,"Penny Loaf Common Weight - White",is_missing,is_illegible,"Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Penny Loaf Common Weight - Household",is_missing,is_illegible,"Two Penny Loaf Common Weight - White",is_missing,is_illegible,"Two Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Two Penny Loaf Common Weight - Household",is_missing,is_illegible,"Six Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Six Penny Loaf Common Weight - Household",is_missing,is_illegible,"Twelve Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Twelve Penny Loaf Common Weight - Household",is_missing,is_illegible,"Eighteen Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Eighteen Penny Loaf Common Weight - Household",is_missing,is_illegible,"Quartern Loaf Common Weight - Wheaten",is_missing,is_illegible,"Quartern Loaf Common Weight - Household",is_missing,is_illegible,"Half Peck Loaf Common Weight - Wheaten",is_missing,is_illegible,"Half Peck Loaf Common Weight - Household",is_missing,is_illegible,"Peck Loaf Common Weight - Wheaten",is_missing,is_illegible,"Peck Loaf Common Weight - Household",is_missing,is_illegible,Salt,is_missing,is_illegible
699,39582,11996,1,1700,,,1,,,Laxton-1700-01-verso,,,,,,December,,,24,,,December,,,08;00,,,12;00,,,16;01,,,08;12,,,13;03,,,17;10,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
700,39583,11997,1,1700,,,2,,,Laxton-1700-02-verso,,,24,,,December,,,31,,,December,,,08;00,,,12;00,,,16;01,,,08;12,,,13;03,,,17;10,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
701,39584,12005,1,1700,,,3,,,Laxton-1700-03-verso,,,31,,,December,,,7,,,January,,,08;00,,,12;00,,,16;01,,,08;12,,,13;03,,,17;10,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
702,39585,12006,1,1700,,,4,,,Laxton-1700-04-verso,,,7,,,January,,,14,,,January,,,08;00,,,12;00,,,16;01,,,08;12,,,13;03,,,17;10,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
703,39586,12007,1,1700,,,5,,,Laxton-1700-05-verso,,,14,,,January,,,21,,,January,,,08;00,,,12;00,,,16;01,,,08;12,,,13;03,,,17;10,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
704,39587,12008,1,1700,,,6,,,Laxton-1700-06-verso,,,21,,,January,,,28,,,January,,,08;00,,,12;00,,,16;01,,,08;12,,,13;03,,,17;10,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
705,39588,12009,1,1700,,,7,,,Laxton-1700-07-verso,,,28,,,January,,,4,,,February,,,08;06,,,12;10,,,16;14,,,09;02,,,13;12,,,18;04,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
706,39589,12010,1,1700,,,8,,,Laxton-1700-08-verso,,,4,,,February,,,11,,,February,,,08;06,,,12;10,,,16;14,,,09;02,,,13;12,,,18;04,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
707,39590,12011,1,1700,,,9,,,Laxton-1700-09-verso,,,11,,,February,,,18,,,February,,,08;06,,,12;10,,,16;14,,,09;02,,,13;12,,,18;04,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
708,39591,12012,1,1700,,,10,,,Laxton-1700-10-verso,,,18,,,February,,,25,,,February,,,08;06,,,12;10,,,16;14,,,09;02,,,13;12,,,18;04,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
