monarchicalParish,canonicalDBN
"Albans, in Woodstreet",St Alban Wood Street
"Alhallowes-Barking, in Towerstreet",All Hallows Barking
"Alhallowes-Great, near the Stilyard",All Hallows the Great
"Alhallowes-Lesse, at Cole-harbor",All Hallows the Less
"Alhallowes-Stayning, in Marke-lane",All Hallows Staining
"Alhallowes-Wall, near Broadstreet",All Hallows London Wall
"Alhallowes, in Breadstreet",All Hallows Bread Street
"Alhallowes, in Lumbardstreet",All Hallows Lombard Street
"Alphage, within Cripplegate",St Alphage
Andrew-Holborn,St Andrew Holborn
"Andrew-Hubbard, near little East-cheap",St Andrew Hubbard
"Andrew-Undershaft, in Leaden-hall-street",St Andrew Undershaft
"Andrew, by the Wardrobe",St Andrew Wardrobe
"Anne, in Blackfryers",St Ann Blackfriars
"Anne, within Aldersgate",St Anne Aldersgate
"Antholins, in Watling-street",St Antholin
"Austins, at the Old-Change",St Austin
Bartholomew-Great,St Bartholomew Great
Bartholomew-Less,St Bartholomew Less
Bennet Paulswharfe,St Benet Paul's Wharf
Bennet-Grace-Church,St Benet Gracechurch
"Botolph-Billingsgate, in Thamestreet",St Botolph Billingsgate
"Botolph, without Aldersgate",St Botolph Aldersgate
"Botolph, without Aldgate",St Botolph Aldgate
"Botolph, without Bishopsgate",St Botolph Bishopsgate
"Brides, near Fleetstreet",St Bride
Bridewell-Precinct,Bridewell Precinct
Christ-Church,Christ Church
"Clement-Danes, without Temple-Bar",St Clement Danes
"Clement, by East-cheap",St Clement Eastcheap
"Dunstans-East, near Tower-street",St Dunstan East
"Dunstans-West, in Fleetstreet",St Dunstan West
"Ethelborough, within Bishopsgate",St Ethelburga
"Faiths, under St. Pauls the Cathedral",St Faith under St Paul's
"Fosters, in Fosterlane",St Vedast alias Foster
"George, in Southwark",St George Southwark
"Giles, in the Fields",St Giles in the Field
"Giles, without Cripplegate",St Giles Cripplegate
"Gregories, by St. Pauls",St Gregory by St Paul's
Hackney-Parish,St John at Hackney
"Hellens, within Bishopsgate",St Helen
James-Clerkenwel,St James Clerkenwell
"James, at Garlickhithe",St James Garlickhithe
"James, in Dukes-place",St James Duke's Place
"John-Baptist, near Downgate",St John Baptist
"John-Zachary, lower end of Fosterlane",St John Zachary
"Katherine-Coleman, in Fenchurch-street",St Katherine Coleman
Katherine-Creechurch within Aldgate,St Katherine Creechurch
"Katherine, near the Tower",St Katharine Tower
Lambeth-Parish,St Mary Lambeth
"Lawrence-Jewry, near Guildhal",St Lawrence Jewry
"Lawrence-Pountney, near Canningstreet",St Lawrence Pountney
"Leonard, in Fosterlane",St Leonard Foster Lane
"Leonard, in Shoreditch",St Leonard Shoreditch
"Magdalens, in Bermondsey-street",St Mary Magdalen Bermondsey
"Magnus, by London-Bridge",St Magnus
"Margaret-Moses, in Fridaystreet",St Margaret Moses
"Margaret-Pattons, in Roodlane",St Margaret Pattens
"Margaret, in Newfishstreet",St Margaret New Fish Street
"Margaret, in Westminster",St Margaret Westminster
Martins-Ludgate,St Martin Ludgate
"Martins-Orgars, near Canningstreet",St Martin Orgar
"Martins-Outwich, in Bishopsgatestreet",St Martin Outwich
"Martins-Vintrey, in Thamestreet",St Martin Vintry
"Martins, in the Fields",St Martin in the Fields
"Mary Savoy, in the Strand",St Mary Savoy
"Mary-Abchurch, near Canningstreet",St Mary Abchurch
"Mary-Aldermary, in Bow lane",St Mary Aldermay
"Mary-Bothaw, at Dowgate",St Mary Bothaw
"Mary-Colechurch, lower end of Cheapside",St Mary Colechurch
"Mary-le-Bow, in Cheapside",St Mary le Bow
"Mary-Mounthaw, near Broken-wharf",St Mary Mounthaw
"Mary-Summerset, at Broken-wharf",St Mary Somerset
"Mary-Woolnoth, in Lumbardstreet",St Mary Woolnoth
"Mary, at Islington",St Mary Islington
"Mary, at Newington Buts",St Mary Newington
"Mary, at Whitechappel",St Mary Whitechapel
"Mary, in Aldermanbury",St Mary Aldermanbury
Matthew-Fridaystreet,St Matthew Friday Street
Maudlins-Milkstreet,St Mary Magdalen Milk Street
Maudlins-Oldfishstreet,St Mary Magdalen Old Fish Street
"Michael-Bassishaw, near Guildhal",St Michael Bassishaw
Michael-Cornhil,St Michael Cornhill
Michael-Crookedlane,St Michael Crooked Lane
Michael-Queenhithe,St Michael Queenhithe
Mildred-Breadstreet,St Mildred Bread Street
"Mildred, in the Poultrey",St Mildred Poultrey
"Olaves-Hartstreet, in Crutchet-Fryers",St Olave Hart Street
"Olaves, in Southwark",St Olave Southwark
Paul Covent-Garden,St Paul Covent Garden
Peters-Cheapside,St Peter Cheap
"Peters-Poor, in Broadstreet",St Peter Poor
"Peters, in Cornhil",St Peter Cornhill
"Peters, near Paulswharfe",St Peter Paul's Wharf
Redrisse-Parish,St Mary Rotherhithe
"Saviours, in Southwark",St Saviour Southwark
"Sepulchres, without Newgate",St Sepulchre
Stepney-Parish,St Dunstan Stepney
"Stevens, in Colemanstreet",St Stephen Coleman Street
The Pest-house Without the Walls,Pesthouse Without the Walls
"Thomas, in Southwark",St Thomas Southwark
Trinity in the Minories,Holy Trinity Minories
"Trinity-Parish, in Trinity-lane",Trinity
,St Anne Limehouse
,Christ Church Surrey
,Christ Church Middlesex
,All Hallows Honey Lane
,St Bartholomew Exchange
,St Benet Fink
,St Benet Sherehog
,St Christopher
,St Dionis Backchurch
,St Edmund the King
,St Gabriel Fenchurch
,St George Botolph Lane
,St John Wapping
,St John Southwark
,St John Evangelist
,St Leonard Eastcheap
,St Luke Middlesex
,St Margaret Lothbury
,St Mary Hill
,St Mary Staining
,St Martin Ironmonger Lane
,St Michael Quern
,St Michael Royal
,St Michael Wood Street
,St Nicholas Acons
,St Nicholas Cole Abbey
,St Nicholas Olave
,St Olave Jewry
,St Olave Silver Street
,St Pancras Soper Lane
,St Peter Ad Vincula
,St Stephen Walbrook
,St Swithin
,St Thomas Apostle
,St George Bloomsbury
,St George Middlesex
,St George Queen's Square
,St Matthew Bethnal Green
,St Paul Shadwell
,St Anne Westminster
,St George Hanover Square
,St James Westminster
,St John Westminster
,St Mary le Strand
,Westminster Pesthouse
