Year,edited_cause,number,original_Year,original_cause,original_number
1629,Abortive,33,1629,abortive,33
1630,Abortive,16,1630,abortive,16
1702,Abortive,80,1702,abortive,80
1703,Abortive,111,1703,abortive,111
1704,Abortive,102,1704,abortive,102
1705,Abortive,79,1705,abortive,79
1706,Abortive,90,1706,abortive,90
1707,Abortive,108,1707,abortive,108
1708,Abortive,120,1708,abortive,120
1709,Abortive,86,1709,abortive,86
1710,Abortive,112,1710,abortive,112
1711,Abortive,76,1711,abortive,76
1712,Abortive,88,1712,abortive,88
1713,Abortive,80,1713,abortive,80
1714,Abortive,103,1714,abortive,103
1715,Abortive,68,1715,abortive,68
1716,Abortive,133,1716,abortive,133
1717,Abortive,89,1717,abortive,89
1718,Abortive,86,1718,abortive,86
1719,Abortive,84,1719,abortive,84
1720,Abortive,132,1720,abortive,132
1721,Abortive,111,1721,abortive,111
1722,Abortive,100,1722,abortive,100
1723,Abortive,86,1723,abortive,86
1724,Abortive,104,1724,abortive,104
1725,Abortive,81,1725,abortive,81
1726,Abortive,73,1726,abortive,73
1727,Abortive,62,1727,abortive,62
1728,Abortive,55,1728,abortive,55
1729,Abortive,55,1729,abortive,55
1730,Abortive,52,1730,abortive,52
1731,Abortive,60,1731,abortive,60
1631,Abortive & Still-born,410,1631,abortive and stilborne,410
1632,Abortive & Still-born,445,1632,abortive and stilborne,445
1633,Abortive & Still-born,500,1633,abortive and stilborne,500
1634,Abortive & Still-born,475,1634,abortive and stilborne,475
1635,Abortive & Still-born,507,1635,abortive and stilborne,507
1636,Abortive & Still-born,523,1636,abortive and stilborne,523
1641,Abortive & Still-born,511,1641,abortive and stilborne,511
1649,Abortive & Still-born,327,1649,abortive and stilborne,327
1650,Abortive & Still-born,351,1650,abortive and stilborne,351
1651,Abortive & Still-born,381,1651,abortive and stilborne,381
1652,Abortive & Still-born,381,1652,abortive and stilborne,381
1653,Abortive & Still-born,384,1653,abortive and stilborne,384
1654,Abortive & Still-born,433,1654,abortive and stilborne,433
1655,Abortive & Still-born,483,1655,abortive and stilborne,483
1656,Abortive & Still-born,519,1656,abortive and stilborne,519
1657,Abortive & Still-born,463,1657,abortive and stillborne,463
1658,Abortive & Still-born,467,1658,abortive and stilborne,467
1659,Abortive & Still-born,421,1659,abortive and stilborne,421
1660,Abortive & Still-born,544,1660,abortive and stilborne,544
1661,Abortive & Still-born,511,1661,abortive and stilborne,511
1662,Abortive & Still-born,523,1662,abortive and stillborn,523
1663,Abortive & Still-born,550,1663,abortive and stilborne,550
1664,Abortive & Still-born,523,1664,abortive and stilborne,523
1665,Abortive & Still-born,617,1665,abortive and stilborne,617
1666,Abortive & Still-born,477,1666,abortive and stilborn,477
1667,Abortive & Still-born,488,1667,abortive and stilborn,488
1668,Abortive & Still-born,571,1668,abortive and stilborn,571
1669,Abortive & Still-born,517,1669,abortive and stilborn,517
1670,Abortive & Still-born,632,1670,abortive and stilborn,632
1671,Abortive & Still-born,600,1671,abortive and stilborn,600
1672,Abortive & Still-born,580,1672,abortive and stilborn,580
1673,Abortive & Still-born,616,1673,abortive and stilborn,616
1674,Abortive & Still-born,569,1674,abortive and stilborne,569
1675,Abortive & Still-born,712,1675,abortive and stilborn,712
1676,Abortive & Still-born,679,1676,abortive and stilborn,679
1677,Abortive & Still-born,664,1677,abortive and stilborn,664
1678,Abortive & Still-born,710,1678,abortive and stilborn,710
1679,Abortive & Still-born,669,1679,abortive and stilborn,669
1680,Abortive & Still-born,641,1680,abortive and stilborn,641
1681,Abortive & Still-born,653,1681,abortive and stilborn,653
1682,Abortive & Still-born,686,1682,abortive and stilborn,686
1683,Abortive & Still-born,692,1683,abortive and stilborn,692
1684,Abortive & Still-born,752,1684,abortive and stilborn,752
1685,Abortive & Still-born,759,1685,abortive and stilborn,759
1686,Abortive & Still-born,597,1686,abortive and stillborn,597
1687,Abortive & Still-born,733,1687,abortive and stillborn,733
1688,Abortive & Still-born,651,1688,abortive and stillborn,651
1689,Abortive & Still-born,635,1689,abortive and stillborn,635
1690,Abortive & Still-born,568,1690,abortive and stillborn,568
1691,Abortive & Still-born,551,1691,abortive and stillborn,551
1692,Abortive & Still-born,521,1692,abortive and stillborn,521
1693,Abortive & Still-born,599,1693,abortive and stillborn,599
1694,Abortive & Still-born,519,1694,abortive and stillborn,519
1695,Abortive & Still-born,613,1695,abortive and stillborn,613
1696,Abortive & Still-born,602,1696,abortive and stillborn,602
1697,Abortive & Still-born,604,1697,abortive and stillborn,604
1698,Abortive & Still-born,427,1698,abortive and stillborn,427
1699,Abortive & Still-born,533,1699,abortive and stillborn,533
1700,Abortive & Still-born,546,1700,abortive and stillborn,546
1701,Abortive & Still-born,628,1701,abortive and stillborn,628
1732,Abortive & Still-born,637,1732,abortive and stillborn,637
1733,Abortive & Still-born,656,1733,abortive and stillborn,656
1734,Abortive & Still-born,661,1734,abortive and stillborn,661
1735,Abortive & Still-born,590,1735,abortive and stillborn,590
1736,Abortive & Still-born,592,1736,abortive and stillborn,592
1737,Abortive & Still-born,641,1737,abortive and stillborn,641
1738,Abortive & Still-born,608,1738,abortive and stillborn,608
1739,Abortive & Still-born,602,1739,abortive and stillborn,602
1740,Abortive & Still-born,554,1740,abortive and stillborn,554
1741,Abortive & Still-born,548,1741,abortive and stillborn,548
1742,Abortive & Still-born,530,1742,abortive and stillborn,530
1743,Abortive & Still-born,601,1743,abortive and stillborn,601
1744,Abortive & Still-born,530,1744,abortive and stillborn,530
1745,Abortive & Still-born,512,1745,abortive and stillborn,512
1746,Abortive & Still-born,541,1746,abortive and stillborn,541
1747,Abortive & Still-born,554,1747,abortive and stillborn,554
1748,Abortive & Still-born,481,1748,abortive and stillborn,481
1749,Abortive & Still-born,611,1749,abortive and stillborn,611
1750,Abortive & Still-born,581,1750,abortive and stillborn,581
1751,Abortive & Still-born,572,1751,abortive and stillborn,572
1629,Aged,579,1629,aged,579
1630,Aged,662,1630,aged,662
1631,Aged,606,1631,aged,606
1632,Aged,628,1632,aged,628
1633,Aged,694,1633,aged,694
1634,Aged,612,1634,aged,612
1636,Aged,714,1636,aged,714
1649,Aged,889,1649,aged,889
1650,Aged,696,1650,aged,696
1652,Aged,834,1652,aged,834
1655,Aged,743,1655,aged,743
1656,Aged,892,1656,aged,892
1657,Aged,869,1657,aged,869
1658,Aged,1176,1658,aged,1176
1659,Aged,909,1659,aged,909
1660,Aged,1095,1660,aged,1095
1661,Aged,1302,1661,aged,1302
1662,Aged,1215,1662,aged,1215
1663,Aged,1171,1663,aged,1171
1664,Aged,1154,1664,aged,1154
1665,Aged,1545,1665,aged,1545
1667,Aged,952,1667,aged,952
1668,Aged,863,1668,aged,863
1702,Aged,1455,1702,aged,1455
1703,Aged,1563,1703,aged,1563
1704,Aged,1799,1704,aged,1799
1705,Aged,1746,1705,aged,1746
1706,Aged,1563,1706,aged,1563
1707,Aged,1965,1707,aged,1965
1708,Aged,1728,1708,aged,1728
1709,Aged,2056,1709,aged,2056
1710,Aged,1851,1710,aged,1851
1711,Aged,1722,1711,aged,1722
1712,Aged,1918,1712,aged,1918
1713,Aged,1939,1713,aged,1939
1714,Aged,2146,1714,aged,2146
1715,Aged,1931,1715,aged,1931
1716,Aged,1959,1716,aged,1959
1717,Aged,2011,1717,aged,2011
1718,Aged,2221,1718,aged,2221
1719,Aged,2384,1719,aged,2384
1720,Aged,2317,1720,aged,2317
1721,Aged,2309,1721,aged,2309
1722,Aged,2253,1722,aged,2253
1723,Aged,2225,1723,aged,2225
1724,Aged,2516,1724,aged,2516
1725,Aged,2194,1725,aged,2194
1726,Aged,2667,1726,aged,2667
1727,Aged,2516,1727,aged,2516
1728,Aged,2768,1728,aged,2768
1729,Aged,2681,1729,aged,2681
1730,Aged,1971,1730,aged,1971
1731,Aged,1675,1731,aged,1675
1732,Aged,1781,1732,aged,1781
1733,Aged,2207,1733,aged,2207
1734,Aged,1459,1734,aged,1459
1735,Aged,1595,1735,aged,1595
1736,Aged,1918,1736,aged,1918
1737,Aged,1984,1737,aged,1984
1738,Aged,1841,1738,aged,1841
1739,Aged,1770,1739,aged,1770
1740,Aged,2591,1740,aged,2591
1741,Aged,2512,1741,aged,2512
1742,Aged,2131,1742,aged,2131
1743,Aged,2429,1743,aged,2429
1744,Aged,1573,1744,aged,1573
1745,Aged,1843,1745,aged,1843
1746,Aged,2424,1746,aged,2424
1747,Aged,2010,1747,aged,2010
1748,Aged,2127,1748,aged,2127
1749,Aged,1983,1749,aged,1983
1750,Aged,1896,1750,aged,1896
1751,Aged,1688,1751,aged,1688
1635,Aged & Bed-ridden,794,1635,aged and bed-rid,794
1641,Aged & Bed-ridden,793,1641,aged and bed-rid,793
1651,Aged & Bed-ridden,780,1651,aged and bedrid,780
1653,Aged & Bed-ridden,864,1653,aged and bedrid,864
1654,Aged & Bed-ridden,974,1654,aged and bedrid,974
1666,Aged & Bed-ridden,611,1666,aged and bedridden,611
1669,Aged & Bed-ridden,964,1669,aged and bedridden,964
1670,Aged & Bed-ridden,923,1670,aged and bedridden,923
1671,Aged & Bed-ridden,725,1671,aged and bedridden,725
1672,Aged & Bed-ridden,912,1672,aged and bedridden,912
1673,Aged & Bed-ridden,866,1673,aged and bedridden,866
1674,Aged & Bed-ridden,1032,1674,aged and bedridden,1032
1675,Aged & Bed-ridden,1014,1675,aged and bedridden,1014
1676,Aged & Bed-ridden,1007,1676,aged and bedridden,1007
1677,Aged & Bed-ridden,934,1677,aged and bedridden,934
1678,Aged & Bed-ridden,1021,1678,aged and bedridden,1021
1679,Aged & Bed-ridden,1141,1679,aged and bedridden,1141
1680,Aged & Bed-ridden,1081,1680,aged and bedridden,1081
1681,Aged & Bed-ridden,1301,1681,aged and bedridden,1301
1682,Aged & Bed-ridden,1059,1682,aged and bedridden,1059
