year,count_type,all_mean_absolute_difference,all_comparable_weeks,legible_mean_absolute_difference,legible_comparable_weeks,total_weeks,illegible_weeks,legible_weeks,percent_legible,fully_legible
1635,buried,0.0,1,0.0,1,1,0,1,100.0,True
1635,plague,0.0,1,0.0,1,1,0,1,100.0,True
1636,buried,0.05,20,0.05555555555555555,18,20,2,18,90.0,False
1636,plague,0.0,20,0.0,18,20,2,18,90.0,False
1638,buried,0.3939393939393939,33,0.41935483870967744,31,33,2,31,93.93939393939394,False
1638,plague,0.0,33,0.0,31,33,2,31,93.93939393939394,False
1639,buried,1.837837837837838,37,1.6206896551724137,29,37,8,29,78.37837837837837,False
1639,plague,0.0,37,0.0,29,37,8,29,78.37837837837837,False
1640,buried,0.0,2,0.0,1,2,1,1,50.0,False
1640,plague,0.0,2,0.0,1,2,1,1,50.0,False
1641,buried,0.10526315789473684,19,0.0,18,19,1,18,94.73684210526316,False
1641,plague,0.05263157894736842,19,0.0,18,19,1,18,94.73684210526316,False
1642,buried,0.4375,48,0.3225806451612903,31,48,17,31,64.58333333333333,False
1642,plague,0.16666666666666666,48,0.0,31,48,17,31,64.58333333333333,False
1644,buried,1.025,40,1.1388888888888888,36,40,4,36,90.0,False
1644,plague,0.275,40,0.3055555555555556,36,40,4,36,90.0,False
1646,buried,0.17391304347826086,46,0.16129032258064516,31,47,16,31,65.95744680851064,False
1646,plague,0.8260869565217391,46,0.0,31,47,16,31,65.95744680851064,False
1647,buried,3.6666666666666665,48,1.25,24,48,24,24,50.0,False
1647,plague,2.5833333333333335,48,0.8333333333333334,24,48,24,24,50.0,False
1649,buried,4.935483870967742,31,1.3043478260869565,23,31,8,23,74.19354838709677,False
1649,plague,0.0,31,0.0,23,31,8,23,74.19354838709677,False
1651,buried,1.55,40,1.6470588235294117,34,41,6,35,85.36585365853658,False
1651,plague,0.0,40,0.0,34,41,6,35,85.36585365853658,False
1652,buried,0.125,8,0.14285714285714285,7,8,1,7,87.5,False
1652,plague,0.0,8,0.0,7,8,1,7,87.5,False
1653,buried,0.5208333333333334,48,0.046511627906976744,43,48,5,43,89.58333333333333,False
1653,plague,0.0,48,0.0,43,48,5,43,89.58333333333333,False
