year,comparable_weeks,arithmetic_errors,arithmetic_error_rate,total_weeks,illegible_weeks,legible_weeks,percent_legible,fully_legible
1663,52,10,19.23076923076923,52,18,34,65.38461538461539,False
1664,52,14,26.923076923076923,52,13,39,75.0,False
1665,48,13,27.083333333333332,48,16,32,66.66666666666667,False
1666,50,9,18.0,51,7,44,86.27450980392157,False
1667,47,6,12.76595744680851,48,0,48,100.0,True
1668,51,1,1.9607843137254901,51,0,51,100.0,True
1669,52,45,86.53846153846153,52,10,42,80.76923076923077,False
1670,52,20,38.46153846153846,52,8,44,84.61538461538461,False
1671,51,2,3.9215686274509802,51,0,51,100.0,True
1672,52,6,11.538461538461538,53,0,53,100.0,True
1673,51,9,17.647058823529413,51,11,40,78.43137254901961,False
1674,48,20,41.666666666666664,52,14,38,73.07692307692308,False
1675,52,14,26.923076923076923,52,9,43,82.6923076923077,False
1676,52,14,26.923076923076923,54,7,47,87.03703703703704,False
1677,52,27,51.92307692307692,53,5,48,90.56603773584905,False
1678,52,12,23.076923076923077,53,5,48,90.56603773584905,False
1679,50,20,40.0,51,4,47,92.15686274509804,False
1680,51,22,43.13725490196079,51,12,39,76.47058823529412,False
1681,52,23,44.23076923076923,52,9,43,82.6923076923077,False
1682,52,16,30.76923076923077,52,3,49,94.23076923076923,False
1683,51,22,43.13725490196079,51,0,51,100.0,True
1684,47,25,53.191489361702125,48,3,45,93.75,False
1685,52,22,42.30769230769231,52,4,48,92.3076923076923,False
1686,52,17,32.69230769230769,52,1,51,98.07692307692308,False
1687,52,13,25.0,52,2,50,96.15384615384616,False
1688,51,7,13.72549019607843,51,0,51,100.0,True
1689,51,11,21.568627450980394,51,4,47,92.15686274509804,False
1690,52,6,11.538461538461538,53,3,50,94.33962264150944,False
1691,52,5,9.615384615384615,53,9,44,83.01886792452831,False
1692,52,16,30.76923076923077,52,6,46,88.46153846153847,False
1693,51,18,35.294117647058826,51,15,36,70.58823529411765,False
1694,50,27,54.0,51,7,44,86.27450980392157,False
1695,52,14,26.923076923076923,53,10,43,81.13207547169812,False
1696,52,17,32.69230769230769,52,11,41,78.84615384615384,False
1697,52,13,25.0,52,9,43,82.6923076923077,False
1698,50,16,32.0,50,2,48,96.0,False
1699,51,8,15.686274509803921,51,2,49,96.07843137254902,False
1700,36,13,36.111111111111114,37,10,27,72.97297297297297,False
1701,45,13,28.88888888888889,46,14,32,69.56521739130434,False
1702,52,9,17.307692307692307,52,23,29,55.76923076923077,False
1703,52,6,11.538461538461538,52,14,38,73.07692307692308,False
1704,51,11,21.568627450980394,51,2,49,96.07843137254902,False
1705,52,14,26.923076923076923,52,5,47,90.38461538461539,False
1706,51,6,11.764705882352942,52,4,48,92.3076923076923,False
1707,53,5,9.433962264150944,53,4,49,92.45283018867924,False
1708,52,6,11.538461538461538,52,8,44,84.61538461538461,False
1709,52,9,17.307692307692307,52,16,36,69.23076923076923,False
1710,52,15,28.846153846153847,52,13,39,75.0,False
1711,51,13,25.49019607843137,52,13,39,75.0,False
1712,53,16,30.18867924528302,53,20,33,62.264150943396224,False
1713,49,15,30.612244897959183,50,18,32,64.0,False
1714,52,10,19.23076923076923,53,3,50,94.33962264150944,False
1715,51,10,19.607843137254903,51,5,46,90.19607843137256,False
1716,53,21,39.62264150943396,53,14,39,73.58490566037736,False
1717,46,25,54.34782608695652,52,26,26,50.0,False
1718,8,4,50.0,8,5,3,37.5,False
1719,48,8,16.666666666666668,48,6,42,87.5,False
1720,52,10,19.23076923076923,52,12,40,76.92307692307692,False
1721,47,6,12.76595744680851,48,11,37,77.08333333333333,False
1722,50,10,20.0,50,5,45,90.0,False
1723,52,14,26.923076923076923,53,12,41,77.35849056603773,False
1724,52,6,11.538461538461538,52,20,32,61.53846153846154,False
1725,52,7,13.461538461538462,52,18,34,65.38461538461539,False
1726,52,16,30.76923076923077,52,27,25,48.07692307692308,False
1727,52,13,25.0,52,24,28,53.84615384615385,False
1728,52,15,28.846153846153847,52,8,44,84.61538461538461,False
1729,52,23,44.23076923076923,53,21,32,60.37735849056604,False
1730,53,11,20.754716981132077,53,8,45,84.90566037735849,False
1731,52,8,15.384615384615385,52,4,48,92.3076923076923,False
1732,51,6,11.764705882352942,51,15,36,70.58823529411765,False
1733,52,10,19.23076923076923,53,10,43,81.13207547169812,False
1734,52,7,13.461538461538462,52,6,46,88.46153846153847,False
1735,52,7,13.461538461538462,52,10,42,80.76923076923077,False
1736,52,15,28.846153846153847,52,13,39,75.0,False
1737,52,12,23.076923076923077,52,11,41,78.84615384615384,False
1738,52,11,21.153846153846153,52,19,33,63.46153846153846,False
1739,52,26,50.0,52,19,33,63.46153846153846,False
1740,52,22,42.30769230769231,54,33,21,38.888888888888886,False
1741,29,22,75.86206896551724,29,21,8,27.586206896551722,False
1742,51,37,72.54901960784314,51,36,15,29.41176470588235,False
1743,51,20,39.21568627450981,51,18,33,64.70588235294117,False
1744,52,15,28.846153846153847,52,7,45,86.53846153846153,False
1745,52,16,30.76923076923077,53,18,35,66.0377358490566,False
1746,52,31,59.61538461538461,52,34,18,34.61538461538461,False
1747,52,20,38.46153846153846,52,20,32,61.53846153846154,False
1748,52,10,19.23076923076923,52,20,32,61.53846153846154,False
1749,52,10,19.23076923076923,52,9,43,82.6923076923077,False
1750,52,19,36.53846153846154,52,21,31,59.61538461538461,False
1751,41,16,39.02439024390244,41,14,27,65.85365853658537,False
1752,35,14,40.0,35,16,19,54.285714285714285,False
