printedYear,startMonth,startDay,endMonth,endDay,parish,cause,count,parishTotal,parishPlague,canonicalDBN
1665,March,13,March,20,"Albans, in Woodstreet",ffeaver,1.0,1.0,,St Alban Wood Street
1666,May,22,May,29,"Albans, in Woodstreet",Griefe,1.0,1.0,,St Alban Wood Street
1666,July,10,July,17,"Albans, in Woodstreet",Teeth,1.0,1.0,,St Alban Wood Street
1665,March,13,March,20,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,2.0,,All Hallows Barking
1665,March,13,March,20,"Alhallowes-Barking, in Towerstreet",Dropsy,1.0,2.0,,All Hallows Barking
1666,May,22,May,29,"Alhallowes-Barking, in Towerstreet",Jaundies,1.0,2.0,,All Hallows Barking
1666,May,22,May,29,"Alhallowes-Barking, in Towerstreet",Purples,1.0,2.0,,All Hallows Barking
1666,July,10,July,17,"Alhallowes-Barking, in Towerstreet",Chrisoms,2.0,4.0,,All Hallows Barking
1666,July,10,July,17,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,4.0,,All Hallows Barking
1666,July,10,July,17,"Alhallowes-Barking, in Towerstreet",Stone,1.0,4.0,,All Hallows Barking
1666,January,1,January,8,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,3.0,,All Hallows Barking
1666,January,1,January,8,"Alhallowes-Barking, in Towerstreet",Dropsy,2.0,3.0,,All Hallows Barking
1666,January,8,January,15,"Alhallowes-Barking, in Towerstreet",Convulcon,1.0,2.0,,All Hallows Barking
1666,January,8,January,15,"Alhallowes-Barking, in Towerstreet",Ulcer,1.0,2.0,,All Hallows Barking
1666,January,15,January,22,"Alhallowes-Barking, in Towerstreet",Childbed,1.0,2.0,,All Hallows Barking
1666,January,15,January,22,"Alhallowes-Barking, in Towerstreet",Tissick,1.0,2.0,,All Hallows Barking
1666,January,22,January,29,"Alhallowes-Barking, in Towerstreet",Convulcon,1.0,1.0,,All Hallows Barking
1667,March,10,March,17,"Alhallowes-Barking, in Towerstreet",Aged,1.0,2.0,,All Hallows Barking
1667,March,10,March,17,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,2.0,,All Hallows Barking
1667,April,23,April,30,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,3.0,,All Hallows Barking
1667,April,23,April,30,"Alhallowes-Barking, in Towerstreet",Ricketts,1.0,3.0,,All Hallows Barking
1667,April,23,April,30,"Alhallowes-Barking, in Towerstreet",Sore Legg ,1.0,3.0,,All Hallows Barking
1667,May,21,May,28,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,1.0,,All Hallows Barking
1668,May,26,June,2,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,4.0,,All Hallows Barking
1668,May,26,June,2,"Alhallowes-Barking, in Towerstreet",Dropsy,1.0,4.0,,All Hallows Barking
1668,May,26,June,2,"Alhallowes-Barking, in Towerstreet",Gripes,1.0,4.0,,All Hallows Barking
1668,May,26,June,2,"Alhallowes-Barking, in Towerstreet",Teeth,1.0,4.0,,All Hallows Barking
1669,June,1,June,8,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,2.0,,All Hallows Barking
1669,June,1,June,8,"Alhallowes-Barking, in Towerstreet",Convulcon,1.0,2.0,,All Hallows Barking
1669,June,22,June,29,"Alhallowes-Barking, in Towerstreet",Aged,1.0,4.0,,All Hallows Barking
1669,June,22,June,29,"Alhallowes-Barking, in Towerstreet",Small pox,1.0,4.0,,All Hallows Barking
1669,June,22,June,29,"Alhallowes-Barking, in Towerstreet",Gripes,1.0,4.0,,All Hallows Barking
1669,June,22,June,29,"Alhallowes-Barking, in Towerstreet",Thrush,1.0,4.0,,All Hallows Barking
1669,July,13,July,20,"Alhallowes-Barking, in Towerstreet",Gripeing in ye gutts,1.0,1.0,,All Hallows Barking
1669,July,20,July,27,"Alhallowes-Barking, in Towerstreet",Chrisoms,1.0,2.0,,All Hallows Barking
1669,July,20,July,27,"Alhallowes-Barking, in Towerstreet",Gripeing in ye gutts,1.0,2.0,,All Hallows Barking
1669,August,3,August,10,"Alhallowes-Barking, in Towerstreet",Dropsy,1.0,2.0,,All Hallows Barking
1669,August,3,August,10,"Alhallowes-Barking, in Towerstreet",Gripeing in ye gutts,1.0,2.0,,All Hallows Barking
1669,August,17,August,24,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,1.0,,All Hallows Barking
1669,August,24,August,31,"Alhallowes-Barking, in Towerstreet",Aged,1.0,7.0,,All Hallows Barking
1669,August,24,August,31,"Alhallowes-Barking, in Towerstreet",Gripes,2.0,7.0,,All Hallows Barking
1669,August,24,August,31,"Alhallowes-Barking, in Towerstreet",Quinsy,1.0,7.0,,All Hallows Barking
1669,August,24,August,31,"Alhallowes-Barking, in Towerstreet",Stone,1.0,7.0,,All Hallows Barking
1669,August,24,August,31,"Alhallowes-Barking, in Towerstreet",Tooth,2.0,7.0,,All Hallows Barking
1669,September,21,September,28,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,2.0,,All Hallows Barking
1669,September,21,September,28,"Alhallowes-Barking, in Towerstreet",Tissick,1.0,2.0,,All Hallows Barking
1669,October,5,October,12,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,3.0,,All Hallows Barking
1669,October,5,October,12,"Alhallowes-Barking, in Towerstreet",Gripeing in ye gutts,2.0,3.0,,All Hallows Barking
1669,November,16,November,23,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,1.0,,All Hallows Barking
1669,December,7,December,14,"Alhallowes-Barking, in Towerstreet",Aged,1.0,1.0,,All Hallows Barking
1669,December,21,December,28,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,2.0,,All Hallows Barking
1669,December,21,December,28,"Alhallowes-Barking, in Towerstreet",Convulcon,1.0,2.0,,All Hallows Barking
1665,March,13,March,20,"Alhallowes, in Breadstreet",Consumpcon,1.0,1.0,,All Hallows Bread Street
1669,July,20,July,27,"Alhallowes, in Breadstreet",Gripeing in ye gutts,1.0,1.0,,All Hallows Bread Street
1669,August,3,August,10,"Alhallowes, in Breadstreet",Gripeing in ye gutts,1.0,1.0,,All Hallows Bread Street
1669,September,21,September,28,"Alhallowes, in Breadstreet",Chrisoms,1.0,2.0,,All Hallows Bread Street
1669,September,21,September,28,"Alhallowes, in Breadstreet",Gripeing in ye gutts,1.0,2.0,,All Hallows Bread Street
1665,March,13,March,20,"Alhallowes-Great, near the Stilyard",Scowring,1.0,1.0,,All Hallows the Great
1666,May,22,May,29,"Alhallowes-Great, near the Stilyard",Teeth,1.0,1.0,,All Hallows the Great
1666,July,10,July,17,"Alhallowes-Great, near the Stilyard",Infant,1.0,1.0,,All Hallows the Great
1669,June,22,June,29,"Alhallowes-Great, near the Stilyard",Consumpcon,1.0,1.0,,All Hallows the Great
1669,July,27,August,3,"Alhallowes-Great, near the Stilyard",Teeth,1.0,1.0,,All Hallows the Great
1669,August,3,August,10,"Alhallowes-Great, near the Stilyard",ffeaver,1.0,1.0,,All Hallows the Great
1669,August,17,August,24,"Alhallowes-Great, near the Stilyard",Gripeing in ye gutts,1.0,1.0,,All Hallows the Great
1669,September,21,September,28,"Alhallowes-Great, near the Stilyard",Gripeing in ye gutts,1.0,1.0,,All Hallows the Great
1669,October,5,October,12,"Alhallowes-Great, near the Stilyard",ffeaver,1.0,1.0,,All Hallows the Great
1669,November,16,November,23,"Alhallowes-Great, near the Stilyard",Consumpcon,1.0,1.0,,All Hallows the Great
1669,December,7,December,14,"Alhallowes-Great, near the Stilyard",Stilborne,1.0,1.0,,All Hallows the Great
1665,March,13,March,20,"Alhallowes-Wall, near Broadstreet",Stone,1.0,1.0,,All Hallows London Wall
1666,April,10,April,17,"Alhallowes-Wall, near Broadstreet",Palsy,1.0,3.0,,All Hallows London Wall
1666,April,10,April,17,"Alhallowes-Wall, near Broadstreet",Quinsy,1.0,3.0,,All Hallows London Wall
1666,April,10,April,17,"Alhallowes-Wall, near Broadstreet",Stone,1.0,3.0,,All Hallows London Wall
1666,May,22,May,29,"Alhallowes-Wall, near Broadstreet",Consumpcon,2.0,3.0,,All Hallows London Wall
1666,May,22,May,29,"Alhallowes-Wall, near Broadstreet",Teeth,1.0,3.0,,All Hallows London Wall
1666,January,1,January,8,"Alhallowes-Wall, near Broadstreet",Surfett,1.0,1.0,,All Hallows London Wall
1666,January,8,January,15,"Alhallowes-Wall, near Broadstreet",Consumpcon,1.0,2.0,,All Hallows London Wall
1666,January,8,January,15,"Alhallowes-Wall, near Broadstreet",Impostume,1.0,2.0,,All Hallows London Wall
1666,January,15,January,22,"Alhallowes-Wall, near Broadstreet",Teeth,1.0,1.0,,All Hallows London Wall
1666,January,22,January,29,"Alhallowes-Wall, near Broadstreet",Consumpcon,2.0,2.0,,All Hallows London Wall
1668,April,14,April,21,"Alhallowes-Wall, near Broadstreet",Convulcon,1.0,2.0,,All Hallows London Wall
