parcode|parish|alias1|alias2|billsgroupbefore1660|billsgroupafter1660
AHBK|Allhallows Barking|||within|within
AHBS|Allhallows Breadstreet|||within|within
AHGT|Allhallows Great|||within|within
AHHL|Allhallows Honylane|||within|within
AHLB|Allhallows Lombardstreet|Allhallows Lumbardstreet||within|within
AHLS|Allhallows Lesse|||within|within
AHLW|Allhallows London Wall|Allhallows the Wall||within|within
AHSN|Allhallows Staining|||within|within
ALBW|St Alban Woodstreet|||within|within
ALPH|St Alphage|St Alphage near Sion-Coll||within|within
ANNA|St Ann Aldersgate|||within|within
ANNB|St Ann Blackfriars|St Ann Blackfryers||within|within
ANNL|St Ann at Limehouse|St Ann in Middlesex|St Ann||outparishes
ANTH|St Antholins Parish|St Anthony alias Antholins||within|within
ANWS|St Ann Westminster||||westminster
ASAP|All Saint's Poplar||||outparishes
AUGS|St Augustin/Austins|St Austins Parish||within|within
AWHB|St Andrew Holborn|||without|without
AWHD|St Andrew Hubbard|||within|within
AWUS|St Andrew Undershaft|||within|within
AWWD|St Andrew Wardrobe|||within|within
BENF|St Bennet Fynck|St Benedict v. Bennet Finck|St Benedict v. Bennet Fynck|within|within
BENG|St Bennet Gracechurch|||within|within
BENP|St Bennet Paulswharf|||within|within
BENS|St Bennet Sherehog|||within|within
BERM|St Magdalen Bermondsey|||outparishes|outparishes
BOAG|St Botolph Aldgate|||without|without
BOAR|St Botolph Aldersgate|||without|without
BOBL|St Botolph Billingsgate|||within|within
BOBP|St Botolph Bishopsgate|||without|without
BRDL|Bridewel Precinct|Bridewell Precinct||without|without
BRID|St Bridget|||without|without
BRTG|St Bartholomew Great|||without|without
BRTL|St Bartholomew Less|St Bartholomew Lesse||without|without
BRTX|St Bartholomew Exchange|||within|within
CHRC|Christs Church|||within|within
CHRS|St Christopher|St Christophers||within|within
CLED|St Clement Danes|||outparishes|westminster
CLEE|St Clement Eastcheap|||within|within
CLRK|St James Clerkenwel|St James Clerkenwell||outparishes|outparishes
CRCH|Christs Church|Christs Church in Surry|||outparishes
CRSF|Christs Church in Middlesex|Christs Church in Spittle Fields|||outparishes
DIOB|St Dionis Backchurch|||within|within
DUNE|St Dunstan East|||within|within
DUNW|St Dunstan West|||without|without
EDML|St Edmund Lumbardstreet|St Edmund the King|St Edmund|within|within
