weekID|yeartext|year|week|begindate|countsmissing|codmissing|breadmissing|agemissing|countsproblem|codproblem|breadproblem|ageproblem
1644/01|1643-44|1644|1||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/02|1643-44|1644|2||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/03|1643-44|1644|3||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/04|1643-44|1644|4||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/05|1643-44|1644|5||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/06|1643-44|1644|6||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/07|1643-44|1644|7||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/08|1643-44|1644|8||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/09|1643-44|1644|9||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/10|1643-44|1644|10||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/11|1643-44|1644|11||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/12|1643-44|1644|12||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/13|1643-44|1644|13||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/14|1643-44|1644|14||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1644/15|1643-44|1644|15|21-mar-1643|0|0|0|1||||not yet stated
1644/16|1643-44|1644|16|28-mar-1644|0|0|0|1||||not yet stated
1644/17|1643-44|1644|17|04-apr-1644|0|0|0|1||||not yet stated
1644/18|1643-44|1644|18|11-apr-1644|0|0|0|1||||not yet stated
1644/19|1643-44|1644|19|18-apr-1644|0|0|0|1||||not yet stated
1644/20|1643-44|1644|20|25-apr-1644|0|0|0|1||||not yet stated
1644/21|1643-44|1644|21||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/22|1643-44|1644|22||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/23|1643-44|1644|23||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/24|1643-44|1644|24||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/25|1643-44|1644|25||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/26|1643-44|1644|26||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/27|1643-44|1644|27||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/28|1643-44|1644|28||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/29|1643-44|1644|29||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/30|1643-44|1644|30||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/31|1643-44|1644|31||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/32|1643-44|1644|32||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/33|1643-44|1644|33||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/34|1643-44|1644|34||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/35|1643-44|1644|35||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/36|1643-44|1644|36||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/37|1643-44|1644|37||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/38|1643-44|1644|38||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/39|1643-44|1644|39||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/40|1643-44|1644|40||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/41|1643-44|1644|41||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/42|1643-44|1644|42||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/43|1643-44|1644|43||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/44|1643-44|1644|44||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/45|1643-44|1644|45||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/46|1643-44|1644|46||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/47|1643-44|1644|47||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/48|1643-44|1644|48||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/49|1643-44|1644|49||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/50|1643-44|1644|50||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/51|1643-44|1644|51||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1644/52|1643-44|1644|52||1|1|1|1|no Bill input|no Bill input|no Bill input|no Bill input
1645/01|1644-45|1645|1|19-dec-1644|0|0|0|1||||not yet stated
1645/02|1644-45|1645|2|26-dec-1644|0|0|0|1||||not yet stated
1645/03|1644-45|1645|3||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/04|1644-45|1645|4||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/05|1644-45|1645|5||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/06|1644-45|1645|6||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/07|1644-45|1645|7||1|1|1|1|no Bill|no Bill|no Bill|no Bill
