ageID|weekID|agegroup|ageyearmin|ageyearmax|agen
1|1729/01|under 2|0|1|141
2|1729/01|2-5|2|4|52
3|1729/01|5-10|5|9|17
4|1729/01|10-20|10|19|19
5|1729/01|20-30|20|29|32
6|1729/01|30-40|30|39|44
7|1729/01|40-50|40|49|55
8|1729/01|50-60|50|59|46
9|1729/01|60-70|60|69|30
10|1729/01|70-80|70|79|22
11|1729/01|80-90|80|89|8
12|1729/01|90 upwards|90|120|1
16|1729/02|under 2|0|1|171
17|1729/02|2-5|2|4|48
18|1729/02|5-10|5|9|26
19|1729/02|10-20|10|19|28
20|1729/02|20-30|20|29|43
21|1729/02|30-40|30|39|50
22|1729/02|40-50|40|49|55
23|1729/02|50-60|50|59|50
24|1729/02|60-70|60|69|48
25|1729/02|70-80|70|79|21
26|1729/02|80-90|80|89|19
27|1729/02|90 upwards|90|120|5
31|1729/03|under 2|0|1|219
32|1729/03|2-5|2|4|62
33|1729/03|5-10|5|9|31
34|1729/03|10-20|10|19|25
35|1729/03|20-30|20|29|55
36|1729/03|30-40|30|39|59
37|1729/03|40-50|40|49|81
38|1729/03|50-60|50|59|56
39|1729/03|60-70|60|69|41
40|1729/03|70-80|70|79|42
41|1729/03|80-90|80|89|28
42|1729/03|90 upwards|90|120|5
46|1729/04|under 2|0|1|170
47|1729/04|2-5|2|4|73
48|1729/04|5-10|5|9|17
49|1729/04|10-20|10|19|23
50|1729/04|20-30|20|29|61
51|1729/04|30-40|30|39|41
52|1729/04|40-50|40|49|49
53|1729/04|50-60|50|59|31
54|1729/04|60-70|60|69|39
55|1729/04|70-80|70|79|39
56|1729/04|80-90|80|89|20
57|1729/04|90 upwards|90|120|3
61|1729/05|under 2|0|1|197
62|1729/05|2-5|2|4|52
63|1729/05|5-10|5|9|15
64|1729/05|10-20|10|19|24
65|1729/05|20-30|20|29|39
66|1729/05|30-40|30|39|49
67|1729/05|40-50|40|49|55
68|1729/05|50-60|50|59|43
69|1729/05|60-70|60|69|36
70|1729/05|70-80|70|79|26
71|1729/05|80-90|80|89|20
72|1729/05|90 upwards|90|120|2
76|1729/06|under 2|0|1|190
77|1729/06|2-5|2|4|50
78|1729/06|5-10|5|9|19
79|1729/06|10-20|10|19|19
80|1729/06|20-30|20|29|52
81|1729/06|30-40|30|39|39
82|1729/06|40-50|40|49|56
83|1729/06|50-60|50|59|42
84|1729/06|60-70|60|69|39
85|1729/06|70-80|70|79|31
86|1729/06|80-90|80|89|17
87|1729/06|90 upwards|90|120|5
91|1729/07|under 2|0|1|218
92|1729/07|2-5|2|4|71
93|1729/07|5-10|5|9|24
94|1729/07|10-20|10|19|19
95|1729/07|20-30|20|29|57
96|1729/07|30-40|30|39|55
97|1729/07|40-50|40|49|51
98|1729/07|50-60|50|59|45
99|1729/07|60-70|60|69|44
100|1729/07|70-80|70|79|32
101|1729/07|80-90|80|89|11
102|1729/07|90 upwards|90|120|7
106|1729/08|under 2|0|1|245
107|1729/08|2-5|2|4|56
108|1729/08|5-10|5|9|30
109|1729/08|10-20|10|19|23
110|1729/08|20-30|20|29|53
111|1729/08|30-40|30|39|72
112|1729/08|40-50|40|49|70
113|1729/08|50-60|50|59|75
114|1729/08|60-70|60|69|53
115|1729/08|70-80|70|79|46
116|1729/08|80-90|80|89|19
117|1729/08|90 upwards|90|120|6
121|1729/09|under 2|0|1|288
122|1729/09|2-5|2|4|77
123|1729/09|5-10|5|9|30
124|1729/09|10-20|10|19|20
125|1729/09|20-30|20|29|73
126|1729/09|30-40|30|39|69
127|1729/09|40-50|40|49|93
128|1729/09|50-60|50|59|81
129|1729/09|60-70|60|69|61
130|1729/09|70-80|70|79|58
131|1729/09|80-90|80|89|33
132|1729/09|90 upwards|90|120|6
136|1729/10|under 2|0|1|302
137|1729/10|2-5|2|4|88
138|1729/10|5-10|5|9|39
139|1729/10|10-20|10|19|33
140|1729/10|20-30|20|29|56
141|1729/10|30-40|30|39|59
142|1729/10|40-50|40|49|68
143|1729/10|50-60|50|59|64
144|1729/10|60-70|60|69|70
145|1729/10|70-80|70|79|41
146|1729/10|80-90|80|89|25
147|1729/10|90 upwards|90|120|5
151|1729/11|under 2|0|1|321
152|1729/11|2-5|2|4|87
153|1729/11|5-10|5|9|30
154|1729/11|10-20|10|19|33
155|1729/11|20-30|20|29|62
156|1729/11|30-40|30|39|81
157|1729/11|40-50|40|49|78
158|1729/11|50-60|50|59|83
159|1729/11|60-70|60|69|53
160|1729/11|70-80|70|79|58
161|1729/11|80-90|80|89|34
162|1729/11|90 upwards|90|120|7
166|1729/12|under 2|0|1|248
167|1729/12|2-5|2|4|72
168|1729/12|5-10|5|9|23
169|1729/12|10-20|10|19|27
170|1729/12|20-30|20|29|69
171|1729/12|30-40|30|39|51
172|1729/12|40-50|40|49|57
173|1729/12|50-60|50|59|60
174|1729/12|60-70|60|69|57
175|1729/12|70-80|70|79|38
176|1729/12|80-90|80|89|25
177|1729/12|90 upwards|90|120|6
181|1729/13|under 2|0|1|255
182|1729/13|2-5|2|4|49
183|1729/13|5-10|5|9|27
184|1729/13|10-20|10|19|11
185|1729/13|20-30|20|29|47
186|1729/13|30-40|30|39|60
187|1729/13|40-50|40|49|56
188|1729/13|50-60|50|59|40
189|1729/13|60-70|60|69|44
190|1729/13|70-80|70|79|36
191|1729/13|80-90|80|89|18
192|1729/13|90 upwards|90|120|2
196|1729/14|under 2|0|1|200
197|1729/14|2-5|2|4|55
198|1729/14|5-10|5|9|19
199|1729/14|10-20|10|19|22
200|1729/14|20-30|20|29|38
201|1729/14|30-40|30|39|43
202|1729/14|40-50|40|49|55
203|1729/14|50-60|50|59|37
204|1729/14|60-70|60|69|37
205|1729/14|70-80|70|79|20
206|1729/14|80-90|80|89|18
207|1729/14|90 upwards|90|120|4
211|1729/15|under 2|0|1|171
212|1729/15|2-5|2|4|45
213|1729/15|5-10|5|9|19
214|1729/15|10-20|10|19|11
215|1729/15|20-30|20|29|41
216|1729/15|30-40|30|39|47
217|1729/15|40-50|40|49|43
218|1729/15|50-60|50|59|42
219|1729/15|60-70|60|69|32
220|1729/15|70-80|70|79|26
221|1729/15|80-90|80|89|16
222|1729/15|90 upwards|90|120|3
226|1729/16|under 2|0|1|174
227|1729/16|2-5|2|4|42
228|1729/16|5-10|5|9|19
229|1729/16|10-20|10|19|18
230|1729/16|20-30|20|29|42
231|1729/16|30-40|30|39|56
232|1729/16|40-50|40|49|44
233|1729/16|50-60|50|59|25
234|1729/16|60-70|60|69|32
235|1729/16|70-80|70|79|18
236|1729/16|80-90|80|89|12
237|1729/16|90 upwards|90|120|4
241|1729/17|under 2|0|1|149
242|1729/17|2-5|2|4|49
243|1729/17|5-10|5|9|12
244|1729/17|10-20|10|19|8
245|1729/17|20-30|20|29|34
246|1729/17|30-40|30|39|62
247|1729/17|40-50|40|49|45
248|1729/17|50-60|50|59|36
249|1729/17|60-70|60|69|34
250|1729/17|70-80|70|79|23
251|1729/17|80-90|80|89|12
252|1729/17|90 upwards|90|120|2
256|1729/18|under 2|0|1|178
257|1729/18|2-5|2|4|39
258|1729/18|5-10|5|9|16
259|1729/18|10-20|10|19|16
260|1729/18|20-30|20|29|38
261|1729/18|30-40|30|39|45
262|1729/18|40-50|40|49|45
263|1729/18|50-60|50|59|43
264|1729/18|60-70|60|69|34
265|1729/18|70-80|70|79|30
266|1729/18|80-90|80|89|8
267|1729/18|90 upwards|90|120|3
271|1729/19|under 2|0|1|187
272|1729/19|2-5|2|4|50
273|1729/19|5-10|5|9|10
274|1729/19|10-20|10|19|18
275|1729/19|20-30|20|29|33
276|1729/19|30-40|30|39|28
277|1729/19|40-50|40|49|41
278|1729/19|50-60|50|59|28
279|1729/19|60-70|60|69|38
280|1729/19|70-80|70|79|20
281|1729/19|80-90|80|89|9
282|1729/19|90 upwards|90|120|1
286|1729/20|under 2|0|1|170
287|1729/20|2-5|2|4|50
288|1729/20|5-10|5|9|14
289|1729/20|10-20|10|19|12
290|1729/20|20-30|20|29|38
291|1729/20|30-40|30|39|31
292|1729/20|40-50|40|49|39
293|1729/20|50-60|50|59|33
294|1729/20|60-70|60|69|35
295|1729/20|70-80|70|79|18
296|1729/20|80-90|80|89|10
