breadID|weekID|breadtype|lb|oz|dr
2|1644/15|white|0|7.50|0
3|1644/15|wheaten|0|11.00|0
4|1644/15|household|0|14.00|0
5|1644/16|white|0|7.50|0
6|1644/16|wheaten|0|11.00|0
7|1644/16|household|0|14.00|0
8|1644/17|white|0|7.50|0
9|1644/17|wheaten|0|11.00|0
10|1644/17|household|0|14.00|0
11|1644/18|white|0|7.50|0
12|1644/18|wheaten|0|11.00|0
13|1644/18|household|0|14.00|0
14|1644/19|white|0|7.50|0
15|1644/19|wheaten|0|11.00|0
16|1644/19|household|0|14.00|0
17|1644/20|white|0|7.50|0
18|1644/20|wheaten|0|11.00|0
19|1644/20|household|0|14.00|0
20|1645/01|white|0|9.00|0
21|1645/01|wheaten|0|13.00|0
22|1645/01|household|0|18.00|0
23|1645/02|white|0|9.00|0
24|1645/02|wheaten|0|13.00|0
25|1645/02|household|0|18.00|0
27|1646/15|white|0|9.00|0
28|1646/15|wheaten|0|13.00|0
29|1646/15|household|0|18.00|0
30|1646/16|white|0|8.00|0
31|1646/16|wheaten|0|12.00|0
32|1646/16|household|0|17.00|0
33|1646/17|white|0|8.00|0
34|1646/17|wheaten|0|12.00|0
35|1646/17|household|0|17.00|0
36|1646/18|white|0|8.00|0
37|1646/18|wheaten|0|12.00|0
38|1646/18|household|0|17.00|0
39|1646/19|white|0|8.00|0
40|1646/19|wheaten|0|12.00|0
41|1646/19|household|0|17.00|0
42|1646/20|white|0|8.00|0
43|1646/20|wheaten|0|12.00|0
44|1646/20|household|0|17.00|0
45|1646/21|white|0|8.00|0
46|1646/21|wheaten|0|12.00|0
47|1646/21|household|0|17.00|0
48|1646/22|white|0|8.00|0
49|1646/22|wheaten|0|12.00|0
50|1646/22|household|0|17.00|0
51|1646/23|white|0|8.00|0
52|1646/23|wheaten|0|12.00|0
53|1646/23|household|0|17.00|0
54|1646/24|white|0|8.00|0
55|1646/24|wheaten|0|12.00|0
56|1646/24|household|0|17.00|0
57|1646/25|white|0|9.00|0
58|1646/25|wheaten|0|13.00|0
59|1646/25|household|0|18.00|0
60|1646/26|white|0|9.00|0
61|1646/26|wheaten|0|13.00|0
62|1646/26|household|0|18.00|0
63|1646/28|white|0|9.00|0
64|1646/28|wheaten|0|13.00|0
65|1646/28|household|0|18.00|0
66|1646/29|white|0|9.00|0
67|1646/29|wheaten|0|13.00|0
68|1646/29|household|0|18.00|0
69|1646/30|white|0|9.00|0
70|1646/30|wheaten|0|13.00|0
71|1646/30|household|0|18.00|0
72|1646/31|white|0|9.00|0
73|1646/31|wheaten|0|13.00|0
74|1646/31|household|0|18.00|0
75|1646/34|white|0|7.00|0
76|1646/34|wheaten|0|11.00|0
77|1646/34|household|0|14.00|0
78|1646/35|white|0|7.00|0
79|1646/35|wheaten|0|11.00|0
80|1646/35|household|0|14.00|0
81|1646/36|white|0|7.00|0
82|1646/36|wheaten|0|11.00|0
83|1646/36|household|0|14.00|0
84|1646/39|white|0|7.00|0
85|1646/39|wheaten|0|11.00|0
86|1646/39|household|0|14.00|0
87|1646/40|white|0|7.00|0
88|1646/40|wheaten|0|11.00|0
89|1646/40|household|0|14.00|0
90|1646/41|white|0|7.00|0
91|1646/41|wheaten|0|11.00|0
92|1646/41|household|0|14.00|0
93|1646/42|white|0|7.00|0
94|1646/42|wheaten|0|11.00|0
95|1646/42|household|0|14.00|0
96|1646/43|white|0|6.50|0
97|1646/43|wheaten|0|10.00|0
98|1646/43|household|0|13.00|0
99|1646/45|white|0|6.50|0
100|1646/45|wheaten|0|10.00|0
101|1646/45|household|0|13.00|0
102|1646/46|white|0|6.50|0
103|1646/46|wheaten|0|10.00|0
104|1646/46|household|0|13.00|0
105|1646/47|white|0|6.50|0
106|1646/47|wheaten|0|10.00|0
107|1646/47|household|0|13.00|0
108|1646/48|white|0|6.50|0
109|1646/48|wheaten|0|10.00|0
110|1646/48|household|0|13.00|0
111|1646/49|white|0|6.50|0
112|1646/49|wheaten|0|10.00|0
113|1646/49|household|0|13.00|0
114|1646/50|white|0|5.25|0
115|1646/50|wheaten|0|10.00|0
116|1646/50|household|0|13.00|0
117|1646/51|white|0|5.50|0
118|1646/51|wheaten|0|8.16|0
119|1646/51|household|0|11.16|0
120|1646/52|white|0|5.14|0
121|1646/52|wheaten|0|8.16|0
122|1646/52|household|0|11.16|0
123|1647/01|white|0|5.14|0
124|1647/01|wheaten|0|8.16|0
125|1647/01|household|0|11.16|0
126|1647/02|white|0|5.14|0
127|1647/02|wheaten|0|8.16|0
128|1647/02|household|0|11.16|0
129|1647/03|white|0|5.14|0
130|1647/03|wheaten|0|8.16|0
131|1647/03|household|0|11.16|0
132|1647/04|white|0|5.14|0
133|1647/04|wheaten|0|8.16|0
134|1647/04|household|0|11.16|0
135|1647/05|white|0|5.14|0
136|1647/05|wheaten|0|8.16|0
137|1647/05|household|0|11.16|0
138|1647/06|white|0|5.14|0
139|1647/06|wheaten|0|8.16|0
140|1647/06|household|0|11.16|0
141|1647/07|white|0|5.14|0
142|1647/07|wheaten|0|8.16|0
143|1647/07|household|0|11.16|0
144|1647/08|white|0|5.14|0
145|1647/08|wheaten|0|8.16|0
146|1647/08|household|0|11.16|0
147|1647/09|white|0|5.14|0
148|1647/09|wheaten|0|8.16|0
149|1647/09|household|0|11.16|0
150|1647/10|white|0|5.14|0
151|1647/10|wheaten|0|8.16|0
152|1647/10|household|0|11.16|0
153|1647/11|white|0|5.14|0
154|1647/11|wheaten|0|8.16|0
155|1647/11|household|0|11.16|0
156|1647/12|white|0|5.14|0
157|1647/12|wheaten|0|8.16|0
158|1647/12|household|0|11.16|0
159|1647/13|white|0|5.14|0
160|1647/13|wheaten|0|8.16|0
161|1647/14|white|0|5.14|0
162|1647/14|wheaten|0|8.16|0
163|1647/15|white|0|5.14|0
164|1647/15|wheaten|0|8.16|0
165|1647/16|white|0|5.14|0
166|1647/16|wheaten|0|8.16|0
167|1647/17|white|0|5.14|0
168|1647/17|wheaten|0|8.16|0
169|1647/18|white|0|5.14|0
170|1647/18|wheaten|0|8.16|0
171|1647/19|white|0|5.14|0
172|1647/19|wheaten|0|8.16|0
173|1647/20|white|0|5.14|0
174|1647/20|wheaten|0|8.16|0
175|1647/21|white|0|5.14|0
176|1647/21|wheaten|0|8.16|0
177|1647/22|white|0|5.14|0
178|1647/22|wheaten|0|8.16|0
179|1647/23|white|0|5.14|0
180|1647/23|wheaten|0|8.16|0
181|1647/24|white|0|5.14|0
182|1647/24|wheaten|0|8.16|0
183|1647/25|white|0|5.14|0
184|1647/25|wheaten|0|8.16|0
185|1647/26|white|0|5.14|0
186|1647/26|wheaten|0|8.16|0
187|1647/27|white|0|5.14|0
188|1647/27|wheaten|0|8.16|0
189|1647/28|white|0|5.14|0
190|1647/28|wheaten|0|8.16|0
191|1647/28|household|0|11.16|0
192|1647/29|white|0|5.14|0
193|1647/29|wheaten|0|8.16|0
194|1647/29|household|0|11.16|0
195|1647/30|white|0|5.14|0
196|1647/30|wheaten|0|8.16|0
197|1647/30|household|0|11.16|0
198|1647/31|white|0|5.14|0
199|1647/31|wheaten|0|8.16|0
200|1647/31|household|0|11.16|0
201|1647/32|white|0|5.14|0
202|1647/32|wheaten|0|8.16|0
203|1647/32|household|0|11.16|0
204|1647/33|white|0|5.14|0
205|1647/33|wheaten|0|8.16|0
206|1647/33|household|0|11.16|0
207|1647/34|white|0|5.14|0
208|1647/34|wheaten|0|8.16|0
209|1647/34|household|0|11.16|0
210|1647/35|white|0|5.14|0
211|1647/35|wheaten|0|8.16|0
212|1647/35|household|0|11.16|0
213|1647/36|white|0|5.14|0
214|1647/36|wheaten|0|8.16|0
215|1647/36|household|0|11.16|0
216|1647/37|white|0|5.14|0
217|1647/37|wheaten|0|8.16|0
218|1647/37|household|0|11.16|0
219|1647/39|white|0|5.14|0
220|1647/39|wheaten|0|8.16|0
221|1647/39|household|0|11.16|0
222|1647/40|white|0|5.14|0
223|1647/40|wheaten|0|8.16|0
224|1647/40|household|0|11.16|0
225|1647/42|white|0|5.14|0
226|1647/42|wheaten|0|8.16|0
227|1647/42|household|0|11.16|0
228|1647/43|white|0|5.14|0
229|1647/43|wheaten|0|8.16|0
230|1647/43|household|0|11.16|0
231|1647/44|white|0|5.14|0
232|1647/44|wheaten|0|8.16|0
