notesID|weekID|billsection|inputternote|notetype
1|1729/01|ages|Exclusive of St Andrew in Holborn, St Dunstan at Stepney and St Paul in Covent Garden|format change
2|1729/02|ages|Exclusive of St Paul in Covent Garden only|format change
3|1729/03|ages|Exclusive of St Paul in Covent Garden only|format change
4|1729/20|ages|6 missing counts from causes, could not find discrepancy|totals discrepancy
5|1729/45|ages|40-50, 50-60 counts obscured by ink blotch|part missing: illegible
6|1730/03|ages|Additional age counts added: 90 upwards changed to 90-100, and 102 and 104 listed seperately|totals discrepancy
7|1730/10|ages|1 count of 105|interpretation
8|1730/16|ages|1 count of 101|interpretation
9|1730/18|ages|1 count of 103|interpretation
10|1730/41|ages|104 included|interpretation
11|1730/43|ages|103 included|interpretation
12|1730/45|ages|104 included|interpretation
13|1731/19|ages|100 difference between age count and overall sum|totals discrepancy
14|1737/18|ages|4 missing counts, could not find discrepancy|totals discrepancy
15|1738/11|ages|5 additional counts, same as burial totals|totals discrepancy
16|1740/51|ages|2 missing from age counts, ould not find discrepancy|totals discrepancy
17|1741/01|ages|2 additional age counts, could not find discrepancy|totals discrepancy
18|1742/04|ages|Age counts very faded|legibility
19|1742/07|ages|3 missing counts from ages, could not find discrepancy|totals discrepancy
20|1742/10|ages|15 missing causes, page fairly faded, could not find discrepancy|totals discrepancy
21|1742/31|ages|40 missing age counts, could not find disrepancy|totals discrepancy
22|1742/36|ages|10 missing from counts, could not find discrepancy|totals discrepancy
23|1742/40|ages|10 additional age counts, could not find discrepancy|totals discrepancy
24|1743/14|ages|26 missing from age count, could not find discrepancy|totals discrepancy
25|1743/27|ages|Missing cause, could not find discrepancy|totals discrepancy
26|1743/48|ages|10 counts missing from ages, could not find discrepancy|totals discrepancy
27|1744/24|ages|10 missing in age count, could not find discrepancy|totals discrepancy
28|1744/27|ages|5 additional counts of age, could not find discrepancy|totals discrepancy
29|1744/37|ages|8 missing age counts, could not find discrepancy|totals discrepancy
30|1745/05|ages|6 missing counts from ages, possibly linked to Westminster absences|totals discrepancy
31|1745/14|ages|100 missing counts, probably linked to overall total discrepancy|totals discrepancy
32|1745/15|ages|50 additional counts, 30-40 cout is 80, may be typeset error instead of 30|totals discrepancy
33|1745/24|ages|3 additional age counts, could not fid disrepancy.|totals discrepancy
34|1745/27|ages|50 additional counts could not find discrepancy|totals discrepancy
35|1745/34|ages|10 missing counts, could not find discrepancy|totals discrepancy
36|1745/35|ages|1 missing count, could not find discrepancy|totals discrepancy
37|1745/50|ages|5 additional age counts, could not find discrepancy|totals discrepancy
38|1746/08|ages|Ages very faded, cannot make several  counts out|legibility
39|1746/24|ages|Ages faded and difficult to make out|legibility
40|1746/27|ages|Missing count, could not find discrepancy|totals discrepancy
41|1746/29|ages|20 missing counts, could not find discrepancy|totals discrepancy
42|1746/39|ages|Age counts faded and hard to make out|legibility
43|1746/48|ages|Age counts faded in final column|legibility
44|1747/38|ages|100 additional age counts, probably due to discrepancy in overall total|totals discrepancy
45|1748/02|ages|Week 2 second page entirely faded and unable to make out|part missing: illegible
46|1748/36|ages|10 missing age counts, could not find discrepancy|totals discrepancy
47|1749/09|ages|10 missing age counts, could not find discrepancy|totals discrepancy
48|1749/46|ages|Additional age count, could not find disrepancy|totals discrepancy
49|1750/02|ages|Age counts very faded, difficult to make out|legibility
50|1750/35|ages|Week 35 very faded, patches missing and many discrepancies.|legibility
51|1750/43|ages|Week 43 causes too faded to make out|part missing: illegible
52|1751/09|ages|Missing age count, could not find discrepancy|totals discrepancy
53|1751/20|ages|57 missing age counts, probably due to overall total discrepanies|totals discrepancy
54|1751/22|ages|5 additional age counts, could not find discrepancy|totals discrepancy
55|1751/29|ages|Age counts partially obscured by scratches, hard to make out|legibility
56|1752/08|ages|44 missing counts, could not find discrepancy|totals discrepancy
57|1752/21|ages|54 additional counts, could not find disrepancy|totals discrepancy
58|1753/10|ages|30 missing counts, could not find discrepancy|totals discrepancy
59|1753/25|ages|60 missing age counts, could not find disrepancy|totals discrepancy
60|1754/09|ages|10 additional counts, could not find discrepancy|totals discrepancy
61|1754/15|ages|10 missing counts, could not find discrepancy|totals discrepancy
62|1754/21|ages|100 additional counts, proably due to discrepancy in overall total|totals discrepancy
63|1754/23|ages|10 additional counts, could not find discrepancy|totals discrepancy
64|1754/33|ages|28 additional counts, could not find discrepancy|totals discrepancy
65|1754/34|ages|First two columns of age counts completely faded, unable to make out|part missing: illegible
66|1754/37|ages|10 additional counts, could not find discrepancy|totals discrepancy
67|1755/42|ages|Additional cause, could not find discrepancy|totals discrepancy
68|1756/04|ages|Additional count, could not find discrepancy|totals discrepancy
69|1756/10|ages|80-90 listed as 01, 9 missing from total as probably typeset error of digit switch, included as 10|totals discrepancy
70|1756/29|ages|Scratching across age categories, hard to make out|legibility
71|1756/33|ages|20-50 fairly obscured, diffiult to make out|legibility
72|1757/02|ages|Second digit of 10-20 faded out, 16 missing from total, included as 16|part missing: illegible
73|1757/13|ages|100 additional counts, first category 281 unusually large, possibly typeset error for 181|totals discrepancy
74|1757/32|ages|10 additional counts, ould not find discrepancy|totals discrepancy
75|1757/36|ages|The 100 upwards category no longer included on sheet|format change
76|1757/40|ages|Missing count, could not find discrepancy|totals discrepancy
77|1757/51|ages|25 missing from overall total, 40-50 count missing,  included as 25|totals discrepancy
78|1757/52|ages|Original bill not located for week 52|no Bill
79|1758/08|ages|11 missing counts, could not find disrepancy|totals discrepancy
80|1758/27|ages|Original bill has not been located for week 27|no Bill
81|1758/32|ages|Original bill has not been located for week 32|no Bill
82|1758/41|ages|30 additional counts, could not find discrepancy|totals discrepancy
83|1759/02|ages|4 missing counts, edge of page trimmed and 80-90 and 90-100 cut off|part missing: damaged
84|1759/07|ages|Second digit of 70-80 count missing, 17 missing from total, included as 17.|part missing: illegible
85|1759/36|ages|9 missing counts, could not find discrepancy. Counts faded|totals discrepancy
86|1759/39|ages|Age counts faded, hard to make out|legibility
87|1759/44|ages|Age counts faded, hard to make out|legibility
88|1759/49|ages|Edges cropped on original document, 70-100 all cut off, 23 missing counts in these categories|part missing: damaged
89|1759/50|ages|Ages cropped off edge of page, 70-100 cut away, 38 missing from these categories|part missing: damaged; totals discrepancy
90|1760/01|ages|9 missing counts, probably due to discrepancy in total|totals discrepancy
91|1760/04|ages|10 missing counts, 11 listed as 100 count, unusually high|totals discrepancy
92|1760/06|ages|20 additional counts, ould not find discrepancy|totals discrepancy
93|1760/10|ages|13 missing counts, second digit of 70-80 and 80-90 faded and unable to make out|totals discrepancy
94|1760/11|ages|33 missing counts, could not find discrepancy|totals discrepancy
95|1760/17|ages|Blotches over page obscure counts up to 50-60|part missing: illegible
96|1760/29|ages|5 missing counts, could not find discrepancy|totals discrepancy
97|1760/35|ages|10 missing counts, could not find discrepancy|totals discrepancy
98|1760/38|ages|Ages fairly faded, hard to make out|legibility
99|1760/45|ages|Some fading around ages|legibility
100|1760/46|ages|15 missing counts, could not find discrepancy|totals discrepancy
101|1761/14|ages|Bottom of page cropped, missing bottom row on fiche, some of other categories too blotched to make out|part missing: damaged
102|1761/26|ages|Additional age count, possibly linked to additional burial in Within the Walls|totals discrepancy
103|1761/38|ages|3 additional causes could not find discrepancy|totals discrepancy
104|1761/49|ages|20 missing ounts, could not find discrepancy|totals discrepancy
105|1761/50|ages|Additional count, could not find discrepancy|totals discrepancy
106|1761/53|ages|2 additional causes, could not find discrepancy|totals discrepancy
107|1762/05|ages|Missing count, probably due to totals discrepancy|totals discrepancy
108|1762/11|ages|128 missing causes. Possibly missing from the under 2 category as 80-90 unusually 0, everything else may have shifted up|totals discrepancy
109|1762/35|ages|20 missing counts, could not find discrepancy|totals discrepancy
110|1762/44|ages|Missing cause, could not find discrepancy|totals discrepancy
111|1763/05|ages|18 additional counts, probably linked to totals discrepancy|totals discrepancy
112|1763/11|ages|10 missing age counts, could not find discrepancy|totals discrepancy
113|1763/13|ages|13 additional counts, could not find discrepancy|totals discrepancy
114|1763/36|ages|80-100 and upwards faded out, could not find discrepancy|part missing: illegible; totals discrepancy
115|1764/06|ages|2 additional causes, could not find discrepancy|totals discrepancy
116|1764/50|ages|41 additional burials, 60-70 listed as 93 which is very high for the category.|totals discrepancy
117|1765/09|ages|Missing count, could not find discrepancy|totals discrepancy
118|1765/35|ages|Totals and ages faded out|legibility
119|1766/25|ages|20 missing causes, could not find discrepany|totals discrepancy
120|1766/40|ages|Age counts faded, 42 additional|totals discrepancy
121|1767/02|ages|Blotching on fiche making counts hard to make out|legibility
122|1768/50|ages|70 onwards missing due to corner of page ripped off. 26 missing counts|part missing: damaged; totals discrepancy
123|1768/52|ages|Fiche blotched, additional count|legibility; format change
124|1769/08|ages|2 missing counts, could not find discrepancy|totals discrepancy
125|1769/17|ages|9 additional counts, could not find discrepancy|totals discrepancy
126|1770/02|ages|36 missing counts, Under 2 count very low, possibly digits switched as typeset error, so included as 84.|totals discrepancy
127|1770/32|ages|4 missing counts, could not find discrepancy|totals discrepancy
128|1770/49|ages|8 missing counts, could not find discrepancy|totals discrepancy
129|1771/02|ages|Last 4 categories missing as bottom right corner trimmed. 22 missing counts.|part missing: damaged
130|1771/03|ages|44 missing counts - last digit of 70-80 (first is 3)and 80-90(first is 1) and both higher categories cut off|part missing: damaged; totals discrepancy
131|1771/05|ages|Last column cropped off corner, 70-80 onwards.|part missing: damaged
