Canonical DBN Name,Omeka Parish Name,ParcodeDict-Main,ParcodeDict-Alternates
St Alban Wood Street,St Alban Woodstreet,ALBW,
All Hallows Barking,Alhallows Barking,AHBK,
All Hallows Bread Street,Alhallows Breadstreet,AHBS,
All Hallows the Great,Alhallows Great,AHGT,
All Hallows Honey Lane,Alhallows Honylane,AHHL,
All Hallows the Less,Alhallows Lesse,AHLS,
All Hallows Lombard Street,Alhallows Lumbardstreet,AHLB,
All Hallows Staining,Alhallows Stayning,AHSN,
All Hallows London Wall,Alhallows the Wall,AHLW,
St Alphage,St Alphage,ALPH,
St Andrew Hubbard,St Andrew Hubbard,AWHD,
St Andrew Undershaft,St Andrew Undershaft,AWUS,
St Andrew Wardrobe,St Andrew Wardrobe,AWWD,
St Anne Aldersgate,St Ann Aldersgate,ANNA,
St Ann Blackfriars,St Ann Blackfryers,ANNB,
St Antholin,St Antholins Parish,ANTH,
St Austin,St Austins Parish,AUGS,
St Bartholomew Exchange,St Bartholomew Exchange,BRTX,
St Benet Fink,St Bennet Fynck,BENF,
St Benet Gracechurch,St Bennet Gracechurch,BENG,
St Benet Paul's Wharf,St Bennet Paulswharf,BENP,
St Benet Sherehog,St Bennet Sherehog,BENS,
St Botolph Billingsgate,St Botolph Billingsgate,BOBL,
Christ Church,Christ Church,CHRC,
St Christopher,St Christophers,CHRS,
St Clement Eastcheap,St Clement Eastcheap,CLEE,
St Dionis Backchurch,St Dionis Backchurch,DIOB,
St Dunstan East,St Dunstan East,DUNE,
St Edmund the King,St Edmund Lumbardstr.,EDML,
St Ethelburga,St Ethelborough,ETHB,
St Faith under St Paul's,St Faith,FTHP,
St Vedast alias Foster,St Foster,VEDF,
St Gabriel Fenchurch,St Gabriel Fenchurch,GFEN,
St George Botolph Lane,St George Botolphlane,GEOB,
St Gregory by St Paul's,St Gregory by St Pauls,GREP,
St Helen,St Hellen,HELB,
St James Duke's Place,St James Dukes place,JSDP,
St James Garlickhithe,St James Garlickhithe,JSGK,
St John Baptist,St John Baptist,JOBP,
St John Evangelist,St John Evangelist,JOEV,
St John Zachary,St John Zachary,JOZA,
St Katherine Coleman,St Katharine Coleman,KCOL,
St Katherine Creechurch,St Katharine Creechurch,KCRE,
St Lawrence Jewry,St Lawrence Jewry,LAWJ,
St Lawrence Pountney,St Lawrence Pountney,LAWP,
St Leonard Eastcheap,St Leonard Eastcheap,LEOE,
St Leonard Foster Lane,St Leonard Fosterlane,LEOF,
St Magnus,St Magnus Parish,MAGM,
St Margaret Lothbury,St Margaret Lothbury,MRGL,
St Margaret Moses,St Margaret Moses,MRGM,
St Margaret New Fish Street,St Margaret Newfishstreet,MRGN,
St Margaret Pattens,St Margaret Pattons,MRGP,
St Mary Abchurch,St Mary Abchurch,MAAB,
St Mary Aldermanbury,St Mary Aldermanbury,MAAL,
St Mary Aldermary,St Mary Aldermary,MAAM,
St Mary le Bow,St Mary le Bow,MALB,
St Mary Bothaw,St Mary Bothaw,MABW,
St Mary Colechurch,St Mary Colechurch,MACC,
St Mary Hill,St Mary Hill,MAAH,
St Mary Mounthaw,St Mary Mounthaw,MAMW,
St Mary Somerset,St Mary Sommerset,MASS,
St Mary Staining,St Mary Stayning,MAST,
St Mary Woolchurch,St Mary Woolchurch,MAWC,
St Mary Woolnoth,St Mary Woolnoth,MAWN,
St Martin Ironmonger Lane,St Martin Iremongerlane,MTIL,
St Martin Ludgate,St Martin Ludgate,MTLG,
St Martin Orgar,St Martin Orgars,MTOG,
St Martin Outwich,St Martin Outwich,MTOW,
St Martin Vintry,St Martin Vintrey,MTVT,
St Matthew Friday Street,St Matthew Fridaystreet,MWFS,
St Mary Magdalen Milk Street,St Maudlin Milkstreet,MGMS,
St Mary Magdalen Old Fish Street,St Maudlin Oldfishstreet,MGOF,
St Michael Bassishaw,St Michael Bassishaw,MIBS,
St Michael Cornhill,St Michael Cornhil,MICH,
St Michael Crooked Lane,St Michael Crookedlane,MICL,
St Michael Queenhithe,St Michael Queenhithe,MIQH,
St Michael Quern,St Michael Quern,MIQN,
St Michael Royal,St Michael Royal,MIPR,
St Michael Wood Street,St Michael Woodstreet,MIWS,
St Mildred Bread Street,St Mildred Breadstreet,MLBS,
St Mildred Poultrey,St Mildred Poultrey,MLPT,
St Nicholas Acons,St Nicholas Acons,NICA,
St Nicholas Cole Abbey,St Nicholas Coleabby,NICC,
St Nicholas Olave,St Nicholas Olaves,NICO,
St Olave Hart Street,St Olave Hartstreet,OLHS,
St Olave Jewry,St Olave Jewry,OLJW,
St Olave Silver Street,St Olave Silverstreet,OLSS,
St Pancras Soper Lane,St Pancras Pancras street,PASL,
St Peter Ad Vincula,St Peter Ad Vincula,PEVI,PEVN
St Peter Cheap,St Peter Cheap,PEWC,
St Peter Cornhill,St Peter Cornhil,PECH,
St Peter Paul's Wharf,St Peter Paulswharf,PEPW,
St Peter Poor,St Peter Poor,PEPO,
St Stephen Coleman Street,St Steven Colemanstreet,STPC,
St Stephen Walbrook,St Steven Walbrook,STPW,
St Swithin,St Swithin,SWTH,
St Thomas Apostle,St Thomas Apostles,THAP,
Trinity,Trinity Parish,HTRL,
St Andrew Holborn,St Andrew Holborn,AWHB,
St Bartholomew Great,St Bartholomew Great,BRTG,
St Bartholomew Less,St Bartholomew Less,BRTL,
St Botolph Aldersgate,St Botolph Aldersgate,BOAR,
St Botolph Aldgate,St Botolph Aldgate,BOAG,
St Botolph Bishopsgate,St Botolph Bishopsgate,BOBP,
Bridewell Precinct,Bridewel Precinct,BRDL,
St Bride,St Bridget,BRID,
St Dunstan West,St Dunstan West,DUNW,
St George Southwark,St George Southwark,GEOS,
St Giles Cripplegate,St Giles Cripplegate,GICG,
St John Southwark,St John Southwark,JOSW,
St Olave Southwark,St Olave Southwark,OLSW,
St Saviour Southwark,Saviours Southwark,SAVS,
St Sepulchre,S Sepulchres Parish,SEPU,
St Thomas Southwark,St Thomas Southwark,THSW,
Holy Trinity Minories,Trinity Minories,HTMN,
Pesthouse Without the Walls,Pesthouse without the walls,PEST,
St Anne Limehouse,St Ann in Middlesex,ANNL,
Christ Church Surrey,Christ Church in Surry,CRCH,
Christ Church Middlesex,Christ Church in Middlesex,CRSF,
St George Bloomsbury,St George in Bloomsbury,GEBL,
St George Middlesex,St George in Middlesex,GEEA,
St George Queen's Square,St George by Queen's Square,GEQS,
St Giles in the Field,St Giles in the Field,GITF,
St John at Hackney,Hackney Parish,HACK,
St John Wapping,St John at Wapping,JOWP,
St James Clerkenwell,St James Clerkenwel,CLRK,
St Katharine Tower,St Katharine Tower,KTOW,
St Mary Lambeth,Lambeth Parish,LAMB,
St Leonard Shoreditch,St Leonard Shoreditch,SHOR,
St Luke Middlesex,St Luke in Middlesex,LUMD,
St Mary Magdalen Bermondsey,St Magdalen Bermondsey,BERM,
St Mary Islington,St Mary Islington,ISLG,
St Mary Newington,St Mary Newington,NEWN,
St Mary Whitechapel,St Mary Whitechappel,WHCL,
St Matthew Bethnal Green,St Matthew at Bethnal Green,MWBG,
St Paul Shadwell,St Pauls Shadwel,PASW,
St Mary Rotherhithe,Rothorith Parish,ROTH,
St Dunstan Stepney,Stepney Parish,STEP,
St Anne Westminster,St Ann in Westminster,ANWS,
St Clement Danes,St Clement Danes,CLED,
St George Hanover Square,St George by Hanover Square,GEHS,
St James Westminster,St James in Westminster,JSFI,
St John Westminster,St John the Evangelist,JOEL,
St Paul Covent Garden,St Paul Covent Garden,PCOV,
St Martin in the Fields,St Martin in the fields,MITF,
St Mary Savoy,St Mary Savoy,SAVY,
St Mary le Strand,St Mary le Strand,MALS,
St Margaret Westminster,St Margaret Westminster,MRGW,
Westminster Pesthouse,Pesthouse in Westminster,WPST,
