unique_identifier,start_day,start_month,start_year,end_day,end_month,end_year,parish_name,count,count_type,week,bill_type,source,year
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Alban Woodstreet,31,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,Alhallows Barking,110,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,Alhallows Breadstreet,29,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,Alhallows Great,96,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,Alhallows Honylane,0,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,Alhallows Lesse,26,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,Alhallows Lumbardstreet,27,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,Alhallows Stayning,41,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,Alhallows the Wall,104,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Alphage,56,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Andrew Hubbard,20,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Andrew Undershaft,77,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Andrew Wardrobe,82,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Ann Aldersgate,50,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Ann Blackfryers,134,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Antholins Parish,23,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Austins Parish,21,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Bartholomew Exchange,34,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Bennet Fynck,20,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Bennet Gracechurch,22,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Bennet Paulswharf,56,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Bennet Sherehog,5,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Botolph Billingsgate,16,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,Christ Church,131,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Christophers,20,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Clement Eastcheap,19,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Dionis Backchurch,43,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Dunstan East,96,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Edmund Lumbardstr.,30,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Ethelborough,31,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Faith,42,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Foster,42,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Gabriel Fenchurch,24,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St George Botolphlane,9,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Gregory by St Pauls,94,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Hellen,50,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St James Dukes place,53,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St James Garlickhithe,55,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St John Baptist,24,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St John Evangelist,16,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St John Zachary,25,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Katharine Coleman,62,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Katharine Creechurch,80,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Lawrence Jewry,78,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Lawrence Pountney,22,Total,90,General,millar post-plague,1680
Millar-1680-1681-GeneralBill,14,December,1680,19,December,1681,St Leonard Eastcheap,18,Total,90,General,millar post-plague,1680
