death,count,descriptive_text,joinid,year,week_id,year_range,split_year
Aged,38,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Ague,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Apoplexy,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Asthma,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Bed-ridden,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Blasted,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Bleeding,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Bloody-flux,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Calenture,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Cancer,2,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Canker,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Chicken Pox,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Child-Bed,2,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Chrisoms,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Cold,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Colick,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Consumption,53,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Convulsion,134,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Cough,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Cramp,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Diabetes,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Dropsie,15,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Falling-sickness,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Fever,51,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Fistula,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Flox and Small-Pox,16,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Flux,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
French-Pox,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Frets,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Gangreen,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Gout,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Gravel,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Grief,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Griping in the Guts,18,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Headache,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Headmouldshot,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Hooping Cough,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Hiccough,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Horshoehead,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Impostume,2,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Infants,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Inflammation,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Itch,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Jaundies,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Jaw-fallen,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Kings Evil,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Leprosie,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Lethargy,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Liver-grown,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
