year,week,unique_identifier,start_day,start_month,end_day,end_month,parish_name,count_type,count,missing,illegible,source,bill_type,joinid,start_year,end_year
1680,90,Millar-1680-1681-GeneralBill,14,December,19,December,Christened in the 97 parishes within the walls,Total,2188,,,millar post-plague,General,1680121416801219,1680,1681
1680,90,Millar-1680-1681-GeneralBill,14,December,19,December,Christened in the parishes without the walls,Total,4192,,,millar post-plague,General,1680121416801219,1680,1681
1680,90,Millar-1680-1681-GeneralBill,14,December,19,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4161,,,millar post-plague,General,1680121416801219,1680,1681
1680,90,Millar-1680-1681-GeneralBill,14,December,19,December,Christened in the Parishes and Liberties of Westminster,Total,2814,,,millar post-plague,General,1680121416801219,1680,1681
1681,90,Millar-1681-1682-GeneralBill,19,December,19,December,Christened in the 97 parishes within the walls,Total,2091,,,millar post-plague,General,1681121916811219,1681,1682
1681,90,Millar-1681-1682-GeneralBill,19,December,19,December,Christened in the parishes without the walls,Total,4493,,,millar post-plague,General,1681121916811219,1681,1682
1681,90,Millar-1681-1682-GeneralBill,19,December,19,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4365,,,millar post-plague,General,1681121916811219,1681,1682
1681,90,Millar-1681-1682-GeneralBill,19,December,19,December,Christened in the Parishes and Liberties of Westminster,Total,2704,,,millar post-plague,General,1681121916811219,1681,1682
1682,90,Millar-1682-1683-GeneralBill,19,December,18,December,Christened in the 97 parishes within the walls,Total,2355,,,millar post-plague,General,1682121916821218,1682,1683
1682,90,Millar-1682-1683-GeneralBill,19,December,18,December,Christened in the parishes without the walls,Total,4756,,,millar post-plague,General,1682121916821218,1682,1683
1682,90,Millar-1682-1683-GeneralBill,19,December,18,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4638,,,millar post-plague,General,1682121916821218,1682,1683
1682,90,Millar-1682-1683-GeneralBill,19,December,18,December,Christened in the Parishes and Liberties of Westminster,Total,2986,,,millar post-plague,General,1682121916821218,1682,1683
1683,90,Millar-1683-1684-GeneralBill,18,December,16,December,Christened in the 97 parishes within the walls,Total,2193,,,millar post-plague,General,1683121816831216,1683,1684
1683,90,Millar-1683-1684-GeneralBill,18,December,16,December,Christened in the parishes without the walls,Total,4736,,,millar post-plague,General,1683121816831216,1683,1684
1683,90,Millar-1683-1684-GeneralBill,18,December,16,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4660,,,millar post-plague,General,1683121816831216,1683,1684
1683,90,Millar-1683-1684-GeneralBill,18,December,16,December,Christened in the Parishes and Liberties of Westminster,Total,3113,,,millar post-plague,General,1683121816831216,1683,1684
1684,90,Millar-1684-1685-GeneralBill,16,December,15,December,Christened in the 97 parishes within the walls,Total,2312,,,millar post-plague,General,1684121616841215,1684,1685
1684,90,Millar-1684-1685-GeneralBill,16,December,15,December,Christened in the parishes without the walls,Total,4878,,,millar post-plague,General,1684121616841215,1684,1685
1684,90,Millar-1684-1685-GeneralBill,16,December,15,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4551,,,millar post-plague,General,1684121616841215,1684,1685
1684,90,Millar-1684-1685-GeneralBill,16,December,15,December,Christened in the Parishes and Liberties of Westminster,Total,2989,,,millar post-plague,General,1684121616841215,1684,1685
1685,90,Millar-1685-1686-GeneralBill,15,December,14,December,Christened in the 97 parishes within the walls,Total,2211,,,millar post-plague,General,1685121516851214,1685,1686
1685,90,Millar-1685-1686-GeneralBill,15,December,14,December,Christened in the parishes without the walls,Total,4927,,,millar post-plague,General,1685121516851214,1685,1686
1685,90,Millar-1685-1686-GeneralBill,15,December,14,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4574,,,millar post-plague,General,1685121516851214,1685,1686
1685,90,Millar-1685-1686-GeneralBill,15,December,14,December,Christened in the Parishes and Liberties of Westminster,Total,2982,,,millar post-plague,General,1685121516851214,1685,1686
1686,90,Millar-1686-1687-GeneralBill,14,December,13,December,Christened in the 97 parishes within the walls,Total,2104,,,millar post-plague,General,1686121416861213,1686,1687
1686,90,Millar-1686-1687-GeneralBill,14,December,13,December,Christened in the parishes without the walls,Total,4781,,,millar post-plague,General,1686121416861213,1686,1687
1686,90,Millar-1686-1687-GeneralBill,14,December,13,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4821,,,millar post-plague,General,1686121416861213,1686,1687
1686,90,Millar-1686-1687-GeneralBill,14,December,13,December,Christened in the Parishes and Liberties of Westminster,Total,3245,,,millar post-plague,General,1686121416861213,1686,1687
1687,90,Millar-1687-1688-GeneralBill,13,December,11,December,Christened in the 97 parishes within the walls,Total,2070,,,millar post-plague,General,1687121316871211,1687,1688
1687,90,Millar-1687-1688-GeneralBill,13,December,11,December,Christened in the parishes without the walls,Total,4701,,,millar post-plague,General,1687121316871211,1687,1688
1687,90,Millar-1687-1688-GeneralBill,13,December,11,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4666,,,millar post-plague,General,1687121316871211,1687,1688
1687,90,Millar-1687-1688-GeneralBill,13,December,11,December,Christened in the Parishes and Liberties of Westminster,Total,3151,,,millar post-plague,General,1687121316871211,1687,1688
