year,week_number,unique_identifier,start_day,start_month,end_day,end_month,death,count,descriptive_text
1700,1,Laxton-1700-01-verso,17,December,24,December,Abortive,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Aged,30,
1700,1,Laxton-1700-01-verso,17,December,24,December,Ague,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Apoplexy,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Asthma,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Bed-ridden,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Blasted,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Bleeding,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Bloody-flux,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Calenture,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Cancer,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Canker,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Chicken Pox,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Child-Bed,4,
1700,1,Laxton-1700-01-verso,17,December,24,December,Chrisoms,1,
1700,1,Laxton-1700-01-verso,17,December,24,December,Cold,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Colick,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Consumption,57,
1700,1,Laxton-1700-01-verso,17,December,24,December,Convulsion,73,
1700,1,Laxton-1700-01-verso,17,December,24,December,Cough,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Cramp,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Diabetes,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Dropsie,16,
1700,1,Laxton-1700-01-verso,17,December,24,December,Drowned,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Executed,2,One at St Saviour in Southwark. And one at St Giles in the Fields
1700,1,Laxton-1700-01-verso,17,December,24,December,Falling-sickness,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Fever,59,
1700,1,Laxton-1700-01-verso,17,December,24,December,Fistula,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Flox and Small-Pox,37,
1700,1,Laxton-1700-01-verso,17,December,24,December,Flux,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Found dead,1,
1700,1,Laxton-1700-01-verso,17,December,24,December,French-Pox,2,
1700,1,Laxton-1700-01-verso,17,December,24,December,Frets,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Gangreen,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Gout,3,
1700,1,Laxton-1700-01-verso,17,December,24,December,Gravel,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Grief,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Griping in the Guts,14,
1700,1,Laxton-1700-01-verso,17,December,24,December,Headache,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Headmouldshot,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Hooping Cough,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Hiccough,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Horshoehead,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Impostume,2,
1700,1,Laxton-1700-01-verso,17,December,24,December,Infants,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Inflammation,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Itch,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Jaundies,1,
1700,1,Laxton-1700-01-verso,17,December,24,December,Jaw-fallen,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Kings Evil,4,
1700,1,Laxton-1700-01-verso,17,December,24,December,Leprosie,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Lethargy,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Liver-grown,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Looseness,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Lunatick and Frenzy,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Malignant Fever,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Meagrim,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Measles,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Miscarriage,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Mortification,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Mother,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Noli me tangere,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Overlaid,1,
1700,1,Laxton-1700-01-verso,17,December,24,December,Palsie,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Plague,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Planet,,
1700,1,Laxton-1700-01-verso,17,December,24,December,Plurisie,,
