year,week,unique_identifier,start_day,start_month,end_day,end_month,parish_name,count,missing,illegible,source,version,bill_type,start_year,end_year,count_type
1669,21,1669-21-recto,11,May,18,May,Plague in the 97 Parishes within the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,21,1669-21-recto,11,May,18,May,Plague in the 16 Parishes without the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,21,1669-21-recto,11,May,18,May,Plague in the 13 out-Parishes in Middlesex and Surrey,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,21,1669-21-recto,11,May,18,May,Plague in the 5 Parishes in the City and Liberties of Westminster,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,22,1669-22-recto,18,May,25,May,Plague in the 97 Parishes within the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,22,1669-22-recto,18,May,25,May,Plague in the 16 Parishes without the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,22,1669-22-recto,18,May,25,May,Plague in the 13 out-Parishes in Middlesex and Surrey,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,22,1669-22-recto,18,May,25,May,Plague in the 5 Parishes in the City and Liberties of Westminster,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,23,1669-23-recto,25,May,1,June,Plague in the 97 Parishes within the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,23,1669-23-recto,25,May,1,June,Plague in the 16 Parishes without the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,23,1669-23-recto,25,May,1,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,23,1669-23-recto,25,May,1,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,24,1669-24-recto,1,June,8,June,Plague in the 97 Parishes within the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,24,1669-24-recto,1,June,8,June,Plague in the 16 Parishes without the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,24,1669-24-recto,1,June,8,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,24,1669-24-recto,1,June,8,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,25,1669-25-recto,8,June,15,June,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,25,1669-25-recto,8,June,15,June,Plague in the 16 Parishes without the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,25,1669-25-recto,8,June,15,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,25,1669-25-recto,8,June,15,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,26,1669-26-recto,15,June,22,June,Plague in the 97 Parishes within the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,26,1669-26-recto,15,June,22,June,Plague in the 16 Parishes without the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,26,1669-26-recto,15,June,22,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,26,1669-26-recto,15,June,22,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,27,1669-27-recto,22,June,29,June,Plague in the 97 Parishes within the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,27,1669-27-recto,22,June,29,June,Plague in the 16 Parishes without the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,27,1669-27-recto,22,June,29,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,27,1669-27-recto,22,June,29,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,28,1669-28-recto,29,June,6,July,Plague in the 97 Parishes within the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,28,1669-28-recto,29,June,6,July,Plague in the 16 Parishes without the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,28,1669-28-recto,29,June,6,July,Plague in the 13 out-Parishes in Middlesex and Surrey,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,28,1669-28-recto,29,June,6,July,Plague in the 5 Parishes in the City and Liberties of Westminster,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,30,1669-30-recto,13,July,20,July,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,30,1669-30-recto,13,July,20,July,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,30,1669-30-recto,13,July,20,July,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,30,1669-30-recto,13,July,20,July,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,31,1669-31-recto,20,July,27,July,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,31,1669-31-recto,20,July,27,July,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,31,1669-31-recto,20,July,27,July,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,31,1669-31-recto,20,July,27,July,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,32,1669-32-recto,17,July,3,August,Plague in the 97 Parishes within the Walls,0,FALSE,FALSE,Wellcome,,Weekly,,,
1669,32,1669-32-recto,17,July,3,August,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,32,1669-32-recto,17,July,3,August,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,32,1669-32-recto,17,July,3,August,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,33,1669-33-recto,3,August,10,August,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,33,1669-33-recto,3,August,10,August,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,33,1669-33-recto,3,August,10,August,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,33,1669-33-recto,3,August,10,August,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,34,1669-34-recto,10,August,17,August,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,34,1669-34-recto,10,August,17,August,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,34,1669-34-recto,10,August,17,August,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,34,1669-34-recto,10,August,17,August,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,35,1669-35-recto,17,August,24,August,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,35,1669-35-recto,17,August,24,August,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,35,1669-35-recto,17,August,24,August,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,35,1669-35-recto,17,August,24,August,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,36,1669-36-recto,24,August,31,August,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,36,1669-36-recto,24,August,31,August,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,36,1669-36-recto,24,August,31,August,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,36,1669-36-recto,24,August,31,August,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,37,1669-37-recto-form-fill,31,August,7,September,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,37,1669-37-recto-form-fill,31,August,7,September,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,37,1669-37-recto-form-fill,31,August,7,September,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,37,1669-37-recto-form-fill,31,August,7,September,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,38,1669-38-recto,7,September,14,September,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,38,1669-38-recto,7,September,14,September,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,38,1669-38-recto,7,September,14,September,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,38,1669-38-recto,7,September,14,September,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,39,1669-39-recto,14,September,21,September,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,39,1669-39-recto,14,September,21,September,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,39,1669-39-recto,14,September,21,September,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,39,1669-39-recto,14,September,21,September,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,40,1669-40-recto,21,September,28,September,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,40,1669-40-recto,21,September,28,September,Plague in the 16 Parishes without the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,40,1669-40-recto,21,September,28,September,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,40,1669-40-recto,21,September,28,September,Plague in the 5 Parishes in the City and Liberties of Westminster,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,41,1669-41-recto,28,September,5,October,Plague in the 97 Parishes within the Walls,,FALSE,FALSE,Wellcome,,Weekly,,,
1669,41,1669-41-recto,28,September,5,October,Plague in the 16 Parishes without the Walls,1,FALSE,FALSE,Wellcome,,Weekly,,,
1669,41,1669-41-recto,28,September,5,October,Plague in the 13 out-Parishes in Middlesex and Surrey,,FALSE,FALSE,Wellcome,,Weekly,,,
