id,in_walls_calculated,in_walls_given,in_walls_TF,out_walls_calculated,out_walls_given,out_walls_TF,middlesex_surrey_calculated,middlesex_surrey_given,middlesex_surrey_TF,westminster_calculated,westminster_given,westminster_TF,all_christenings_calculated,all_burials_calculated
Millar-1680-1681-GeneralBill ,3663,3669,FALSE,8136,8136,TRUE,7940,7940,TRUE,4226,4226,TRUE,13355,23971
Millar-1681-1682-GeneralBill,2861,2975,FALSE,7009,7009,TRUE,7084,7084,TRUE,3623,3623,TRUE,13653,20691
Millar-1682-1683-GeneralBill ,2850,2876,FALSE,6838,6838,TRUE,6826,6826,TRUE,4047,4047,TRUE,14735,20587
Millar-1683-1684-GeneralBill ,3303,3279,FALSE,7737,7737,TRUE,7943,8043,FALSE,4143,4143,TRUE,14702,23202
Millar-1684-1685-GeneralBill ,3299,3299,TRUE,7898,7898,TRUE,7391,7391,TRUE,4624,4634,FALSE,14730,23222
Millar-1685-1686-GeneralBill,3163,3163,TRUE,7587,7587,TRUE,7482,7482,TRUE,4377,4377,TRUE,14694,22609
Millar-1686-1687-GeneralBill,2907,2907,TRUE,6892,6892,TRUE,5202,7186,FALSE,4475,4475,TRUE,14951,21460
Millar-1687-1688-GeneralBill,3124,3124,TRUE,7383,7383,TRUE,7828,7828,TRUE,4586,4586,TRUE,14588,22921
Millar-1688-1689-GeneralBill,3035,3035,TRUE,7477,7477,TRUE,8132,8132,TRUE,4858,4858,TRUE,14771,23502
Millar-1689-1690-GeneralBill,2907,2907,TRUE,6869,6869,TRUE,7244,7244,TRUE,4441,4441,TRUE,15211,21461
Millar-1690-1691-GeneralBill,2921,2921,TRUE,7278,7278,TRUE,7611,7611,TRUE,4881,4881,TRUE,15054,22691
Millar-1691-1692-GeneralBill,2596,2596,TRUE,7003,6671,FALSE,5183,7324,FALSE,4373,4373,TRUE,14918,20964
Millar-1692-1693-GeneralBill,2730,2740,FALSE,6582,6582,TRUE,5198,7222,FALSE,4415,4415,TRUE,15159,20959
Millar-1693-1694-GeneralBill,3134,3134,TRUE,7590,7590,TRUE,7935,8035,FALSE,5341,5341,TRUE,13632,24100
Millar-1694-1695-GeneralBill,2486,2486,TRUE,5985,5985,TRUE,6332,6332,TRUE,4244,4244,TRUE,14276,19047
Millar-1695-1696-GeneralBill,2535,2534,FALSE,5810,5180,FALSE,6218,6218,TRUE,4076,4076,TRUE,14861,18008
Millar-1696-1697-GeneralBill,2805,2905,FALSE,6451,6451,TRUE,7079,7079,TRUE,4535,4535,TRUE,15829,20970
Millar-1697-1698-GeneralBill ,2666,2666,TRUE,5821,5821,TRUE,7362,7362,TRUE,4334,4334,TRUE,16052,20183
Millar-1698-1699-GeneralBill ,2766,2766,TRUE,6327,6327,TRUE,7332,7332,TRUE,4370,4370,TRUE,15407,20795
Millar-1699-1700-GeneralBill,2656,2656,TRUE,5812,5812,TRUE,6647,6647,TRUE,4328,4328,TRUE,14639,19443
Millar-1700-1701-GeneralBill,2691,2691,TRUE,6182,6182,TRUE,7118,7118,TRUE,4480,4480,TRUE,15616,20471
Millar-1701-1702-GeneralBill,2412,2512,FALSE,5902,5902,TRUE,6921,6921,TRUE,4146,4146,TRUE,15687,19481
Millar-1702-1703-GeneralBill,2540,2550,FALSE,6285,6285,TRUE,7329,7329,TRUE,4556,4556,TRUE,15448,20720
