year,week_number,count_type,subtotal_sum,parish_sum,difference,absolute_difference,arithmetic_error,legible_only,legible
1635,50,buried,209,209,0,0,False,False,True
1635,50,plague,0,0,0,0,False,False,True
1636,20,buried,206,206,0,0,False,False,True
1636,20,plague,4,4,0,0,False,False,True
1636,21,buried,254,254,0,0,False,False,True
1636,21,plague,41,41,0,0,False,False,True
1636,22,buried,244,244,0,0,False,False,True
1636,22,plague,22,22,0,0,False,False,True
1636,23,buried,263,264,-1,1,True,False,True
1636,23,plague,39,39,0,0,False,False,True
1636,24,buried,276,276,0,0,False,False,True
1636,24,plague,51,51,0,0,False,False,True
1636,27,buried,257,257,0,0,False,False,True
1636,27,plague,65,65,0,0,False,False,True
1636,29,buried,265,265,0,0,False,False,True
1636,29,plague,64,64,0,0,False,False,True
1636,30,buried,298,298,0,0,False,False,True
1636,30,plague,86,86,0,0,False,False,True
1636,33,buried,394,394,0,0,False,False,True
1636,33,plague,181,181,0,0,False,False,True
1636,34,buried,465,465,0,0,False,False,True
1636,34,plague,244,244,0,0,False,False,True
1636,35,buried,546,546,0,0,False,False,False
1636,35,plague,284,284,0,0,False,False,False
1636,37,buried,835,835,0,0,False,False,True
1636,37,plague,536,536,0,0,False,False,True
1636,38,buried,921,921,0,0,False,False,True
1636,38,plague,567,567,0,0,False,False,True
1636,39,buried,1106,1106,0,0,False,False,True
1636,39,plague,728,728,0,0,False,False,True
1636,40,buried,1018,1018,0,0,False,False,True
1636,40,plague,645,645,0,0,False,False,True
1636,41,buried,1211,1211,0,0,False,False,True
1636,41,plague,796,796,0,0,False,False,True
1636,42,buried,1194,1194,0,0,False,False,True
1636,42,plague,790,790,0,0,False,False,True
1636,43,buried,1117,1117,0,0,False,False,True
1636,43,plague,682,682,0,0,False,False,True
1636,44,buried,855,855,0,0,False,False,True
1636,44,plague,476,476,0,0,False,False,True
1636,45,buried,779,779,0,0,False,False,False
1636,45,plague,404,404,0,0,False,False,False
1638,3,buried,219,219,0,0,False,False,True
1638,3,plague,1,1,0,0,False,False,True
1638,4,buried,208,208,0,0,False,False,False
1638,4,plague,1,1,0,0,False,False,False
1638,5,buried,219,219,0,0,False,False,True
1638,5,plague,0,0,0,0,False,False,True
1638,6,buried,222,222,0,0,False,False,False
1638,6,plague,0,0,0,0,False,False,False
1638,7,buried,198,198,0,0,False,False,True
1638,7,plague,0,0,0,0,False,False,True
1638,8,buried,232,232,0,0,False,False,True
1638,8,plague,1,1,0,0,False,False,True
1638,10,buried,213,213,0,0,False,False,True
1638,10,plague,2,2,0,0,False,False,True
1638,11,buried,190,190,0,0,False,False,True
1638,11,plague,0,0,0,0,False,False,True
1638,12,buried,204,204,0,0,False,False,True
1638,12,plague,0,0,0,0,False,False,True
1638,13,buried,230,232,-2,2,True,False,True
1638,13,plague,0,0,0,0,False,False,True
1638,14,buried,226,226,0,0,False,False,True
1638,14,plague,0,0,0,0,False,False,True
1638,25,buried,239,239,0,0,False,False,True
1638,25,plague,2,2,0,0,False,False,True
1638,27,buried,240,239,1,1,True,False,True
1638,27,plague,0,0,0,0,False,False,True
1638,28,buried,258,258,0,0,False,False,True
1638,28,plague,3,3,0,0,False,False,True
1638,29,buried,258,258,0,0,False,False,True
1638,29,plague,3,3,0,0,False,False,True
1638,30,buried,280,280,0,0,False,False,True
1638,30,plague,5,5,0,0,False,False,True
1638,31,buried,347,347,0,0,False,False,True
1638,31,plague,6,6,0,0,False,False,True
1638,32,buried,384,384,0,0,False,False,True
1638,32,plague,5,5,0,0,False,False,True
1638,33,buried,374,374,0,0,False,False,True
1638,33,plague,4,4,0,0,False,False,True
1638,34,buried,346,346,0,0,False,False,True
1638,34,plague,6,6,0,0,False,False,True
1638,36,buried,371,371,0,0,False,False,True
1638,36,plague,16,16,0,0,False,False,True
1638,37,buried,379,379,0,0,False,False,True
1638,37,plague,21,21,0,0,False,False,True
1638,38,buried,387,387,0,0,False,False,True
1638,38,plague,36,36,0,0,False,False,True
1638,39,buried,393,393,0,0,False,False,True
1638,39,plague,34,34,0,0,False,False,True
1638,40,buried,387,387,0,0,False,False,True
1638,40,plague,26,26,0,0,False,False,True
1638,41,buried,323,323,0,0,False,False,True
1638,41,plague,18,18,0,0,False,False,True
1638,42,buried,323,318,5,5,True,False,True
1638,42,plague,14,14,0,0,False,False,True
1638,43,buried,302,302,0,0,False,False,True
1638,43,plague,12,12,0,0,False,False,True
1638,44,buried,294,294,0,0,False,False,True
1638,44,plague,14,14,0,0,False,False,True
1638,45,buried,247,242,5,5,True,False,True
1638,45,plague,4,4,0,0,False,False,True
1638,48,buried,238,238,0,0,False,False,True
1638,48,plague,2,2,0,0,False,False,True
1638,49,buried,227,227,0,0,False,False,True
1638,49,plague,3,3,0,0,False,False,True
1638,50,buried,230,230,0,0,False,False,True
1638,50,plague,0,0,0,0,False,False,True
1639,15,buried,244,244,0,0,False,False,True
1639,15,plague,1,1,0,0,False,False,True
1639,16,buried,220,210,10,10,True,False,False
1639,16,plague,0,0,0,0,False,False,False
1639,17,buried,199,199,0,0,False,False,True
1639,17,plague,0,0,0,0,False,False,True
1639,18,buried,232,232,0,0,False,False,True
1639,18,plague,0,0,0,0,False,False,True
1639,19,buried,241,236,5,5,True,False,True
1639,19,plague,0,0,0,0,False,False,True
1639,20,buried,193,193,0,0,False,False,True
1639,20,plague,0,0,0,0,False,False,True
1639,21,buried,176,177,-1,1,True,False,True
1639,21,plague,0,0,0,0,False,False,True
1639,22,buried,179,179,0,0,False,False,True
1639,22,plague,1,1,0,0,False,False,True
1639,23,buried,174,174,0,0,False,False,True
1639,23,plague,1,1,0,0,False,False,True
1639,24,buried,187,187,0,0,False,False,False
1639,24,plague,1,1,0,0,False,False,False
1639,25,buried,147,147,0,0,False,False,True
1639,25,plague,3,3,0,0,False,False,True
1639,26,buried,152,152,0,0,False,False,False
1639,26,plague,3,3,0,0,False,False,False
1639,27,buried,148,148,0,0,False,False,True
1639,27,plague,1,1,0,0,False,False,True
1639,28,buried,138,136,2,2,True,False,False
1639,28,plague,0,0,0,0,False,False,False
1639,29,buried,123,123,0,0,False,False,True
1639,29,plague,1,1,0,0,False,False,True
1639,30,buried,139,139,0,0,False,False,True
1639,30,plague,5,5,0,0,False,False,True
1639,31,buried,147,147,0,0,False,False,False
1639,31,plague,3,3,0,0,False,False,False
1639,32,buried,150,150,0,0,False,False,True
1639,32,plague,9,9,0,0,False,False,True
