Week,Unique Identifier,Start Day,Start Month,End Day,End Month,parish_name,count
21,1669-21-recto,11,May,18,May,Buried in the 97 Parishes within the Walls,22
21,1669-21-recto,11,May,18,May,Buried in the 16 Parishes without the Walls,95
21,1669-21-recto,11,May,18,May,Buried in the 13 out-Parishes in Middlesex and Surrey,97
21,1669-21-recto,11,May,18,May,Buried in the 5 Parishes in the City and Liberties of Westminster,47
22,1669-22-recto,18,May,25,May,Buried in the 97 Parishes within the Walls,23
22,1669-22-recto,18,May,25,May,Buried in the 16 Parishes without the Walls,94
22,1669-22-recto,18,May,25,May,Buried in the 13 out-Parishes in Middlesex and Surrey,103
22,1669-22-recto,18,May,25,May,Buried in the 5 Parishes in the City and Liberties of Westminster,49
23,1669-23-recto,25,May,1,June,Buried in the 97 Parishes within the Walls,15
23,1669-23-recto,25,May,1,June,Buried in the 16 Parishes without the Walls,96
23,1669-23-recto,25,May,1,June,Buried in the 13 out-Parishes in Middlesex and Surrey,103
23,1669-23-recto,25,May,1,June,Buried in the 5 Parishes in the City and Liberties of Westminster,35
24,1669-24-recto,1,June,8,June,Buried in the 97 Parishes within the Walls,15
24,1669-24-recto,1,June,8,June,Buried in the 16 Parishes without the Walls,107
24,1669-24-recto,1,June,8,June,Buried in the 13 out-Parishes in Middlesex and Surrey,74
24,1669-24-recto,1,June,8,June,Buried in the 5 Parishes in the City and Liberties of Westminster,44
25,1669-25-recto,8,June,15,June,Buried in the 97 Parishes within the Walls,19
25,1669-25-recto,8,June,15,June,Buried in the 16 Parishes without the Walls,81
25,1669-25-recto,8,June,15,June,Buried in the 13 out-Parishes in Middlesex and Surrey,68
25,1669-25-recto,8,June,15,June,Buried in the 5 Parishes in the City and Liberties of Westminster,42
26,1669-26-recto,15,June,22,June,Buried in the 97 Parishes within the Walls,18
26,1669-26-recto,15,June,22,June,Buried in the 16 Parishes without the Walls,119
26,1669-26-recto,15,June,22,June,Buried in the 13 out-Parishes in Middlesex and Surrey,110
26,1669-26-recto,15,June,22,June,Buried in the 5 Parishes in the City and Liberties of Westminster,47
27,1669-27-recto,22,June,29,June,Buried in the 97 Parishes within the Walls,22
27,1669-27-recto,22,June,29,June,Buried in the 16 Parishes without the Walls,115
27,1669-27-recto,22,June,29,June,Buried in the 13 out-Parishes in Middlesex and Surrey,105
27,1669-27-recto,22,June,29,June,Buried in the 5 Parishes in the City and Liberties of Westminster,41
28,1669-28-recto,29,June,6,July,Buried in the 97 Parishes within the Walls,27
28,1669-28-recto,29,June,6,July,Buried in the 16 Parishes without the Walls,146
28,1669-28-recto,29,June,6,July,Buried in the 13 out-Parishes in Middlesex and Surrey,139
28,1669-28-recto,29,June,6,July,Buried in the 5 Parishes in the City and Liberties of Westminster,53
30,1669-30-recto,13,July,20,July,Buried in the 97 Parishes within the Walls,24
30,1669-30-recto,13,July,20,July,Buried in the 16 Parishes without the Walls,127
30,1669-30-recto,13,July,20,July,Buried in the 13 out-Parishes in Middlesex and Surrey,178
30,1669-30-recto,13,July,20,July,Buried in the 5 Parishes in the City and Liberties of Westminster,60
31,1669-31-recto,20,July,27,July,Buried in the 97 Parishes within the Walls,25
31,1669-31-recto,20,July,27,July,Buried in the 16 Parishes without the Walls,131
31,1669-31-recto,20,July,27,July,Buried in the 13 out-Parishes in Middlesex and Surrey,162
