Week,Unique Identifier,Start Day,Start Month,End Day,End Month,parish_name,count
21,1669-21-recto,11,May,18,May,Christened in the 97 Parishes within the Walls,11
21,1669-21-recto,11,May,18,May,Christened in the 16 Parishes without the Walls,77
21,1669-21-recto,11,May,18,May,Christened in the 13 out-Parishes in Middlesex and Surrey,84
21,1669-21-recto,11,May,18,May,Christened in the 5 Parishes in the City and Liberties of Westminster,43
22,1669-22-recto,18,May,25,May,Christened in the 97 Parishes within the Walls,11
22,1669-22-recto,18,May,25,May,Christened in the 16 Parishes without the Walls,90
22,1669-22-recto,18,May,25,May,Christened in the 13 out-Parishes in Middlesex and Surrey,93
22,1669-22-recto,18,May,25,May,Christened in the 5 Parishes in the City and Liberties of Westminster,43
23,1669-23-recto,25,May,1,June,Christened in the 97 Parishes within the Walls,9
23,1669-23-recto,25,May,1,June,Christened in the 16 Parishes without the Walls,84
23,1669-23-recto,25,May,1,June,Christened in the 13 out-Parishes in Middlesex and Surrey,78
23,1669-23-recto,25,May,1,June,Christened in the 5 Parishes in the City and Liberties of Westminster,31
24,1669-24-recto,1,June,8,June,Christened in the 97 Parishes within the Walls,12
24,1669-24-recto,1,June,8,June,Christened in the 16 Parishes without the Walls,84
24,1669-24-recto,1,June,8,June,Christened in the 13 out-Parishes in Middlesex and Surrey,82
24,1669-24-recto,1,June,8,June,Christened in the 5 Parishes in the City and Liberties of Westminster,40
25,1669-25-recto,8,June,15,June,Christened in the 97 Parishes within the Walls,9
25,1669-25-recto,8,June,15,June,Christened in the 16 Parishes without the Walls,94
25,1669-25-recto,8,June,15,June,Christened in the 13 out-Parishes in Middlesex and Surrey,90
25,1669-25-recto,8,June,15,June,Christened in the 5 Parishes in the City and Liberties of Westminster,58
26,1669-26-recto,15,June,22,June,Christened in the 97 Parishes within the Walls,13
26,1669-26-recto,15,June,22,June,Christened in the 16 Parishes without the Walls,90
26,1669-26-recto,15,June,22,June,Christened in the 13 out-Parishes in Middlesex and Surrey,77
26,1669-26-recto,15,June,22,June,Christened in the 5 Parishes in the City and Liberties of Westminster,41
27,1669-27-recto,22,June,29,June,Christened in the 97 Parishes within the Walls,19
27,1669-27-recto,22,June,29,June,Christened in the 16 Parishes without the Walls,70
27,1669-27-recto,22,June,29,June,Christened in the 13 out-Parishes in Middlesex and Surrey,87
27,1669-27-recto,22,June,29,June,Christened in the 5 Parishes in the City and Liberties of Westminster,38
28,1669-28-recto,29,June,6,July,Christened in the 97 Parishes within the Walls,13
28,1669-28-recto,29,June,6,July,Christened in the 16 Parishes without the Walls,86
28,1669-28-recto,29,June,6,July,Christened in the 13 out-Parishes in Middlesex and Surrey,86
28,1669-28-recto,29,June,6,July,Christened in the 5 Parishes in the City and Liberties of Westminster,37
30,1669-30-recto,13,July,20,July,Christened in the 97 Parishes within the Walls,7
30,1669-30-recto,13,July,20,July,Christened in the 16 Parishes without the Walls,80
