year,week_number,unique_identifier,start_day,start_month,end_day,end_month,death,count
1668,1,1668-01-verso,22,December,29,December,Abortive,1
1668,1,1668-01-verso,22,December,29,December,Aged,10
1668,1,1668-01-verso,22,December,29,December,Ague,
1668,1,1668-01-verso,22,December,29,December,Apoplexy,2
1668,1,1668-01-verso,22,December,29,December,Bed-ridden,
1668,1,1668-01-verso,22,December,29,December,Blasted,
1668,1,1668-01-verso,22,December,29,December,Bleeding,
1668,1,1668-01-verso,22,December,29,December,Bloody-flux,
1668,1,1668-01-verso,22,December,29,December,Calenture,
1668,1,1668-01-verso,22,December,29,December,Cancer,1
1668,1,1668-01-verso,22,December,29,December,Canker,
1668,1,1668-01-verso,22,December,29,December,Child-Bed,3
1668,1,1668-01-verso,22,December,29,December,Chrisoms,11
1668,1,1668-01-verso,22,December,29,December,Cold,
1668,1,1668-01-verso,22,December,29,December,Colick,
1668,1,1668-01-verso,22,December,29,December,Consumption,54
1668,1,1668-01-verso,22,December,29,December,Convulsion,31
1668,1,1668-01-verso,22,December,29,December,Cough,
1668,1,1668-01-verso,22,December,29,December,Cramp,
1668,1,1668-01-verso,22,December,29,December,Diabetes,
1668,1,1668-01-verso,22,December,29,December,Dropsie,17
1668,1,1668-01-verso,22,December,29,December,Drowned,
1668,1,1668-01-verso,22,December,29,December,Falling-sickness,
1668,1,1668-01-verso,22,December,29,December,Fever,19
1668,1,1668-01-verso,22,December,29,December,Fistula,
1668,1,1668-01-verso,22,December,29,December,Flox and Small-Pox,22
1668,1,1668-01-verso,22,December,29,December,Flux,3
1668,1,1668-01-verso,22,December,29,December,French-Pox,
1668,1,1668-01-verso,22,December,29,December,Frets,
1668,1,1668-01-verso,22,December,29,December,Gangreen,
1668,1,1668-01-verso,22,December,29,December,Gout,
1668,1,1668-01-verso,22,December,29,December,Grief,
1668,1,1668-01-verso,22,December,29,December,Griping in the Guts,35
1668,1,1668-01-verso,22,December,29,December,Headache,
1668,1,1668-01-verso,22,December,29,December,Headmouldshot,
1668,1,1668-01-verso,22,December,29,December,Hiccough,
1668,1,1668-01-verso,22,December,29,December,Jaundies,
1668,1,1668-01-verso,22,December,29,December,Jaw-fallen,
1668,1,1668-01-verso,22,December,29,December,Impostume,3
1668,1,1668-01-verso,22,December,29,December,Infants,3
1668,1,1668-01-verso,22,December,29,December,Itch,
1668,1,1668-01-verso,22,December,29,December,Kings Evil,2
1668,1,1668-01-verso,22,December,29,December,Leprosie,
1668,1,1668-01-verso,22,December,29,December,Lethargy,
1668,1,1668-01-verso,22,December,29,December,Liver-grown,1
1668,1,1668-01-verso,22,December,29,December,Lunatick,
1668,1,1668-01-verso,22,December,29,December,Meagrim,
1668,1,1668-01-verso,22,December,29,December,Measles,
1668,1,1668-01-verso,22,December,29,December,Mother,
1668,1,1668-01-verso,22,December,29,December,Noli me tangere,
1668,1,1668-01-verso,22,December,29,December,Overlaid,2
1668,1,1668-01-verso,22,December,29,December,Palsie,
1668,1,1668-01-verso,22,December,29,December,Plague,
1668,1,1668-01-verso,22,December,29,December,Plurisie,
1668,1,1668-01-verso,22,December,29,December,Purples,
1668,1,1668-01-verso,22,December,29,December,Quinsie,
1668,1,1668-01-verso,22,December,29,December,Rheumatism,
1668,1,1668-01-verso,22,December,29,December,Rickets,8
1668,1,1668-01-verso,22,December,29,December,Rising of the Lights,2
1668,1,1668-01-verso,22,December,29,December,Running of the Reins,
1668,1,1668-01-verso,22,December,29,December,Rupture,1
1668,1,1668-01-verso,22,December,29,December,St. Anthony's Fire,
1668,1,1668-01-verso,22,December,29,December,Scald Head,
1668,1,1668-01-verso,22,December,29,December,Sciatica,
1668,1,1668-01-verso,22,December,29,December,Scowring,1
1668,1,1668-01-verso,22,December,29,December,Scurvy,
1668,1,1668-01-verso,22,December,29,December,Shingles,
1668,1,1668-01-verso,22,December,29,December,Spleen,
1668,1,1668-01-verso,22,December,29,December,Spotted-Fever,1
1668,1,1668-01-verso,22,December,29,December,Still-born,11
1668,1,1668-01-verso,22,December,29,December,Stone,
1668,1,1668-01-verso,22,December,29,December,Stopping of the Stomach,7
1668,1,1668-01-verso,22,December,29,December,Strangury,
1668,1,1668-01-verso,22,December,29,December,Suddenly,1
1668,1,1668-01-verso,22,December,29,December,Surfeit,7
1668,1,1668-01-verso,22,December,29,December,Swine-Pox,
1668,1,1668-01-verso,22,December,29,December,Teeth,14
1668,1,1668-01-verso,22,December,29,December,Thrush,3
1668,1,1668-01-verso,22,December,29,December,Tissick,5
1668,1,1668-01-verso,22,December,29,December,Tympany,
1668,1,1668-01-verso,22,December,29,December,Ulcer,1
1668,1,1668-01-verso,22,December,29,December,Vomiting,
1668,1,1668-01-verso,22,December,29,December,Wen,
1668,1,1668-01-verso,22,December,29,December,Wind,2
1668,1,1668-01-verso,22,December,29,December,Wolf,
1668,1,1668-01-verso,22,December,29,December,Worms,1
1668,1,1668-01-verso,22,December,29,December,Killed,1
1668,1,1668-01-verso,22,December,29,December,Suicide,
1668,1,1668-01-verso,22,December,29,December,Other Casualties,
1668,1,1668-01-verso,22,December,29,December,Christened (Male),114
1668,1,1668-01-verso,22,December,29,December,Christened (Female),103
1668,1,1668-01-verso,22,December,29,December,Christened (In All),217
1668,1,1668-01-verso,22,December,29,December,Buried (Male),154
1668,1,1668-01-verso,22,December,29,December,Buried (Female),133
1668,1,1668-01-verso,22,December,29,December,Buried (All),287
1668,1,1668-01-verso,22,December,29,December,Plague Deaths,0
1668,1,1668-01-verso,22,December,29,December,Increase/Decrease in Burials,14
1668,1,1668-01-verso,22,December,29,December,Increase/Decrease in Plague Deaths,0
1668,1,1668-01-verso,22,December,29,December,Parishes Clear of the Plague,47
1668,1,1668-01-verso,22,December,29,December,Parishes Infected (with Plague),0
1668,1,1668-01-verso,22,December,29,December,Ounces in Penny Wheaten Loaf,10
1668,1,1668-01-verso,22,December,29,December,Ounces in Three Half-Penny White Loaf,10
1668,2,1668-02-verso,29,December,5,January,Abortive,1
1668,2,1668-02-verso,29,December,5,January,Aged,21
1668,2,1668-02-verso,29,December,5,January,Ague,
1668,2,1668-02-verso,29,December,5,January,Apoplexy,1
1668,2,1668-02-verso,29,December,5,January,Bed-ridden,
1668,2,1668-02-verso,29,December,5,January,Blasted,
1668,2,1668-02-verso,29,December,5,January,Bleeding,
1668,2,1668-02-verso,29,December,5,January,Bloody-flux,
1668,2,1668-02-verso,29,December,5,January,Calenture,
1668,2,1668-02-verso,29,December,5,January,Cancer,
1668,2,1668-02-verso,29,December,5,January,Canker,2
1668,2,1668-02-verso,29,December,5,January,Child-Bed,5
1668,2,1668-02-verso,29,December,5,January,Chrisoms,9
1668,2,1668-02-verso,29,December,5,January,Cold,
1668,2,1668-02-verso,29,December,5,January,Colick,
1668,2,1668-02-verso,29,December,5,January,Consumption,71
1668,2,1668-02-verso,29,December,5,January,Convulsion,38
1668,2,1668-02-verso,29,December,5,January,Cough,1
1668,2,1668-02-verso,29,December,5,January,Cramp,
1668,2,1668-02-verso,29,December,5,January,Diabetes,
1668,2,1668-02-verso,29,December,5,January,Dropsie,22
1668,2,1668-02-verso,29,December,5,January,Drowned,
1668,2,1668-02-verso,29,December,5,January,Falling-sickness,
1668,2,1668-02-verso,29,December,5,January,Fever,28
1668,2,1668-02-verso,29,December,5,January,Fistula,
1668,2,1668-02-verso,29,December,5,January,Flox and Small-Pox,6
1668,2,1668-02-verso,29,December,5,January,Flux,
1668,2,1668-02-verso,29,December,5,January,French-Pox,
1668,2,1668-02-verso,29,December,5,January,Frets,
1668,2,1668-02-verso,29,December,5,January,Gangreen,2
1668,2,1668-02-verso,29,December,5,January,Gout,
1668,2,1668-02-verso,29,December,5,January,Grief,1
1668,2,1668-02-verso,29,December,5,January,Griping in the Guts,43
1668,2,1668-02-verso,29,December,5,January,Headache,
1668,2,1668-02-verso,29,December,5,January,Headmouldshot,
1668,2,1668-02-verso,29,December,5,January,Hiccough,
1668,2,1668-02-verso,29,December,5,January,Jaundies,1
1668,2,1668-02-verso,29,December,5,January,Jaw-fallen,
1668,2,1668-02-verso,29,December,5,January,Impostume,3
1668,2,1668-02-verso,29,December,5,January,Infants,10
1668,2,1668-02-verso,29,December,5,January,Itch,
1668,2,1668-02-verso,29,December,5,January,Kings Evil,1
1668,2,1668-02-verso,29,December,5,January,Leprosie,
1668,2,1668-02-verso,29,December,5,January,Lethargy,
1668,2,1668-02-verso,29,December,5,January,Liver-grown,
1668,2,1668-02-verso,29,December,5,January,Lunatick,
1668,2,1668-02-verso,29,December,5,January,Meagrim,
1668,2,1668-02-verso,29,December,5,January,Measles,
1668,2,1668-02-verso,29,December,5,January,Mother,
1668,2,1668-02-verso,29,December,5,January,Noli me tangere,
1668,2,1668-02-verso,29,December,5,January,Overlaid,
1668,2,1668-02-verso,29,December,5,January,Palsie,
1668,2,1668-02-verso,29,December,5,January,Plague,
1668,2,1668-02-verso,29,December,5,January,Plurisie,
1668,2,1668-02-verso,29,December,5,January,Purples,
1668,2,1668-02-verso,29,December,5,January,Quinsie,2
1668,2,1668-02-verso,29,December,5,January,Rheumatism,
1668,2,1668-02-verso,29,December,5,January,Rickets,3
1668,2,1668-02-verso,29,December,5,January,Rising of the Lights,6
1668,2,1668-02-verso,29,December,5,January,Running of the Reins,
1668,2,1668-02-verso,29,December,5,January,Rupture,
1668,2,1668-02-verso,29,December,5,January,St. Anthony's Fire,
1668,2,1668-02-verso,29,December,5,January,Scald Head,
1668,2,1668-02-verso,29,December,5,January,Sciatica,
1668,2,1668-02-verso,29,December,5,January,Scowring,
1668,2,1668-02-verso,29,December,5,January,Scurvy,
1668,2,1668-02-verso,29,December,5,January,Shingles,
1668,2,1668-02-verso,29,December,5,January,Spleen,
1668,2,1668-02-verso,29,December,5,January,Spotted-Fever,1
1668,2,1668-02-verso,29,December,5,January,Still-born,14
1668,2,1668-02-verso,29,December,5,January,Stone,
1668,2,1668-02-verso,29,December,5,January,Stopping of the Stomach,4
1668,2,1668-02-verso,29,December,5,January,Strangury,
1668,2,1668-02-verso,29,December,5,January,Suddenly,2
1668,2,1668-02-verso,29,December,5,January,Surfeit,12
1668,2,1668-02-verso,29,December,5,January,Swine-Pox,
1668,2,1668-02-verso,29,December,5,January,Teeth,23
1668,2,1668-02-verso,29,December,5,January,Thrush,
1668,2,1668-02-verso,29,December,5,January,Tissick,6
1668,2,1668-02-verso,29,December,5,January,Tympany,1
