Week,Unique Identifier,Start Day,Start Month,End Day,End Month,parish_name,count
21,1669-21-recto,11,May,18,May,Plague in the 97 Parishes within the Walls,0
21,1669-21-recto,11,May,18,May,Plague in the 16 Parishes without the Walls,0
21,1669-21-recto,11,May,18,May,Plague in the 13 out-Parishes in Middlesex and Surrey,0
21,1669-21-recto,11,May,18,May,Plague in the 5 Parishes in the City and Liberties of Westminster,0
22,1669-22-recto,18,May,25,May,Plague in the 97 Parishes within the Walls,0
22,1669-22-recto,18,May,25,May,Plague in the 16 Parishes without the Walls,0
22,1669-22-recto,18,May,25,May,Plague in the 13 out-Parishes in Middlesex and Surrey,0
22,1669-22-recto,18,May,25,May,Plague in the 5 Parishes in the City and Liberties of Westminster,0
23,1669-23-recto,25,May,1,June,Plague in the 97 Parishes within the Walls,0
23,1669-23-recto,25,May,1,June,Plague in the 16 Parishes without the Walls,0
23,1669-23-recto,25,May,1,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0
23,1669-23-recto,25,May,1,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0
24,1669-24-recto,1,June,8,June,Plague in the 97 Parishes within the Walls,0
24,1669-24-recto,1,June,8,June,Plague in the 16 Parishes without the Walls,0
24,1669-24-recto,1,June,8,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0
24,1669-24-recto,1,June,8,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0
25,1669-25-recto,8,June,15,June,Plague in the 97 Parishes within the Walls,NA
25,1669-25-recto,8,June,15,June,Plague in the 16 Parishes without the Walls,0
25,1669-25-recto,8,June,15,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0
25,1669-25-recto,8,June,15,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0
26,1669-26-recto,15,June,22,June,Plague in the 97 Parishes within the Walls,0
26,1669-26-recto,15,June,22,June,Plague in the 16 Parishes without the Walls,0
26,1669-26-recto,15,June,22,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0
26,1669-26-recto,15,June,22,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0
27,1669-27-recto,22,June,29,June,Plague in the 97 Parishes within the Walls,0
27,1669-27-recto,22,June,29,June,Plague in the 16 Parishes without the Walls,0
27,1669-27-recto,22,June,29,June,Plague in the 13 out-Parishes in Middlesex and Surrey,0
27,1669-27-recto,22,June,29,June,Plague in the 5 Parishes in the City and Liberties of Westminster,0
28,1669-28-recto,29,June,6,July,Plague in the 97 Parishes within the Walls,0
28,1669-28-recto,29,June,6,July,Plague in the 16 Parishes without the Walls,0
28,1669-28-recto,29,June,6,July,Plague in the 13 out-Parishes in Middlesex and Surrey,0
28,1669-28-recto,29,June,6,July,Plague in the 5 Parishes in the City and Liberties of Westminster,0
30,1669-30-recto,13,July,20,July,Plague in the 97 Parishes within the Walls,NA
30,1669-30-recto,13,July,20,July,Plague in the 16 Parishes without the Walls,NA
30,1669-30-recto,13,July,20,July,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
30,1669-30-recto,13,July,20,July,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
31,1669-31-recto,20,July,27,July,Plague in the 97 Parishes within the Walls,NA
31,1669-31-recto,20,July,27,July,Plague in the 16 Parishes without the Walls,NA
31,1669-31-recto,20,July,27,July,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
31,1669-31-recto,20,July,27,July,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
32,1669-32-recto,17,July,3,August,Plague in the 97 Parishes within the Walls,0
32,1669-32-recto,17,July,3,August,Plague in the 16 Parishes without the Walls,NA
32,1669-32-recto,17,July,3,August,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
32,1669-32-recto,17,July,3,August,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
33,1669-33-recto,3,August,10,August,Plague in the 97 Parishes within the Walls,NA
33,1669-33-recto,3,August,10,August,Plague in the 16 Parishes without the Walls,NA
33,1669-33-recto,3,August,10,August,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
33,1669-33-recto,3,August,10,August,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
34,1669-34-recto,10,August,17,August,Plague in the 97 Parishes within the Walls,NA
34,1669-34-recto,10,August,17,August,Plague in the 16 Parishes without the Walls,NA
34,1669-34-recto,10,August,17,August,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
34,1669-34-recto,10,August,17,August,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
35,1669-35-recto,17,August,24,August,Plague in the 97 Parishes within the Walls,NA
35,1669-35-recto,17,August,24,August,Plague in the 16 Parishes without the Walls,NA
35,1669-35-recto,17,August,24,August,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
35,1669-35-recto,17,August,24,August,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
36,1669-36-recto,24,August,31,August,Plague in the 97 Parishes within the Walls,NA
36,1669-36-recto,24,August,31,August,Plague in the 16 Parishes without the Walls,NA
36,1669-36-recto,24,August,31,August,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
36,1669-36-recto,24,August,31,August,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
37,1669-37-recto-form-fill,31,August,7,September,Plague in the 97 Parishes within the Walls,NA
37,1669-37-recto-form-fill,31,August,7,September,Plague in the 16 Parishes without the Walls,NA
37,1669-37-recto-form-fill,31,August,7,September,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
37,1669-37-recto-form-fill,31,August,7,September,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
38,1669-38-recto,7,September,14,September,Plague in the 97 Parishes within the Walls,NA
38,1669-38-recto,7,September,14,September,Plague in the 16 Parishes without the Walls,NA
38,1669-38-recto,7,September,14,September,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
38,1669-38-recto,7,September,14,September,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
39,1669-39-recto,14,September,21,September,Plague in the 97 Parishes within the Walls,NA
39,1669-39-recto,14,September,21,September,Plague in the 16 Parishes without the Walls,NA
39,1669-39-recto,14,September,21,September,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
39,1669-39-recto,14,September,21,September,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
40,1669-40-recto,21,September,28,September,Plague in the 97 Parishes within the Walls,NA
40,1669-40-recto,21,September,28,September,Plague in the 16 Parishes without the Walls,NA
40,1669-40-recto,21,September,28,September,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
40,1669-40-recto,21,September,28,September,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
41,1669-41-recto,28,September,5,October,Plague in the 97 Parishes within the Walls,NA
41,1669-41-recto,28,September,5,October,Plague in the 16 Parishes without the Walls,1
41,1669-41-recto,28,September,5,October,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
41,1669-41-recto,28,September,5,October,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
42,1669-42,5,October,12,October,Plague in the 97 Parishes within the Walls,NA
42,1669-42,5,October,12,October,Plague in the 16 Parishes without the Walls,NA
42,1669-42,5,October,12,October,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
42,1669-42,5,October,12,October,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
43,1669-43-recto,12,October,19,October,Plague in the 97 Parishes within the Walls,NA
43,1669-43-recto,12,October,19,October,Plague in the 16 Parishes without the Walls,NA
43,1669-43-recto,12,October,19,October,Plague in the 13 out-Parishes in Middlesex and Surrey,1
43,1669-43-recto,12,October,19,October,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
44,1669-44-recto,19,October,26,October,Plague in the 97 Parishes within the Walls,NA
44,1669-44-recto,19,October,26,October,Plague in the 16 Parishes without the Walls,NA
44,1669-44-recto,19,October,26,October,Plague in the 13 out-Parishes in Middlesex and Surrey,1
44,1669-44-recto,19,October,26,October,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
45,1669-45-recto,26,October,2,November,Plague in the 97 Parishes within the Walls,NA
45,1669-45-recto,26,October,2,November,Plague in the 16 Parishes without the Walls,NA
45,1669-45-recto,26,October,2,November,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
45,1669-45-recto,26,October,2,November,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
46,1669-46-recto,2,November,9,November,Plague in the 97 Parishes within the Walls,NA
46,1669-46-recto,2,November,9,November,Plague in the 16 Parishes without the Walls,NA
46,1669-46-recto,2,November,9,November,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
46,1669-46-recto,2,November,9,November,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
47,1669-47-recto,9,November,16,November,Plague in the 97 Parishes within the Walls,NA
47,1669-47-recto,9,November,16,November,Plague in the 16 Parishes without the Walls,NA
47,1669-47-recto,9,November,16,November,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
47,1669-47-recto,9,November,16,November,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
48,1669-48-recto,16,November,23,November,Plague in the 97 Parishes within the Walls,NA
48,1669-48-recto,16,November,23,November,Plague in the 16 Parishes without the Walls,NA
48,1669-48-recto,16,November,23,November,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
48,1669-48-recto,16,November,23,November,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
49,1669-49-recto,23,November,30,November,Plague in the 97 Parishes within the Walls,NA
49,1669-49-recto,23,November,30,November,Plague in the 16 Parishes without the Walls,NA
49,1669-49-recto,23,November,30,November,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
49,1669-49-recto,23,November,30,November,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
50,1669-50-recto,30,November,7,December,Plague in the 97 Parishes within the Walls,NA
50,1669-50-recto,30,November,7,December,Plague in the 16 Parishes without the Walls,NA
50,1669-50-recto,30,November,7,December,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
50,1669-50-recto,30,November,7,December,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
51,1669-51-recto,7,December,14,December,Plague in the 97 Parishes within the Walls,NA
51,1669-51-recto,7,December,14,December,Plague in the 16 Parishes without the Walls,NA
51,1669-51-recto,7,December,14,December,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
51,1669-51-recto,7,December,14,December,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
52,1669-52-recto,14,December,21,December,Plague in the 97 Parishes within the Walls,NA
52,1669-52-recto,14,December,21,December,Plague in the 16 Parishes without the Walls,NA
52,1669-52-recto,14,December,21,December,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
52,1669-52-recto,14,December,21,December,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
1,1669-1-recto,21,December,28,December,Plague in the 97 Parishes within the Walls,NA
1,1669-1-recto,21,December,28,December,Plague in the 16 Parishes without the Walls,NA
1,1669-1-recto,21,December,28,December,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
