year,week,start_day,end_day,start_month,end_month,unique_identifier,week_id
1669,21,11,18,May,May,1669-21-recto,1669-1670-21
1669,22,18,25,May,May,1669-22-recto,1669-1670-22
1669,23,25,1,May,June,1669-23-recto,1669-1670-23
1669,24,1,8,June,June,1669-24-recto,1669-1670-24
1669,25,8,15,June,June,1669-25-recto,1669-1670-25
1669,26,15,22,June,June,1669-26-recto,1669-1670-26
1669,27,22,29,June,June,1669-27-recto,1669-1670-27
1669,28,29,6,June,July,1669-28-recto,1669-1670-28
1669,30,13,20,July,July,1669-30-recto,1669-1670-30
1669,31,20,27,July,July,1669-31-recto,1669-1670-31
1669,32,17,3,July,August,1669-32-recto,1669-1670-32
1669,33,3,10,August,August,1669-33-recto,1669-1670-33
1669,34,10,17,August,August,1669-34-recto,1669-1670-34
1669,35,17,24,August,August,1669-35-recto,1669-1670-35
1669,36,24,31,August,August,1669-36-recto,1669-1670-36
1669,37,31,7,August,September,1669-37-recto-form-fill,1669-1670-37
1669,38,7,14,September,September,1669-38-recto,1669-1670-38
1669,39,14,21,September,September,1669-39-recto,1669-1670-39
1669,40,21,28,September,September,1669-40-recto,1669-1670-40
1669,41,28,5,September,October,1669-41-recto,1669-1670-41
1669,42,5,12,October,October,1669-42,1669-1670-42
1669,43,12,19,October,October,1669-43-recto,1669-1670-43
1669,44,19,26,October,October,1669-44-recto,1669-1670-44
1669,45,26,2,October,November,1669-45-recto,1669-1670-45
1669,46,2,9,November,November,1669-46-recto,1669-1670-46
1669,47,9,16,November,November,1669-47-recto,1669-1670-47
1669,48,16,23,November,November,1669-48-recto,1669-1670-48
1669,49,23,30,November,November,1669-49-recto,1669-1670-49
1669,50,30,7,November,December,1669-50-recto,1669-1670-50
1669,51,7,14,December,December,1669-51-recto,1669-1670-51
1669,52,14,21,December,December,1669-52-recto,1669-1670-52
1669,1,21,28,December,December,1669-1-recto,1668-1669-01
1669,2,28,4,December,January,1669-2-recto,1668-1669-02
1669,3,4,11,January,January,1669-03-recto,1668-1669-03
1669,4,11,18,January,January,1669-04-recto,1668-1669-04
1669,5,18,25,January,January,1669-05-recto,1668-1669-05
1669,6,25,1,January,February,1669-06-recto,1668-1669-06
1669,7,1,8,February,February,1669-07-recto,1668-1669-07
1669,8,8,15,February,February,1669-08-recto,1668-1669-08
1669,9,15,22,February,February,1669-09-recto,1668-1669-09
1669,10,22,1,February,March,1669-10-recto,1668-1669-10
1669,11,1,8,March,March,1669-11-recto-form-fill,1668-1669-11
1669,12,8,15,March,March,1669-12-recto-form-fill,1668-1669-12
1669,13,15,22,March,March,1669-13-recto-form-fill,1668-1669-13
1670,14,22,29,March,March,1670-14-recto,1669-1670-14
1670,15,29,5,March,April,1670-15-recto,1670-1671-15
