year,year_id,split_year
1669,1669,1668/1669
1670,1670,1669/1670
1680,1680,1679/1680
1681,1681,1680/1681
1682,1682,1681/1682
1683,1683,1682/1683
1684,1684,1683/1684
1685,1685,1684/1685
1686,1686,1685/1686
1687,1687,1686/1687
1688,1688,1687/1688
1689,1689,1688/1689
1690,1690,1689/1690
1691,1691,1690/1691
1692,1692,1691/1692
1696,1696,1695/1696
1697,1697,1696/1697
1702,1702,1701/1702
1703,1703,1702/1703
1704,1704,1703/1704
1705,1705,1704/1705
1706,1706,1705/1706
1707,1707,1706/1707
1708,1708,1707/1708
1709,1709,1708/1709
1710,1710,1709/1710
1711,1711,1710/1711
1714,1714,1713/1714
1715,1715,1714/1715
1716,1716,1715/1716
1719,1719,1718/1719
1720,1720,1719/1720
1748,1748,1747/1748
1749,1749,1748/1749
1750,1750,1749/1750
