"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,"Week Number","Unique Identifier","Start Day","Start Month","End Day","End Month",Abortive,Aged,Ague,Apoplexy,Asthma,Bed-ridden,Blasted,Bleeding,Bloody-flux,Calenture,Cancer,Canker,"Chicken Pox",Child-Bed,Chrisoms,Cold,Colick,Consumption,Convulsion,Cough,Cramp,Diabetes,Dropsie,Drowned,"Drowned (Descriptive Text)",Executed,"Executed (Descriptive Text)",Falling-sickness,Fever,Fistula,"Flox and Small-Pox","Flox and Small-Pox (Descriptive Text)",Flux,"Found dead","Found Dead (Descriptive Text)",French-Pox,Frets,Gangreen,Gout,Gravel,Grief,"Griping in the Guts",Headache,Headmouldshot,"Hooping Cough",Hiccough,Horshoehead,Impostume,Infants,Inflammation,Itch,Jaundies,Jaw-fallen,"Kings Evil",Leprosie,Lethargy,Liver-grown,Looseness,"Lunatick and Frenzy","Malignant Fever",Meagrim,Measles,Miscarriage,Mortification,Mother,"Noli me tangere",Overlaid,Palsie,Plague,Planet,Plurisie,Purples,Quinsie,Rash,Rheumatism,Rickets,"Rising of the Lights","Running of the Reins",Rupture,"Scald Head","Scarlet Fever",Sciatica,Scowring,Scurvy,Sores,Shingles,Spleen,Spotted-Fever,"St. Anthony's Fire",Starved,"Starved (Descriptive Text)",Still-born,Stone,"Stopping of the Stomach",Strangury,Strongullion,Suddenly,Surfeit,"Swelling in the Throat",Swine-Pox,Teeth,Thrush,Tissick,Tympany,"Twisting of the Guts",Ulcer,Vapours,Vomiting,"Water in the Head",Wen,Wind,Wolf,Worms,Killed,"Killed (Descriptive Text)",Suicide,"Suicide (Descriptive Text)",Other,"Other (Descriptive text)","Christened (Male)","Christened (Female)","Christened (In All)","Buried (Male)","Buried (Female)","Buried (All)","Increase/Decrease in Burials"
699,22535,963,1,1700,1,Laxton-1700-01-verso,17,December,24,December,,30,,,,,,,,,,,,4,1,,,57,73,,,,16,,,2,"One at St Saviour in Southwark. And one at St Giles in the Fields",,59,,37,,,1,"Found dead in the River of Thames at St. Olave in Southwark",2,,,3,,,14,,,,,,2,,,,1,,4,,,,,,,,,,,,,1,,,,,,1,,,7,2,,,,,,,,,,,2,,,,16,1,10,,,1,2,,,14,,5,,,,,1,,,,,1,,,2,"Hang'd at St. Botolph by Bishopsgate... being Lunatick; Shot themselves 2... with a Pistol being distracted at St. James Westminster 1.",5,"Burnt accidentally at St Andrew in Holborn 1; Frightned at St Botolph by Aldgate 1; Shot themselves... accidentally at Highgate, Buried at St CLement Danes; Kill'd at St Martin in the Fields 1; Hang'd at St. Botolph by Bishopgate... accidentally",136,106,242,160,217,377,-47
700,22536,965,1,1700,2,Laxton-1700-02-verso,24,December,31,December,,23,,1,,,,,,,,,,5,1,,2,55,85,,,,12,2,"One at St Magnus by London-Bridge. And one accidentally at St Dunstan at Stepney",,,,71,,39,,,,,2,,1,,,,15,,,,,,3,1,,,,,2,,,1,,1,,,,,,,,3,1,,,2,,,,,6,3,,3,1,,,,,,,,3,,,,18,1,15,1,,2,2,,,26,,5,1,,2,,1,,,,,,,,,,,,175,139,314,209,209,418,41
701,22537,966,1,1700,3,Laxton-1700-03-verso,31,December,7,January,1,24,,1,,,,,,,1,1,,3,1,,2,48,76,,,,16,2,"Drowned accidentally 2, One at St. Saviour in Souhwark. And one in the River of Thames at St John at Wapping",1,,,41,,43,,,,,1,,,,,,14,,,,,,1,2,,,1,,3,,,,,1,,,,,,,,2,,,,,1,,,,3,2,,,,,,,,,,,2,,,,12,2,6,1,,,,,,18,1,20,1,,1,,,,,,,1,,,,,1,Chincough,169,158,327,173,185,358,-60
702,22538,967,1,1700,4,Laxton-1700-4-verso,7,January,14,January,11,42,,2,1,,,,,,3,,,6,2,,,63,121,,,,17,,,,,,60,,28,,,,,,,,1,,,23,,,,,,,,,,3,,1,,1,,,,,,1,,,,,,,,,1,,,,,7,2,,,,,,,1,,,,2,,,,18,,6,1,,1,2,,,22,1,16,1,,,,1,,,,,,,,2,"Shot herself at St Martin in the Fields 1; Threw herself out of a Window (being Lunatick) at St Katherine by the Tower 1",,,152,120,272,237,233,470,112
703,22539,968,1,1700,5,Laxton-1700-05-verso,14,January,21,January,1,44,,,,,,,,,2,,,6,2,,2,62,90,,,,15,,,,,,69,1,39,,,1,"Found dead in the River of Thames at St Bennet at Paulswharf",3,,,,,1,19,,,,,,,,,,3,,1,,,,,,,,,,,,,2,,,,,,,,,6,2,,,,,,,,,,,,,,,12,1,3,,,,1,,,21,3,9,,,1,,,,,,,1,3,"Found murdered a Male Child at St Giles in the Fields 1; One with a Cart at St Saviour in Southwark 1; Murdered at Male Infant at St Dunstan at Stepney 1",1,"Hang'd herself at St Saviour Southwark ",1,"And one by a Fall from a Window at St Dunstan at Stepney",163,153,316,229,199,428,-42
704,22540,969,1,1700,6,Laxton-1700-06-verso,21,January,28,January,3,25,,1,,,,,,,1,,,5,,,1,59,83,,,,10,1,"Drowned accidentally in the River of Thames at St Katharine by the Tower",,,,47,,38,,,,,1,,1,,,,16,,,,,,,1,,,1,,2,,,,,,,,,,,,,3,,,,,,,,,10,2,,,,,,,,,,,3,,,,10,,4,,,1,2,,,20,2,5,,,2,,1,,,,,2,,,,,1,"Sore Leg ",166,160,326,180,184,364,-64
705,22541,970,1,1700,7,Laxton-1700-07-verso,28,January,4,February,2,38,,,,,,,,,2,1,,4,3,,,66,93,,,,26,,,2,,,54,1,38,,1,1,"Found dead an Infant at St Katharine Creedchurch",2,,,,,,14,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,3,2,,,,,,,,,,,2,,,,14,,12,,,3,2,,,23,,7,,,1,,,,,,,1,,,,,2,"Burnt accidentally a Child at St Mary in Whitechappel 1; Kill'd accidentally by the Fall of the End of a House at St Andrew in Holborn 1",193,151,344,204,220,424,60
706,22542,971,1,1700,8,Laxton-1700-08-verso,4,February,11,February,3,35,,4,,,,,,,,,,4,,,1,50,104,,,,16,1,"Drowned accidentally at St Margaret in Westminster",,,,52,,32,,,1,"Found dead a Woman in an old House at St James at CLerkenwel ",2,,,,,,16,,,,,,1,1,,,1,,1,,,,,,,,,,,,,2,,,,2,,,,,8,3,,,,,,,,,,,1,,,,13,,11,,,4,4,,,26,,7,,,,,,,,,,1,,,1,"Hang'd himself being Lunatick at St Mary Hill",3,"Sore-Mouth 1; Burnt accidentally at St Paul at Shadwel 1; Cut of the Stone 1",160,161,321,227,184,411,-13
707,22543,973,1,1700,9,Laxton-1700-09-verso,11,February,18,February,4,33,,2,,1,,,,,1,,,2,2,,1,54,100,,,,13,,,1,,,53,,29,,,,,2,,,,,,18,,,,,,3,1,,,1,,,,,,,,,,,,,,,,,,,2,,,,,5,3,,,,,,,,,,,2,,,,9,,10,,,1,,,,22,,13,1,,1,,,,,,,4,,,1,"Hang'd himself at St James in Duke-place",2,"Sore Leg 1; Kill'd accidentally by a Fall out of a Ware House Door at St Botolph by Billingsgate 1",166,162,328,202,195,397,-14
708,22544,974,1,1700,10,Laxton-1700-10-verso,18,February,25,February,1,32,,1,,1,,,1,,,1,,5,2,,1,64,94,,,,17,1,"Drown'd accidentally in the River of Thames at St Paul at Shadwell",,,,54,,25,,,,,2,,,2,,,19,,,1,,,1,1,,,,,1,,1,,,,,,,,,,,2,,,,1,,,,,14,3,,,,,,,,,,,,,,,9,,10,,,1,1,,,26,1,10,,,,,1,,,,,,1,"Kill'd with a Sword at St Ann in Westminster",,,,,163,177,340,196,212,408,11
709,22545,975,1,1700,11,Laxton-1700-11-verso,25,February,4,March,2,31,,4,,,,,,,,,,3,,,2,56,94,,,,19,,,,,,61,,27,,,1,"Found dead in a Hay Loft at St Sepulchres",2,,,,,,18,,,,,,1,,,,3,,1,,,1,,1,,,,,,,,6,,,,1,,,,,16,7,,,,,,,,,,,8,,,,14,1,6,,,1,,,,19,1,4,,,2,,1,,,,,3,1,"Kill'd with a Pistol Bullet at St Dunstan at Stepney ",1,"Shot himself being Lunatick at St Giles by Cripplegate",,,154,161,315,208,211,419,11
710,22546,988,1,1700,12,Laxton-1700-12-verso,4,March,11,March,2,33,,5,,,,,,,1,1,,7,1,,5,63,109,,,,17,1,"Drowned at Christ Church in Surry",,,,52,,26,,,,,1,,,,,,16,,,,,,1,,,,1,,1,,,,,,,,,,,,,1,,,,1,,,,,15,3,,5,,,,,,,,,,,,,14,,15,,,1,1,,,13,,13,,,,,,,,,,2,1,"Poyson'd at Guinea, Buried at St Mary at Rotherheth ",3,"Cut his own Throat (being distracted) at St Dunstan in the East 1; Hang'd himself at St Dunstan at Stepney 1; Strangled herself (being distracted) at St Andrew in Holborn 1",2,"Excessive Drinking 1; Burnt accidentally at St Paul at Shadwell 1",157,138,295,217,216,433,14
711,22547,989,1,1700,13,Laxton-1700-13-verso,11,March,18,March,3,30,,1,,,,1,,,1,,,6,4,,4,53,110,,,,22,1,"Drowned at St Dunstan at Stepney",,,,48,1,15,,,,,1,,,,,,26,,,,,,1,,,,3,,2,,,,,,,,1,,1,,,5,1,,,1,,,,,17,5,,3,,,,,,,,,1,,,,11,1,7,1,,1,1,,,27,1,5,,,1,,,,,,,,,,,,1,"Kill'd accidentally by a Fall from a Wall at St Andrew in Holborn, Buried at the Quakers Ground 1",157,148,305,204,221,425,-8
831,22548,990,1,1701,1,Laxton-1701-01-verso,16,December,23,December,2,32,,1,,,,,,,1,,,2,,,1,52,96,,,,21,,,,,,55,,7,"flox 0; small-pox 7",,,,,,1,,,,18,,,,,,1,,,,,,1,,,,,,,,,,,,,4,,,,1,,,,,7,1,,,,,,,,,,,1,,,,12,,9,,,,,,,14,2,7,1,,1,,,,,,,2,1,"Murder'd a Male Infant at St Paul in Covent Garden",,,,,140,120,260,188,165,353,10
832,22549,991,1,1701,2,Laxton-1701-02-verso,23,December,30,December,1,44,,2,1,,,,1,,3,,,3,5,,4,53,113,2,1,,22,1,"Drowned at St Martin in the Fields",1,,,42,,2,"flox 0; small-pox 2",,,,2,,,,,2,20,,1,,,,2,,,,1,,,,,,,,,1,,,1,,,3,2,,,2,,,,,6,1,,,,,,,,,,,,,,,7,,11,,,3,,,,30,,18,,,,,,,,,,,1,"One with a Butcher's Knife at St Sepulchres",,,2,"One in a Crane at St Botolph at Billingsgate 1; And one at St Clement Danes 1",137,115,252,199,218,417,64
833,22550,992,1,1701,3,Laxton-1701-03-verso,30,December,6,January,,48,,2,,,,,,,,,,6,,,3,68,97,,,,17,2,"One at St Saviour in Southwark. And one at St Paul at Shadwell",,,,53,,7,"flux 0; small-pox 7",1,,,2,,,,,,14,,1,,,,1,1,,,,,1,,,,,,,,,,2,,,2,,,,,,,,2,9,3,,1,,,,,,,,,2,1,,,9,1,4,,,1,1,,,13,1,7,,,1,,,,,,,,,,,,1,"Excessive drinking at St Mary Woolnoth ",173,149,322,179,206,385,-32
834,22551,993,1,1701,4,Laxton-1701-04-verso,6,January,13,January,,29,,3,,,,,,,2,,,6,4,,4,64,89,,,,14,,,,,,46,,10,"flox 0; small-pox 10",,1,"Found dead in the Thames near Billingsgate, Buried at St Mary Hill ",,,2,,,,13,,,,,,1,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,2,13,,,1,,,,,1,,,,1,,,,11,,9,,,1,2,,,19,,13,,,1,,,,,,,2,,,,,,,136,155,291,180,188,368,-17
835,22552,999,1,1701,5,Laxton-1701-05-verso,13,January,20,January,2,39,,,,,,,,,,,,5,2,,2,49,98,,,,12,,,,,,46,1,8,"flox 0; small-pox 8",,,,3,,,,,,17,1,,,,,,,,,2,,2,,1,,,2,,,,,,,,2,,,,1,,,,1,14,2,,,,,,,,,,,,1,,,7,1,5,,,1,,,,29,,3,,,,,,,,,,2,1,"Smother'd at Lambeth Parish ",,,3,"Sore Leg 1; Kill'd by a Fall from the Rafters of an unfinished House at St Giles in the Fields 1; Bursten 1",146,147,293,189,176,365,-3
836,22553,1000,1,1701,6,Laxton-1701-06-verso,20,January,27,January,2,26,,1,,,,,,,1,,,2,,,3,46,86,,,,18,,,,,,38,1,6,"flox 0; small-pox 6",,1,"Found dead an Infant at St Andrew in Holborn",,,,,,,18,,,,,,2,,,,3,,,,,,,1,,,,,,,,1,,,,1,,,,,5,2,,,,,,,1,,,,,,,,10,,10,,,,3,,,24,,8,1,,,,,,,,,,1,"Murder'd at St Bennet at Paulswharf ",1,"Cut his own Throat (being Lunatick) at St Sepulchres ",,,145,136,281,174,149,323,-42
837,22554,1001,1,1701,7,Laxton-1701-07-verso,27,January,3,February,2,24,,1,,,,,,,,,,3,2,,1,47,83,,,,18,2,"One at St Saviour in Southwark. And one at St Katharine by the Tower",1,,,43,,7,"flox 0; small-pox 7",,1,"Found dead an Infant at St Dunstan at Stepney",,,,,,,9,,,,,,,1,,,2,,1,,,,,1,,,,,,,,3,,,,,,,,1,5,4,,2,,,,,,,,,,,,,15,,9,,,,1,,,26,,12,,,,,,,,,,1,1,"Kill'd with a Sword at St Ann in Westminster ",2,"Hang'd himself (being Distracted) at St Clement Danes 1; Cut her own Throat (being Distracted) at St Clement Danes 1",1,"Scalded at St Giles in the Fields, Buried at St Martin in the Fields ",156,133,289,161,171,332,9
