"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique Identifier","Start day","Start month","End day","End month","Christened - Males","Christened - Females","Christened - Total","Burials - Males","Burials - Females","Burials - Total","Under two","Two to five","Five to ten","Ten to twenty","Twenty to thirty","Thirty to forty","Forty to fifty","Fifty to sixty","Sixty to seventy","Seventy to eighty","Eighty to ninety","Over ninety","Ninety to a hundred",101,102,103,104,105,106,107,108,109,110,"Over 110","Increase/decrease in burials this year"
699,9105,1364,1,1700,1,Laxton-1700-01-verso,17,December,24,December,136,106,242,160,217,377,,,,,,,,,,,,,,,,,,,,,,,,,-47
700,9106,1365,1,1700,2,Laxton-1700-02-verso,24,December,31,December,175,139,314,209,209,418,,,,,,,,,,,,,,,,,,,,,,,,,41
701,9107,1366,1,1700,3,Laxton-1700-03-verso,31,December,7,January,169,158,327,173,185,358,,,,,,,,,,,,,,,,,,,,,,,,,-60
702,9108,1367,1,1700,4,Laxton-1700-04-verso,7,January,14,January,152,120,272,237,233,470,,,,,,,,,,,,,,,,,,,,,,,,,112
703,9109,1368,1,1700,5,Laxton-1700-05-verso,14,January,21,January,163,153,316,229,199,428,,,,,,,,,,,,,,,,,,,,,,,,,-42
704,9110,1369,1,1700,6,Laxton-1700-06-verso,21,January,28,January,166,160,326,180,184,364,,,,,,,,,,,,,,,,,,,,,,,,,-64
705,9111,1370,1,1700,7,Laxton,28,January,4,February,193,151,344,204,220,424,,,,,,,,,,,,,,,,,,,,,,,,,60
706,9112,1371,1,1700,8,Laxton-1700-08-verso,4,February,11,February,160,161,321,227,184,411,,,,,,,,,,,,,,,,,,,,,,,,,-13
707,9113,1372,1,1700,9,Laxton-1700-09-verso,11,February,18,February,166,162,328,202,195,397,,,,,,,,,,,,,,,,,,,,,,,,,-14
708,9114,1373,1,1700,10,Laxton-1700-10-verso,18,February,25,February,163,177,340,196,212,408,,,,,,,,,,,,,,,,,,,,,,,,,11
709,9115,1374,1,1700,11,Laxton-1700-11-verso,25,February,4,March,154,161,315,208,211,419,,,,,,,,,,,,,,,,,,,,,,,,,11
710,9116,1375,1,1700,12,Laxton-1700-12-verso,4,March,11,March,157,138,295,217,216,433,,,,,,,,,,,,,,,,,,,,,,,,,14
711,9117,1376,1,1700,13,Laxton-1700-13-verso,11,March,18,March,157,148,305,204,221,425,,,,,,,,,,,,,,,,,,,,,,,,,-8
831,9118,1377,1,1701,1,Laxton-1701-01-verso,16,December,23,December,140,120,260,188,165,353,,,,,,,,,,,,,,,,,,,,,,,,,10
832,9119,1378,1,1701,2,Laxton-1701-02-verso,23,December,30,December,137,115,252,199,218,417,,,,,,,,,,,,,,,,,,,,,,,,,64
833,9120,1379,1,1701,3,Laxton-1701-03-verso,30,December,6,January,173,149,322,179,206,385,,,,,,,,,,,,,,,,,,,,,,,,,-32
834,9121,1380,1,1701,4,Laxton-1701-04-verso,6,January,13,January,136,155,291,180,188,368,,,,,,,,,,,,,,,,,,,,,,,,,-17
835,9122,1381,1,1701,5,Laxton-1701-05-verso,13,January,20,January,146,147,293,189,176,365,,,,,,,,,,,,,,,,,,,,,,,,,-3
836,9123,1383,1,1701,6,Laxton-1701-06-verso,20,January,27,January,145,136,281,174,149,323,,,,,,,,,,,,,,,,,,,,,,,,,-42
837,9124,1384,1,1701,7,Laxton-1701-07-verso,27,January,3,February,156,133,289,161,171,332,,,,,,,,,,,,,,,,,,,,,,,,,9
