printedYear,startMonth,startDay,endMonth,endDay,parish,cause,count,parishTotal,parishPlague,canonicalDBN
1665,March,13,March,20,"Albans, in Woodstreet",ffeaver,1.0,1.0,,St Alban Wood Street
1666,May,22,May,29,"Albans, in Woodstreet",Griefe,1.0,1.0,,St Alban Wood Street
1666,July,10,July,17,"Albans, in Woodstreet",Teeth,1.0,1.0,,St Alban Wood Street
1665,March,13,March,20,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,2.0,,All Hallows Barking
1665,March,13,March,20,"Alhallowes-Barking, in Towerstreet",Dropsy,1.0,2.0,,All Hallows Barking
1666,May,22,May,29,"Alhallowes-Barking, in Towerstreet",Jaundies,1.0,2.0,,All Hallows Barking
1666,May,22,May,29,"Alhallowes-Barking, in Towerstreet",Purples,1.0,2.0,,All Hallows Barking
1666,July,10,July,17,"Alhallowes-Barking, in Towerstreet",Chrisoms,2.0,4.0,,All Hallows Barking
1666,July,10,July,17,"Alhallowes-Barking, in Towerstreet",Consumpcon,1.0,4.0,,All Hallows Barking
1666,July,10,July,17,"Alhallowes-Barking, in Towerstreet",Stone,1.0,4.0,,All Hallows Barking
1665,March,13,March,20,"Alhallowes, in Breadstreet",Consumpcon,1.0,1.0,,All Hallows Bread Street
1665,March,13,March,20,"Alhallowes-Great, near the Stilyard",Scowring,1.0,1.0,,All Hallows the Great
1666,May,22,May,29,"Alhallowes-Great, near the Stilyard",Teeth,1.0,1.0,,All Hallows the Great
1666,July,10,July,17,"Alhallowes-Great, near the Stilyard",Infant,1.0,1.0,,All Hallows the Great
1665,March,13,March,20,"Alhallowes-Wall, near Broadstreet",Stone,1.0,1.0,,All Hallows London Wall
1666,April,10,April,17,"Alhallowes-Wall, near Broadstreet",Palsy,1.0,3.0,,All Hallows London Wall
1666,April,10,April,17,"Alhallowes-Wall, near Broadstreet",Quinsy,1.0,3.0,,All Hallows London Wall
1666,April,10,April,17,"Alhallowes-Wall, near Broadstreet",Stone,1.0,3.0,,All Hallows London Wall
1666,May,22,May,29,"Alhallowes-Wall, near Broadstreet",Consumpcon,2.0,3.0,,All Hallows London Wall
1666,May,22,May,29,"Alhallowes-Wall, near Broadstreet",Teeth,1.0,3.0,,All Hallows London Wall
1665,March,13,March,20,"Alphage, within Cripplegate",Chrisoms,1.0,3.0,,St Alphage
1665,March,13,March,20,"Alphage, within Cripplegate",Dropsy,1.0,3.0,,St Alphage
1665,March,13,March,20,"Alphage, within Cripplegate",Spotted ffeaver,1.0,3.0,,St Alphage
1665,March,13,March,20,"Andrew, by the Wardrobe",Stilborne,1.0,1.0,,St Andrew Wardrobe
1666,April,10,April,17,"Andrew, by the Wardrobe",Wind,1.0,1.0,,St Andrew Wardrobe
1666,July,10,July,17,"Andrew, by the Wardrobe",Consumpcon,1.0,3.0,,St Andrew Wardrobe
1666,July,10,July,17,"Andrew, by the Wardrobe",Aged,1.0,3.0,,St Andrew Wardrobe
1666,July,10,July,17,"Andrew, by the Wardrobe",Teeth,1.0,3.0,,St Andrew Wardrobe
1665,March,13,March,20,"Anne, within Aldersgate",Consumpcon,1.0,1.0,,St Anne Aldersgate
1666,April,10,April,17,"Anne, within Aldersgate",ffeaver,1.0,1.0,,St Anne Aldersgate
1666,July,10,July,17,"Anne, within Aldersgate",Consumpcon,1.0,2.0,,St Anne Aldersgate
1666,July,10,July,17,"Anne, within Aldersgate",Dropsy,1.0,2.0,,St Anne Aldersgate
1665,March,13,March,20,"Anne, in Blackfryers",Consumpcon,1.0,2.0,,St Ann Blackfriars
1665,March,13,March,20,"Anne, in Blackfryers",Ricketts,1.0,2.0,,St Ann Blackfriars
1666,April,10,April,17,"Anne, in Blackfryers",Consumpcon,1.0,1.0,,St Ann Blackfriars
1666,May,22,May,29,"Anne, in Blackfryers",Consumpcon,1.0,5.0,3.0,St Ann Blackfriars
1666,May,22,May,29,"Anne, in Blackfryers",Gripeing in ye gutts,1.0,5.0,3.0,St Ann Blackfriars
1666,May,22,May,29,"Anne, in Blackfryers",Plague,3.0,5.0,3.0,St Ann Blackfriars
1666,July,10,July,17,"Anne, in Blackfryers",Gripeing in ye gutts,1.0,2.0,1.0,St Ann Blackfriars
1666,July,10,July,17,"Anne, in Blackfryers",Plague,1.0,2.0,1.0,St Ann Blackfriars
1665,March,13,March,20,"Antholins, in Watling-street",Gripeing in ye gutts,1.0,1.0,,St Antholin
1665,March,13,March,20,"Austins, at the Old-Change",Consumpcon,1.0,1.0,,St Austin
1666,May,22,May,29,"Austins, at the Old-Change",Convulcon,1.0,1.0,,St Austin
1665,March,13,March,20,Bennet-Grace-Church,Gout,1.0,1.0,,St Benet Gracechurch
1665,March,13,March,20,Christ-Church,Consumpcon,1.0,1.0,,Christ Church
1666,April,10,April,17,Christ-Church,Aged,1.0,2.0,,Christ Church
1666,April,10,April,17,Christ-Church,Dropsy,1.0,2.0,,Christ Church
1666,July,10,July,17,Christ-Church,Teeth,1.0,1.0,,Christ Church
1665,March,13,March,20,"Dunstans-East, near Tower-street",Stoping of ye Stomack,1.0,1.0,,St Dunstan East
1666,April,10,April,17,"Dunstans-East, near Tower-street",Consumpcon,1.0,2.0,1.0,St Dunstan East
1666,April,10,April,17,"Dunstans-East, near Tower-street",Plague,1.0,2.0,1.0,St Dunstan East
1665,March,13,March,20,"Ethelborough, within Bishopsgate",Purples,1.0,1.0,,St Ethelburga
1665,March,13,March,20,"Fosters, in Fosterlane",Scurvy,1.0,1.0,,St Vedast alias Foster
1665,March,13,March,20,"Gregories, by St. Pauls",Stilborne,1.0,1.0,,St Gregory by St Paul's
1666,July,10,July,17,"Gregories, by St. Pauls",Stilborne,1.0,1.0,,St Gregory by St Paul's
1665,March,13,March,20,"James, in Dukes-place",Abortive,1.0,2.0,,St James Duke's Place
1665,March,13,March,20,"James, in Dukes-place",Chrisoms,1.0,2.0,,St James Duke's Place
1666,April,10,April,17,"James, in Dukes-place",Consumpcon,1.0,1.0,,St James Duke's Place
1666,July,10,July,17,"James, in Dukes-place",Plague,1.0,1.0,1.0,St James Duke's Place
1666,September,18,September,25,"James, in Dukes-place",Consumpcon,1.0,3.0,,St James Duke's Place
1666,September,18,September,25,"James, in Dukes-place",ffeaver,1.0,3.0,,St James Duke's Place
1666,September,18,September,25,"James, in Dukes-place",ffrighted,1.0,3.0,,St James Duke's Place
1665,March,13,March,20,"James, at Garlickhithe",Stilborne,1.0,1.0,,St James Garlickhithe
1666,April,10,April,17,"James, at Garlickhithe",Consumpcon,1.0,1.0,,St James Garlickhithe
1666,May,22,May,29,"James, at Garlickhithe",Plague,1.0,1.0,1.0,St James Garlickhithe
1665,March,13,March,20,"Katherine-Coleman, in Fenchurch-street",Palsy,1.0,1.0,,St Katherine Coleman
1666,April,10,April,17,"Katherine-Coleman, in Fenchurch-street",Dropsy,1.0,2.0,1.0,St Katherine Coleman
1666,April,10,April,17,"Katherine-Coleman, in Fenchurch-street",Plague,1.0,2.0,1.0,St Katherine Coleman
1665,March,13,March,20,"Margaret-Moses, in Fridaystreet",Teeth,1.0,1.0,,St Margaret Moses
1666,April,10,April,17,"Margaret-Moses, in Fridaystreet",Gripeing in ye gutts,1.0,,,St Margaret Moses
1666,May,22,May,29,"Margaret-Moses, in Fridaystreet",Consumpcon,1.0,1.0,,St Margaret Moses
1665,March,13,March,20,"Mary, in Aldermanbury",Dropsy,1.0,1.0,,St Mary Aldermanbury
1665,March,13,March,20,Martins-Ludgate,Consumpcon,1.0,1.0,,St Martin Ludgate
1665,March,13,March,20,"Martins-Orgars, near Canningstreet",Consumpcon,1.0,1.0,,St Martin Orgar
1665,March,13,March,20,"Michael-Bassishaw, near Guildhal",Convulcon,1.0,3.0,,St Michael Bassishaw
1665,March,13,March,20,"Michael-Bassishaw, near Guildhal",ffeaver,1.0,3.0,,St Michael Bassishaw
1665,March,13,March,20,"Michael-Bassishaw, near Guildhal",Tissick,1.0,3.0,,St Michael Bassishaw
1666,April,10,April,17,"Michael-Bassishaw, near Guildhal",ffeaver,1.0,1.0,,St Michael Bassishaw
1665,March,13,March,20,Michael-Cornhil,Ague,1.0,2.0,,St Michael Cornhill
1665,March,13,March,20,Michael-Cornhil,Consumpcon,1.0,2.0,,St Michael Cornhill
1666,April,10,April,17,Michael-Cornhil,Plague,2.0,2.0,2.0,St Michael Cornhill
1666,July,10,July,17,Michael-Cornhil,Infant,1.0,1.0,,St Michael Cornhill
1665,March,13,March,20,Mildred-Breadstreet,Tissick,1.0,1.0,,St Mildred Bread Street
1665,March,13,March,20,"Olaves-Hartstreet, in Crutchet-Fryers",Consumpcon,2.0,2.0,,St Olave Hart Street
1666,April,10,April,17,"Olaves-Hartstreet, in Crutchet-Fryers",ffeaver,1.0,,,St Olave Hart Street
1666,April,10,April,17,"Olaves-Hartstreet, in Crutchet-Fryers",Teeth,1.0,,,St Olave Hart Street
