year,week_number,unique_identifier,start_day,start_month,end_day,end_month,christening,count,id
1668,1,1668-01-verso,22,December,29,December,Christened (Male),114,1
1668,1,1668-01-verso,22,December,29,December,Christened (Female),103,2
1668,1,1668-01-verso,22,December,29,December,Christened (In All),217,3
1668,2,1668-02-verso,29,December,5,January,Christened (Male),128,4
1668,2,1668-02-verso,29,December,5,January,Christened (Female),126,5
1668,2,1668-02-verso,29,December,5,January,Christened (In All),254,6
1668,3,1668-03-verso,5,January,12,January,Christened (Male),127,7
1668,3,1668-03-verso,5,January,12,January,Christened (Female),125,8
1668,3,1668-03-verso,5,January,12,January,Christened (In All),252,9
1668,4,1668-04-verso,12,January,19,January,Christened (Male),132,10
1668,4,1668-04-verso,12,January,19,January,Christened (Female),130,11
1668,4,1668-04-verso,12,January,19,January,Christened (In All),262,12
1668,5,1668-05-verso,19,January,26,January,Christened (Male),120,13
1668,5,1668-05-verso,19,January,26,January,Christened (Female),123,14
1668,5,1668-05-verso,19,January,26,January,Christened (In All),243,15
1668,6,1668-06-verso,26,January,2,February,Christened (Male),139,16
1668,6,1668-06-verso,26,January,2,February,Christened (Female),129,17
1668,6,1668-06-verso,26,January,2,February,Christened (In All),268,18
1668,7,1668-07-verso,2,February,9,February,Christened (Male),134,19
1668,7,1668-07-verso,2,February,9,February,Christened (Female),143,20
1668,7,1668-07-verso,2,February,9,February,Christened (In All),277,21
1668,8,1668-08-verso,9,February,16,February,Christened (Male),139,22
1668,8,1668-08-verso,9,February,16,February,Christened (Female),96,23
1668,8,1668-08-verso,9,February,16,February,Christened (In All),235,24
1668,9,1668-09-verso,16,February,23,February,Christened (Male),125,25
1668,9,1668-09-verso,16,February,23,February,Christened (Female),135,26
1668,9,1668-09-verso,16,February,23,February,Christened (In All),260,27
1668,11,1668-11-verso-form-fill,2,March,9,March,Christened (Male),161,28
1668,11,1668-11-verso-form-fill,2,March,9,March,Christened (Female),118,29
1668,11,1668-11-verso-form-fill,2,March,9,March,Christened (In All),279,30
1668,12,1668-12-verso,9,March,16,March,Christened (Male),125,31
1668,12,1668-12-verso,9,March,16,March,Christened (Female),141,32
1668,12,1668-12-verso,9,March,16,March,Christened (In All),266,33
