count_type,count,bill_type,parish_id,id,week_id,year_range,year_id,split_year
Buried,1,Weekly,17,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,17,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,1,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,1,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,2,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,2,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,3,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,3,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,4,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,4,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,5,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,5,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,6,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,6,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,7,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,7,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,8,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,8,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,18,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,18,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,20,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,20,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,21,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,21,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,22,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,22,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,23,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,23,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,24,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,24,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,25,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,25,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,26,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,26,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,27,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,27,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,30,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,30,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,31,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,31,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,32,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,32,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,33,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,33,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,36,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,36,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,Weekly,11,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,11,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,39,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,39,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,41,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,41,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,42,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,42,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,43,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,43,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,45,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,45,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,Weekly,46,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,46,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,47,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,47,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,48,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,48,1,1668-1669-21,1668-1669,1669,1668/1669
