count,count_type,bill_type,parish_id,year,week_id,year_range,split_year
31,Total,General,22,1680,1679-1680-90,1679-1680,1679/1680
110,Total,General,1,1680,1679-1680-90,1679-1680,1679/1680
29,Total,General,2,1680,1679-1680-90,1679-1680,1679/1680
96,Total,General,3,1680,1679-1680-90,1679-1680,1679/1680
0,Total,General,4,1680,1679-1680-90,1679-1680,1679/1680
26,Total,General,5,1680,1679-1680-90,1679-1680,1679/1680
27,Total,General,6,1680,1679-1680-90,1679-1680,1679/1680
41,Total,General,7,1680,1679-1680-90,1679-1680,1679/1680
104,Total,General,8,1680,1679-1680-90,1679-1680,1679/1680
56,Total,General,23,1680,1679-1680-90,1679-1680,1679/1680
20,Total,General,25,1680,1679-1680-90,1679-1680,1679/1680
77,Total,General,26,1680,1679-1680-90,1679-1680,1679/1680
82,Total,General,27,1680,1679-1680-90,1679-1680,1679/1680
50,Total,General,28,1680,1679-1680-90,1679-1680,1679/1680
134,Total,General,29,1680,1679-1680-90,1679-1680,1679/1680
23,Total,General,31,1680,1679-1680-90,1679-1680,1679/1680
21,Total,General,32,1680,1679-1680-90,1679-1680,1679/1680
34,Total,General,33,1680,1679-1680-90,1679-1680,1679/1680
20,Total,General,36,1680,1679-1680-90,1679-1680,1679/1680
22,Total,General,37,1680,1679-1680-90,1679-1680,1679/1680
56,Total,General,38,1680,1679-1680-90,1679-1680,1679/1680
5,Total,General,39,1680,1679-1680-90,1679-1680,1679/1680
16,Total,General,42,1680,1679-1680-90,1679-1680,1679/1680
131,Total,General,10,1680,1679-1680-90,1679-1680,1679/1680
20,Total,General,45,1680,1679-1680-90,1679-1680,1679/1680
19,Total,General,47,1680,1679-1680-90,1679-1680,1679/1680
43,Total,General,48,1680,1679-1680-90,1679-1680,1679/1680
96,Total,General,49,1680,1679-1680-90,1679-1680,1679/1680
30,Total,General,51,1680,1679-1680-90,1679-1680,1679/1680
31,Total,General,52,1680,1679-1680-90,1679-1680,1679/1680
42,Total,General,53,1680,1679-1680-90,1679-1680,1679/1680
42,Total,General,54,1680,1679-1680-90,1679-1680,1679/1680
24,Total,General,55,1680,1679-1680-90,1679-1680,1679/1680
9,Total,General,56,1680,1679-1680-90,1679-1680,1679/1680
