week,unique_identifier,start_day,start_month,end_day,end_month,parish_name,count_type,count,year
21,1669-21-recto,11,May,18,May,St Alban Woodstreet,Buried,1,1669
21,1669-21-recto,11,May,18,May,St Alban Woodstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,Alhallows Barking,Buried,,1669
21,1669-21-recto,11,May,18,May,Alhallows Barking,Plague,,1669
21,1669-21-recto,11,May,18,May,Alhallows Breadstreet,Buried,,1669
21,1669-21-recto,11,May,18,May,Alhallows Breadstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,Alhallows Great,Buried,1,1669
21,1669-21-recto,11,May,18,May,Alhallows Great,Plague,,1669
21,1669-21-recto,11,May,18,May,Alhallows Honylane,Buried,,1669
21,1669-21-recto,11,May,18,May,Alhallows Honylane,Plague,,1669
21,1669-21-recto,11,May,18,May,Alhallows Lesse,Buried,,1669
21,1669-21-recto,11,May,18,May,Alhallows Lesse,Plague,,1669
21,1669-21-recto,11,May,18,May,Alhallows Lumbardstreet,Buried,,1669
21,1669-21-recto,11,May,18,May,Alhallows Lumbardstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,Alhallows Stayning,Buried,,1669
21,1669-21-recto,11,May,18,May,Alhallows Stayning,Plague,,1669
21,1669-21-recto,11,May,18,May,Alhallows the Wall,Buried,,1669
21,1669-21-recto,11,May,18,May,Alhallows the Wall,Plague,,1669
21,1669-21-recto,11,May,18,May,St Alphage,Buried,1,1669
21,1669-21-recto,11,May,18,May,St Alphage,Plague,,1669
21,1669-21-recto,11,May,18,May,St Andrew Hubbard,Buried,,1669
21,1669-21-recto,11,May,18,May,St Andrew Hubbard,Plague,,1669
21,1669-21-recto,11,May,18,May,St Andrew Undershaft,Buried,1,1669
21,1669-21-recto,11,May,18,May,St Andrew Undershaft,Plague,,1669
21,1669-21-recto,11,May,18,May,St Andrew Wardrobe,Buried,,1669
21,1669-21-recto,11,May,18,May,St Andrew Wardrobe,Plague,,1669
21,1669-21-recto,11,May,18,May,St Ann Aldersgate,Buried,,1669
21,1669-21-recto,11,May,18,May,St Ann Aldersgate,Plague,,1669
21,1669-21-recto,11,May,18,May,St Ann Blackfryers,Buried,,1669
21,1669-21-recto,11,May,18,May,St Ann Blackfryers,Plague,,1669
21,1669-21-recto,11,May,18,May,St Antholins Parish,Buried,,1669
21,1669-21-recto,11,May,18,May,St Antholins Parish,Plague,,1669
21,1669-21-recto,11,May,18,May,St Austins Parish,Buried,,1669
21,1669-21-recto,11,May,18,May,St Austins Parish,Plague,,1669
21,1669-21-recto,11,May,18,May,St Bartholomew Exchange,Buried,,1669
21,1669-21-recto,11,May,18,May,St Bartholomew Exchange,Plague,,1669
21,1669-21-recto,11,May,18,May,St Bennet Fynck,Buried,,1669
21,1669-21-recto,11,May,18,May,St Bennet Fynck,Plague,,1669
21,1669-21-recto,11,May,18,May,St Bennet Gracechurch,Buried,,1669
21,1669-21-recto,11,May,18,May,St Bennet Gracechurch,Plague,,1669
21,1669-21-recto,11,May,18,May,St Bennet Paulswharf,Buried,,1669
21,1669-21-recto,11,May,18,May,St Bennet Paulswharf,Plague,,1669
21,1669-21-recto,11,May,18,May,St Bennet Sherehog,Buried,,1669
21,1669-21-recto,11,May,18,May,St Bennet Sherehog,Plague,,1669
21,1669-21-recto,11,May,18,May,St Botolph Billingsgate,Buried,,1669
21,1669-21-recto,11,May,18,May,St Botolph Billingsgate,Plague,,1669
21,1669-21-recto,11,May,18,May,Christ Church,Buried,2,1669
21,1669-21-recto,11,May,18,May,Christ Church,Plague,,1669
21,1669-21-recto,11,May,18,May,St Christophers,Buried,,1669
21,1669-21-recto,11,May,18,May,St Christophers,Plague,,1669
21,1669-21-recto,11,May,18,May,St Clement Eastcheap,Buried,,1669
21,1669-21-recto,11,May,18,May,St Clement Eastcheap,Plague,,1669
21,1669-21-recto,11,May,18,May,St Dionis Backchurch,Buried,,1669
21,1669-21-recto,11,May,18,May,St Dionis Backchurch,Plague,,1669
21,1669-21-recto,11,May,18,May,St Dunstan East,Buried,,1669
21,1669-21-recto,11,May,18,May,St Dunstan East,Plague,,1669
21,1669-21-recto,11,May,18,May,St Edmund Lumbardstr.,Buried,,1669
21,1669-21-recto,11,May,18,May,St Edmund Lumbardstr.,Plague,,1669
21,1669-21-recto,11,May,18,May,St Ethelborough,Buried,2,1669
21,1669-21-recto,11,May,18,May,St Ethelborough,Plague,,1669
21,1669-21-recto,11,May,18,May,St Faith,Buried,,1669
21,1669-21-recto,11,May,18,May,St Faith,Plague,,1669
21,1669-21-recto,11,May,18,May,St Foster,Buried,,1669
21,1669-21-recto,11,May,18,May,St Foster,Plague,,1669
21,1669-21-recto,11,May,18,May,St Gabriel Fenchurch,Buried,,1669
21,1669-21-recto,11,May,18,May,St Gabriel Fenchurch,Plague,,1669
21,1669-21-recto,11,May,18,May,St George Botolphlane,Buried,,1669
21,1669-21-recto,11,May,18,May,St George Botolphlane,Plague,,1669
21,1669-21-recto,11,May,18,May,St Gregory by St Pauls,Buried,,1669
21,1669-21-recto,11,May,18,May,St Gregory by St Pauls,Plague,,1669
21,1669-21-recto,11,May,18,May,St Hellen,Buried,3,1669
21,1669-21-recto,11,May,18,May,St Hellen,Plague,,1669
21,1669-21-recto,11,May,18,May,St James Dukes place,Buried,1,1669
21,1669-21-recto,11,May,18,May,St James Dukes place,Plague,,1669
21,1669-21-recto,11,May,18,May,St James Garlickhithe,Buried,,1669
