unique_identifier,death,count,year,week_id,year_range,split_year,id
Laxton-1701-14-verso,Aged,38,1701,1701-1702-14,1701-1702,1701,1
Laxton-1701-14-verso,Ague,,1701,1701-1702-14,1701-1702,1701,2
Laxton-1701-14-verso,Apoplexy,,1701,1701-1702-14,1701-1702,1701,3
Laxton-1701-14-verso,Asthma,,1701,1701-1702-14,1701-1702,1701,4
Laxton-1701-14-verso,Bed-ridden,,1701,1701-1702-14,1701-1702,1701,5
Laxton-1701-14-verso,Blasted,,1701,1701-1702-14,1701-1702,1701,6
Laxton-1701-14-verso,Bleeding,1,1701,1701-1702-14,1701-1702,1701,7
Laxton-1701-14-verso,Bloody-flux,1,1701,1701-1702-14,1701-1702,1701,8
Laxton-1701-14-verso,Calenture,,1701,1701-1702-14,1701-1702,1701,9
Laxton-1701-14-verso,Cancer,2,1701,1701-1702-14,1701-1702,1701,10
Laxton-1701-14-verso,Canker,1,1701,1701-1702-14,1701-1702,1701,11
Laxton-1701-14-verso,Chicken Pox,,1701,1701-1702-14,1701-1702,1701,12
Laxton-1701-14-verso,Child-Bed,2,1701,1701-1702-14,1701-1702,1701,13
Laxton-1701-14-verso,Chrisoms,,1701,1701-1702-14,1701-1702,1701,14
Laxton-1701-14-verso,Cold,,1701,1701-1702-14,1701-1702,1701,15
Laxton-1701-14-verso,Colick,,1701,1701-1702-14,1701-1702,1701,16
Laxton-1701-14-verso,Consumption,53,1701,1701-1702-14,1701-1702,1701,17
Laxton-1701-14-verso,Convulsion,134,1701,1701-1702-14,1701-1702,1701,18
Laxton-1701-14-verso,Cough,,1701,1701-1702-14,1701-1702,1701,19
Laxton-1701-14-verso,Cramp,,1701,1701-1702-14,1701-1702,1701,20
Laxton-1701-14-verso,Diabetes,,1701,1701-1702-14,1701-1702,1701,21
Laxton-1701-14-verso,Dropsie,15,1701,1701-1702-14,1701-1702,1701,22
Laxton-1701-14-verso,Falling-sickness,,1701,1701-1702-14,1701-1702,1701,23
Laxton-1701-14-verso,Fever,51,1701,1701-1702-14,1701-1702,1701,24
Laxton-1701-14-verso,Fistula,,1701,1701-1702-14,1701-1702,1701,25
Laxton-1701-14-verso,Flox and Small-Pox,16,1701,1701-1702-14,1701-1702,1701,26
Laxton-1701-14-verso,Flux,,1701,1701-1702-14,1701-1702,1701,27
Laxton-1701-14-verso,French-Pox,1,1701,1701-1702-14,1701-1702,1701,28
Laxton-1701-14-verso,Frets,,1701,1701-1702-14,1701-1702,1701,29
Laxton-1701-14-verso,Gangreen,,1701,1701-1702-14,1701-1702,1701,30
Laxton-1701-14-verso,Gout,,1701,1701-1702-14,1701-1702,1701,31
Laxton-1701-14-verso,Gravel,,1701,1701-1702-14,1701-1702,1701,32
Laxton-1701-14-verso,Grief,,1701,1701-1702-14,1701-1702,1701,33
Laxton-1701-14-verso,Griping in the Guts,18,1701,1701-1702-14,1701-1702,1701,34
Laxton-1701-14-verso,Headache,,1701,1701-1702-14,1701-1702,1701,35
Laxton-1701-14-verso,Headmouldshot,,1701,1701-1702-14,1701-1702,1701,36
Laxton-1701-14-verso,Hooping Cough,,1701,1701-1702-14,1701-1702,1701,37
Laxton-1701-14-verso,Hiccough,,1701,1701-1702-14,1701-1702,1701,38
Laxton-1701-14-verso,Horshoehead,,1701,1701-1702-14,1701-1702,1701,39
Laxton-1701-14-verso,Impostume,2,1701,1701-1702-14,1701-1702,1701,40
Laxton-1701-14-verso,Infants,,1701,1701-1702-14,1701-1702,1701,41
Laxton-1701-14-verso,Inflammation,,1701,1701-1702-14,1701-1702,1701,42
Laxton-1701-14-verso,Itch,,1701,1701-1702-14,1701-1702,1701,43
Laxton-1701-14-verso,Jaundies,1,1701,1701-1702-14,1701-1702,1701,44
Laxton-1701-14-verso,Jaw-fallen,,1701,1701-1702-14,1701-1702,1701,45
Laxton-1701-14-verso,Kings Evil,1,1701,1701-1702-14,1701-1702,1701,46
Laxton-1701-14-verso,Leprosie,,1701,1701-1702-14,1701-1702,1701,47
Laxton-1701-14-verso,Lethargy,,1701,1701-1702-14,1701-1702,1701,48
Laxton-1701-14-verso,Liver-grown,,1701,1701-1702-14,1701-1702,1701,49
Laxton-1701-14-verso,Looseness,,1701,1701-1702-14,1701-1702,1701,50
Laxton-1701-14-verso,Lunatick and Frenzy,,1701,1701-1702-14,1701-1702,1701,51
Laxton-1701-14-verso,Malignant Fever,,1701,1701-1702-14,1701-1702,1701,52
Laxton-1701-14-verso,Meagrim,,1701,1701-1702-14,1701-1702,1701,53
Laxton-1701-14-verso,Measles,,1701,1701-1702-14,1701-1702,1701,54
Laxton-1701-14-verso,Miscarriage,,1701,1701-1702-14,1701-1702,1701,55
Laxton-1701-14-verso,Mortification,,1701,1701-1702-14,1701-1702,1701,56
Laxton-1701-14-verso,Mother,,1701,1701-1702-14,1701-1702,1701,57
Laxton-1701-14-verso,Noli me tangere,,1701,1701-1702-14,1701-1702,1701,58
Laxton-1701-14-verso,Palsie,,1701,1701-1702-14,1701-1702,1701,59
Laxton-1701-14-verso,Plague,,1701,1701-1702-14,1701-1702,1701,60
Laxton-1701-14-verso,Planet,,1701,1701-1702-14,1701-1702,1701,61
Laxton-1701-14-verso,Plurisie,1,1701,1701-1702-14,1701-1702,1701,62
Laxton-1701-14-verso,Purples,2,1701,1701-1702-14,1701-1702,1701,63
Laxton-1701-14-verso,Quinsie,,1701,1701-1702-14,1701-1702,1701,64
Laxton-1701-14-verso,Rash,,1701,1701-1702-14,1701-1702,1701,65
Laxton-1701-14-verso,Rheumatism,1,1701,1701-1702-14,1701-1702,1701,66
Laxton-1701-14-verso,Rickets,7,1701,1701-1702-14,1701-1702,1701,67
Laxton-1701-14-verso,Rising of the Lights,2,1701,1701-1702-14,1701-1702,1701,68
Laxton-1701-14-verso,Running of the Reins,,1701,1701-1702-14,1701-1702,1701,69
Laxton-1701-14-verso,Rupture,,1701,1701-1702-14,1701-1702,1701,70
Laxton-1701-14-verso,Scald Head,,1701,1701-1702-14,1701-1702,1701,71
Laxton-1701-14-verso,Scarlet Fever,,1701,1701-1702-14,1701-1702,1701,72
Laxton-1701-14-verso,Sciatica,,1701,1701-1702-14,1701-1702,1701,73
Laxton-1701-14-verso,Scowring,,1701,1701-1702-14,1701-1702,1701,74
Laxton-1701-14-verso,Scurvy,,1701,1701-1702-14,1701-1702,1701,75
Laxton-1701-14-verso,Sores,,1701,1701-1702-14,1701-1702,1701,76
Laxton-1701-14-verso,Shingles,,1701,1701-1702-14,1701-1702,1701,77
Laxton-1701-14-verso,Spleen,,1701,1701-1702-14,1701-1702,1701,78
Laxton-1701-14-verso,Spotted-Fever,2,1701,1701-1702-14,1701-1702,1701,79
Laxton-1701-14-verso,St. Anthony's Fire,,1701,1701-1702-14,1701-1702,1701,80
Laxton-1701-14-verso,Starved,,1701,1701-1702-14,1701-1702,1701,81
Laxton-1701-14-verso,Stone,,1701,1701-1702-14,1701-1702,1701,82
Laxton-1701-14-verso,Stopping of the Stomach,12,1701,1701-1702-14,1701-1702,1701,83
Laxton-1701-14-verso,Strangury,,1701,1701-1702-14,1701-1702,1701,84
Laxton-1701-14-verso,Strongullion,,1701,1701-1702-14,1701-1702,1701,85
Laxton-1701-14-verso,Suddenly,1,1701,1701-1702-14,1701-1702,1701,86
Laxton-1701-14-verso,Surfeit,,1701,1701-1702-14,1701-1702,1701,87
Laxton-1701-14-verso,Swelling in the Throat,,1701,1701-1702-14,1701-1702,1701,88
Laxton-1701-14-verso,Swine-Pox,,1701,1701-1702-14,1701-1702,1701,89
Laxton-1701-14-verso,Teeth,29,1701,1701-1702-14,1701-1702,1701,90
Laxton-1701-14-verso,Thrush,1,1701,1701-1702-14,1701-1702,1701,91
Laxton-1701-14-verso,Tissick,12,1701,1701-1702-14,1701-1702,1701,92
Laxton-1701-14-verso,Tympany,,1701,1701-1702-14,1701-1702,1701,93
Laxton-1701-14-verso,Twisting of the Guts,,1701,1701-1702-14,1701-1702,1701,94
Laxton-1701-14-verso,Ulcer,3,1701,1701-1702-14,1701-1702,1701,95
Laxton-1701-14-verso,Vapours,,1701,1701-1702-14,1701-1702,1701,96
Laxton-1701-14-verso,Vomiting,,1701,1701-1702-14,1701-1702,1701,97
Laxton-1701-14-verso,Water in the Head,,1701,1701-1702-14,1701-1702,1701,98
Laxton-1701-14-verso,Wen,,1701,1701-1702-14,1701-1702,1701,99
