parish_name,count,week_id,year_id
Christened in the 97 Parishes within the Walls,11,1668-1669-21,1669
Christened in the 16 Parishes without the Walls,77,1668-1669-21,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,84,1668-1669-21,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,43,1668-1669-21,1669
Christened in the 97 Parishes within the Walls,11,1668-1669-22,1669
Christened in the 16 Parishes without the Walls,90,1668-1669-22,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,93,1668-1669-22,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,43,1668-1669-22,1669
Christened in the 97 Parishes within the Walls,9,1668-1669-23,1669
Christened in the 16 Parishes without the Walls,84,1668-1669-23,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,78,1668-1669-23,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,31,1668-1669-23,1669
Christened in the 97 Parishes within the Walls,12,1668-1669-24,1669
Christened in the 16 Parishes without the Walls,84,1668-1669-24,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,82,1668-1669-24,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,40,1668-1669-24,1669
Christened in the 97 Parishes within the Walls,9,1668-1669-25,1669
Christened in the 16 Parishes without the Walls,94,1668-1669-25,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,90,1668-1669-25,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,58,1668-1669-25,1669
Christened in the 97 Parishes within the Walls,13,1668-1669-26,1669
Christened in the 16 Parishes without the Walls,90,1668-1669-26,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,77,1668-1669-26,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,41,1668-1669-26,1669
Christened in the 97 Parishes within the Walls,19,1668-1669-27,1669
Christened in the 16 Parishes without the Walls,70,1668-1669-27,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,87,1668-1669-27,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,38,1668-1669-27,1669
Christened in the 97 Parishes within the Walls,13,1668-1669-28,1669
Christened in the 16 Parishes without the Walls,86,1668-1669-28,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,86,1668-1669-28,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,37,1668-1669-28,1669
Christened in the 97 Parishes within the Walls,7,1668-1669-30,1669
Christened in the 16 Parishes without the Walls,80,1668-1669-30,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,75,1668-1669-30,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,53,1668-1669-30,1669
Christened in the 97 Parishes within the Walls,10,1668-1669-31,1669
Christened in the 16 Parishes without the Walls,75,1668-1669-31,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,98,1668-1669-31,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,41,1668-1669-31,1669
Christened in the 97 Parishes within the Walls,9,1668-1669-32,1669
Christened in the 16 Parishes without the Walls,85,1668-1669-32,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,92,1668-1669-32,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,47,1668-1669-32,1669
Christened in the 97 Parishes within the Walls,11,1668-1669-33,1669
Christened in the 16 Parishes without the Walls,97,1668-1669-33,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,91,1668-1669-33,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,39,1668-1669-33,1669
Christened in the 97 Parishes within the Walls,11,1668-1669-34,1669
Christened in the 16 Parishes without the Walls,85,1668-1669-34,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,93,1668-1669-34,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,48,1668-1669-34,1669
Christened in the 97 Parishes within the Walls,8,1668-1669-35,1669
Christened in the 16 Parishes without the Walls,95,1668-1669-35,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,93,1668-1669-35,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,49,1668-1669-35,1669
Christened in the 97 Parishes within the Walls,12,1668-1669-36,1669
Christened in the 16 Parishes without the Walls,101,1668-1669-36,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,99,1668-1669-36,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,58,1668-1669-36,1669
Christened in the 97 Parishes within the Walls,12,1668-1669-37,1669
Christened in the 16 Parishes without the Walls,79,1668-1669-37,1669
