year,week,unique_identifier,start_day,start_month,end_day,end_month,item,value_type,value
1701,14,Laxton-1700-14-verso,18,March,25,March,Penny Loaf Troy Weight , White,07;14
1701,14,Laxton-1700-14-verso,18,March,25,March,Penny Loaf Troy Weight , Wheaten,11;10
1701,14,Laxton-1700-14-verso,18,March,25,March,Penny Loaf Troy Weight , Household,15;07
1701,14,Laxton-1700-14-verso,18,March,25,March,Penny Loaf Common Weight , White,08;07
1701,14,Laxton-1700-14-verso,18,March,25,March,Penny Loaf Common Weight , Wheaten,12;10
1701,14,Laxton-1700-14-verso,18,March,25,March,Penny Loaf Common Weight , Household,16;14
1701,14,Laxton-1700-14-verso,18,March,25,March,Two Penny Loaf Common Weight , White,
1701,14,Laxton-1700-14-verso,18,March,25,March,Two Penny Loaf Common Weight , Wheaten,
1701,14,Laxton-1700-14-verso,18,March,25,March,Two Penny Loaf Common Weight , Household,
1701,14,Laxton-1700-14-verso,18,March,25,March,Six Penny Loaf Common Weight , Wheaten,
1701,14,Laxton-1700-14-verso,18,March,25,March,Six Penny Loaf Common Weight , Household,
1701,14,Laxton-1700-14-verso,18,March,25,March,Twelve Penny Loaf Common Weight , Wheaten,
1701,14,Laxton-1700-14-verso,18,March,25,March,Twelve Penny Loaf Common Weight , Household,
1701,14,Laxton-1700-14-verso,18,March,25,March,Eighteen Penny Loaf Common Weight , Wheaten,
1701,14,Laxton-1700-14-verso,18,March,25,March,Eighteen Penny Loaf Common Weight , Household,
1701,14,Laxton-1700-14-verso,18,March,25,March,Quartern Loaf Common Weight , Wheaten,
1701,14,Laxton-1700-14-verso,18,March,25,March,Quartern Loaf Common Weight , Household,
1701,14,Laxton-1700-14-verso,18,March,25,March,Half Peck Loaf Common Weight , Wheaten,
1701,14,Laxton-1700-14-verso,18,March,25,March,Half Peck Loaf Common Weight , Household,
1701,14,Laxton-1700-14-verso,18,March,25,March,Peck Loaf Common Weight , Wheaten,
1701,14,Laxton-1700-14-verso,18,March,25,March,Peck Loaf Common Weight , Household,
1701,14,Laxton-1700-14-verso,18,March,25,March,Salt,,56 I. to the Bushel 5 s
1701,15,Laxton-1701-15-verso,25,March,1,April,Penny Loaf Troy Weight , White,07;14
1701,15,Laxton-1701-15-verso,25,March,1,April,Penny Loaf Troy Weight , Wheaten,11;10
1701,15,Laxton-1701-15-verso,25,March,1,April,Penny Loaf Troy Weight , Household,15;07
1701,15,Laxton-1701-15-verso,25,March,1,April,Penny Loaf Common Weight , White,08;07
1701,15,Laxton-1701-15-verso,25,March,1,April,Penny Loaf Common Weight , Wheaten,12;10
1701,15,Laxton-1701-15-verso,25,March,1,April,Penny Loaf Common Weight , Household,16;14
1701,15,Laxton-1701-15-verso,25,March,1,April,Two Penny Loaf Common Weight , White,
1701,15,Laxton-1701-15-verso,25,March,1,April,Two Penny Loaf Common Weight , Wheaten,
1701,15,Laxton-1701-15-verso,25,March,1,April,Two Penny Loaf Common Weight , Household,
1701,15,Laxton-1701-15-verso,25,March,1,April,Six Penny Loaf Common Weight , Wheaten,
1701,15,Laxton-1701-15-verso,25,March,1,April,Six Penny Loaf Common Weight , Household,
1701,15,Laxton-1701-15-verso,25,March,1,April,Twelve Penny Loaf Common Weight , Wheaten,
1701,15,Laxton-1701-15-verso,25,March,1,April,Twelve Penny Loaf Common Weight , Household,
1701,15,Laxton-1701-15-verso,25,March,1,April,Eighteen Penny Loaf Common Weight , Wheaten,
1701,15,Laxton-1701-15-verso,25,March,1,April,Eighteen Penny Loaf Common Weight , Household,
1701,15,Laxton-1701-15-verso,25,March,1,April,Quartern Loaf Common Weight , Wheaten,
1701,15,Laxton-1701-15-verso,25,March,1,April,Quartern Loaf Common Weight , Household,
1701,15,Laxton-1701-15-verso,25,March,1,April,Half Peck Loaf Common Weight , Wheaten,
1701,15,Laxton-1701-15-verso,25,March,1,April,Half Peck Loaf Common Weight , Household,
1701,15,Laxton-1701-15-verso,25,March,1,April,Peck Loaf Common Weight , Wheaten,
1701,15,Laxton-1701-15-verso,25,March,1,April,Peck Loaf Common Weight , Household,
1701,15,Laxton-1701-15-verso,25,March,1,April,Salt,,56 l. to the Bushel 5 s
1700,01,1700-01-verso,17,December,24,December,Penny Loaf Troy Weight , White,08;00
