count_type,count,parish_id,id,week_id,year_range,year_id,split_year
Buried,1,17,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,17,2,1668-1669-21,1668-1669,1669,1668/1669
Buried,,1,3,1668-1669-21,1668-1669,1669,1668/1669
Plague,,1,4,1668-1669-21,1668-1669,1669,1668/1669
Buried,,2,5,1668-1669-21,1668-1669,1669,1668/1669
Plague,,2,6,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,3,7,1668-1669-21,1668-1669,1669,1668/1669
Plague,,3,8,1668-1669-21,1668-1669,1669,1668/1669
Buried,,4,9,1668-1669-21,1668-1669,1669,1668/1669
Plague,,4,10,1668-1669-21,1668-1669,1669,1668/1669
Buried,,5,11,1668-1669-21,1668-1669,1669,1668/1669
Plague,,5,12,1668-1669-21,1668-1669,1669,1668/1669
Buried,,6,13,1668-1669-21,1668-1669,1669,1668/1669
Plague,,6,14,1668-1669-21,1668-1669,1669,1668/1669
Buried,,7,15,1668-1669-21,1668-1669,1669,1668/1669
Plague,,7,16,1668-1669-21,1668-1669,1669,1668/1669
Buried,,8,17,1668-1669-21,1668-1669,1669,1668/1669
Plague,,8,18,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,18,19,1668-1669-21,1668-1669,1669,1668/1669
Plague,,18,20,1668-1669-21,1668-1669,1669,1668/1669
Buried,,20,21,1668-1669-21,1668-1669,1669,1668/1669
Plague,,20,22,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,21,23,1668-1669-21,1668-1669,1669,1668/1669
Plague,,21,24,1668-1669-21,1668-1669,1669,1668/1669
Buried,,22,25,1668-1669-21,1668-1669,1669,1668/1669
Plague,,22,26,1668-1669-21,1668-1669,1669,1668/1669
Buried,,23,27,1668-1669-21,1668-1669,1669,1668/1669
Plague,,23,28,1668-1669-21,1668-1669,1669,1668/1669
Buried,,24,29,1668-1669-21,1668-1669,1669,1668/1669
Plague,,24,30,1668-1669-21,1668-1669,1669,1668/1669
Buried,,25,31,1668-1669-21,1668-1669,1669,1668/1669
Plague,,25,32,1668-1669-21,1668-1669,1669,1668/1669
Buried,,26,33,1668-1669-21,1668-1669,1669,1668/1669
Plague,,26,34,1668-1669-21,1668-1669,1669,1668/1669
Buried,,27,35,1668-1669-21,1668-1669,1669,1668/1669
Plague,,27,36,1668-1669-21,1668-1669,1669,1668/1669
Buried,,30,37,1668-1669-21,1668-1669,1669,1668/1669
Plague,,30,38,1668-1669-21,1668-1669,1669,1668/1669
Buried,,31,39,1668-1669-21,1668-1669,1669,1668/1669
Plague,,31,40,1668-1669-21,1668-1669,1669,1668/1669
Buried,,32,41,1668-1669-21,1668-1669,1669,1668/1669
Plague,,32,42,1668-1669-21,1668-1669,1669,1668/1669
Buried,,33,43,1668-1669-21,1668-1669,1669,1668/1669
Plague,,33,44,1668-1669-21,1668-1669,1669,1668/1669
Buried,,36,45,1668-1669-21,1668-1669,1669,1668/1669
Plague,,36,46,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,11,47,1668-1669-21,1668-1669,1669,1668/1669
Plague,,11,48,1668-1669-21,1668-1669,1669,1668/1669
Buried,,39,49,1668-1669-21,1668-1669,1669,1668/1669
Plague,,39,50,1668-1669-21,1668-1669,1669,1668/1669
Buried,,41,51,1668-1669-21,1668-1669,1669,1668/1669
Plague,,41,52,1668-1669-21,1668-1669,1669,1668/1669
Buried,,42,53,1668-1669-21,1668-1669,1669,1668/1669
Plague,,42,54,1668-1669-21,1668-1669,1669,1668/1669
Buried,,43,55,1668-1669-21,1668-1669,1669,1668/1669
Plague,,43,56,1668-1669-21,1668-1669,1669,1668/1669
Buried,,45,57,1668-1669-21,1668-1669,1669,1668/1669
Plague,,45,58,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,46,59,1668-1669-21,1668-1669,1669,1668/1669
Plague,,46,60,1668-1669-21,1668-1669,1669,1668/1669
Buried,,47,61,1668-1669-21,1668-1669,1669,1668/1669
Plague,,47,62,1668-1669-21,1668-1669,1669,1668/1669
Buried,,48,63,1668-1669-21,1668-1669,1669,1668/1669
Plague,,48,64,1668-1669-21,1668-1669,1669,1668/1669
Buried,,49,65,1668-1669-21,1668-1669,1669,1668/1669
Plague,,49,66,1668-1669-21,1668-1669,1669,1668/1669
Buried,,50,67,1668-1669-21,1668-1669,1669,1668/1669
Plague,,50,68,1668-1669-21,1668-1669,1669,1668/1669
Buried,,54,69,1668-1669-21,1668-1669,1669,1668/1669
Plague,,54,70,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,55,71,1668-1669-21,1668-1669,1669,1668/1669
Plague,,55,72,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,57,73,1668-1669-21,1668-1669,1669,1668/1669
Plague,,57,74,1668-1669-21,1668-1669,1669,1668/1669
Buried,,58,75,1668-1669-21,1668-1669,1669,1668/1669
Plague,,58,76,1668-1669-21,1668-1669,1669,1668/1669
Buried,,59,77,1668-1669-21,1668-1669,1669,1668/1669
Plague,,59,78,1668-1669-21,1668-1669,1669,1668/1669
Buried,,60,79,1668-1669-21,1668-1669,1669,1668/1669
Plague,,60,80,1668-1669-21,1668-1669,1669,1668/1669
Buried,,61,81,1668-1669-21,1668-1669,1669,1668/1669
Plague,,61,82,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,62,83,1668-1669-21,1668-1669,1669,1668/1669
Plague,,62,84,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,63,85,1668-1669-21,1668-1669,1669,1668/1669
Plague,,63,86,1668-1669-21,1668-1669,1669,1668/1669
Buried,,65,87,1668-1669-21,1668-1669,1669,1668/1669
Plague,,65,88,1668-1669-21,1668-1669,1669,1668/1669
Buried,,66,89,1668-1669-21,1668-1669,1669,1668/1669
Plague,,66,90,1668-1669-21,1668-1669,1669,1668/1669
Buried,,67,91,1668-1669-21,1668-1669,1669,1668/1669
Plague,,67,92,1668-1669-21,1668-1669,1669,1668/1669
Buried,,68,93,1668-1669-21,1668-1669,1669,1668/1669
Plague,,68,94,1668-1669-21,1668-1669,1669,1668/1669
Buried,,71,95,1668-1669-21,1668-1669,1669,1668/1669
Plague,,71,96,1668-1669-21,1668-1669,1669,1668/1669
Buried,,72,97,1668-1669-21,1668-1669,1669,1668/1669
Plague,,72,98,1668-1669-21,1668-1669,1669,1668/1669
Buried,,73,99,1668-1669-21,1668-1669,1669,1668/1669
Plague,,73,100,1668-1669-21,1668-1669,1669,1668/1669
Buried,,74,101,1668-1669-21,1668-1669,1669,1668/1669
Plague,,74,102,1668-1669-21,1668-1669,1669,1668/1669
Buried,,75,103,1668-1669-21,1668-1669,1669,1668/1669
Plague,,75,104,1668-1669-21,1668-1669,1669,1668/1669
Buried,,83,105,1668-1669-21,1668-1669,1669,1668/1669
Plague,,83,106,1668-1669-21,1668-1669,1669,1668/1669
Buried,,84,107,1668-1669-21,1668-1669,1669,1668/1669
Plague,,84,108,1668-1669-21,1668-1669,1669,1668/1669
Buried,,85,109,1668-1669-21,1668-1669,1669,1668/1669
Plague,,85,110,1668-1669-21,1668-1669,1669,1668/1669
Buried,,90,111,1668-1669-21,1668-1669,1669,1668/1669
Plague,,90,112,1668-1669-21,1668-1669,1669,1668/1669
Buried,,86,113,1668-1669-21,1668-1669,1669,1668/1669
Plague,,86,114,1668-1669-21,1668-1669,1669,1668/1669
Buried,,87,115,1668-1669-21,1668-1669,1669,1668/1669
Plague,,87,116,1668-1669-21,1668-1669,1669,1668/1669
Buried,,88,117,1668-1669-21,1668-1669,1669,1668/1669
Plague,,88,118,1668-1669-21,1668-1669,1669,1668/1669
Buried,,91,119,1668-1669-21,1668-1669,1669,1668/1669
Plague,,91,120,1668-1669-21,1668-1669,1669,1668/1669
Buried,,94,121,1668-1669-21,1668-1669,1669,1668/1669
Plague,,94,122,1668-1669-21,1668-1669,1669,1668/1669
Buried,,95,123,1668-1669-21,1668-1669,1669,1668/1669
Plague,,95,124,1668-1669-21,1668-1669,1669,1668/1669
Buried,,97,125,1668-1669-21,1668-1669,1669,1668/1669
Plague,,97,126,1668-1669-21,1668-1669,1669,1668/1669
Buried,,98,127,1668-1669-21,1668-1669,1669,1668/1669
Plague,,98,128,1668-1669-21,1668-1669,1669,1668/1669
Buried,,78,129,1668-1669-21,1668-1669,1669,1668/1669
Plague,,78,130,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,79,131,1668-1669-21,1668-1669,1669,1668/1669
Plague,,79,132,1668-1669-21,1668-1669,1669,1668/1669
Buried,,80,133,1668-1669-21,1668-1669,1669,1668/1669
Plague,,80,134,1668-1669-21,1668-1669,1669,1668/1669
Buried,,81,135,1668-1669-21,1668-1669,1669,1668/1669
Plague,,81,136,1668-1669-21,1668-1669,1669,1668/1669
Buried,,82,137,1668-1669-21,1668-1669,1669,1668/1669
Plague,,82,138,1668-1669-21,1668-1669,1669,1668/1669
Buried,,99,139,1668-1669-21,1668-1669,1669,1668/1669
Plague,,99,140,1668-1669-21,1668-1669,1669,1668/1669
Buried,,100,141,1668-1669-21,1668-1669,1669,1668/1669
Plague,,100,142,1668-1669-21,1668-1669,1669,1668/1669
Buried,,101,143,1668-1669-21,1668-1669,1669,1668/1669
Plague,,101,144,1668-1669-21,1668-1669,1669,1668/1669
Buried,,102,145,1668-1669-21,1668-1669,1669,1668/1669
Plague,,102,146,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,103,147,1668-1669-21,1668-1669,1669,1668/1669
Plague,,103,148,1668-1669-21,1668-1669,1669,1668/1669
Buried,,104,149,1668-1669-21,1668-1669,1669,1668/1669
Plague,,104,150,1668-1669-21,1668-1669,1669,1668/1669
Buried,,105,151,1668-1669-21,1668-1669,1669,1668/1669
Plague,,105,152,1668-1669-21,1668-1669,1669,1668/1669
Buried,,106,153,1668-1669-21,1668-1669,1669,1668/1669
Plague,,106,154,1668-1669-21,1668-1669,1669,1668/1669
Buried,,107,155,1668-1669-21,1668-1669,1669,1668/1669
Plague,,107,156,1668-1669-21,1668-1669,1669,1668/1669
Buried,,108,157,1668-1669-21,1668-1669,1669,1668/1669
Plague,,108,158,1668-1669-21,1668-1669,1669,1668/1669
Buried,,109,159,1668-1669-21,1668-1669,1669,1668/1669
Plague,,109,160,1668-1669-21,1668-1669,1669,1668/1669
Buried,,110,161,1668-1669-21,1668-1669,1669,1668/1669
Plague,,110,162,1668-1669-21,1668-1669,1669,1668/1669
Buried,,111,163,1668-1669-21,1668-1669,1669,1668/1669
Plague,,111,164,1668-1669-21,1668-1669,1669,1668/1669
Buried,,112,165,1668-1669-21,1668-1669,1669,1668/1669
Plague,,112,166,1668-1669-21,1668-1669,1669,1668/1669
Buried,,113,167,1668-1669-21,1668-1669,1669,1668/1669
Plague,,113,168,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,114,169,1668-1669-21,1668-1669,1669,1668/1669
Plague,,114,170,1668-1669-21,1668-1669,1669,1668/1669
Buried,,115,171,1668-1669-21,1668-1669,1669,1668/1669
Plague,,115,172,1668-1669-21,1668-1669,1669,1668/1669
Buried,,116,173,1668-1669-21,1668-1669,1669,1668/1669
Plague,,116,174,1668-1669-21,1668-1669,1669,1668/1669
Buried,,118,175,1668-1669-21,1668-1669,1669,1668/1669
Plague,,118,176,1668-1669-21,1668-1669,1669,1668/1669
Buried,,121,177,1668-1669-21,1668-1669,1669,1668/1669
Plague,,121,178,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,122,179,1668-1669-21,1668-1669,1669,1668/1669
Plague,,122,180,1668-1669-21,1668-1669,1669,1668/1669
Buried,,123,181,1668-1669-21,1668-1669,1669,1668/1669
Plague,,123,182,1668-1669-21,1668-1669,1669,1668/1669
Buried,,124,183,1668-1669-21,1668-1669,1669,1668/1669
Plague,,124,184,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,125,185,1668-1669-21,1668-1669,1669,1668/1669
Plague,,125,186,1668-1669-21,1668-1669,1669,1668/1669
Buried,,126,187,1668-1669-21,1668-1669,1669,1668/1669
Plague,,126,188,1668-1669-21,1668-1669,1669,1668/1669
Buried,,127,189,1668-1669-21,1668-1669,1669,1668/1669
Plague,,127,190,1668-1669-21,1668-1669,1669,1668/1669
Buried,,128,191,1668-1669-21,1668-1669,1669,1668/1669
Plague,,128,192,1668-1669-21,1668-1669,1669,1668/1669
Buried,,132,193,1668-1669-21,1668-1669,1669,1668/1669
Plague,,132,194,1668-1669-21,1668-1669,1669,1668/1669
Buried,11,19,195,1668-1669-21,1668-1669,1669,1668/1669
Plague,,19,196,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,28,197,1668-1669-21,1668-1669,1669,1668/1669
Plague,,28,198,1668-1669-21,1668-1669,1669,1668/1669
Buried,,29,199,1668-1669-21,1668-1669,1669,1668/1669
Plague,,29,200,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,38,201,1668-1669-21,1668-1669,1669,1668/1669
Plague,,38,202,1668-1669-21,1668-1669,1669,1668/1669
Buried,,10,203,1668-1669-21,1668-1669,1669,1668/1669
Plague,,10,204,1668-1669-21,1668-1669,1669,1668/1669
Buried,5,34,205,1668-1669-21,1668-1669,1669,1668/1669
Plague,,34,206,1668-1669-21,1668-1669,1669,1668/1669
Buried,9,35,207,1668-1669-21,1668-1669,1669,1668/1669
Plague,,35,208,1668-1669-21,1668-1669,1669,1668/1669
Buried,5,37,209,1668-1669-21,1668-1669,1669,1668/1669
Plague,,37,210,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,44,211,1668-1669-21,1668-1669,1669,1668/1669
Plague,,44,212,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,51,213,1668-1669-21,1668-1669,1669,1668/1669
Plague,,51,214,1668-1669-21,1668-1669,1669,1668/1669
Buried,24,52,215,1668-1669-21,1668-1669,1669,1668/1669
Plague,,52,216,1668-1669-21,1668-1669,1669,1668/1669
Buried,6,117,217,1668-1669-21,1668-1669,1669,1668/1669
Plague,,117,218,1668-1669-21,1668-1669,1669,1668/1669
Buried,15,16,219,1668-1669-21,1668-1669,1669,1668/1669
Plague,,16,220,1668-1669-21,1668-1669,1669,1668/1669
Buried,7,15,221,1668-1669-21,1668-1669,1669,1668/1669
Plague,,15,222,1668-1669-21,1668-1669,1669,1668/1669
Buried,,129,223,1668-1669-21,1668-1669,1669,1668/1669
Plague,,129,224,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,131,225,1668-1669-21,1668-1669,1669,1668/1669
Plague,,131,226,1668-1669-21,1668-1669,1669,1668/1669
Buried,,9,227,1668-1669-21,1668-1669,1669,1668/1669
Plague,,9,228,1668-1669-21,1668-1669,1669,1668/1669
Buried,14,53,229,1668-1669-21,1668-1669,1669,1668/1669
Plague,,53,230,1668-1669-21,1668-1669,1669,1668/1669
Buried,4,12,231,1668-1669-21,1668-1669,1669,1668/1669
Plague,,12,232,1668-1669-21,1668-1669,1669,1668/1669
Buried,5,56,233,1668-1669-21,1668-1669,1669,1668/1669
Plague,,56,234,1668-1669-21,1668-1669,1669,1668/1669
Buried,6,64,235,1668-1669-21,1668-1669,1669,1668/1669
Plague,,64,236,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,13,237,1668-1669-21,1668-1669,1669,1668/1669
Plague,,13,238,1668-1669-21,1668-1669,1669,1668/1669
Buried,8,69,239,1668-1669-21,1668-1669,1669,1668/1669
Plague,,69,240,1668-1669-21,1668-1669,1669,1668/1669
Buried,4,70,241,1668-1669-21,1668-1669,1669,1668/1669
Plague,,70,242,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,89,243,1668-1669-21,1668-1669,1669,1668/1669
Plague,,89,244,1668-1669-21,1668-1669,1669,1668/1669
Buried,4,92,245,1668-1669-21,1668-1669,1669,1668/1669
Plague,,92,246,1668-1669-21,1668-1669,1669,1668/1669
Buried,17,96,247,1668-1669-21,1668-1669,1669,1668/1669
Plague,,96,248,1668-1669-21,1668-1669,1669,1668/1669
Buried,,120,249,1668-1669-21,1668-1669,1669,1668/1669
Plague,,120,250,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,14,251,1668-1669-21,1668-1669,1669,1668/1669
Plague,,14,252,1668-1669-21,1668-1669,1669,1668/1669
Buried,32,130,253,1668-1669-21,1668-1669,1669,1668/1669
Plague,,130,254,1668-1669-21,1668-1669,1669,1668/1669
Buried,11,40,255,1668-1669-21,1668-1669,1669,1668/1669
Plague,,40,256,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,119,257,1668-1669-21,1668-1669,1669,1668/1669
Plague,,119,258,1668-1669-21,1668-1669,1669,1668/1669
Buried,17,77,259,1668-1669-21,1668-1669,1669,1668/1669
Plague,,77,260,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,93,261,1668-1669-21,1668-1669,1669,1668/1669
Plague,,93,262,1668-1669-21,1668-1669,1669,1668/1669
Buried,15,76,263,1668-1669-21,1668-1669,1669,1668/1669
Plague,,76,264,1668-1669-21,1668-1669,1669,1668/1669
Buried,,133,265,1668-1669-21,1668-1669,1669,1668/1669
Plague,,133,266,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,17,267,1668-1669-22,1668-1669,1669,1668/1669
Plague,,17,268,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,1,269,1668-1669-22,1668-1669,1669,1668/1669
Plague,,1,270,1668-1669-22,1668-1669,1669,1668/1669
Buried,,2,271,1668-1669-22,1668-1669,1669,1668/1669
Plague,,2,272,1668-1669-22,1668-1669,1669,1668/1669
Buried,,3,273,1668-1669-22,1668-1669,1669,1668/1669
Plague,,3,274,1668-1669-22,1668-1669,1669,1668/1669
Buried,,4,275,1668-1669-22,1668-1669,1669,1668/1669
Plague,,4,276,1668-1669-22,1668-1669,1669,1668/1669
Buried,,5,277,1668-1669-22,1668-1669,1669,1668/1669
Plague,,5,278,1668-1669-22,1668-1669,1669,1668/1669
Buried,,6,279,1668-1669-22,1668-1669,1669,1668/1669
Plague,,6,280,1668-1669-22,1668-1669,1669,1668/1669
Buried,,7,281,1668-1669-22,1668-1669,1669,1668/1669
Plague,,7,282,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,8,283,1668-1669-22,1668-1669,1669,1668/1669
Plague,,8,284,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,18,285,1668-1669-22,1668-1669,1669,1668/1669
Plague,,18,286,1668-1669-22,1668-1669,1669,1668/1669
Buried,,20,287,1668-1669-22,1668-1669,1669,1668/1669
Plague,,20,288,1668-1669-22,1668-1669,1669,1668/1669
Buried,,21,289,1668-1669-22,1668-1669,1669,1668/1669
Plague,,21,290,1668-1669-22,1668-1669,1669,1668/1669
Buried,,22,291,1668-1669-22,1668-1669,1669,1668/1669
Plague,,22,292,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,23,293,1668-1669-22,1668-1669,1669,1668/1669
Plague,,23,294,1668-1669-22,1668-1669,1669,1668/1669
Buried,2,24,295,1668-1669-22,1668-1669,1669,1668/1669
Plague,,24,296,1668-1669-22,1668-1669,1669,1668/1669
