year,week_number,unique_identifier,start_day,start_month,end_day,end_month,death,count
1701,14,Laxton-1701-14-verso,18,March,25,March,Aged,38
1701,14,Laxton-1701-14-verso,18,March,25,March,Ague,
1701,14,Laxton-1701-14-verso,18,March,25,March,Apoplexy,
1701,14,Laxton-1701-14-verso,18,March,25,March,Asthma,
1701,14,Laxton-1701-14-verso,18,March,25,March,Bed-ridden,
1701,14,Laxton-1701-14-verso,18,March,25,March,Blasted,
1701,14,Laxton-1701-14-verso,18,March,25,March,Bleeding,1
1701,14,Laxton-1701-14-verso,18,March,25,March,Bloody-flux,1
1701,14,Laxton-1701-14-verso,18,March,25,March,Calenture,
1701,14,Laxton-1701-14-verso,18,March,25,March,Cancer,2
1701,14,Laxton-1701-14-verso,18,March,25,March,Canker,1
1701,14,Laxton-1701-14-verso,18,March,25,March,Chicken Pox,
1701,14,Laxton-1701-14-verso,18,March,25,March,Child-Bed,2
1701,14,Laxton-1701-14-verso,18,March,25,March,Chrisoms,
1701,14,Laxton-1701-14-verso,18,March,25,March,Cold,
1701,14,Laxton-1701-14-verso,18,March,25,March,Colick,
1701,14,Laxton-1701-14-verso,18,March,25,March,Consumption,53
1701,14,Laxton-1701-14-verso,18,March,25,March,Convulsion,134
1701,14,Laxton-1701-14-verso,18,March,25,March,Cough,
1701,14,Laxton-1701-14-verso,18,March,25,March,Cramp,
1701,14,Laxton-1701-14-verso,18,March,25,March,Diabetes,
1701,14,Laxton-1701-14-verso,18,March,25,March,Dropsie,15
1701,14,Laxton-1701-14-verso,18,March,25,March,Falling-sickness,
1701,14,Laxton-1701-14-verso,18,March,25,March,Fever,51
1701,14,Laxton-1701-14-verso,18,March,25,March,Fistula,
1701,14,Laxton-1701-14-verso,18,March,25,March,Flox and Small-Pox,16
1701,14,Laxton-1701-14-verso,18,March,25,March,Flux,
1701,14,Laxton-1701-14-verso,18,March,25,March,French-Pox,1
1701,14,Laxton-1701-14-verso,18,March,25,March,Frets,
1701,14,Laxton-1701-14-verso,18,March,25,March,Gangreen,
1701,14,Laxton-1701-14-verso,18,March,25,March,Gout,
1701,14,Laxton-1701-14-verso,18,March,25,March,Gravel,
1701,14,Laxton-1701-14-verso,18,March,25,March,Grief,
1701,14,Laxton-1701-14-verso,18,March,25,March,Griping in the Guts,18
1701,14,Laxton-1701-14-verso,18,March,25,March,Headache,
1701,14,Laxton-1701-14-verso,18,March,25,March,Headmouldshot,
1701,14,Laxton-1701-14-verso,18,March,25,March,Hooping Cough,
1701,14,Laxton-1701-14-verso,18,March,25,March,Hiccough,
1701,14,Laxton-1701-14-verso,18,March,25,March,Horshoehead,
1701,14,Laxton-1701-14-verso,18,March,25,March,Impostume,2
1701,14,Laxton-1701-14-verso,18,March,25,March,Infants,
1701,14,Laxton-1701-14-verso,18,March,25,March,Inflammation,
1701,14,Laxton-1701-14-verso,18,March,25,March,Itch,
1701,14,Laxton-1701-14-verso,18,March,25,March,Jaundies,1
1701,14,Laxton-1701-14-verso,18,March,25,March,Jaw-fallen,
1701,14,Laxton-1701-14-verso,18,March,25,March,Kings Evil,1
1701,14,Laxton-1701-14-verso,18,March,25,March,Leprosie,
1701,14,Laxton-1701-14-verso,18,March,25,March,Lethargy,
1701,14,Laxton-1701-14-verso,18,March,25,March,Liver-grown,
