parish_name,canonical_name,parish_id
Alhallows Barking,All Hallows Barking,1
Alhallows Breadstreet,All Hallows Bread Street,2
Alhallows Great,All Hallows the Great,3
Alhallows Honylane,All Hallows Honey Lane,4
Alhallows Lesse,All Hallows the Less,5
Alhallows Lumbardstreet,All Hallows Lombard Street,6
Alhallows Stayning,All Hallows Staining,7
Alhallows the Wall,All Hallows London Wall,8
Bridewel Precinct,Bridewell Precinct,9
Christ Church,Christ Church,10
Christ Church in Middlesex,Christ Church Middlesex,11
Christ Church in Surry,Christ Church Surrey,12
Hackney Parish,St John at Hackney,13
Lambeth Parish,St Mary Lambeth,14
Pesthouse in Westminster,Westminster Pesthouse,15
Pesthouse Without the Walls,Pesthouse Without the Walls,16
Rothorith Parish,St Mary Rotherhithe,17
S Sepulchres Parish,St Sepulchre,18
Saviours Southwark,St Saviour Southwark,19
St Alban Woodstreet,St Alban Wood Street,20
St Alphage,St Alphage,21
St Andrew Holborn,St Andrew Holborn,22
St Andrew Hubbard,St Andrew Hubbard,23
St Andrew Undershaft,St Andrew Undershaft,24
St Andrew Wardrobe,St Andrew Wardrobe,25
St Ann Aldersgate,St Anne Aldersgate,26
St Ann Blackfryers,St Ann Blackfriars,27
St Ann in Westminster,St Anne Westminster,28
St Antholins Parish,St Antholin,29
St Austins Parish,St Austin,30
St Bartholomew Exchange,St Bartholomew Exchange,31
St Bartholomew Great,St Bartholomew Great,32
St Bartholomew Less,St Bartholomew Less,33
St Bennet Fynck,St Benet Fink,34
St Bennet Gracechurch,St Benet Gracechurch,35
St Bennet Paulswharf,St Benet Paul's Wharf,36
St Bennet Sherehog,St Benet Sherehog,37
St Botolph Aldersgate,St Botolph Aldersgate,38
St Botolph Aldgate,St Botolph Aldgate,39
St Botolph Billingsgate,St Botolph Billingsgate,40
St Botolph Bishopsgate,St Botolph Bishopsgate,41
St Bridget,St Bride,42
St Christophers,St Christopher,43
St Clement Danes,St Clement Danes,44
St Clement Eastcheap,St Clement Eastcheap,45
St Dionis Backchurch,St Dionis Backchurch,46
St Dunstan East,St Dunstan East,47
St Dunstan West,St Dunstan West,48
St Edmund Lumbardstr.,St Edmund the King,49
St Ethelborough,St Ethelburga,50
St Faith,St Faith under St Paul's,51
St Foster,St Vedast alias Foster,52
St Gabriel Fenchurch,St Gabriel Fenchurch,53
St George Botolphlane,St George Botolph Lane,54
St George by Hanover Square,St George Hanover Square,55
St George in Bloomsbury,St George Bloomsbury,56
St George Southwark,St George Southwark,57
St Giles Cripplegate,St Giles Cripplegate,58
St Giles in the Field,St Giles in the Field,59
St Gregory by St Pauls,St Gregory by St Paul's,60
St Hellen,St Helen,61
St James Clerkenwel,St James Clerkenwell,62
St James Dukes place,St James Duke's Place,63
St James Garlickhithe,St James Garlickhithe,64
St James in Westminster,St James Westminster,65
St John at Wapping,St John Wapping,66
St John Baptist,St John Baptist,67
St John Evangelist,St John Evangelist,68
St John Southwark,St John Southwark,69
St John Zachary,St John Zachary,70
St Katharine Coleman,St Katherine Coleman,71
St Katharine Creechurch,St Katherine Creechurch,72
St Katharine Tower,St Katharine Tower,73
St Lawrence Jewry,St Lawrence Jewry,74
St Lawrence Pountney,St Lawrence Pountney,75
St Leonard Eastcheap,St Leonard Eastcheap,76
St Leonard Fosterlane,St Leonard Foster Lane,77
St Leonard Shoreditch,St Leonard Shoreditch,78
St Magdalen Bermondsey,St Mary Magdalen Bermondsey,79
St Magnus Parish,St Magnus,80
St Margaret Lothbury,St Margaret Lothbury,81
St Margaret Moses,St Margaret Moses,82
St Margaret Newfishstreet,St Margaret New Fish Street,83
St Margaret Pattons,St Margaret Pattens,84
St Margaret Westminster,St Margaret Westminster,85
St Martin in the fields,St Martin in the Fields,86
St Martin Iremongerlane,St Martin Ironmonger Lane,87
St Martin Ludgate,St Martin Ludgate,88
St Martin Orgars,St Martin Orgar,89
St Martin Outwich,St Martin Outwich,90
St Martin Vintrey,St Martin Vintry,91
St Mary Abchurch,St Mary Abchurch,92
St Mary Aldermanbury,St Mary Aldermanbury,93
St Mary Aldermary,St Mary Aldermay,94
St Mary Bothaw,St Mary Bothaw,95
St Mary Colechurch,St Mary Colechurch,96
St Mary Hill,St Mary Hill,97
St Mary Islington,St Mary Islington,98
St Mary le Bow,St Mary le Bow,99
St Mary le Strand,St Mary le Strand,100
St Mary Mounthaw,St Mary Mounthaw,101
St Mary Newington,St Mary Newington,102
St Mary Savoy,St Mary Savoy,103
St Mary Sommerset,St Mary Somerset,104
St Mary Stayning,St Mary Staining,105
St Mary Whitechappel,St Mary Whitechapel,106
St Mary Woolchurch,St Mary Woolchurch,107
St Mary Woolnoth,St Mary Woolnoth,108
St Matthew at Bethnal Green,St Matthew Bethnal Green,109
St Matthew Fridaystreet,St Matthew Friday Street,110
St Maudlin Milkstreet,St Mary Magdalen Milk Street,111
St Maudlin Oldfishstreet,St Mary Magdalen Old Fish Street,112
St Michael Bassishaw,St Michael Bassishaw,113
St Michael Cornhil,St Michael Cornhill,114
St Michael Crookedlane,St Michael Crooked Lane,115
St Michael Queenhithe,St Michael Queenhithe,116
St Michael Quern,St Michael Quern,117
St Michael Royal,St Michael Royal,118
St Michael Woodstreet,St Michael Wood Street,119
St Mildred Breadstreet,St Mildred Bread Street,120
St Mildred Poultrey,St Mildred Poultrey,121
St Nicholas Acons,St Nicholas Acons,122
St Nicholas Coleabby,St Nicholas Cole Abbey,123
St Nicholas Olaves,St Nicholas Olave,124
St Olave Hartstreet,St Olave Hart Street,125
St Olave Jewry,St Olave Jewry,126
St Olave Silverstreet,St Olave Silver Street,127
St Olave Southwark,St Olave Southwark,128
St Pancras Pancras street,St Pancras Soper Lane,129
St Pancras Soperlane,St Pancras Soperlane,130
St Paul Covent Garden,St Paul Covent Garden,131
St Pauls Shadwel,St Paul Shadwell,132
St Peter Cheap,St Peter Cheap,133
St Peter Cornhil,St Peter Cornhill,134
St Peter Paulswharf,St Peter Paul's Wharf,135
St Peter Poor,St Peter Poor,136
St Steven Colemanstreet,St Stephen Coleman Street,137
St Steven Walbrook,St Stephen Walbrook,138
St Swithin,St Swithin,139
St Thomas Apostles,St Thomas Apostle,140
St Thomas Southwark,St Thomas Southwark,141
St. Ann in Middlesex,St. Ann in Middlesex,142
St. George by Queen's Square,St. George by Queen's Square,143
St. George in Middlesex,St. George in Middlesex,144
St. John the Evangelist,St. John the Evangelist,145
St. Luke in Middlesex,St. Luke in Middlesex,146
Stepney Parish,St Dunstan Stepney,147
Trinity Minories,Holy Trinity Minories,148
Trinity Parish,Trinity,149
