week_number,start_day,end_day,start_month,end_month,unique_identifier,week_id,year_range,year_id,split_year,id
21,11,18,May,May,1669-21-recto,1668-1669-21,1668-1669,1669,1668/1669,1
22,18,25,May,May,1669-22-recto,1668-1669-22,1668-1669,1669,1668/1669,1
23,25,1,May,June,1669-23-recto,1668-1669-23,1668-1669,1669,1668/1669,1
24,1,8,June,June,1669-24-recto,1668-1669-24,1668-1669,1669,1668/1669,1
25,8,15,June,June,1669-25-recto,1668-1669-25,1668-1669,1669,1668/1669,1
26,15,22,June,June,1669-26-recto,1668-1669-26,1668-1669,1669,1668/1669,1
27,22,29,June,June,1669-27-recto,1668-1669-27,1668-1669,1669,1668/1669,1
28,29,6,June,July,1669-28-recto,1668-1669-28,1668-1669,1669,1668/1669,1
30,13,20,July,July,1669-30-recto,1668-1669-30,1668-1669,1669,1668/1669,1
31,20,27,July,July,1669-31-recto,1668-1669-31,1668-1669,1669,1668/1669,1
32,17,3,July,August,1669-32-recto,1668-1669-32,1668-1669,1669,1668/1669,1
33,3,10,August,August,1669-33-recto,1668-1669-33,1668-1669,1669,1668/1669,1
34,10,17,August,August,1669-34-recto,1668-1669-34,1668-1669,1669,1668/1669,1
35,17,24,August,August,1669-35-recto,1668-1669-35,1668-1669,1669,1668/1669,1
36,24,31,August,August,1669-36-recto,1668-1669-36,1668-1669,1669,1668/1669,1
37,31,7,August,September,1669-37-recto-form-fill,1668-1669-37,1668-1669,1669,1668/1669,1
38,7,14,September,September,1669-38-recto,1668-1669-38,1668-1669,1669,1668/1669,1
39,14,21,September,September,1669-39-recto,1668-1669-39,1668-1669,1669,1668/1669,1
40,21,28,September,September,1669-40-recto,1668-1669-40,1668-1669,1669,1668/1669,1
41,28,5,September,October,1669-41-recto,1668-1669-41,1668-1669,1669,1668/1669,1
42,5,12,October,October,1669-42,1668-1669-42,1668-1669,1669,1668/1669,1
43,12,19,October,October,1669-43-recto,1668-1669-43,1668-1669,1669,1668/1669,1
44,19,26,October,October,1669-44-recto,1668-1669-44,1668-1669,1669,1668/1669,1
45,26,2,October,November,1669-45-recto,1668-1669-45,1668-1669,1669,1668/1669,1
46,2,9,November,November,1669-46-recto,1668-1669-46,1668-1669,1669,1668/1669,1
47,9,16,November,November,1669-47-recto,1668-1669-47,1668-1669,1669,1668/1669,1
48,16,23,November,November,1669-48-recto,1668-1669-48,1668-1669,1669,1668/1669,1
49,23,30,November,November,1669-49-recto,1668-1669-49,1668-1669,1669,1668/1669,1
50,30,7,November,December,1669-50-recto,1668-1669-50,1668-1669,1669,1668/1669,1
51,7,14,December,December,1669-51-recto,1668-1669-51,1668-1669,1669,1668/1669,1
52,14,21,December,December,1669-52-recto,1668-1669-52,1668-1669,1669,1668/1669,1
1,21,28,December,December,1669-1-recto,1669-1670-01,1669-1670,1669,1668/1669,1
2,28,4,December,January,1669-2-recto,1669-1670-02,1669-1670,1669,1668/1669,1
3,4,11,January,January,1669-03-recto,1669-1670-03,1669-1670,1669,1668/1669,1
4,11,18,January,January,1669-04-recto,1669-1670-04,1669-1670,1669,1668/1669,1
5,18,25,January,January,1669-05-recto,1669-1670-05,1669-1670,1669,1668/1669,1
6,25,1,January,February,1669-06-recto,1669-1670-06,1669-1670,1669,1668/1669,1
7,1,8,February,February,1669-07-recto,1669-1670-07,1669-1670,1669,1668/1669,1
8,8,15,February,February,1669-08-recto,1669-1670-08,1669-1670,1669,1668/1669,1
9,15,22,February,February,1669-09-recto,1669-1670-09,1669-1670,1669,1668/1669,1
10,22,1,February,March,1669-10-recto,1669-1670-10,1669-1670,1669,1668/1669,1
11,1,8,March,March,1669-11-recto-form-fill,1669-1670-11,1669-1670,1669,1668/1669,1
12,8,15,March,March,1669-12-recto-form-fill,1669-1670-12,1669-1670,1669,1668/1669,1
13,15,22,March,March,1669-13-recto-form-fill,1669-1670-13,1669-1670,1669,1668/1669,1
14,22,29,March,March,1670-14-recto,1670-1671-14,1670-1671,1670,1669/1670,2
15,29,5,March,April,1670-15-recto,1670-1671-15,1670-1671,1670,1669/1670,2
14,18,25,March,March,Laxton-1701-14-recto,1701-1702-14,1701-1702,1701,1700/1701,3
15,25,1,March,April,Laxton-1701-15-recto,1701-1702-15,1701-1702,1701,1700/1701,3
16,1,8,April,April,Laxton-1700-16-recto,1700-1701-16,1700-1701,1701,1700/1701,3
17,8,15,April,April,Laxton-1701-17-recto,1700-1701-17,1700-1701,1701,1700/1701,3
18,15,22,April,April,Laxton-1701-18-recto,1700-1701-18,1700-1701,1701,1700/1701,3
19,22,29,April,April,Laxton-1701-19-recto,1700-1701-19,1700-1701,1701,1700/1701,3
20,29,6,April,May,Laxton-1701-20-recto,1700-1701-20,1700-1701,1701,1700/1701,3
21,6,13,May,May,Laxton-1701-21-recto,1700-1701-21,1700-1701,1701,1700/1701,3
22,13,20,May,May,Laxton-1701-22-recto,1700-1701-22,1700-1701,1701,1700/1701,3
23,20,27,May,May,Laxton-1701-23-recto,1700-1701-23,1700-1701,1701,1700/1701,3
24,27,3,May,June,Laxton-1701-24-recto,1700-1701-24,1700-1701,1701,1700/1701,3
25,3,10,June,June,Laxton-1701-25-recto,1700-1701-25,1700-1701,1701,1700/1701,3
26,10,17,June,June,Laxton-1701-26-recto,1700-1701-26,1700-1701,1701,1700/1701,3
27,17,24,June,June,Laxton-1701-27-recto,1700-1701-27,1700-1701,1701,1700/1701,3
27,,,,,Laxton-1701-27-recto,1700-1701-27,1700-1701,1701,1700/1701,3
28,24,1,June,July,Laxton-1701-28-recto,1700-1701-28,1700-1701,1701,1700/1701,3
29,1,7,July,July,Laxton-1701-29-recto,1700-1701-29,1700-1701,1701,1700/1701,3
30,8,15,July,July,Laxton-1701-30-recto,1700-1701-30,1700-1701,1701,1700/1701,3
31,15,22,July,July,Laxton-1701-31-recto,1700-1701-31,1700-1701,1701,1700/1701,3
32,22,29,July,July,Laxton-1701-32-recto,1700-1701-32,1700-1701,1701,1700/1701,3
33,29,5,July,August,Laxton-1701-33-recto,1700-1701-33,1700-1701,1701,1700/1701,3
34,5,12,August,August,Laxton-1701-34-recto,1700-1701-34,1700-1701,1701,1700/1701,3
35,12,19,August,August,Laxton-1701-35-recto,1700-1701-35,1700-1701,1701,1700/1701,3
36,19,26,August,August,Laxton-1701-36-recto,1700-1701-36,1700-1701,1701,1700/1701,3
37,26,2,August,September,Laxton-1701-37-recto,1700-1701-37,1700-1701,1701,1700/1701,3
38,2,9,September,September,Laxton-1701-38-recto,1700-1701-38,1700-1701,1701,1700/1701,3
39,9,16,September,September,Laxton-1701-39-recto,1700-1701-39,1700-1701,1701,1700/1701,3
