"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position","Image FileName(s)",Year,"Week Number","Unique Identifier","Start Day","Start Month","End Day","End Month",Abortive,Aged,Ague,Apoplexy,Bed-ridden,Blasted,Bleeding,Bloody-flux,Calenture,Cancer,Canker,Child-Bed,Chrisoms,Cold,Colick,Consumption,Convulsion,Cough,Cramp,Diabetes,Dropsie,Drowned,"Drowned (Descriptive Text)",Falling-sickness,Fever,Fistula,"Flox and Small-Pox",Flux,French-Pox,Frets,Gangreen,Gout,Grief,"Griping in the Guts",Headache,Headmouldshot,Hiccough,Jaundies,Jaw-fallen,Impostume,Infants,Itch,"Kings Evil",Leprosie,Lethargy,Liver-grown,Lunatick,Meagrim,Measles,Mother,"Noli me tangere",Overlaid,Palsie,Plague,Plurisie,Purples,Quinsie,Rheumatism,Rickets,"Rising of the Lights","Running of the Reins",Rupture,"St. Anthony's Fire","Scald Head",Sciatica,Scowring,Scurvy,Shingles,Spleen,Spotted-Fever,Still-born,Stone,"Stopping of the Stomach",Strangury,Suddenly,Surfeit,Swine-Pox,Teeth,Thrush,Tissick,Tympany,Ulcer,Vomiting,Wen,Wind,Wolf,Worms,Killed,"Killed (Descriptive Text)",Suicide,"Suicide (Descriptive Text)","Other Casualties","Other Casualties (Descriptive Text)","Christened (Male)","Christened (Female)","Christened (In All)","Buried (Male)","Buried (Female)","Buried (All)","Plague Deaths","Increase/Decrease in Burials","Increase/Decrease in Plague Deaths","Parishes Clear of the Plague","Parishes Infected (with Plague)","Ounces in Penny Wheaten Loaf","Ounces in Three Half-Penny White Loaf"
5,2,2,1,"JMO_2016_15077.JPG; JMO_2016_15078.JPG",1668,1,1668-01-verso,22,December,29,December,1,10,,2,,,,,,1,,3,11,,,54,31,,,,17,,,,19,,22,3,,,,,,35,,,,,,3,3,,2,,,1,,,,,,2,,,,,,,8,2,,1,,,,1,,,,1,11,,7,,1,7,,14,3,5,,1,,,2,,1,1,"Smothered at St. Mary Islington",,,,,114,103,217,154,133,287,0,14,0,47,0,10,10
8,3,3,1,"JMO_2016_15079.JPG; JMO_2016_15089.JPG",1668,2,1668-02-verso,29,December,5,January,1,21,,1,,,,,,,2,5,9,,,71,38,1,,,22,,,,28,,6,,,,2,,1,43,,,,1,,3,10,,1,,,,,,,,,,,,,,2,,3,6,,,,,,,,,,1,14,,4,,2,12,,23,,6,1,1,,,1,,4,2,"Found dead in the street two, one at St. Peter Cornhil, and one at St. Dunstan West",,,1,"Sore legg",128,126,254,193,156,349,0,64,0,47,0,10,10
11,4,4,1,"JMO_2016_15081.JPG; JMO_2016_15082.JPG",1668,3,1668-03-verso,5,January,12,January,1,26,1,,,,,,,1,,6,16,,,62,30,,,,30,,,,21,1,9,1,3,,,,,51,,,,1,,,10,,1,,,,,,,,,,2,,,,,,4,9,,,,,,,1,,,,11,,11,1,1,12,1,22,2,19,1,3,,,,,4,3,"Killed 2. One at St. Martins in the Fields, and one by a fall into a Ditch at Stepney; Starved at St. Clement Danes",2,"Hang'd her self at St. George in Southwark; Shot himself at St. Giles in the Fields",,,127,125,252,203,177,380,0,31,0,47,0,10,10
14,5,5,1,"JMO_2016_15083.JPG; JMO_2016_15084.JPG",1668,4,1668-04-verso,12,January,19,January,2,28,,,,,,,,,,7,8,,,65,35,3,,,35,2,"Drowned at St. Kathar. Tower",,27,,27,,,,,1,1,44,,1,,1,,1,5,,,,1,,,,,,,2,1,,1,,,,14,4,,1,,,,,4,,,3,11,1,10,1,,10,,25,2,6,,3,,,2,,,1,"Killed by a fall from a Ship at St. Magdalen Bermondsey",,,1,"Found dead in the Street (a Childe) at St. Paul Covent Garden",132,130,262,202,185,387,0,7,0,47,0,10,10
17,6,6,1,"JMO_2016_15085.JPG; JMO_2016_15086.JPG",1668,5,1668-05-verso,19,January,26,January,,18,1,,,,,,,1,,6,12,1,,82,42,1,,,35,,,,27,,9,1,2,,,1,,44,,,,1,,3,10,,,,,,,,,,,,,,1,,,,7,8,,,,,,,,,,,13,,19,,2,12,,27,2,11,1,,,,,,2,,,,,1,"Sore leg",120,123,243,225,187,413,0,26,,47,0,9,9
20,7,7,1,"JMO_2016_15087.JPG; JMO_2016_15088.JPG",1668,6,1668-06-verso,26,January,2,February,2,27,,2,,,,,,2,,5,7,1,,70,41,1,,,38,,,1,24,,9,,,,,1,,33,,,,2,,1,6,,,,1,,,1,,,,1,,,1,,,,4,11,,1,,,,,1,,,,3,2,19,,,13,,22,,12,,3,,,,,8,,,,,1,"Kild by a fall from a house at St. Dunstans in the East",139,129,268,222,155,377,0,-36,0,47,0,9,9
23,8,8,1,"JMO_2016_15089.JPG; JMO_2016_15090.JPG",1668,7,1668-07-verso,2,February,9,February,3,22,,,1,,,,,1,,8,5,,,64,38,,,,23,,,,23,,12,2,,,2,,,41,,,,1,,3,5,,,,1,,,,,,,,,,1,,2,,10,7,,,,,,,,,,2,11,1,14,,1,7,,31,1,5,1,2,1,,2,,4,4,"Killed 3. Two by the fall of a brick wall at St. Peter Cornhil and one by a fall in a Ship at Rothorith; Slain at S. Mary Whitechappel",,,2,"Found dead in the streets 2. One at St. Botolph Bishopsgate, and one at St. Mary White-chappel",134,143,277,184,180,364,0,-13,0,130,0,9,9
26,9,9,1,"JMO_2016_15091, JMO_2016_15092, JMO_2016_15093",1668,8,1668-08-verso,9,February,16,February,,26,,,,,,,,2,1,3,4,1,,54,46,,,,21,2,"Drowned 2. One at St. Dunstans in the East, and one at Stepney",,18,,16,2,2,,,1,,30,,,,1,,1,4,,,,,,,,,1,,1,,,,,1,,17,7,,1,,,,1,2,,,,12,,11,,2,3,,30,1,6,,1,1,,2,,2,2,"Killed 2. One at St. Martins in the Fields, and one by his Master at St. Olaves Southwark",,,,,139,96,235,189,144,333,0,-31,,130,0,9,9
30,10,10,1,"JMO_2016_15094, JMO_2016_15095",1668,9,1668-09-verso,16,February,23,February,2,22,,,,,,,,,,7,8,,,72,35,1,,,20,1,"Drowned at St. Olave Southwark",,25,,4,,,,1,,,10,,,,3,,1,4,,,,,,,,1,,,,,,1,,,,7,8,,,,,,,3,,,,3,,6,,1,15,,23,,9,,,,,4,,4,1,"Kild at St. Clement Danes",1,"Hang'd himself at St. Giles in the Fields",1,"Found dead in the Street (an Infant) at St. James Dukesplace",125,135,260,166,148,314,0,-19,0,130,0,9,9
37,12,12,1,"JMO_2016_15099.JPG, JMO_2016_15100.JPG, JMO_2016_15101.JPG",1668,11,1668-11-verso-form-fill,2,March,9,March,3,22,,,,,,,,,,5,6,,,71,39,,,,25,,,,11,1,6,,2,,,1,,41,,,,1,,4,3,,2,,,,,,1,,,1,,,1,,,,6,6,,,,,,,1,,,2,12,2,3,,1,7,,24,34,3,,,,,,,4,,,,,2,,161,118,279,170,153,323,0,-25,,130,0,,
